"Date","NSE Index","Deals","Traded Volume","Traded Value","Market Capitalization"
"2013-03-20",33207.21,4976,314008128,3300640157.73,10626066885770.6
"2013-03-19",33298.74,5616,310037504,2979203737.53,10655356660335.1
"2013-03-18",33243.54,4790,230584928,2561230707.67,10637691874981.2
"2013-03-15",32950.08,5448,429650560,4620654877.88,10543788220764.3
"2013-03-14",33207.02,5878,638424576,6266808222.03,10626005358297.3
"2013-03-13",33357.16,5799,306954176,3306348590.09,10674050314899.1
"2013-03-12",33351.71,6489,474667616,4825072183.39,10672304856448.4
"2013-03-11",32890.35,5721,700209024,2674865725.19,10524676750605.9
"2013-03-08",32849.11,5570,431593952,5326969102.44,10511479381009.1
"2013-03-07",32772.73,5910,350290496,3659852113.78,10487035625740.7
"2013-03-06",32731.08,5789,278968192,3672128839.71,10473709948446.2
"2013-03-05",32784.56,6226,473579296,4033781205.56,10490823210362.2
"2013-03-04",32947.13,5337,393209088,4296949322.42,10542845131887.3
"2013-02-28",33075.1,5523,411254784,7592962170.35,10583806413451.9
"2013-02-27",33736.82,5678,563931392,5987297565.9,10795538344869.9
"2013-02-26",33613.8,6261,473208800,3950948728.53,10756196488568.5
"2013-02-25",33811.08,5674,361928768,4029645421.57,10819300197693.3
"2013-02-22",33895.08,5447,467360256,5381952922.96,10846180571098
"2013-02-21",33506.6,6177,517049952,5272597669.07,10721871426079.4
"2013-02-20",33708.18,7278,434155680,4350162592.52,10786374724272
"2013-02-19",33335.11,6882,1148358144,3685043302.73,10666992848314.3
"2013-02-18",33251.51,6742,535325472,4155954356.74,10640242441570.5
"2013-02-15",33258.45,6541,529520960,4606126012.24,10642462517001.5
"2013-02-14",33342.02,7564,706788928,3937694417.27,10667663644051.7
"2013-02-13",33355.54,9653,1438553728,5596072809.19,10671989183998.4
"2013-02-12",33487.82,8337,891407808,4689140617.02,10714308830315
"2013-02-11",33511.6,7299,683236800,4348011894.54,10721927765187.7
"2013-02-08",33313.49,7407,627913920,3247989830.94,10658533894812.8
"2013-02-07",33219.2,7293,701484352,3983844062.38,10628367487260.1
"2013-02-06",33460.1,8485,944100096,6516746124.87,10705452738956.1
"2013-02-05",33064.37,8396,720040640,6558014670.07,10578827416544.9
"2013-02-04",32685.03,7740,578034816,4385741811.88,10457459062469.6
"2013-02-01",32411.86,6705,410774912,3500303274.76,10370061845032.1
"2013-01-31",31853.19,6884,506330496,3629488021.97,10191315647256.4
"2013-01-30",31815.45,6504,424621984,3849841642.07,10179242282002.4
"2013-01-29",31571.46,6659,506293152,3171444958.81,10101176764612.6
"2013-01-28",31474.88,6373,970022784,8039148828.2,10070277368655
"2013-01-25",31583.49,6563,552868352,6223497167.19,10102627982761.9
"2013-01-23",31446.22,6974,797793408,5125264962.48,10058720242715.8
"2013-01-22",30983.83,7560,554684416,4101658380.54,9910815896785.59
"2013-01-21",30842.54,6089,706802624,3701351054.49,9865621478775.29
"2013-01-18",30927.18,6445,534641632,4056267423,9892693775236.34
"2013-01-17",30324.86,7065,805214976,4024616640.19,9698572780988.81
"2013-01-16",30093.83,7446,622320192,4971550378.72,9624684137778.75
"2013-01-15",29686.95,7379,822691456,5067745203.84,9494554064434.59
"2013-01-14",29309.7,6316,474108448,3515706042.41,9373900192557.8
"2013-01-11",29202.01,5380,308964864,2720727996.26,9339459026519.81
"2013-01-10",28695.59,6200,407240512,3511846479.63,9171258099060.22
"2013-01-09",28956.83,6979,455805504,4057037150.75,9254751427570.02
"2013-01-08",29089.52,6857,529790080,3706467790.41,9297158595013.69
"2013-01-07",28986.19,5826,4577215488,3002013241.37,9264465634812.71
"2013-01-04",28538.05,2874,233814368,1603186162.59,9121232078283.99
