Date,Open,High,Low,Close,Volume,Trades,Value
2000-01-04,2.60,NA,NA,2.60,NA,NA,NA
2000-01-05,2.60,NA,NA,2.73,NA,NA,NA
2000-01-10,2.73,NA,NA,2.75,NA,NA,NA
2000-01-11,2.75,NA,NA,2.75,NA,NA,NA
2000-01-12,2.75,NA,NA,2.76,NA,NA,NA
2000-01-13,2.76,NA,NA,2.88,NA,NA,NA
2000-01-14,2.88,NA,NA,2.88,NA,NA,NA
2000-01-17,2.88,NA,NA,2.90,NA,NA,NA
2000-01-18,2.90,NA,NA,3.00,NA,NA,NA
2000-01-19,3.00,NA,NA,3.00,NA,NA,NA
2000-01-20,3.00,NA,NA,3.00,NA,NA,NA
2000-01-21,3.00,NA,NA,3.15,NA,NA,NA
2000-01-24,3.15,NA,NA,3.14,NA,NA,NA
2000-01-25,3.14,NA,NA,3.00,NA,NA,NA
2000-01-26,3.00,NA,NA,2.88,NA,NA,NA
2000-01-27,2.88,NA,NA,2.88,NA,NA,NA
2000-01-28,2.88,NA,NA,2.75,NA,NA,NA
2000-01-31,2.75,NA,NA,2.75,NA,NA,NA
2000-02-01,2.75,NA,NA,2.75,NA,NA,NA
2000-02-02,2.75,NA,NA,2.75,NA,NA,NA
2000-02-03,2.75,NA,NA,2.75,NA,NA,NA
2000-02-04,2.75,NA,NA,2.88,NA,NA,NA
2000-02-07,2.88,NA,NA,3.02,NA,NA,NA
2000-02-08,3.02,NA,NA,3.15,NA,NA,NA
2000-02-09,3.15,NA,NA,3.15,NA,NA,NA
2000-02-10,3.15,NA,NA,3.30,NA,NA,NA
2000-02-11,3.30,NA,NA,3.30,NA,NA,NA
2000-02-14,3.30,NA,NA,3.46,NA,NA,NA
2000-02-15,3.46,NA,NA,3.50,NA,NA,NA
2000-02-16,3.50,NA,NA,3.55,NA,NA,NA
2000-02-17,3.55,NA,NA,3.72,NA,NA,NA
2000-02-18,3.72,NA,NA,3.72,NA,NA,NA
2000-02-21,3.72,NA,NA,3.54,NA,NA,NA
2000-02-22,3.54,NA,NA,3.40,NA,NA,NA
2000-02-23,3.40,NA,NA,3.40,NA,NA,NA
2000-02-24,3.40,NA,NA,3.37,NA,NA,NA
2000-02-25,3.37,NA,NA,3.37,NA,NA,NA
2000-02-28,3.37,NA,NA,3.21,NA,NA,NA
2000-02-29,3.21,NA,NA,3.21,NA,NA,NA
2000-03-01,3.21,NA,NA,3.05,NA,NA,NA
2000-03-02,3.05,NA,NA,3.03,NA,NA,NA
2000-03-03,3.03,NA,NA,2.88,NA,NA,NA
2000-03-06,2.88,NA,NA,2.80,NA,NA,NA
2000-03-07,2.80,NA,NA,2.80,NA,NA,NA
2000-03-08,2.80,NA,NA,2.66,NA,NA,NA
2000-03-09,2.66,NA,NA,2.66,NA,NA,NA
2000-03-10,2.66,NA,NA,2.67,NA,NA,NA
2000-03-13,2.67,NA,NA,2.80,NA,NA,NA
2000-03-14,2.80,NA,NA,2.81,NA,NA,NA
2000-03-17,2.81,NA,NA,2.95,NA,NA,NA
2000-03-20,2.95,NA,NA,2.98,NA,NA,NA
2000-03-21,2.98,NA,NA,2.98,NA,NA,NA
2000-03-22,2.98,NA,NA,2.98,NA,NA,NA
2000-03-23,2.98,NA,NA,2.84,NA,NA,NA
2000-03-24,2.84,NA,NA,2.80,NA,NA,NA
2000-03-27,2.80,NA,NA,2.80,NA,NA,NA
2000-03-28,2.80,NA,NA,2.67,NA,NA,NA
2000-03-29,2.67,NA,NA,2.56,NA,NA,NA
2000-03-30,2.56,NA,NA,2.63,NA,NA,NA
2000-03-31,2.63,NA,NA,2.70,NA,NA,NA
2000-04-03,2.70,NA,NA,2.75,NA,NA,NA
2000-04-04,2.75,NA,NA,2.80,NA,NA,NA
2000-04-05,2.80,NA,NA,2.67,NA,NA,NA
2000-04-06,2.67,NA,NA,2.69,NA,NA,NA
2000-04-07,2.69,NA,NA,2.75,NA,NA,NA
2000-04-10,2.75,NA,NA,2.88,NA,NA,NA
2000-04-11,2.88,NA,NA,3.00,NA,NA,NA
2000-04-12,3.00,NA,NA,3.00,NA,NA,NA
2000-04-13,3.00,NA,NA,3.15,NA,NA,NA
2000-04-14,3.15,NA,NA,3.30,NA,NA,NA
2000-04-17,3.30,NA,NA,3.14,NA,NA,NA
2000-04-18,3.14,NA,NA,3.14,NA,NA,NA
2000-04-19,3.14,NA,NA,2.99,NA,NA,NA
2000-04-20,2.99,NA,NA,3.00,NA,NA,NA
2000-04-25,3.00,NA,NA,3.00,NA,NA,NA
2000-04-26,3.00,NA,NA,3.15,NA,NA,NA
2000-04-27,3.15,NA,NA,3.15,NA,NA,NA
2000-04-28,3.15,NA,NA,3.15,NA,NA,NA
2000-05-02,3.15,NA,NA,3.00,NA,NA,NA
2000-05-03,3.00,NA,NA,3.00,NA,NA,NA
2000-05-04,3.00,NA,NA,3.15,NA,NA,NA
2000-05-05,3.15,NA,NA,3.05,NA,NA,NA
2000-05-08,3.05,NA,NA,3.05,NA,NA,NA
2000-05-09,3.05,NA,NA,2.90,NA,NA,NA
2000-05-10,2.90,NA,NA,3.00,NA,NA,NA
2000-05-11,3.00,NA,NA,3.00,NA,NA,NA
2000-05-12,3.00,NA,NA,3.10,NA,NA,NA
2000-05-15,3.10,NA,NA,3.11,NA,NA,NA
2000-05-16,3.11,NA,NA,3.15,NA,NA,NA
2000-05-17,3.15,NA,NA,3.17,NA,NA,NA
2000-05-18,3.17,NA,NA,3.20,NA,NA,NA
2000-05-19,3.20,NA,NA,3.20,NA,NA,NA
2000-05-22,3.20,NA,NA,3.15,NA,NA,NA
2000-05-23,3.15,NA,NA,3.30,NA,NA,NA
2000-05-24,3.30,NA,NA,3.46,NA,NA,NA
2000-05-25,3.46,NA,NA,3.63,NA,NA,NA
2000-05-26,3.63,NA,NA,3.45,NA,NA,NA
2000-05-30,3.45,NA,NA,3.35,NA,NA,NA
2000-05-31,3.35,NA,NA,3.19,NA,NA,NA
2000-06-01,3.19,NA,NA,3.06,NA,NA,NA
2000-06-02,3.06,NA,NA,3.06,NA,NA,NA
2000-06-05,3.06,NA,NA,3.06,NA,NA,NA
2000-06-06,3.06,NA,NA,3.13,NA,NA,NA
2000-06-07,3.13,NA,NA,3.25,NA,NA,NA
2000-06-08,3.25,NA,NA,3.30,NA,NA,NA
