Date,Open,High,Low,Close,Volume,Trades,Value
2008-10-21,3.67,3.67,3.67,3.67,14886650.00,54.00,54634004.00
2008-10-22,3.64,3.84,3.64,3.84,514001.00,35.00,1899583.62
2008-10-23,3.84,3.95,3.81,3.89,238000.00,18.00,921560.00
2008-10-24,3.86,3.86,3.86,3.89,38000.00,5.00,146680.00
2008-10-27,3.86,3.86,3.86,3.89,7000.00,3.00,27020.00
2008-10-28,3.70,3.70,3.70,3.89,3000.00,2.00,11100.00
2008-10-30,3.70,3.70,3.70,3.89,10000.00,4.00,37000.00
2008-10-31,3.70,3.70,3.70,3.89,2730.00,2.00,10101.00
2008-11-04,3.70,3.70,3.70,3.89,2000.00,2.00,7400.00
2008-11-05,3.70,3.70,3.70,3.89,1000.00,1.00,3700.00
2008-11-06,3.70,3.70,3.70,3.70,88859.00,2.00,328778.31
2008-11-07,3.52,3.88,3.52,3.80,3040000.00,11.00,10749623.00
2008-11-10,3.79,3.99,3.61,3.99,2950000.00,11.00,11247420.00
2008-11-11,4.18,4.18,3.80,3.99,43333.00,16.00,165449.34
2008-11-12,4.00,4.18,4.00,4.18,320000.00,4.00,1299800.00
2008-11-17,4.30,4.30,4.10,4.10,56.00,3.00,234.00
2008-11-18,4.19,4.19,4.19,4.10,800.00,1.00,3352.00
2008-11-19,3.90,3.90,3.90,4.10,5000.00,1.00,19500.00
2008-11-20,3.90,3.90,3.90,4.10,3000.00,2.00,11700.00
2008-11-24,3.90,3.90,3.90,3.90,2000100.00,2.00,7800390.00
2008-11-26,4.09,4.09,3.71,3.90,3000.00,2.00,11510.00
2008-11-27,3.75,3.75,3.75,3.75,1500000.00,1.00,5625000.00
2008-12-02,3.57,3.57,3.57,3.75,740.00,1.00,2641.80
2008-12-03,3.40,3.40,3.40,3.57,2500.00,1.00,8500.00
2008-12-05,3.40,3.40,3.40,3.57,1000.00,1.00,3400.00
2008-12-10,3.40,3.40,3.40,3.40,501200.00,2.00,1704080.00
2008-12-11,3.23,3.23,3.23,3.40,4000.00,1.00,12920.00
2008-12-16,3.23,3.23,3.23,3.40,2000.00,1.00,6460.00
2008-12-17,3.23,3.23,3.23,3.40,1000.00,1.00,3230.00
2008-12-18,3.23,3.23,3.23,3.23,2502000.00,2.00,8081460.00
2008-12-23,3.07,3.07,3.07,3.23,3000.00,2.00,9210.00
2008-12-30,3.07,3.07,3.07,3.07,147000.00,2.00,451290.00
2009-01-06,2.92,2.92,2.92,2.92,140400.00,8.00,409968.00
2009-01-07,2.78,2.78,2.78,2.92,3900.00,1.00,10842.00
2009-01-08,3.06,3.06,3.06,2.92,12100.00,6.00,37026.00
2009-01-09,2.78,2.78,2.78,2.92,11600.00,2.00,32248.00
2009-01-14,2.78,2.78,2.78,2.78,50000.00,1.00,139000.00
2009-01-22,2.65,2.65,2.65,2.78,7000.00,2.00,18550.00
2009-01-30,2.65,2.65,2.65,2.65,2000.00,1.00,5300.00
2009-02-03,2.77,2.77,2.77,3.05,100.00,1.00,277.00
2009-02-09,2.77,2.77,2.77,2.78,1000.00,1.00,2770.00
2009-02-17,2.65,2.65,2.65,2.78,1000.00,1.00,2650.00
2009-02-19,2.65,2.65,2.65,2.78,1000.00,1.00,2650.00
2009-02-23,2.65,2.65,2.65,2.78,6000.00,2.00,15900.00
2009-03-16,2.65,2.65,2.65,2.78,4000.00,2.00,10600.00
2009-03-18,2.65,2.65,2.65,2.78,250.00,1.00,662.50
2009-03-19,2.65,2.65,2.65,2.78,2000.00,2.00,5300.00
2009-04-01,2.65,2.65,2.65,2.78,500.00,1.00,1325.00
2009-04-02,2.65,2.65,2.65,2.78,4000.00,1.00,10600.00
2009-04-07,2.65,2.65,2.65,2.78,25000.00,1.00,66250.00
2009-04-08,2.65,2.65,2.65,2.78,1500.00,1.00,3975.00
2009-04-09,2.65,2.65,2.65,2.78,3000.00,2.00,7950.00
2009-04-27,2.65,2.65,2.65,2.78,500.00,1.00,1325.00
2009-04-30,2.65,2.65,2.65,2.78,2000.00,1.00,5300.00
2009-05-04,2.65,2.65,2.65,2.78,1900.00,1.00,5035.00
2009-05-11,2.65,2.65,2.65,2.78,1000.00,1.00,2650.00
2009-05-12,2.65,2.65,2.65,2.78,150.00,1.00,397.50
2009-05-14,2.65,2.65,2.65,2.78,1000.00,1.00,2650.00
2009-05-20,2.65,2.65,2.65,2.78,1000.00,1.00,2650.00
2009-05-22,2.65,2.65,2.65,2.65,5250.00,2.00,13912.50
2009-06-17,2.65,2.65,2.65,2.78,150.00,1.00,397.50
2009-06-19,2.65,2.65,2.65,2.65,13000000.00,26.00,34450000.00
2009-06-24,2.52,2.52,2.52,2.65,800.00,2.00,2016.00
2009-06-29,2.52,2.52,2.52,2.65,360.00,1.00,907.20
2009-06-30,2.52,2.52,2.52,2.52,100000.00,3.00,252000.00
2009-07-01,2.50,2.50,2.50,2.50,1000.00,1.00,2500.00
2009-07-02,2.40,2.40,2.40,2.40,500.00,1.00,1200.00
2009-07-03,2.40,2.40,2.40,2.52,6000.00,2.00,14400.00
2009-07-07,2.49,2.49,2.49,2.49,750.00,2.00,1867.50
2009-07-09,2.37,2.37,2.37,2.37,184240080.00,1.00,436648992.00
2009-07-13,2.26,2.26,2.26,2.37,5000.00,1.00,11300.00
2009-07-14,2.15,2.15,2.15,2.26,100.00,1.00,215.00
2009-07-15,2.15,2.15,2.15,2.26,200.00,1.00,430.00
2009-07-17,2.15,2.15,2.15,2.26,10400.00,2.00,22360.00
2009-07-22,2.15,2.15,2.15,2.15,94450.00,2.00,203067.50
2009-07-27,2.05,2.05,2.05,2.05,3000.00,2.00,6150.00
2009-07-29,2.05,2.05,2.05,2.05,6158292.00,1.00,12624499.00
2009-08-03,1.95,1.95,1.95,2.05,20000.00,1.00,39000.00
2009-08-11,1.95,1.95,1.95,1.95,264666.00,2.00,516098.69
2009-08-13,1.86,1.86,1.86,1.95,500.00,1.00,930.00
2009-08-14,1.77,1.77,1.77,1.86,200.00,1.00,354.00
2009-08-17,1.77,1.77,1.77,1.86,300.00,2.00,531.00
2009-08-18,1.77,1.77,1.77,1.77,500.00,1.00,885.00
2009-08-19,1.77,1.77,1.77,1.77,112000000.00,7.00,198240000.00
2009-09-11,1.77,1.77,1.77,1.77,7000.00,1.00,11830.00
2009-09-14,1.77,1.77,1.77,1.77,500.00,1.00,885.00
2009-09-15,1.77,1.77,1.77,1.77,9500.00,2.00,16815.00
2009-09-16,1.77,1.77,1.77,1.77,500.00,1.00,845.00
2009-09-17,1.77,1.77,1.77,1.77,13390.00,2.00,22629.10
2009-09-28,1.77,1.77,1.77,1.77,8000.00,1.00,13520.00
