Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-10,1.50,1.50,1.50,1.50,500.00,1.00,750.00
2007-01-11,1.50,1.50,1.50,1.50,5000.00,1.00,7500.00
2007-01-12,1.50,1.50,1.50,1.50,15250.00,1.00,22875.00
2007-01-15,1.57,1.57,1.57,1.57,432750.00,3.00,679417.50
2007-01-18,1.64,1.64,1.64,1.64,700000.00,7.00,1148000.00
2007-01-19,1.72,1.72,1.72,1.72,50000.00,1.00,86000.00
2007-01-22,1.80,1.80,1.80,1.80,250000.00,2.00,450000.00
2007-01-23,1.89,1.89,1.89,1.89,15000.00,1.00,28350.00
2007-01-26,2.17,2.17,2.08,2.08,382161.00,11.00,824769.50
2007-01-30,2.18,2.18,2.18,2.18,401850.00,13.00,876033.00
2007-01-31,2.28,2.28,2.28,2.28,100000.00,1.00,228000.00
2007-02-02,2.20,2.20,2.17,2.17,447805.00,28.00,985171.00
2007-02-05,2.17,2.27,2.17,2.17,875300.00,28.00,1965561.00
2007-02-06,2.20,2.20,2.20,2.20,500000.00,2.00,1100000.00
2007-02-07,2.31,2.31,2.20,2.20,229025.00,14.00,522007.75
2007-02-08,2.20,2.20,2.09,2.09,115430.00,7.00,247346.00
2007-02-09,2.00,2.00,2.00,2.00,1070000.00,6.00,2140000.00
2007-02-12,1.90,2.00,1.90,1.90,516071.00,7.00,981434.88
2007-02-13,1.90,1.90,1.90,1.90,46366.00,3.00,88095.40
2007-02-14,1.90,1.98,1.90,1.98,29483.00,2.00,57124.34
2007-02-15,2.07,2.07,2.00,2.00,77068.00,8.00,158080.50
2007-02-16,2.00,2.00,2.00,2.00,249758.00,7.00,499516.00
2007-02-19,2.00,2.00,2.00,2.00,50000.00,1.00,100000.00
2007-02-20,2.10,2.10,1.90,2.10,6025000.00,18.00,11746500.00
2007-02-21,2.20,2.20,2.20,2.20,140000.00,2.00,308000.00
2007-02-22,2.31,2.31,2.31,2.31,235000.00,3.00,542850.00
2007-02-23,2.42,2.42,2.20,2.42,3980230.00,32.00,9103057.00
2007-02-27,2.54,2.54,2.54,2.54,67000.00,4.00,170180.00
2007-02-28,2.66,2.66,2.66,2.66,50000.00,1.00,133000.00
2007-03-01,2.79,2.79,2.53,2.79,1897519.00,24.00,5187058.00
2007-03-02,2.79,2.90,2.66,2.90,1040000.00,30.00,2963010.25
2007-03-05,3.04,3.04,2.76,2.80,873591.00,22.00,2515343.25
2007-03-06,2.88,2.94,2.88,2.93,1349741.00,22.00,3953610.25
2007-03-07,3.07,3.07,2.93,3.07,153018256.00,42.00,469696480.00
2007-03-08,3.22,3.22,3.00,3.00,1326600.00,25.00,4094332.00
2007-03-09,3.00,3.00,2.85,2.90,1272634.00,34.00,3740402.00
2007-03-12,3.00,3.04,2.81,2.81,1052800.00,20.00,3049130.00
2007-03-13,2.81,2.81,2.67,2.67,346650.00,15.00,949598.00
2007-03-14,2.67,2.67,2.54,2.55,735100.00,17.00,1871234.00
2007-03-15,2.50,2.50,2.43,2.47,279979.00,15.00,690116.31
2007-03-16,2.50,2.59,2.35,2.35,7173000.00,24.00,17218760.00
2007-03-19,2.46,2.46,2.46,2.46,37591.00,4.00,92473.86
2007-03-20,2.58,2.58,2.40,2.40,5075000.00,31.00,12675241.00
2007-03-21,2.32,2.32,2.32,2.32,30000.00,1.00,69600.00
2007-03-22,2.43,2.43,2.43,2.43,10000.00,1.00,24300.00
2007-03-23,2.55,2.55,2.55,2.55,15000.00,1.00,38250.00
2007-03-26,2.67,2.67,2.43,2.43,2042500.00,23.00,5210495.00
2007-03-27,2.55,2.55,2.55,2.55,96000.00,5.00,244800.00
2007-03-28,2.67,2.67,2.66,2.67,338008.00,14.00,902231.25
2007-03-29,2.80,2.80,2.80,2.80,735000.00,7.00,2058000.00
2007-03-30,2.81,2.94,2.81,2.94,735500.00,20.00,2122755.00
2007-04-03,3.08,3.08,3.08,3.08,800000.00,11.00,2464000.00
2007-04-04,3.23,3.23,3.23,3.23,413000.00,3.00,1333990.00
2007-04-05,3.39,3.39,3.39,3.39,655000.00,14.00,2220450.00
2007-04-06,4.10,4.30,4.10,4.12,354829.00,20.00,1488261.12
2007-04-10,3.55,3.55,3.55,3.55,406700.00,8.00,1443785.00
2007-04-11,3.72,3.72,3.72,3.72,367591.00,19.00,1367438.50
2007-04-16,3.90,3.90,3.90,3.90,764300.00,11.00,2980770.00
2007-04-17,4.09,4.09,4.09,4.09,613000.00,11.00,2507170.00
2007-04-18,4.29,4.29,4.29,4.29,42500.00,4.00,182325.00
2007-04-19,4.50,4.50,4.50,4.50,176000.00,7.00,792000.00
2007-04-23,4.72,4.72,4.50,4.52,1715190.00,53.00,8077928.50
2007-04-24,4.52,4.74,4.30,4.74,3465711.00,52.00,15306509.00
2007-04-25,4.97,4.97,4.75,4.97,4249246.00,46.00,20898580.00
2007-04-26,5.00,5.00,4.73,4.73,871055.00,44.00,4294630.00
2007-04-27,4.50,4.50,4.50,4.50,472786.00,31.00,2127537.00
2007-04-30,4.48,4.48,4.28,4.28,223172.00,13.00,967586.19
2007-05-02,4.07,4.07,4.07,4.07,347506.00,25.00,1414349.38
2007-05-03,4.07,4.10,3.90,3.90,599807.00,35.00,2389672.25
2007-05-04,4.05,4.05,3.71,3.71,1454233.00,31.00,5562048.00
