Date,Open,High,Low,Close,Volume,Trades,Value
2007-03-13,0.59,0.59,0.59,0.59,10000.00,2.00,5900.00
2007-03-16,0.59,0.59,0.59,0.59,1000.00,1.00,590.00
2007-03-20,0.59,0.59,0.59,0.59,1000.00,1.00,590.00
2007-03-21,0.59,0.59,0.59,0.59,11564.00,3.00,6822.76
2007-04-23,0.59,0.59,0.59,0.59,500.00,1.00,295.00
2007-06-28,0.59,0.59,0.59,0.59,2100.00,1.00,1239.00
2007-07-26,0.57,0.57,0.57,0.57,4200.00,1.00,2394.00
2007-09-05,0.57,0.57,0.57,0.57,1300.00,2.00,741.00
2007-09-07,0.57,0.57,0.57,0.57,2000.00,1.00,1140.00
2007-09-10,0.59,0.59,0.59,0.59,15130.00,3.00,8926.70
2007-09-11,0.59,0.59,0.59,0.59,11557.00,1.00,6818.63
2007-09-13,0.59,0.59,0.59,0.59,500.00,1.00,295.00
2007-09-17,0.59,0.59,0.59,0.59,14000.00,2.00,8260.00
2007-10-17,0.57,0.57,0.57,0.57,600.00,1.00,342.00
2007-10-18,0.57,0.57,0.57,0.57,2200.00,3.00,1254.00
2007-10-19,0.57,0.57,0.57,0.57,11400.00,2.00,6498.00
2007-11-19,0.57,0.57,0.57,0.57,11500.00,2.00,6555.00
2007-12-06,0.59,0.59,0.59,0.59,560.00,1.00,330.40
2007-12-14,0.59,0.59,0.59,0.59,1600.00,1.00,944.00
2008-02-14,0.61,0.61,0.61,0.61,35600.00,3.00,21716.00
2008-02-15,0.58,0.63,0.58,0.63,51700.00,4.00,30146.00
2008-02-18,0.63,0.66,0.63,0.66,28900.00,5.00,19062.00
2008-02-19,0.66,0.66,0.66,0.66,1200.00,1.00,792.00
2008-02-20,0.69,0.69,0.69,0.69,15100.00,2.00,10419.00
2008-02-22,0.72,0.72,0.72,0.72,1500.00,1.00,1080.00
2008-02-25,0.75,0.75,0.75,0.75,21600.00,3.00,16200.00
2008-02-27,0.78,0.78,0.78,0.78,11860.00,3.00,9250.80
2008-02-28,0.81,0.81,0.78,0.78,10500.00,2.00,8205.00
2008-02-29,0.81,0.81,0.81,0.81,640.00,2.00,518.40
2008-03-04,0.85,0.85,0.85,0.85,20015.00,2.00,17012.75
2008-03-05,0.89,0.89,0.89,0.89,118000.00,10.00,105020.00
2008-03-06,0.93,0.93,0.93,0.93,21011.00,3.00,19540.23
2008-03-07,0.93,0.93,0.93,0.93,10000.00,1.00,9300.00
2008-03-10,0.93,0.93,0.93,0.93,2000.00,1.00,1860.00
2008-03-11,1.01,1.01,1.01,1.01,15550.00,4.00,15705.50
2008-03-12,1.06,1.06,1.06,1.06,26800.00,7.00,28408.00
2008-03-13,1.11,1.11,1.11,1.11,15000.00,4.00,16650.00
2008-03-14,1.16,1.16,1.16,1.16,71600.00,7.00,83056.00
2008-03-17,1.21,1.21,1.21,1.21,16000.00,1.00,19360.00
2008-03-18,1.27,1.27,1.27,1.27,16400.00,2.00,20828.00
2008-03-20,1.27,1.33,1.27,1.33,15500.00,2.00,20225.00
2008-03-25,1.39,1.39,1.39,1.39,79200.00,4.00,110088.00
2008-03-26,1.39,1.45,1.39,1.45,3060.00,2.00,4293.00
2008-03-27,1.52,1.52,1.52,1.52,139311.00,8.00,211752.72
2008-03-28,1.59,1.59,1.59,1.59,116400.00,11.00,185076.00
2008-03-31,1.66,1.66,1.66,1.66,20000.00,1.00,33200.00
2008-04-01,1.74,1.74,1.74,1.74,27500.00,3.00,47850.00
2008-04-02,1.74,1.74,1.74,1.74,1800.00,2.00,3132.00
2008-04-03,1.82,1.82,1.82,1.82,72500.00,8.00,131950.00
2008-04-04,1.82,1.82,1.82,1.82,5150.00,1.00,9373.00
2008-04-07,1.91,1.91,1.91,1.91,21200.00,3.00,40492.00
2008-04-08,2.00,2.00,2.00,2.00,15000.00,2.00,30000.00
2008-04-09,2.10,2.10,2.10,2.10,52400.00,7.00,110040.00
2008-04-10,2.10,2.10,2.10,2.10,5000.00,1.00,10500.00
2008-04-11,2.20,2.20,2.20,2.20,140900.00,7.00,309980.00
2008-04-14,2.31,2.31,2.20,2.20,3340.00,3.00,7671.40
2008-04-15,2.31,2.31,2.31,2.31,90000.00,6.00,207900.00
2008-04-16,2.31,2.31,2.31,2.31,90000.00,6.00,207900.00
2008-04-17,2.54,2.54,2.54,2.54,30000.00,1.00,76200.00
2008-04-18,2.66,2.66,2.66,2.66,30000.00,2.00,79800.00
2008-04-21,2.66,2.66,2.66,2.66,7200.00,1.00,19152.00
2008-04-22,2.79,2.79,2.79,2.79,31000.00,3.00,86490.00
2008-04-23,2.92,2.92,2.92,2.92,24200.00,3.00,70664.00
2008-04-23,2.92,2.92,2.92,2.92,24200.00,3.00,70664.00
2008-04-24,3.06,3.06,3.06,3.06,40000.00,3.00,122400.00
2008-04-25,3.21,3.21,3.21,3.21,38000.00,6.00,121980.00
2008-04-28,3.37,3.37,3.21,3.21,62400.00,5.00,205488.00
2008-04-29,3.22,3.37,3.22,3.37,246200.00,27.00,820664.00
2008-04-30,3.51,3.53,3.21,3.53,604520.00,34.00,2082008.50
2008-05-02,3.53,3.70,3.53,3.70,106200.00,17.00,391120.00
2008-05-05,3.88,3.88,3.88,3.88,105650.00,14.00,409922.00
2008-05-06,4.07,4.07,4.07,4.07,102923.00,11.00,418896.62
2008-05-07,4.27,4.27,4.27,4.27,118800.00,15.00,507276.00
2008-05-08,4.48,4.48,4.48,4.48,246700.00,31.00,1105216.00
2008-05-09,4.70,4.70,4.70,4.70,275000.00,21.00,1292500.00
2008-05-12,4.70,4.93,4.70,4.93,106400.00,14.00,524322.00
2008-05-13,5.17,5.17,5.17,5.17,397595.00,13.00,2055566.12
2008-05-14,5.42,5.42,5.17,5.17,67130.00,5.00,360094.59
2008-05-15,5.17,5.17,5.17,5.17,11200.00,1.00,57904.00
2008-05-16,5.42,5.42,5.17,5.17,26900.00,6.00,145298.00
2008-05-19,5.42,5.42,5.17,5.17,29889.00,4.00,160748.38
2008-05-20,5.42,5.42,5.17,5.42,62686.00,6.00,339483.12
2008-05-21,5.17,5.17,5.17,5.17,15000.00,2.00,77550.00
2008-05-22,5.42,5.42,5.17,5.17,37111.00,9.00,198641.62
2008-05-23,5.17,5.17,5.17,5.17,5000.00,3.00,25850.00
2008-05-26,5.42,5.42,5.17,5.17,36940.00,13.00,197726.30
2008-05-27,5.42,5.42,4.92,4.92,123216.00,18.00,648476.75
2008-05-28,4.92,4.92,4.92,4.92,8000.00,3.00,39360.00
2008-05-30,4.90,4.92,4.90,4.92,33592.00,5.00,164900.80
2008-06-02,5.00,5.00,5.00,5.00,31658.00,4.00,158290.00
2008-06-03,5.16,5.16,4.68,4.68,85454.00,7.00,403182.62
2008-06-03,5.16,5.16,4.68,4.68,85454.00,7.00,403182.62
2008-06-04,4.68,5.00,4.68,4.92,74255.00,13.00,360972.28
2008-06-05,4.68,4.68,4.68,4.68,15402.00,4.00,72081.36
2008-06-09,4.93,4.93,4.93,4.92,27697.00,3.00,136546.20
2008-06-10,4.93,4.93,4.92,4.92,9000.00,3.00,44310.00
2008-06-11,4.92,4.92,4.92,4.92,49901.00,13.00,245512.92
2008-06-12,4.92,4.92,4.92,4.92,55674.00,9.00,273916.09
2008-06-16,4.92,4.92,4.92,4.92,3000.00,3.00,14760.00
2008-06-19,4.92,4.92,4.92,4.92,750.00,1.00,3690.00
