Date,Close,Open
2003-04-22,1.06,1.06
2003-05-05,1.06,1.06
2003-05-15,1.06,1.06
2003-06-24,1.06,1.06
2003-07-23,1.06,1.06
2003-08-12,1.06,1.06
2003-08-28,1.06,1.06
2003-08-29,1.06,1.06
2003-09-08,1.06,1.06
2003-09-16,1.06,1.06
2003-11-06,1.06,1.06
2003-11-27,1.06,1.06
2003-11-28,1.01,1.01
2003-12-05,1.01,1.01
2003-12-31,1.01,1.01
2004-01-26,1.01,1.01
2004-01-28,1.01,1.01
2004-04-21,1.01,1.01
2004-04-22,1.01,1.01
2004-05-06,1.01,1.01
2004-06-29,1.01,1.01
2005-03-22,1.01,1.01
2005-07-19,1.01,1.01
2005-08-03,1.01,1.01
2005-08-15,1.01,1.01
2005-08-26,1.01,1.01
2005-12-21,1.01,1.01
2006-02-15,1.01,1.01
2006-06-26,1.01,1.01
2006-06-28,1.01,1.01
2006-07-03,1.01,1.01
2007-02-28,1.01,1.01
2007-07-30,1.01,1.01
2007-08-03,1.01,1.01
2007-08-08,1.01,1.01
2007-09-07,1.01,1.01
2007-09-20,1.01,1.01
2007-10-02,1.01,1.01
2007-11-30,1.01,0.97
2008-01-18,1.06,1.06
2008-01-22,1.11,1.11
2008-01-23,1.16,1.16
2008-01-29,1.21,1.21
2008-01-31,1.27,1.27
2008-02-08,1.27,1.29
2008-02-20,1.27,1.27
2008-02-22,1.33,1.33
2008-02-27,1.39,1.39
2008-03-03,1.45,1.45
2008-03-04,1.52,1.52
2008-03-05,1.59,1.59
2008-03-06,1.66,1.66
2008-03-07,1.74,1.74
2008-03-10,1.82,1.82
2008-03-11,1.91,1.91
2008-03-12,2,2
2008-03-13,2.1,2.1
2008-03-14,2.2,2.2
2008-03-17,2.31,2.31
2008-03-18,2.42,2.42
2008-03-20,2.54,2.54
2008-03-25,2.66,2.66
2008-03-26,2.79,2.79
2008-03-27,2.92,2.92
2008-03-28,3.06,3.06
2008-03-31,3.21,3.21
2008-04-01,3.37,3.37
2008-04-02,3.53,3.53
2008-04-03,3.7,3.7
2008-04-04,3.88,3.88
2008-04-07,4.07,4.07
2008-04-08,4.27,4.27
2008-04-09,4.48,4.48
2008-04-10,4.7,4.7
2008-04-11,4.93,4.93
2008-04-14,5.17,5.17
2008-04-15,5.42,5.42
2008-04-16,5.69,5.69
2008-04-17,5.97,5.97
2008-04-18,6.26,6.26
2008-04-21,6.57,6.57
2008-04-22,6.89,6.89
2008-04-23,6.55,7
2008-04-24,6.23,6.23
2008-04-25,5.92,5.92
2008-04-28,5.63,5.66
2008-04-29,5.63,5.44
2008-04-30,5.35,5.35
2008-05-02,5.34,5.17
2008-05-05,5.34,5.09
2008-05-06,5.08,5.18
2008-05-07,5.34,5.17
2008-05-08,5.08,5.1
2008-05-09,4.83,4.83
2008-05-12,4.83,4.83
2008-05-13,4.83,4.83
2008-05-14,4.59,4.59
2008-05-15,4.59,4.43
2008-05-16,4.59,4.59
2008-05-19,4.59,4.45
2008-05-20,4.59,4.52
2008-05-21,4.59,4.59
2008-05-22,4.59,4.78
2008-05-23,4.59,4.59
2008-05-26,4.59,4.59
2008-05-27,4.39,4.4
2008-05-28,4.39,4.53
2008-05-30,4.3,4.3
2008-06-03,4.39,4.39
2008-06-05,4.39,4.39
2008-06-10,4.39,4.39
2008-06-12,4.39,4.39
2008-06-13,4.39,4.39
2008-06-16,4.18,4.18
2008-06-19,3.98,3.98
2008-06-20,3.98,3.98
2008-06-23,3.98,3.98
2008-06-24,3.98,3.98
2008-07-10,3.98,3.98
2008-07-16,3.98,3.98
2008-07-22,3.98,3.98
2008-07-25,3.79,3.79
2008-07-31,3.79,3.79
2008-08-04,3.79,3.79
2008-08-05,3.79,3.79
2008-08-06,3.79,3.79
2008-08-08,3.79,3.79
2008-09-04,3.95,3.95
