Date,Open,High,Low,Close,Volume,Trades,Value
2013-01-16,1.83,1.83,1.67,1.68,8791624.00,93.00,15325001.00
2013-01-17,1.64,1.64,1.60,1.60,3107255.00,77.00,5001955.50
2013-01-18,1.52,1.52,1.52,1.52,4521039.00,79.00,6872197.00
2013-01-21,1.51,1.51,1.45,1.45,9090362.00,77.00,13507093.00
2013-01-22,1.38,1.38,1.38,1.38,4038255.00,109.00,5573565.50
2013-01-23,1.33,1.38,1.32,1.33,2431847.00,69.00,3234474.50
2013-01-25,1.30,1.30,1.28,1.28,3607051.00,71.00,4685177.00
2013-01-28,1.28,1.34,1.28,1.33,1968724.00,68.00,2591565.50
2013-01-29,1.35,1.39,1.35,1.39,3114205.00,75.00,4320273.00
2013-01-30,1.40,1.43,1.35,1.43,1905959.00,67.00,2644954.00
2013-01-31,1.50,1.50,1.44,1.45,4006036.00,103.00,5889795.50
2013-02-01,1.51,1.52,1.46,1.52,3217338.00,61.00,4818552.50
2013-02-04,1.59,1.59,1.59,1.59,1953133.00,33.00,3104607.00
2013-02-05,1.66,1.66,1.66,1.66,1713098.00,54.00,2843742.75
2013-02-06,1.74,1.74,1.74,1.74,510433.00,46.00,888153.44
2013-02-07,1.82,1.82,1.82,1.82,1491438.00,46.00,2714417.25
2013-02-08,1.91,1.91,1.88,1.91,16121367.00,125.00,30779566.00
2013-02-12,2.10,2.10,2.10,2.10,6723636.00,49.00,14119636.00
2013-02-13,2.20,2.20,2.01,2.01,16654139.00,155.00,36337748.00
2013-02-14,1.91,1.95,1.91,1.95,4074478.00,108.00,7799041.50
2013-02-15,1.86,1.90,1.86,1.86,1415457.00,61.00,2641117.25
2013-02-18,1.77,1.77,1.77,1.77,1931964.00,56.00,3426032.50
2013-02-19,1.70,1.70,1.69,1.69,1158237.00,51.00,1959449.38
2013-02-19,1.70,1.70,1.69,1.69,1158237.00,51.00,1959449.38
2013-02-25,1.85,2.00,1.85,2.00,991333.00,80.00,1860955.50
2013-02-26,2.00,2.00,1.98,2.00,1745059.00,80.00,3471596.50
2013-02-27,2.00,2.00,1.94,1.94,2794668.00,94.00,5460700.50
2013-02-28,1.90,1.90,1.85,1.90,453336.00,48.00,850791.94
2013-03-01,1.90,1.90,1.90,1.90,143995.00,35.00,271591.19
