Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-05,1.86,1.86,1.77,1.77,115000.00,2.00,212550.00
2007-01-08,1.80,1.80,1.80,1.80,20000.00,1.00,36000.00
2007-01-09,1.71,1.71,1.71,1.71,29198.00,3.00,49928.58
2007-01-10,1.70,1.70,1.63,1.70,185200.00,7.00,307840.00
2007-01-11,1.75,1.75,1.62,1.75,210000.00,5.00,354580.00
2007-01-12,1.75,1.75,1.75,1.75,300.00,1.00,525.00
2007-01-15,1.71,1.71,1.67,1.67,227700.00,4.00,384367.00
2007-01-16,1.67,1.67,1.59,1.59,363000.00,10.00,586670.00
2007-01-17,1.59,1.66,1.59,1.66,177000.00,5.00,288232.75
2007-01-18,1.70,1.74,1.58,1.74,407054.00,15.00,679943.62
2007-01-19,1.66,1.81,1.66,1.81,85836.00,5.00,142963.16
2007-01-22,1.81,1.81,1.81,1.81,96111.00,3.00,173960.91
2007-01-23,1.72,1.79,1.72,1.75,106354.00,14.00,186208.27
2007-01-24,1.75,1.83,1.67,1.67,313190.00,10.00,535347.69
2007-01-26,1.67,1.75,1.67,1.75,253988.00,6.00,443868.28
2007-01-26,1.67,1.75,1.67,1.75,253988.00,6.00,443868.28
2007-01-30,1.80,1.83,1.77,1.83,124000.00,8.00,223020.00
2007-01-31,1.92,1.92,1.92,1.92,56840.00,9.00,109132.80
2007-02-02,2.11,2.11,2.11,2.11,50801.00,2.00,107190.11
2007-02-05,2.21,2.21,2.21,2.21,184000.00,14.00,406640.00
2007-02-06,2.21,2.21,2.21,2.21,5000.00,1.00,11050.00
2007-02-07,2.32,2.32,2.32,2.32,406725.00,8.00,943602.00
2007-02-08,2.43,2.43,2.43,2.43,1083035.00,11.00,2631775.00
2007-02-09,2.55,2.55,2.31,2.55,474625.00,26.00,1180447.12
2007-02-12,2.67,2.67,2.67,2.67,161672.00,7.00,431664.25
2007-02-13,2.80,2.80,2.74,2.80,574450.00,19.00,1608439.75
2007-02-14,2.94,2.94,2.94,2.94,10925.00,7.00,32119.50
2007-02-15,2.94,2.94,2.94,2.94,11497.00,2.00,33801.18
2007-02-16,3.08,3.08,3.08,3.08,642435.00,31.00,1978699.75
2007-02-16,3.08,3.08,3.08,3.08,642435.00,31.00,1978699.75
2007-02-19,3.22,3.23,3.22,3.23,391918.00,18.00,1264895.12
2007-02-20,3.39,3.39,3.39,3.39,959298.00,35.00,3252020.25
2007-02-21,3.55,3.55,3.55,3.55,327948.00,18.00,1164215.38
2007-02-22,3.72,3.72,3.72,3.72,141354.00,11.00,525836.88
2007-02-23,3.90,3.90,3.90,3.90,387683.00,14.00,1511963.75
2007-02-26,4.09,4.09,4.09,4.09,245300.00,7.00,1003277.00
