Date,Close,Open
2007-07-25,4.2,4.2
2007-07-26,4.41,4.41
2007-07-27,4.63,4.63
2007-07-30,4.86,4.86
2007-07-31,5.1,5
2007-08-01,5.35,5.35
2007-08-02,5.61,5.61
2007-08-03,5.89,5.89
2007-08-06,6.18,6.18
2007-08-07,6.48,6.48
2007-08-08,6.8,6.8
2007-08-09,7.14,7.14
2007-08-10,7.49,7.49
2007-08-13,7.86,7.86
2007-08-14,8.25,8.25
2007-08-15,8.66,8.66
2007-08-16,9.09,9.09
2007-08-17,9.54,9.54
2007-08-20,10.01,10.01
2007-08-21,10.51,10.51
2007-08-22,11.03,11.03
2007-08-23,11.58,11.58
2007-08-24,12.15,12.15
2007-08-27,12.1,12.1
2007-08-28,12.7,12.7
2007-08-29,13.33,13.33
2007-08-30,13.99,13.99
2007-08-31,14.68,14.68
2007-09-03,15.41,15.41
2007-09-04,16.18,16.18
2007-09-05,16.98,16.98
2007-09-06,17.82,17.82
2007-09-07,18.71,18.71
2007-09-10,19.64,19.64
2007-09-11,20.62,20.62
2007-09-12,21.65,21.44
2007-09-13,22.72,22.41
2007-09-14,23.85,23.85
2007-09-17,25.04,25.04
2007-09-18,26.29,26.23
2007-09-19,27.6,27.3
2007-09-20,28.51,28.58
2007-09-21,27.09,27.36
2007-09-24,25.74,25.74
2007-09-25,24.46,24.46
2007-09-26,23.24,23.24
2007-09-27,22.08,22.08
2007-09-28,20.98,21.06
2007-10-02,19.94,19.95
2007-10-03,18.95,18.96
2007-10-04,18.39,18.29
2007-10-05,18.45,17.78
2007-10-08,18.5,18.39
2007-10-09,17.58,17.62
2007-10-10,16.71,16.71
2007-10-15,15.88,15.91
2007-10-16,15.09,15.09
2007-10-17,14.34,14.34
2007-10-18,13.99,13.64
2007-10-19,13.35,13.55
2007-10-22,13.02,13.88
2007-10-23,13.65,13.64
2007-10-24,13.75,14.1
2007-10-25,13.75,14.3
2007-10-26,14,13.81
2007-10-29,14.05,14.12
2007-10-30,14.1,14.49
2007-10-31,14.8,14.5
2007-11-01,15.54,15.51
2007-11-02,16.2,16.29
