Date,Open,High,Low,Close,Volume,Trades,Value
2007-03-14,1.78,1.78,1.78,1.78,29490.00,1.00,52492.20
2007-03-15,1.86,1.86,1.86,1.86,24550.00,1.00,45663.00
2007-03-19,1.86,1.86,1.86,1.86,10.00,1.00,18.60
2007-04-26,1.86,1.86,1.86,1.86,120.00,1.00,223.20
2007-04-30,1.86,1.86,1.86,1.86,2250.00,1.00,4185.00
2007-05-03,1.86,1.86,1.86,1.86,1500.00,1.00,2790.00
2007-06-05,1.95,1.95,1.95,1.95,5000.00,1.00,9750.00
2007-07-16,1.95,1.95,1.95,1.95,500.00,1.00,975.00
2007-07-18,1.95,1.95,1.95,1.95,375.00,1.00,731.25
2007-08-03,1.96,1.96,1.95,1.95,100.00,10.00,195.90
2007-08-06,1.95,1.95,1.95,1.95,100.00,10.00,195.00
2007-09-12,1.95,1.95,1.90,1.90,2100.00,3.00,4020.00
2007-09-13,1.99,1.99,1.99,1.99,22000.00,2.00,43780.00
2007-09-19,1.99,1.99,1.99,1.99,10.00,1.00,19.90
2007-09-24,2.08,2.08,2.08,2.08,15000.00,1.00,31200.00
2007-09-28,2.28,2.28,2.28,2.28,15000.00,1.00,34200.00
2007-10-03,2.39,2.39,2.39,2.39,15000.00,1.00,35850.00
2007-10-08,2.50,2.50,2.50,2.50,15000.00,1.00,37500.00
2007-10-09,2.50,2.62,2.50,2.62,8000.00,3.00,20360.00
2007-10-10,2.75,2.75,2.75,2.75,15000.00,1.00,41250.00
2007-10-16,2.88,2.88,2.88,2.88,15000.00,1.00,43200.00
2007-10-17,2.88,2.88,2.88,2.88,8000.00,1.00,23040.00
2007-11-12,2.88,2.88,2.88,2.88,62.00,1.00,178.56
2007-11-16,2.88,2.88,2.88,2.88,400.00,1.00,1152.00
2008-01-31,2.88,2.88,2.88,2.88,30.00,1.00,86.40
2008-02-01,3.02,3.02,3.02,3.02,250000.00,2.00,755000.00
2008-02-04,3.17,3.17,3.17,3.17,250000.00,3.00,792500.00
2008-02-05,3.32,3.32,3.32,3.32,250000.00,4.00,830000.00
2008-02-06,3.48,3.48,3.48,3.48,350000.00,1.00,1218000.00
2008-02-07,3.65,3.65,3.65,3.65,250000.00,1.00,912500.00
2008-02-08,3.83,3.83,3.83,3.83,200000.00,3.00,766000.00
2008-02-11,4.02,4.02,4.02,4.02,15000.00,2.00,60300.00
2008-02-12,4.22,4.22,4.22,4.22,15000.00,1.00,63300.00
2008-02-13,4.43,4.43,4.43,4.43,15000.00,2.00,66450.00
2008-02-14,4.65,4.65,4.65,4.65,15000.00,2.00,69750.00
2008-02-15,4.88,4.88,4.88,4.88,210000.00,3.00,1024800.00
2008-02-18,5.12,5.12,5.12,5.12,15000.00,2.00,76800.00
2008-02-19,5.37,5.37,5.37,5.37,15000.00,1.00,80550.00
