Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,54.50,57.75,54.50,56.12,560861.00,82.00,31896282.00
2007-01-05,56.97,58.92,56.20,58.90,945263.00,79.00,55172280.00
2007-01-08,58.02,61.80,57.00,61.80,560765.00,112.00,32748600.00
2007-01-09,61.91,64.89,61.91,64.82,845075.00,109.00,54172364.00
2007-01-10,64.83,68.06,64.83,67.99,2642985.00,197.00,177579584.00
2007-01-11,67.02,68.00,67.00,68.00,1790311.00,166.00,120953184.00
2007-01-12,67.99,67.99,64.60,64.62,1862986.00,142.00,121752288.00
2007-01-15,64.95,64.95,61.39,61.50,1323421.00,144.00,84063120.00
2007-01-16,61.52,64.00,61.52,64.00,852573.00,83.00,53756416.00
2007-01-17,64.00,64.85,63.50,64.00,1258476.00,134.00,80538472.00
2007-01-18,64.02,67.00,64.02,67.00,1249071.00,143.00,81810528.00
2007-01-19,68.00,69.50,65.01,65.05,1827347.00,179.00,123495008.00
2007-01-22,67.02,68.30,66.03,67.00,1474582.00,187.00,98871936.00
2007-01-23,67.12,70.34,67.12,70.10,1056566.00,167.00,73673712.00
2007-01-24,70.10,71.49,66.80,66.90,1769349.00,186.00,122928240.00
2007-01-26,66.16,67.50,65.00,65.00,1956312.00,164.00,127894600.00
2007-01-26,66.16,67.50,65.00,65.00,1956312.00,164.00,127894600.00
2007-01-30,66.61,68.20,66.60,68.00,760883.00,148.00,51238640.00
2007-01-31,70.00,71.00,70.00,70.98,1163167.00,107.00,82170744.00
2007-02-02,75.65,75.65,74.00,74.95,1482913.00,163.00,111801160.00
2007-02-05,74.95,76.00,73.50,74.00,1030388.00,132.00,76556648.00
2007-02-06,74.00,77.65,74.00,74.50,1072888.00,142.00,82308600.00
2007-02-07,74.50,75.50,70.78,73.50,3454027.00,163.00,248435072.00
2007-02-08,73.50,75.00,70.00,70.00,3168792.00,211.00,230774672.00
2007-02-09,70.00,70.00,66.50,66.62,602118.00,98.00,41661060.00
2007-02-12,68.00,69.90,67.05,68.51,417367.00,108.00,28528032.00
2007-02-13,70.00,71.93,70.00,71.93,528797.00,97.00,37970084.00
2007-02-14,75.52,75.52,75.00,75.00,1290015.00,115.00,97326536.00
2007-02-15,78.00,78.75,72.02,77.00,1988719.00,183.00,150625904.00
2007-02-16,77.00,79.00,73.15,75.99,4429556.00,130.00,331052416.00
2007-02-16,77.00,79.00,73.15,75.99,4429556.00,130.00,331052416.00
2007-02-19,75.99,77.50,74.00,76.95,595964.00,151.00,45082812.00
2007-02-20,76.95,77.40,75.00,76.11,597506.00,130.00,45860492.00
2007-02-21,76.11,76.99,74.70,76.00,1454492.00,156.00,110517696.00
2007-02-22,72.20,72.20,72.20,72.20,386376.00,49.00,27896348.00
2007-02-23,68.59,68.59,68.59,68.59,191281.00,54.00,13119964.00
2007-02-26,65.17,65.17,65.17,65.17,462349.00,107.00,30131284.00
2007-02-27,61.92,65.00,61.92,65.00,1201316.00,178.00,75615992.00
2007-02-28,65.22,68.25,65.20,68.25,659764.00,98.00,44377800.00
2007-03-01,71.66,71.66,71.66,71.66,80374.00,53.00,5759601.00
2007-03-02,75.24,75.24,71.66,75.00,1971622.00,151.00,145330528.00
2007-03-05,78.75,78.75,77.00,77.55,1153970.00,151.00,89968912.00
2007-03-06,77.80,78.00,73.68,73.68,1124105.00,152.00,85852896.00
2007-03-07,74.00,75.00,70.00,70.00,1647672.00,191.00,118830504.00
2007-03-08,70.00,70.50,68.00,68.50,1175720.00,122.00,81692792.00
2007-03-09,68.50,71.92,68.50,71.89,967771.00,119.00,68565984.00
2007-03-12,71.88,73.00,71.00,71.00,356488.00,99.00,25619474.00
2007-03-13,71.00,71.99,71.00,71.10,586726.00,99.00,41793908.00
2007-03-14,71.20,74.65,71.20,74.65,1713815.00,114.00,125447760.00
2007-03-15,75.02,77.00,72.00,72.00,1305328.00,132.00,97593968.00
2007-03-16,72.00,75.20,72.00,74.98,600695.00,77.00,44101380.00
2007-03-19,75.02,75.02,71.25,73.00,227358.00,71.00,16825730.00
2007-03-20,73.00,73.00,72.00,72.99,514786.00,123.00,37356852.00
2007-03-21,72.00,72.99,70.00,72.99,396788.00,111.00,28369418.00
2007-03-22,72.40,72.99,70.00,71.00,317795.00,88.00,22571442.00
2007-03-23,71.01,73.00,71.00,72.50,823473.00,93.00,59180868.00
2007-03-26,73.40,73.40,71.50,71.50,308170.00,82.00,22448934.00
2007-03-27,71.50,72.00,70.50,71.65,526107.00,84.00,37592532.00
2007-03-28,71.65,71.65,70.90,71.00,1344196.00,107.00,95997416.00
2007-03-29,71.00,72.00,69.71,72.00,211858.00,82.00,14952200.00
2007-03-30,71.00,72.90,70.80,70.80,985311.00,108.00,70674528.00
2007-04-03,70.80,72.50,70.01,70.90,583379.00,145.00,41401908.00
2007-04-04,70.91,74.00,70.91,72.30,585848.00,99.00,42430072.00
2007-04-05,74.00,75.00,72.50,72.60,527277.00,85.00,38860844.00
2007-04-06,76.00,82.83,74.99,76.99,3099288.00,114.00,241431808.00
2007-04-10,75.00,75.00,71.00,73.99,1219614.00,127.00,88050504.00
2007-04-11,72.01,73.99,71.03,73.99,455518.00,110.00,33301738.00
2007-04-16,73.99,73.99,71.01,72.00,169733.00,78.00,12239178.00
2007-04-17,72.04,75.00,72.03,73.30,565433.00,97.00,41200796.00
2007-04-18,73.30,75.00,70.10,75.00,371391.00,129.00,27443494.00
2007-04-19,75.00,77.80,72.00,76.05,1301901.00,110.00,96383592.00
2007-04-23,76.00,78.00,75.10,77.98,1103177.00,119.00,85125728.00
2007-04-24,77.98,77.98,74.09,75.51,885375.00,101.00,67485792.00
2007-04-25,77.00,77.00,71.74,74.00,431603.00,81.00,32888856.00
2007-04-26,74.00,74.00,70.32,71.99,338065.00,82.00,24417050.00
2007-04-27,71.99,72.00,68.40,68.40,403094.00,70.00,28210822.00
2007-04-30,65.00,68.00,65.00,66.00,761907.00,83.00,50106128.00
