Date,Open,High,Low,Close,Volume,Trades,Value
2008-04-25,3.67,3.67,3.67,3.67,48930000.00,430.00,179573104.00
2008-04-28,3.85,3.85,3.85,3.85,29408000.00,61.00,113220800.00
2008-04-29,4.04,4.04,4.04,4.04,13254300.00,56.00,53547372.00
2008-04-30,4.24,4.24,4.24,4.24,2855600.00,25.00,12107744.00
2008-05-02,4.45,4.45,4.45,4.45,2701180.00,33.00,12020251.00
2008-05-05,4.67,4.67,4.67,4.67,938532.00,25.00,4382944.50
2008-05-06,4.90,4.90,4.90,4.90,560591.00,20.00,2746896.00
2008-05-07,5.14,5.14,5.14,5.14,1676141.00,31.00,8615365.00
2008-05-08,5.39,5.39,5.39,5.39,827400.00,18.00,4459686.00
2008-05-09,5.65,5.65,5.65,5.65,3614005.00,30.00,20419128.00
2008-05-12,5.65,5.90,5.37,5.87,28937596.00,418.00,160077216.00
2008-05-13,5.58,6.16,5.58,6.16,13853098.00,248.00,81906200.00
2008-05-14,6.22,6.46,6.05,6.46,12421999.00,173.00,79369408.00
2008-05-15,6.46,6.60,6.31,6.59,3724914.00,164.00,24001532.00
2008-05-16,6.35,6.90,6.27,6.60,29206296.00,202.00,186854080.00
2008-05-19,6.85,6.93,6.40,6.56,4846258.00,86.00,32183704.00
2008-05-20,6.75,6.85,6.24,6.85,11625545.00,159.00,78848520.00
2008-05-21,7.05,7.20,6.54,7.20,19883528.00,101.00,140366336.00
2008-05-22,7.20,7.56,7.20,7.56,1512430.00,70.00,11094415.00
2008-05-23,7.93,7.93,7.25,7.50,2178425.00,85.00,16318412.00
2008-05-26,7.60,7.86,7.50,7.50,739037.00,76.00,5616232.50
2008-05-27,7.50,7.51,7.13,7.15,536876.00,58.00,3912490.00
2008-05-28,7.15,7.49,6.90,7.00,1480244.00,47.00,10393082.00
2008-05-30,7.29,7.29,6.65,6.65,371153.00,42.00,2575269.00
2008-06-02,6.50,6.98,6.32,6.98,2421249.00,68.00,15907438.00
2008-06-03,6.70,6.98,6.64,6.64,1419118.00,31.00,9442454.00
2008-06-04,6.31,6.31,6.31,6.31,289257.00,32.00,1825211.62
2008-06-05,6.00,6.00,6.00,6.00,1055195.00,25.00,6331170.00
2008-06-06,5.70,5.70,5.70,5.70,2369607.00,14.00,13506760.00
2008-06-09,5.70,5.70,5.70,5.70,2766609.00,13.00,15769671.00
2008-06-10,5.70,5.70,5.70,5.70,2031000.00,9.00,11576700.00
2008-06-11,5.70,5.70,5.70,5.70,47202880.00,27.00,269056416.00
2008-06-12,5.70,5.70,5.70,5.70,2289442.00,26.00,13049819.00
2008-06-13,5.70,5.70,5.70,5.70,60235040.00,23.00,343339712.00
2008-06-16,5.42,5.42,5.42,5.42,212063.00,9.00,1149381.50
2008-06-17,5.15,5.15,5.15,5.15,111167.00,14.00,572510.06
2008-06-18,4.90,4.90,4.90,4.90,152261.00,11.00,746078.88
2008-06-19,4.66,4.66,4.66,4.66,3283441.00,23.00,15300835.00
2008-06-20,4.43,4.43,4.43,4.43,127436.00,17.00,564541.50
2008-06-23,4.21,4.21,4.21,4.21,1821216.00,17.00,7667319.50
2008-06-24,4.00,4.00,4.00,4.21,42034.00,8.00,168136.00
2008-06-25,4.00,4.00,4.00,4.00,718773.00,17.00,2875092.00
2008-06-26,3.80,3.80,3.80,3.80,158141.00,14.00,600935.81
2008-06-27,3.61,3.98,3.61,3.61,154033872.00,89.00,574917952.00
2008-06-30,3.61,3.79,3.43,3.79,9200566.00,69.00,32449122.00
2008-07-01,3.70,3.97,3.70,3.97,9142444.00,37.00,36294128.00
2008-07-02,4.16,4.16,4.01,4.16,9277603.00,100.00,38577628.00
2008-07-03,4.36,4.36,3.96,4.30,8644353.00,100.00,35866676.00
2008-07-04,4.09,4.26,4.09,4.19,4009368.00,73.00,16460897.00
2008-07-07,4.05,4.05,3.99,4.00,980084.00,48.00,3928408.50
2008-07-08,4.20,4.20,3.80,4.00,2093362.00,62.00,8194097.50
2008-07-09,4.00,4.15,3.80,4.15,31114728.00,97.00,120748336.00
2008-07-10,4.20,4.35,3.95,3.95,30141600.00,66.00,128682232.00
2008-07-11,3.95,4.00,3.76,3.76,1923611.00,40.00,7284169.00
2008-07-14,3.60,3.76,3.58,3.58,1150744.00,40.00,4132975.00
2008-07-15,3.50,3.50,3.41,3.41,1155612.00,16.00,4040313.00
2008-07-16,3.48,3.56,3.24,3.39,59220424.00,59.00,201932288.00
2008-07-17,3.54,3.54,3.23,3.40,1405107.00,41.00,4645829.50
2008-07-18,3.25,3.25,3.23,3.23,1396739.00,14.00,4532180.00
2008-07-21,3.20,3.20,3.07,3.07,2163317.00,41.00,6686327.00
2008-07-22,2.92,3.22,2.92,3.00,60230012.00,79.00,183237904.00
2008-07-23,2.85,3.00,2.85,2.85,1280276.00,29.00,3652853.50
2008-07-24,2.71,2.71,2.71,2.71,999532.00,26.00,2708731.75
2008-07-25,2.71,2.84,2.65,2.84,4229000.00,29.00,11718590.00
2008-07-28,2.98,2.98,2.98,2.98,356000.00,15.00,1060880.00
2008-07-29,3.12,3.12,2.84,3.00,14712689.00,117.00,43950296.00
2008-07-30,3.15,3.15,2.85,2.99,48098320.00,147.00,143818640.00
2008-07-31,3.08,3.11,2.91,3.00,5097406.00,87.00,15331472.00
2008-08-01,3.15,3.15,2.85,3.12,7371977.00,100.00,22115972.00
