Date,Open,High,Low,Close,Volume,Trades,Value
2012-03-01,2.00,2.00,2.00,2.00,10000.00,2.00,20000.00
2012-03-01,2.00,2.00,2.00,2.00,10000.00,2.00,20000.00
2012-03-06,2.00,2.00,2.00,2.00,500000.00,10.00,1000000.00
2012-03-07,2.00,2.00,2.00,2.00,296000.00,9.00,592000.00
2012-03-08,2.00,2.00,2.00,2.00,500000.00,1.00,1000000.00
2012-03-13,2.00,2.00,2.00,2.00,8537333.00,3.00,17074666.00
2012-03-20,2.00,2.00,2.00,2.00,160000.00,4.00,320000.00
2012-03-26,2.00,2.00,2.00,2.00,1500.00,1.00,3000.00
2012-03-30,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-04-03,2.00,2.00,2.00,2.00,5500.00,2.00,11000.00
2012-04-05,2.00,2.00,2.00,2.00,200.00,1.00,400.00
2012-04-10,2.00,2.00,2.00,2.00,51100.00,3.00,102200.00
2012-04-18,2.00,2.00,2.00,2.00,200.00,1.00,400.00
2012-04-20,2.00,2.00,2.00,2.00,1000.00,2.00,2000.00
2012-04-27,2.00,2.00,2.00,2.00,700.00,2.00,1400.00
2012-05-02,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2012-05-11,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-05-22,2.00,2.00,2.00,2.00,450.00,1.00,900.00
2012-05-25,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-06-04,2.00,2.00,2.00,2.00,2100.00,1.00,4410.00
2012-06-06,2.00,2.00,2.00,2.00,100.00,1.00,210.00
2012-06-08,2.00,2.00,2.00,2.00,200.00,2.00,400.00
2012-07-02,2.00,2.00,2.00,2.00,100.00,1.00,200.00
2012-07-06,2.00,2.00,2.00,2.00,200.00,2.00,400.00
2012-07-12,2.00,2.00,2.00,2.00,5000.00,2.00,10000.00
2012-07-12,2.00,2.00,2.00,2.00,5000.00,2.00,10000.00
2012-07-12,2.00,2.00,2.00,2.00,5000.00,2.00,10000.00
2012-07-13,2.00,2.00,2.00,2.00,100.00,1.00,200.00
2012-07-17,2.00,2.00,2.00,2.00,2000.00,1.00,4000.00
2012-07-23,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2012-07-31,2.00,2.00,2.00,2.00,99800.00,1.00,199600.00
2012-08-01,2.00,2.00,2.00,2.00,450.00,1.00,900.00
2012-08-03,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-08-06,2.00,2.00,2.00,2.00,1000.00,2.00,2000.00
2012-08-08,2.00,2.00,2.00,2.00,5595.00,3.00,11190.00
2012-08-13,2.00,2.00,2.00,2.00,450.00,1.00,900.00
2012-08-17,2.00,2.00,2.00,2.00,10000.00,1.00,20000.00
2012-08-24,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2012-08-27,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-08-27,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-08-27,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-09-04,2.00,2.00,2.00,2.00,500.00,1.00,1000.00
2012-09-10,2.00,2.00,2.00,2.00,200.00,1.00,400.00
2012-09-11,2.00,2.00,2.00,2.00,280.00,1.00,560.00
2012-09-12,2.00,2.00,2.00,2.00,42005.00,1.00,84010.00
2012-09-17,2.00,2.00,2.00,2.00,10000.00,1.00,20000.00
2012-10-08,2.00,2.00,2.00,2.00,475.00,1.00,950.00
2012-10-09,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2012-11-07,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2012-11-09,2.00,2.00,2.00,2.00,2000.00,1.00,4000.00
2012-12-19,2.00,2.00,2.00,2.00,350.00,2.00,700.00
2013-01-04,2.00,2.00,2.00,2.00,2000.00,1.00,4000.00
2013-01-08,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2013-01-09,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2013-01-17,2.00,2.00,2.00,2.00,300.00,1.00,600.00
2013-01-22,2.00,2.00,2.00,2.00,4500.00,4.00,9000.00
2013-01-25,2.00,2.00,2.00,2.00,2000.00,1.00,4000.00
2013-01-30,2.00,2.00,2.00,2.00,2000.00,1.00,4000.00
2013-02-01,2.00,2.00,2.00,2.00,1000000.00,1.00,2000000.00
2013-02-06,2.00,2.00,2.00,2.00,1000.00,1.00,2000.00
2013-02-07,2.00,2.00,2.00,2.00,200.00,1.00,400.00
2013-02-12,2.00,2.00,2.00,2.00,15714992.00,1.00,31429984.00
2013-02-13,2.00,2.00,2.00,2.00,600.00,1.00,1200.00
2013-02-18,2.00,2.00,2.00,2.00,685.00,2.00,1370.00
