Date,Close,Open
2003-02-17,0.61,0.61
2003-02-18,0.59,0.59
2003-02-24,0.59,0.59
2003-03-04,0.59,0.59
2003-03-06,0.59,0.59
2003-03-07,0.59,0.59
2003-03-10,0.59,0.59
2003-03-11,0.59,0.59
2003-03-13,0.59,0.59
2003-03-14,0.59,0.59
2003-03-17,0.59,0.59
2003-03-18,0.59,0.59
2003-03-19,0.59,0.59
2003-03-20,0.6,0.6
2003-03-24,0.6,0.6
2003-03-25,0.6,0.6
2003-03-27,0.6,0.6
2003-04-01,0.6,0.6
2003-04-02,0.6,0.6
2003-04-07,0.6,0.6
2003-04-08,0.63,0.63
2003-04-09,0.63,0.63
2003-04-11,0.63,0.63
2003-04-14,0.63,0.63
2003-04-15,0.63,0.63
2003-04-16,0.63,0.63
2003-04-17,0.63,0.63
2003-04-24,0.63,0.63
2003-04-25,0.63,0.63
2003-04-30,0.66,0.66
2003-05-02,0.66,0.66
2003-05-06,0.66,0.66
2003-05-07,0.66,0.66
2003-05-08,0.69,0.69
2003-05-09,0.69,0.69
2003-05-12,0.69,0.69
2003-05-14,0.69,0.69
2003-05-15,0.66,0.69
2003-05-16,0.63,0.63
2003-05-19,0.63,0.63
2003-05-20,0.63,0.63
2003-05-22,0.6,0.6
2003-05-28,0.6,0.6
2003-05-30,0.6,0.6
2003-06-02,0.6,0.6
2003-06-04,0.57,0.57
2003-06-06,0.57,0.57
2003-06-09,0.57,0.56
2003-06-10,0.57,0.57
2003-06-11,0.55,0.56
2003-06-12,0.55,0.55
2003-06-13,0.53,0.53
2003-06-17,0.53,0.53
2003-06-18,0.51,0.52
2003-06-19,0.51,0.51
2003-06-20,0.51,0.51
2003-06-23,0.53,0.51
2003-06-24,0.51,0.51
2003-06-25,0.53,0.51
2003-06-27,0.53,0.52
2003-07-09,0.55,0.54
2003-07-10,0.57,0.56
2003-07-11,0.57,0.57
2003-07-14,0.57,0.57
2003-07-15,0.59,0.59
2003-07-16,0.59,0.59
2003-07-17,0.59,0.59
2003-07-18,0.59,0.59
2003-07-24,0.59,0.59
2003-07-28,0.59,0.59
2003-07-29,0.61,0.61
2003-07-30,0.61,0.61
2003-07-31,0.61,0.62
2003-08-01,0.61,0.61
2003-08-04,0.61,0.61
2003-08-05,0.64,0.64
2003-08-06,0.67,0.67
2003-08-07,0.68,0.68
2003-08-08,0.68,0.68
2003-08-12,0.7,0.69
