Date,Close,Open
2008-04-09,4.09,4.09
2008-04-10,4.29,4.29
2008-04-11,4.5,4.5
2008-04-14,4.72,4.72
2008-04-15,4.95,4.95
2008-04-16,5.19,5.19
2008-04-17,5.44,5.44
2008-04-18,5.71,5.71
2008-04-21,5.99,5.99
2008-04-22,6.28,6.28
2008-04-23,6.59,6.59
2008-04-24,6.91,6.91
2008-04-25,7.25,7.25
2008-04-28,7.61,7.61
2008-04-29,7.99,7.99
2008-04-30,8.38,8.38
2008-05-02,8.79,8.76
2008-05-05,9.22,8.81
2008-05-06,8.99,8.91
2008-05-07,8.55,8.55
2008-05-08,8.13,8.15
2008-05-09,7.9,8
2008-05-12,7.8,7.87
2008-05-13,8.1,8.1
2008-05-14,8,8.1
2008-05-15,7.81,8
2008-05-16,7.42,7.57
2008-05-19,7.4,7.66
2008-05-20,7.03,7.14
2008-05-21,6.99,7.01
2008-05-22,6.68,6.67
2008-05-23,6.65,6.91
2008-05-26,6.32,6.71
2008-05-27,6.01,6.04
2008-05-28,5.8,5.95
2008-05-30,6.03,6
2008-06-02,6.33,6.24
2008-06-03,6.6,6.57
2008-06-04,6.3,6.59
2008-06-05,6.34,6.37
2008-06-06,6.1,6.15
2008-06-09,6.12,6.11
2008-06-10,6.2,6.28
2008-06-11,6.24,6.4
2008-06-12,6.4,6.53
2008-06-13,6.4,6.49
2008-06-16,6.11,6.18
2008-06-17,5.86,5.91
2008-06-18,5.89,5.71
2008-06-19,5.6,5.75
2008-06-20,5.5,5.62
2008-06-23,5.23,5.44
2008-06-24,4.98,5.35
2008-06-25,5.01,5.03
2008-06-26,5,5.02
2008-06-27,5.12,5.15
2008-06-30,5.37,5.37
2008-07-01,5.63,5.63
2008-07-02,5.91,5.9
2008-07-03,6.1,6.04
2008-07-04,6.4,6.37
2008-07-07,6.36,6.39
2008-07-08,6.06,6.2
2008-07-09,6,6.03
2008-07-10,5.91,5.92
2008-07-11,5.9,5.94
2008-07-14,5.99,5.95
2008-07-15,5.8,5.84
2008-07-16,5.55,5.59
2008-07-17,5.33,5.43
2008-07-18,5.3,5.31
2008-07-21,5.36,5.35
2008-07-22,5.1,5.1
2008-07-23,4.85,4.87
2008-07-24,4.98,4.73
2008-07-25,4.92,4.97
2008-07-28,5.08,5.04
2008-07-29,5.26,5.26
2008-07-30,5.52,5.52
2008-07-31,5.7,5.67
2008-08-01,5.95,5.94
2008-08-04,5.95,6.02
2008-08-05,5.9,5.79
2008-08-06,5.61,5.83
2008-08-07,5.54,5.57
2008-08-08,5.38,5.44
2008-08-11,5.33,5.33
2008-08-12,5.07,5.13
2008-08-13,4.83,4.95
2008-08-14,4.81,4.77
2008-08-15,5,4.86
2008-08-18,4.8,4.93
2008-08-19,4.56,4.57
2008-08-21,4.18,4.18
2008-08-22,3.99,3.99
2008-08-25,3.94,3.93
2008-08-26,3.94,3.97
2008-08-27,4.13,4.13
2008-08-28,4.33,4.33
2008-08-29,4.54,4.54
2008-09-01,4.76,4.76
2008-09-02,4.91,4.96
2008-09-03,4.87,4.88
2008-09-04,4.83,4.83
2008-09-05,4.79,4.79
2008-09-08,4.75,4.75
2008-09-09,4.71,4.71
2008-09-10,4.67,4.67
2008-09-11,4.63,4.63
2008-09-12,4.59,4.59
2008-09-15,4.55,4.55
2008-09-16,4.51,4.51
2008-09-17,4.47,4.47
2008-09-18,4.43,4.43
2008-09-19,4.39,4.39
2008-09-22,4.35,4.35
2008-09-23,4.31,4.31
