Date,Open,High,Low,Close,Volume,Trades,Value
2000-01-04,0.00,NA,NA,6.88,NA,NA,NA
2000-01-05,6.88,NA,NA,6.88,NA,NA,NA
2000-01-10,6.88,NA,NA,6.88,NA,NA,NA
2000-01-11,6.88,NA,NA,6.88,NA,NA,NA
2000-01-12,6.88,NA,NA,6.88,NA,NA,NA
2000-01-13,6.88,NA,NA,6.88,NA,NA,NA
2000-01-14,6.88,NA,NA,6.88,NA,NA,NA
2000-01-17,6.88,NA,NA,6.88,NA,NA,NA
2000-01-18,6.88,NA,NA,6.88,NA,NA,NA
2000-01-19,6.88,NA,NA,6.88,NA,NA,NA
2000-01-20,6.88,NA,NA,6.88,NA,NA,NA
2000-01-21,6.88,NA,NA,6.88,NA,NA,NA
2000-01-24,6.88,NA,NA,6.88,NA,NA,NA
2000-01-25,6.88,NA,NA,6.88,NA,NA,NA
2000-01-26,6.88,NA,NA,6.88,NA,NA,NA
2000-01-27,6.88,NA,NA,6.88,NA,NA,NA
2000-01-28,6.88,NA,NA,6.88,NA,NA,NA
2000-01-31,6.88,NA,NA,6.88,NA,NA,NA
2000-02-01,6.88,NA,NA,6.88,NA,NA,NA
2000-02-02,6.88,NA,NA,6.88,NA,NA,NA
2000-02-03,6.88,NA,NA,6.88,NA,NA,NA
2000-02-04,6.88,NA,NA,6.54,NA,NA,NA
2000-02-07,6.54,NA,NA,6.22,NA,NA,NA
2000-02-08,6.22,NA,NA,6.22,NA,NA,NA
2000-02-09,6.22,NA,NA,5.91,NA,NA,NA
2000-02-10,5.91,NA,NA,5.62,NA,NA,NA
2000-02-11,5.62,NA,NA,5.62,NA,NA,NA
2000-02-14,5.62,NA,NA,5.62,NA,NA,NA
2000-02-15,5.62,NA,NA,5.34,NA,NA,NA
2000-02-16,5.34,NA,NA,5.34,NA,NA,NA
2000-02-17,5.34,NA,NA,5.34,NA,NA,NA
2000-02-18,5.34,NA,NA,5.34,NA,NA,NA
2000-02-21,5.34,NA,NA,5.08,NA,NA,NA
2000-02-22,5.08,NA,NA,5.08,NA,NA,NA
2000-02-23,5.08,NA,NA,4.85,NA,NA,NA
2000-02-24,4.85,NA,NA,4.85,NA,NA,NA
2000-02-25,4.85,NA,NA,5.08,NA,NA,NA
2000-02-28,5.08,NA,NA,5.08,NA,NA,NA
2000-02-29,5.08,NA,NA,5.11,NA,NA,NA
2000-03-01,5.11,NA,NA,5.12,NA,NA,NA
2000-03-02,5.12,NA,NA,5.12,NA,NA,NA
2000-03-03,5.12,NA,NA,5.20,NA,NA,NA
2000-03-06,5.20,NA,NA,4.95,NA,NA,NA
2000-03-07,4.95,NA,NA,5.19,NA,NA,NA
2000-03-08,5.19,NA,NA,5.19,NA,NA,NA
2000-03-09,5.19,NA,NA,5.19,NA,NA,NA
2000-03-10,5.19,NA,NA,5.00,NA,NA,NA
2000-03-13,5.00,NA,NA,4.75,NA,NA,NA
2000-03-14,4.75,NA,NA,4.55,NA,NA,NA
2000-03-17,4.55,NA,NA,4.55,NA,NA,NA
2000-03-20,4.55,NA,NA,4.55,NA,NA,NA
2000-03-21,4.55,NA,NA,4.45,NA,NA,NA
2000-03-22,4.45,NA,NA,4.45,NA,NA,NA
2000-03-23,4.45,NA,NA,4.45,NA,NA,NA
2000-03-24,4.45,NA,NA,4.45,NA,NA,NA
