Date,Close,Open
2007-12-06,3,3
2007-12-07,3.15,3
2007-12-10,3.3,3.3
2007-12-11,3.46,3.46
2007-12-12,3.63,3.63
2007-12-13,3.81,3.81
2007-12-14,4,4
2007-12-17,4.2,4.2
2007-12-18,4.41,4.41
2007-12-21,4.63,4.63
2007-12-24,4.86,4.86
2007-12-28,5.35,5.35
2007-12-31,5.61,5.61
2008-01-02,5.89,5.89
2008-01-03,6.18,6.18
2008-01-04,6.48,6.48
2008-01-07,6.8,6.8
2008-01-08,7.14,7.14
2008-01-09,7.49,7.49
2008-01-10,7.86,7.86
2008-01-11,8.25,8.25
2008-01-14,8.66,8.66
2008-01-15,9.09,9.09
2008-01-16,9.54,9.54
2008-01-17,10.01,10.01
2008-01-18,10.51,10.51
2008-01-21,11.03,11.03
2008-01-22,11.58,11.58
2008-01-23,12.15,12.15
2008-01-24,12.75,12.75
2008-01-25,13.38,13.38
2008-01-28,14.04,14.04
2008-01-29,14.74,14.74
2008-01-30,15.47,15.47
2008-01-31,16.24,16.24
2008-02-01,17.05,17.05
2008-02-04,17.9,17.9
2008-02-05,18.79,18.79
2008-02-06,19.71,19.52
2008-02-07,20.69,20.69
2008-02-08,20.85,20.38
2008-02-11,19.81,19.83
2008-02-12,18.82,18.82
2008-02-13,17.88,17.88
2008-02-14,16.99,16.99
2008-02-15,17.83,16.28
2008-02-18,18,17.31
2008-02-19,17.1,17.1
2008-02-20,16.25,16.89
2008-02-21,15.44,15.46
2008-02-22,14.67,14.91
2008-02-25,14,14.01
2008-02-26,13.65,13.46
2008-02-27,13.19,12.98
2008-02-28,12.54,12.54
2008-02-29,11.92,11.92
2008-03-03,11.33,11.34
2008-03-04,11.8,11.12
2008-03-05,12.39,12.26
2008-03-06,13,13
2008-03-07,13.65,13.65
2008-03-10,14.33,14.33
2008-03-11,14.49,14.34
2008-03-12,13.8,14.17
2008-03-13,13.11,13.26
2008-03-14,12.46,12.63
2008-03-17,11.9,12.71
2008-03-18,11.31,11.9
2008-03-20,11.87,11.87
2008-03-25,12.3,12.14
2008-03-26,11.96,11.95
2008-03-27,11.37,11.51
2008-03-28,10.81,11.05
2008-03-31,10.27,10.64
2008-04-01,9.8,9.8
2008-04-02,10.1,9.72
2008-04-03,10.39,10.21
2008-04-04,10.69,10.16
2008-04-07,10.57,10.21
2008-04-08,10.05,10.1
2008-04-09,9.99,9.58
2008-04-10,10.24,10.02
2008-04-11,9.73,10.08
2008-04-14,9.25,9.39
2008-04-15,9.69,8.88
2008-04-16,9.94,9.5065
2008-04-17,9.45,9.48
2008-04-18,9.24,9.11
2008-04-21,9.59,9.49
2008-04-22,9.53,9.12
2008-04-23,9.06,9.77
2008-04-24,9.39,9.31
2008-04-25,9.15,8.94
2008-04-28,9.35,8.99
2008-04-29,9.3,8.89
2008-04-30,9,8.89
