Date,Open,High,Low,Close,Volume,Trades,Value
2000-01-04,6.06,NA,NA,6.06,NA,NA,NA
2000-01-05,6.06,NA,NA,6.06,NA,NA,NA
2000-01-10,6.06,NA,NA,6.07,NA,NA,NA
2000-01-11,6.07,NA,NA,6.07,NA,NA,NA
2000-01-12,6.07,NA,NA,6.08,NA,NA,NA
2000-01-13,6.08,NA,NA,6.10,NA,NA,NA
2000-01-14,6.10,NA,NA,6.12,NA,NA,NA
2000-01-17,6.12,NA,NA,6.12,NA,NA,NA
2000-01-18,6.12,NA,NA,6.12,NA,NA,NA
2000-01-19,6.12,NA,NA,6.42,NA,NA,NA
2000-01-20,6.42,NA,NA,6.42,NA,NA,NA
2000-01-21,6.42,NA,NA,6.74,NA,NA,NA
2000-01-24,6.74,NA,NA,6.74,NA,NA,NA
2000-01-25,6.74,NA,NA,6.74,NA,NA,NA
2000-01-26,6.74,NA,NA,7.07,NA,NA,NA
2000-01-27,7.07,NA,NA,7.07,NA,NA,NA
2000-01-28,7.07,NA,NA,7.07,NA,NA,NA
2000-01-31,7.07,NA,NA,7.07,NA,NA,NA
2000-02-01,7.07,NA,NA,7.07,NA,NA,NA
2000-02-02,7.07,NA,NA,7.07,NA,NA,NA
2000-02-03,7.07,NA,NA,7.07,NA,NA,NA
2000-02-04,7.07,NA,NA,7.07,NA,NA,NA
2000-02-07,7.07,NA,NA,7.07,NA,NA,NA
2000-02-08,7.07,NA,NA,7.07,NA,NA,NA
2000-02-09,7.07,NA,NA,7.07,NA,NA,NA
2000-02-10,7.07,NA,NA,7.07,NA,NA,NA
2000-02-11,7.07,NA,NA,7.07,NA,NA,NA
2000-02-14,7.07,NA,NA,7.07,NA,NA,NA
2000-02-15,7.07,NA,NA,7.07,NA,NA,NA
2000-02-16,7.07,NA,NA,7.07,NA,NA,NA
2000-02-17,7.07,NA,NA,7.07,NA,NA,NA
2000-02-18,7.07,NA,NA,7.07,NA,NA,NA
2000-02-21,7.07,NA,NA,7.79,NA,NA,NA
2000-02-22,7.79,NA,NA,8.17,NA,NA,NA
2000-02-23,8.17,NA,NA,8.57,NA,NA,NA
2000-02-24,8.57,NA,NA,8.99,NA,NA,NA
2000-02-25,8.99,NA,NA,9.43,NA,NA,NA
2000-02-28,9.43,NA,NA,9.90,NA,NA,NA
2000-02-29,9.90,NA,NA,3.08,NA,NA,NA
2000-03-01,3.08,NA,NA,3.23,NA,NA,NA
2000-03-02,3.23,NA,NA,3.23,NA,NA,NA
2000-03-03,3.23,NA,NA,3.23,NA,NA,NA
2000-03-06,3.23,NA,NA,3.39,NA,NA,NA
2000-03-07,3.39,NA,NA,3.39,NA,NA,NA
2000-03-08,3.39,NA,NA,3.39,NA,NA,NA
2000-03-09,3.39,NA,NA,3.55,NA,NA,NA
2000-03-10,3.55,NA,NA,3.55,NA,NA,NA
2000-03-13,3.55,NA,NA,3.55,NA,NA,NA
2000-03-14,3.55,NA,NA,3.55,NA,NA,NA
2000-03-17,3.55,NA,NA,3.72,NA,NA,NA
2000-03-20,3.72,NA,NA,3.90,NA,NA,NA
2000-03-21,3.90,NA,NA,4.09,NA,NA,NA
2000-03-22,4.09,NA,NA,4.09,NA,NA,NA
2000-03-23,4.09,NA,NA,4.29,NA,NA,NA
2000-03-24,4.29,NA,NA,4.29,NA,NA,NA
2000-03-27,4.29,NA,NA,4.50,NA,NA,NA
2000-03-28,4.50,NA,NA,4.72,NA,NA,NA
2000-03-29,4.72,NA,NA,4.95,NA,NA,NA
2000-03-30,4.95,NA,NA,5.19,NA,NA,NA
2000-03-31,5.19,NA,NA,5.44,NA,NA,NA
2000-04-03,5.44,NA,NA,5.71,NA,NA,NA
2000-04-04,5.71,NA,NA,5.99,NA,NA,NA
2000-04-05,5.99,NA,NA,6.28,NA,NA,NA
2000-04-06,6.28,NA,NA,6.59,NA,NA,NA
2000-04-07,6.59,NA,NA,6.91,NA,NA,NA
2000-04-10,6.91,NA,NA,7.25,NA,NA,NA
2000-04-11,7.25,NA,NA,7.61,NA,NA,NA
2000-04-12,7.61,NA,NA,7.99,NA,NA,NA
