Date,Open,High,Low,Close,Volume,Trades,Value
2000-01-04,15.50,NA,NA,15.00,NA,NA,NA
2000-01-05,15.00,NA,NA,14.80,NA,NA,NA
2000-01-10,14.80,NA,NA,14.20,NA,NA,NA
2000-01-11,14.20,NA,NA,14.20,NA,NA,NA
2000-01-12,14.20,NA,NA,13.50,NA,NA,NA
2000-01-13,13.50,NA,NA,13.80,NA,NA,NA
2000-01-14,13.80,NA,NA,13.80,NA,NA,NA
2000-01-17,13.80,NA,NA,14.25,NA,NA,NA
2000-01-18,14.25,NA,NA,14.25,NA,NA,NA
2000-01-19,14.25,NA,NA,14.70,NA,NA,NA
2000-01-20,14.70,NA,NA,14.70,NA,NA,NA
2000-01-21,14.70,NA,NA,14.00,NA,NA,NA
2000-01-24,14.00,NA,NA,14.01,NA,NA,NA
2000-01-25,14.01,NA,NA,14.70,NA,NA,NA
2000-01-26,14.70,NA,NA,14.70,NA,NA,NA
2000-01-27,14.70,NA,NA,15.00,NA,NA,NA
2000-01-28,15.00,NA,NA,15.00,NA,NA,NA
2000-01-31,15.00,NA,NA,15.25,NA,NA,NA
2000-02-01,15.25,NA,NA,15.50,NA,NA,NA
2000-02-02,15.50,NA,NA,16.00,NA,NA,NA
2000-02-03,16.00,NA,NA,16.11,NA,NA,NA
2000-02-04,16.11,NA,NA,16.91,NA,NA,NA
2000-02-07,16.91,NA,NA,17.75,NA,NA,NA
2000-02-08,17.75,NA,NA,18.63,NA,NA,NA
2000-02-09,18.63,NA,NA,18.63,NA,NA,NA
2000-02-10,18.63,NA,NA,18.80,NA,NA,NA
2000-02-11,18.80,NA,NA,18.80,NA,NA,NA
2000-02-14,18.80,NA,NA,17.95,NA,NA,NA
2000-02-15,17.95,NA,NA,17.06,NA,NA,NA
2000-02-16,17.06,NA,NA,16.21,NA,NA,NA
2000-02-17,16.21,NA,NA,15.50,NA,NA,NA
2000-02-18,15.50,NA,NA,15.50,NA,NA,NA
2000-02-21,15.50,NA,NA,16.20,NA,NA,NA
2000-02-22,16.20,NA,NA,17.00,NA,NA,NA
2000-02-23,17.00,NA,NA,17.84,NA,NA,NA
2000-02-24,17.84,NA,NA,17.00,NA,NA,NA
2000-02-25,17.00,NA,NA,16.16,NA,NA,NA
2000-02-28,16.16,NA,NA,15.36,NA,NA,NA
2000-02-29,15.36,NA,NA,15.36,NA,NA,NA
2000-03-01,15.36,NA,NA,14.60,NA,NA,NA
2000-03-02,14.60,NA,NA,14.00,NA,NA,NA
2000-03-03,14.00,NA,NA,13.62,NA,NA,NA
2000-03-06,13.62,NA,NA,13.62,NA,NA,NA
2000-03-07,13.62,NA,NA,14.00,NA,NA,NA
2000-03-08,14.00,NA,NA,13.89,NA,NA,NA
2000-03-09,13.89,NA,NA,13.90,NA,NA,NA
2000-03-10,13.90,NA,NA,13.95,NA,NA,NA
2000-03-13,13.95,NA,NA,14.20,NA,NA,NA
2000-03-14,14.20,NA,NA,13.62,NA,NA,NA
2000-03-17,13.62,NA,NA,13.70,NA,NA,NA
2000-03-20,13.70,NA,NA,14.38,NA,NA,NA
2000-03-21,14.38,NA,NA,14.37,NA,NA,NA
2000-03-22,14.37,NA,NA,14.00,NA,NA,NA
2000-03-23,14.00,NA,NA,14.05,NA,NA,NA
2000-03-24,14.05,NA,NA,14.05,NA,NA,NA
2000-03-27,14.05,NA,NA,14.20,NA,NA,NA
2000-03-28,14.20,NA,NA,14.00,NA,NA,NA
2000-03-29,14.00,NA,NA,13.50,NA,NA,NA
2000-03-30,13.50,NA,NA,13.60,NA,NA,NA
2000-03-31,13.60,NA,NA,13.70,NA,NA,NA
2000-04-03,13.70,NA,NA,14.00,NA,NA,NA
2000-04-04,14.00,NA,NA,13.60,NA,NA,NA
2000-04-05,13.60,NA,NA,13.80,NA,NA,NA
2000-04-06,13.80,NA,NA,13.95,NA,NA,NA
2000-04-07,13.95,NA,NA,13.95,NA,NA,NA
2000-04-10,13.95,NA,NA,13.60,NA,NA,NA
2000-04-11,13.60,NA,NA,13.62,NA,NA,NA
2000-04-12,13.62,NA,NA,13.85,NA,NA,NA
2000-04-13,13.85,NA,NA,13.65,NA,NA,NA
2000-04-14,13.65,NA,NA,13.05,NA,NA,NA
2000-04-17,13.05,NA,NA,13.70,NA,NA,NA
2000-04-18,13.70,NA,NA,13.05,NA,NA,NA
2000-04-19,13.05,NA,NA,13.05,NA,NA,NA
2000-04-20,13.05,NA,NA,13.00,NA,NA,NA
2000-04-25,13.00,NA,NA,13.00,NA,NA,NA
2000-04-26,13.00,NA,NA,12.50,NA,NA,NA
2000-04-27,12.50,NA,NA,12.20,NA,NA,NA
2000-04-28,12.20,NA,NA,12.73,NA,NA,NA
2000-05-02,12.73,NA,NA,12.73,NA,NA,NA
2000-05-03,12.73,NA,NA,12.95,NA,NA,NA
2000-05-04,12.95,NA,NA,13.00,NA,NA,NA
2000-05-05,13.00,NA,NA,13.00,NA,NA,NA
2000-05-08,13.00,NA,NA,12.80,NA,NA,NA
2000-05-09,12.80,NA,NA,13.00,NA,NA,NA
2000-05-10,13.00,NA,NA,12.90,NA,NA,NA
