Date,Close,Open
2003-03-05,0.39,0.39
2003-03-11,0.39,0.39
2003-03-13,0.39,0.39
2003-05-05,0.39,0.39
2003-07-08,0.39,0.39
2003-07-18,0.39,0.39
2003-08-05,0.39,0.39
2003-09-24,0.38,0.38
2003-10-15,0.38,0.38
2003-10-31,0.38,0.38
2003-11-03,0.38,0.38
2003-12-02,0.38,0.38
2003-12-17,0.38,0.38
2003-12-23,0.38,0.38
2004-01-26,0.38,0.38
2004-01-27,0.38,0.38
2004-03-02,0.38,0.38
2004-03-18,0.38,0.38
2004-04-02,0.38,0.38
2004-04-14,0.38,0.38
2004-04-21,0.37,0.37
2004-04-22,0.36,0.36
2004-04-23,0.36,0.36
2004-05-21,0.36,0.36
2004-05-25,0.36,0.36
2004-05-27,0.37,0.37
2004-07-14,0.37,0.37
2004-07-30,0.36,0.36
2004-08-06,0.36,0.36
2004-08-16,0.36,0.36
2004-09-21,0.36,0.36
2004-09-23,0.37,0.37
2004-09-29,0.37,0.37
2004-10-05,0.37,0.37
2004-11-10,0.37,0.37
2004-11-23,0.37,0.37
2005-01-28,0.37,0.37
2005-03-29,0.37,0.37
2005-04-15,0.37,0.37
2005-05-06,0.37,0.37
2005-05-09,0.37,0.37
2005-05-18,0.37,0.37
2005-06-01,0.36,0.36
2005-06-02,0.35,0.35
2005-06-03,0.34,0.34
2005-06-30,0.34,0.34
2005-10-05,0.34,0.34
2005-10-07,0.34,0.34
2005-10-19,0.34,0.34
2005-10-27,0.34,0.34
2005-11-01,0.34,0.34
2005-11-08,0.34,0.34
2005-11-16,0.34,0.34
2005-11-17,0.34,0.34
2005-11-18,0.34,0.34
2005-11-24,0.34,0.34
2005-12-06,0.34,0.34
2005-12-08,0.34,0.34
2005-12-21,0.35,0.35
2006-01-16,0.34,0.34
2006-01-26,0.34,0.34
2006-01-27,0.34,0.34
2006-02-21,0.34,0.34
2006-02-24,0.34,0.34
2006-09-29,0.34,0.34
2006-12-19,0.34,0.34
2007-02-07,0.33,0.33
2007-03-08,0.33,0.33
2007-03-14,0.34,0.34
2007-03-26,0.35,0.35
2007-03-28,0.36,0.36
2007-03-30,0.36,0.36
2007-04-04,0.36,0.36
2007-04-17,0.36,0.36
2007-04-19,0.36,0.36
2007-04-30,0.37,0.37
2007-05-03,0.38,0.38
2007-05-08,0.38,0.39
2007-05-09,0.38,0.38
2007-05-23,0.39,0.39
2007-05-30,0.4,0.4
2007-06-01,0.42,0.42
2007-06-05,0.42,0.42
2007-06-07,0.44,0.44
2007-06-11,0.44,0.44
2007-06-19,0.44,0.44
2007-06-20,0.46,0.46
2007-06-22,0.48,0.48
2007-06-25,0.5,0.5
2007-06-26,0.52,0.52
2007-06-27,0.54,0.54
2007-06-28,0.56,0.56
2007-07-19,0.56,0.56
2007-07-26,0.56,0.56
2007-08-01,0.58,0.58
2007-08-09,0.6,0.6
2007-08-23,0.63,0.63
2007-08-27,0.63,0.63
2007-09-18,0.63,0.63
2007-09-19,0.66,0.66
2007-09-28,0.69,0.69
2007-10-02,0.72,0.72
2007-10-03,0.75,0.75
2007-10-05,0.78,0.78
2007-10-08,0.81,0.81
2007-10-09,0.85,0.85
2007-10-10,0.89,0.89
2007-10-15,0.93,0.9
2007-10-16,0.93,0.93
2007-10-17,0.97,0.97
2007-10-18,1.01,1.01
2007-10-22,1.06,1.06
2007-10-23,1.11,1.11
2007-10-24,1.11,NA
2007-10-25,1.16,1.16
2007-10-30,1.21,1.21
2007-10-31,1.27,1.27
2007-11-02,1.33,1.33
2007-11-07,1.39,1.39
2007-11-09,1.45,1.45
2007-11-12,1.45,1.5
2007-11-13,1.52,1.52
2007-11-15,1.59,1.59
2007-11-16,1.66,1.66
2007-11-19,1.74,1.74
2007-11-20,1.82,1.82
2007-11-21,1.91,1.91
2007-11-23,2,2
2007-11-26,2.1,2.1
2007-11-27,2.2,2.2
2007-11-28,2.31,2.31
2007-11-29,2.42,2.42
2007-12-03,2.54,2.54
2007-12-04,2.66,2.66
2007-12-05,2.79,2.79
2007-12-06,2.92,2.92
2007-12-07,3.06,3.06
2007-12-10,3.21,3.21
2007-12-11,3.37,3.37
2007-12-12,3.53,3.53
2007-12-13,3.7,3.7
2007-12-14,3.88,3.88
2007-12-17,4.07,4.07
2007-12-18,4.27,4.27
2007-12-21,4.48,4.48
2007-12-24,4.7,4.7
2007-12-28,5.17,5.17
2007-12-31,5.42,5.42
2008-01-02,5.69,5.69
2008-01-03,5.97,5.97
2008-01-04,6.26,6.26
2008-01-07,6.57,6.56
2008-01-08,6.25,6.6
2008-01-09,6.4,6.24
2008-01-10,6.55,6.62
2008-01-11,6.87,6.87
2008-01-14,7.21,7.21
2008-01-15,7.57,7.57
2008-01-16,7.94,7.94
2008-01-17,8.33,8.33
2008-01-18,8.74,8.74
2008-01-21,9.17,9.17
2008-01-22,9.62,9.62
2008-01-23,10.1,10.1
2008-01-24,10.6,10.6
2008-01-25,11.13,11.13
2008-01-28,11.68,11.68
2008-01-29,12.26,12.26
2008-01-30,12.86,12.86
2008-01-31,12.95,13.02
2008-02-01,12.31,12.87
2008-02-04,12,12.16
2008-02-05,12.6,12.17
2008-02-06,13.23,13.16
2008-02-07,13.87,13.87
2008-02-08,14.41,14.38
2008-02-11,15.13,15.13
2008-02-12,15.88,15.88
2008-02-13,16.67,16.67
2008-02-14,17.5,17.5
2008-02-15,16.63,17.27
2008-02-18,15.8,15.8
2008-02-19,15.01,15.01
2008-02-20,14.26,14.26
2008-02-21,13.55,13.55
2008-02-22,12.88,12.88
2008-02-25,12.24,12.24
2008-02-26,11.63,11.63
2008-02-27,11.6,11.05
2008-02-28,11.02,11.36
2008-02-29,11,10.57
2008-03-03,10.99,10.66
2008-03-04,10.45,10.76
2008-03-05,10.97,10.63
2008-03-06,11.51,11.51
2008-03-07,12.08,12.08
2008-03-10,12.68,12.68
2008-03-11,13.31,13.31
2008-03-12,13.97,13.97
2008-03-13,14.66,14.66
2008-03-14,15.39,15.39
2008-03-17,16.15,16.15
2008-03-18,16.95,16.95
2008-03-20,16.11,16.11
2008-03-25,15.31,15.31
2008-03-26,14.55,14.55
2008-03-27,13.83,13.83
2008-12-18,13.83,13.83
2008-12-19,13.83,13.83
2008-12-22,13.83,13.83
2008-12-23,13.83,13.83
2008-12-24,13.83,13.83
2008-12-29,13.83,13.83
2008-12-30,13.83,13.83
2008-12-31,13.83,13.83
2009-01-06,13.83,13.83
2009-01-07,13.83,13.83
2009-01-13,13.83,13.83
2009-01-14,13.83,13.83
2009-01-15,13.83,13.83
2009-01-22,13.83,13.83
2009-01-26,13.83,13.83
2009-01-27,13.83,13.83
2009-01-28,13.83,13.83
2009-02-10,13.83,13.83
2009-02-19,13.83,13.83
2009-02-27,13.83,13.83
2009-03-10,13.83,13.83
2009-03-13,13.83,13.83
2009-03-16,13.83,13.83
2009-03-17,13.83,13.83
2009-03-19,13.83,13.83
2009-03-20,13.83,13.83
2009-03-23,13.83,13.83
2009-03-26,13.83,13.83
2009-03-30,13.83,13.83
2009-03-31,13.83,13.83
2009-04-01,13.83,13.83
2009-04-03,13.83,13.83
2009-04-06,13.83,13.83
2009-04-07,13.83,13.83
2009-04-08,13.83,13.83
2009-04-09,13.83,13.83
2009-04-16,13.83,13.83
2009-04-22,13.83,13.83
2009-04-23,13.83,13.83
2009-05-04,13.83,13.83
2009-05-06,13.83,13.83
2009-05-12,3.5,3.5
2009-05-13,3.4,3.48
2009-05-14,3.33,3.33
2009-05-15,3.17,3.17
