Date,Open,High,Low,Close,Volume,Trades,Value
2006-01-05,0.00,NA,NA,119.00,NA,NA,NA
2006-01-06,119.00,NA,NA,117.00,NA,NA,NA
2006-01-09,117.00,NA,NA,116.99,NA,NA,NA
2006-01-12,116.99,NA,NA,116.99,NA,NA,NA
2006-01-13,116.99,NA,NA,114.00,NA,NA,NA
2006-01-16,114.00,NA,NA,112.50,NA,NA,NA
2006-01-17,112.50,NA,NA,117.00,NA,NA,NA
2006-01-18,117.00,NA,NA,113.50,NA,NA,NA
2006-01-19,113.50,NA,NA,112.00,NA,NA,NA
2006-01-20,112.00,NA,NA,112.00,NA,NA,NA
2006-01-23,112.00,NA,NA,117.00,NA,NA,NA
2006-01-24,117.00,NA,NA,117.00,NA,NA,NA
2006-01-25,117.00,NA,NA,117.00,NA,NA,NA
2006-01-26,117.00,NA,NA,114.70,NA,NA,NA
2006-01-27,114.70,NA,NA,115.00,NA,NA,NA
2006-01-30,115.00,NA,NA,116.00,NA,NA,NA
2006-01-31,116.00,NA,NA,118.00,NA,NA,NA
2006-02-01,118.00,NA,NA,114.99,NA,NA,NA
2006-02-02,114.99,NA,NA,111.00,NA,NA,NA
2006-02-03,111.00,NA,NA,114.00,NA,NA,NA
2006-02-06,114.00,NA,NA,112.00,NA,NA,NA
2006-02-07,112.00,NA,NA,110.00,NA,NA,NA
2006-02-08,110.00,NA,NA,110.01,NA,NA,NA
2006-02-09,110.01,NA,NA,110.01,NA,NA,NA
2006-02-10,110.01,NA,NA,111.00,NA,NA,NA
2006-02-13,111.00,NA,NA,110.50,NA,NA,NA
2006-02-14,110.50,NA,NA,110.10,NA,NA,NA
2006-02-15,110.10,NA,NA,110.11,NA,NA,NA
2006-02-16,110.11,NA,NA,110.00,NA,NA,NA
2006-02-17,110.00,NA,NA,113.50,NA,NA,NA
2006-02-20,113.50,NA,NA,110.10,NA,NA,NA
2006-02-21,110.10,NA,NA,109.00,NA,NA,NA
2006-02-22,109.00,NA,NA,110.00,NA,NA,NA
2006-02-23,110.00,NA,NA,104.50,NA,NA,NA
2006-02-24,104.50,NA,NA,104.05,NA,NA,NA
2006-02-27,104.05,NA,NA,104.05,NA,NA,NA
