Date,Open,High,Low,Close,Volume,Trades,Value
2003-01-06,0.00,NA,NA,14.99,NA,NA,NA
2003-01-07,14.99,NA,NA,14.25,NA,NA,NA
2003-01-08,14.25,NA,NA,14.95,NA,NA,NA
2003-01-09,14.95,NA,NA,15.05,NA,NA,NA
2003-01-10,15.05,NA,NA,15.00,NA,NA,NA
2003-01-13,15.00,NA,NA,15.00,NA,NA,NA
2003-01-14,15.00,NA,NA,15.50,NA,NA,NA
2003-01-15,15.50,NA,NA,16.23,NA,NA,NA
2003-01-16,16.23,NA,NA,17.04,NA,NA,NA
2003-01-17,17.04,NA,NA,17.20,NA,NA,NA
2003-01-20,17.20,NA,NA,17.00,NA,NA,NA
2003-01-21,17.00,NA,NA,17.00,NA,NA,NA
2003-01-22,17.00,NA,NA,17.00,NA,NA,NA
2003-01-23,17.00,NA,NA,17.00,NA,NA,NA
2003-01-24,17.00,NA,NA,17.55,NA,NA,NA
2003-01-27,17.55,NA,NA,18.40,NA,NA,NA
2003-01-28,18.40,NA,NA,19.00,NA,NA,NA
2003-01-29,19.00,NA,NA,19.37,NA,NA,NA
2003-01-30,19.37,NA,NA,19.95,NA,NA,NA
2003-01-31,19.95,NA,NA,20.93,NA,NA,NA
2003-02-03,20.93,NA,NA,21.97,NA,NA,NA
2003-02-04,21.97,NA,NA,23.05,NA,NA,NA
2003-02-05,23.05,NA,NA,23.00,NA,NA,NA
2003-02-06,23.00,NA,NA,22.50,NA,NA,NA
2003-02-07,22.50,NA,NA,22.49,NA,NA,NA
2003-02-10,22.49,NA,NA,22.99,NA,NA,NA
2003-02-13,22.99,NA,NA,22.99,NA,NA,NA
2003-02-14,22.99,NA,NA,22.99,NA,NA,NA
2003-02-17,22.99,NA,NA,24.13,NA,NA,NA
2003-02-18,24.13,NA,NA,24.00,NA,NA,NA
2003-02-19,24.00,NA,NA,24.01,NA,NA,NA
2003-02-20,24.01,NA,NA,25.00,NA,NA,NA
2003-02-21,25.00,NA,NA,24.50,NA,NA,NA
2003-02-24,24.50,NA,NA,23.30,NA,NA,NA
2003-02-25,23.30,NA,NA,22.15,NA,NA,NA
2003-02-26,22.15,NA,NA,22.15,NA,NA,NA
2003-02-27,22.15,NA,NA,21.05,NA,NA,NA
2003-02-28,21.05,NA,NA,20.00,NA,NA,NA
2003-03-03,20.00,NA,NA,19.80,NA,NA,NA
2003-03-04,19.80,NA,NA,20.50,NA,NA,NA
2003-03-05,20.50,NA,NA,21.50,NA,NA,NA
2003-03-06,21.50,NA,NA,22.00,NA,NA,NA
2003-03-07,22.00,NA,NA,23.01,NA,NA,NA
2003-03-10,23.01,NA,NA,21.86,NA,NA,NA
2003-03-11,21.86,NA,NA,22.00,NA,NA,NA
2003-03-12,22.00,NA,NA,21.90,NA,NA,NA
2003-03-13,21.90,NA,NA,21.00,NA,NA,NA
2003-03-14,21.00,NA,NA,20.27,NA,NA,NA
2003-03-17,20.27,NA,NA,21.28,NA,NA,NA
2003-03-18,21.28,NA,NA,21.99,NA,NA,NA
2003-03-19,21.99,NA,NA,21.00,NA,NA,NA
2003-03-20,21.00,NA,NA,22.05,NA,NA,NA
2003-03-21,22.05,NA,NA,21.50,NA,NA,NA
2003-03-24,21.50,NA,NA,21.00,NA,NA,NA
2003-03-25,21.00,NA,NA,20.15,NA,NA,NA
2003-03-26,20.15,NA,NA,20.25,NA,NA,NA
2003-03-27,20.25,NA,NA,20.99,NA,NA,NA
2003-03-28,20.99,NA,NA,20.80,NA,NA,NA
2003-03-31,20.80,NA,NA,19.80,NA,NA,NA
2003-04-01,19.80,NA,NA,18.90,NA,NA,NA
2003-04-02,18.90,NA,NA,19.80,NA,NA,NA
2003-04-03,19.80,NA,NA,20.00,NA,NA,NA
2003-04-04,20.00,NA,NA,20.50,NA,NA,NA
2003-04-07,20.50,NA,NA,19.62,NA,NA,NA
2003-04-08,19.62,NA,NA,20.30,NA,NA,NA
2003-04-09,20.30,NA,NA,20.30,NA,NA,NA
2003-04-10,20.30,NA,NA,20.50,NA,NA,NA
2003-04-11,20.50,NA,NA,20.50,NA,NA,NA
2003-04-14,20.50,NA,NA,21.00,NA,NA,NA
2003-04-15,21.00,NA,NA,22.00,NA,NA,NA
2003-04-16,22.00,NA,NA,22.50,NA,NA,NA
2003-04-17,22.50,NA,NA,22.00,NA,NA,NA
2003-04-22,22.00,NA,NA,22.00,NA,NA,NA
2003-04-23,22.00,NA,NA,21.50,NA,NA,NA
2003-04-24,21.50,NA,NA,21.00,NA,NA,NA
2003-04-25,21.00,NA,NA,21.30,NA,NA,NA
2003-04-28,21.30,NA,NA,22.00,NA,NA,NA
2003-04-29,22.00,NA,NA,21.00,NA,NA,NA
2003-04-30,21.00,NA,NA,20.01,NA,NA,NA
2003-05-02,20.01,NA,NA,20.01,NA,NA,NA
2003-05-05,20.01,NA,NA,19.90,NA,NA,NA
2003-05-06,19.90,NA,NA,19.91,NA,NA,NA
2003-05-07,19.91,NA,NA,20.00,NA,NA,NA
2003-05-08,20.00,NA,NA,21.00,NA,NA,NA
2003-05-09,21.00,NA,NA,22.05,NA,NA,NA
2003-05-12,22.05,NA,NA,21.99,NA,NA,NA
2003-05-14,21.99,NA,NA,21.50,NA,NA,NA
2003-05-15,21.50,NA,NA,22.50,NA,NA,NA
2003-05-16,22.50,NA,NA,21.41,NA,NA,NA
2003-05-19,21.41,NA,NA,22.50,NA,NA,NA
2003-05-20,22.50,NA,NA,22.01,NA,NA,NA
2003-05-21,22.01,NA,NA,22.00,NA,NA,NA
2003-05-22,22.00,NA,NA,23.10,NA,NA,NA
2003-05-23,23.10,NA,NA,24.25,NA,NA,NA
2003-05-26,24.25,NA,NA,25.28,NA,NA,NA
2003-05-27,25.28,NA,NA,24.02,NA,NA,NA
