Date,Close,Open
2007-05-30,1.32,1.32
2007-05-31,1.38,1.38
2007-06-01,1.44,1.44
2007-06-04,1.51,1.51
2007-06-05,1.58,1.58
2007-06-06,1.65,1.65
2007-06-07,1.73,1.73
2007-06-08,1.81,1.81
2007-06-11,1.9,1.9
2007-06-12,1.99,1.99
2007-06-13,2.08,2.08
2007-06-14,2.18,2.18
2007-06-15,2.28,2.28
2007-06-16,2.28,2.28
2007-06-17,2.28,2.28
2007-06-18,2.39,2.39
2007-06-19,2.5,2.5
2007-06-20,2.62,2.62
2007-06-21,2.75,2.75
2007-06-22,2.88,2.88
2007-06-25,3.02,3.02
2007-06-26,3.17,3.17
2007-06-27,3.32,3.32
2007-06-28,3.48,3.48
2007-06-29,3.65,3.65
2007-07-02,3.83,3.83
2007-07-03,4.02,4.02
2007-07-04,4.22,4.22
2007-07-05,4.43,4.43
2007-07-06,4.65,4.65
2007-07-09,4.88,4.88
2007-07-10,5.12,5.12
2007-07-11,5.37,5.37
2007-07-12,5.11,5.16
2007-07-13,4.86,4.86
2007-07-16,4.62,4.62
2007-07-17,4.39,4.39
2007-07-18,4.18,4.18
2007-07-19,4.38,4.06
2007-07-20,4.57,4.57
2007-07-23,4.45,4.41
2007-07-24,4.45,4.46
2007-07-25,4.24,4.47
2007-07-26,4.21,4.39
2007-07-27,4.2,4.13
2007-07-30,3.99,4.02
2007-07-31,4,3.97
2007-08-01,3.81,3.81
2007-08-02,3.94,3.85
2007-08-03,3.75,3.89
2007-08-06,3.93,3.72
2007-08-07,3.79,3.94
2007-08-08,3.97,3.82
2007-08-09,4,3.98
2007-08-10,3.82,3.88
2007-08-13,3.65,3.83
2007-08-14,3.65,3.71
2007-08-15,3.83,3.82
2007-08-16,3.96,3.99
2007-08-17,3.9,3.82
2007-08-20,3.99,3.95
2007-08-21,3.82,3.98
2007-08-22,3.98,3.86
2007-08-23,3.87,3.86
2007-08-24,3.68,3.71
2007-08-27,3.5,3.5
2007-08-28,3.35,3.35
2007-08-29,3.2,3.23
2007-08-30,3.04,3.13
2007-08-31,3.15,3
2007-09-03,3,3
2007-09-04,3.15,3.14
2007-09-05,3.3,3.25
2007-09-06,3.46,3.46
2007-09-07,3.63,3.63
2007-09-10,3.78,3.74
2007-09-11,3.7,3.65
2007-09-12,3.52,3.55
2007-09-13,3.35,3.35
2007-09-14,3.35,3.29
2007-09-17,3.26,3.2
2007-09-18,3.1,3.19
2007-09-19,3.2,3.12
2007-09-20,3.2,3.19
2007-09-21,3.2,3.2
2007-09-24,3.05,3.07
2007-09-25,3.2,3.14
2007-09-26,3.05,3.05
2007-09-27,3.1,3.03
2007-09-28,3.14,3.06
2007-10-02,3.26,3.02
2007-10-03,3.38,3.25
2007-10-04,3.24,3.23
2007-10-05,3.18,3.08
2007-10-08,3.04,3.07
2007-10-09,3.03,3.05
2007-10-10,3,3.01
2007-10-15,2.85,2.85
2007-10-16,2.71,2.72
2007-10-17,2.84,2.81
2007-10-18,2.98,2.97
2007-10-19,3,3.05
2007-10-22,2.97,2.92
2007-10-23,2.95,2.96
2007-10-24,3,3
2007-10-25,2.86,2.96
2007-10-26,3,2.87
2007-10-29,2.87,2.93
2007-10-30,2.77,2.82
2007-10-31,2.64,2.77
2007-11-01,2.76,2.58
2007-11-02,2.63,2.66
2007-11-05,2.76,2.74
2007-11-06,2.71,2.73
2007-11-07,2.79,2.7
2007-11-08,2.92,2.83
2007-11-09,2.93,2.89
2007-11-12,3.05,2.99
2007-11-13,3,2.93
2007-11-14,2.96,2.97
2007-11-15,3.1,3.1
2007-11-16,3.25,3.25
2007-11-19,3.41,3.41
2007-11-20,3.58,3.58
2007-11-21,3.45,3.5
2007-11-22,3.45,3.47
2007-11-23,3.45,3.49
2007-11-26,3.5,3.54
2007-11-27,3.5,3.48
