Date,Close,Open
2003-02-21,1.51,1.56
2003-02-24,1.55,1.54
2003-02-25,1.55,1.55
2003-02-28,1.66,1.65
2003-03-04,1.75,1.76
2003-03-05,1.83,1.83
2003-03-06,1.83,1.83
2003-03-07,1.83,1.83
2003-03-10,1.92,1.92
2003-03-11,2.01,2
2003-03-13,2.02,2.03
2003-03-14,2.12,2.04
2003-03-17,2.22,2.22
2003-03-18,2.19,2.18
2003-03-19,2.19,2.19
2003-03-20,2.19,2.19
2003-03-25,2.19,2.19
2003-03-26,2.19,2.19
2003-03-27,2.19,2.15
2003-03-31,2.06,2.05
2003-04-01,1.96,2.06
2003-04-02,1.87,1.93
2003-04-03,1.78,1.96
2003-04-04,1.7,1.78
2003-04-08,1.7,1.7
2003-04-09,1.7,1.7
2003-04-10,1.62,1.73
2003-04-11,1.63,1.63
2003-04-14,1.63,1.63
2003-04-15,1.71,1.7
2003-04-16,1.71,1.71
2003-04-17,1.73,1.73
2003-04-23,1.7,1.74
2003-04-24,1.78,1.75
2003-04-25,1.8,1.78
2003-04-29,1.78,1.78
2003-04-30,1.86,1.78
2003-05-02,1.86,1.86
2003-05-05,1.88,1.88
2003-05-06,1.88,1.88
2003-05-07,1.97,1.97
2003-05-08,2.06,2.06
2003-05-09,2.05,2
2003-05-12,2,1.96
2003-05-14,2.09,2.03
2003-05-15,1.99,1.99
2003-05-16,1.99,1.99
2003-05-19,1.98,1.98
2003-05-20,1.98,1.98
2003-05-21,2,1.99
2003-05-23,2,2
2003-05-26,2,2
2003-05-27,2,2
2003-05-28,2,2
2003-05-30,2,1.92
2003-06-02,2.05,2.05
2003-06-03,2,2
2003-06-04,1.9,1.91
2003-06-05,1.99,1.91
2003-06-06,2.05,2
2003-06-09,2.1,2.03
2003-06-10,2,2
2003-06-11,1.9,1.95
2003-06-12,1.81,1.81
2003-06-13,1.72,1.72
2003-06-16,1.72,1.72
2003-06-17,1.8,1.73
2003-06-18,1.8,1.8
2003-06-19,1.8,1.8
2003-06-26,1.71,1.71
2003-06-27,1.7,1.7
2003-07-01,1.68,1.67
2003-07-08,1.68,1.68
2003-07-09,1.76,1.73
2003-07-11,1.76,1.76
2003-07-14,1.8,1.76
2003-07-15,1.8,1.8
2003-07-16,1.8,1.8
2003-07-17,1.8,1.8
2003-07-18,1.89,1.89
2003-07-21,1.89,1.89
2003-07-23,1.85,1.85
2003-07-24,1.85,1.84
2003-07-25,1.86,1.86
2003-07-29,1.86,1.88
2003-08-01,1.85,1.84
2003-08-04,1.85,1.85
2003-08-06,1.85,1.85
2003-08-08,1.85,1.85
2003-08-11,1.85,1.85
2003-08-12,1.85,1.85
2003-08-13,1.85,1.85
2003-08-14,1.9,1.85
2003-08-15,1.85,1.85
2003-08-18,1.87,1.86
2003-08-20,1.8,1.81
2003-08-21,1.8,1.8
2003-08-22,1.8,1.8
2003-08-26,1.8,1.8
2003-08-27,1.8,1.8
2003-08-28,1.71,1.78
2003-08-29,1.79,1.78
2003-09-01,1.87,1.87
2003-09-02,1.8,1.8
2003-09-03,1.75,1.75
2003-09-04,1.83,1.78
2003-09-08,1.83,1.83
2003-09-09,1.81,1.8
2003-09-10,1.81,1.81
2003-09-11,1.81,1.81
2003-09-16,1.9,1.9
2003-09-17,1.81,1.97
2003-09-18,1.8,1.8
2003-09-24,1.71,1.71
2003-09-26,1.71,1.71
2003-09-29,1.71,1.71
2003-09-30,1.79,1.79
2003-10-03,1.87,1.87
2003-10-08,1.96,1.96
2003-10-10,1.87,1.9
2003-10-13,1.85,1.85
2003-10-15,1.94,1.94
2003-10-16,1.94,1.94
2003-10-17,1.94,1.95
2003-10-22,2.03,2.03
2003-10-23,2.03,2.03
2003-10-24,2.13,2.13
2003-10-27,2.2,2.2
2003-10-28,2.09,2.29
2003-10-29,1.99,2.18
2003-10-30,1.99,1.99
2003-10-31,1.9,1.9
2003-11-03,1.9,1.9
2003-11-04,1.99,1.99
2003-11-05,1.99,2.06
2003-11-06,2,2
2003-11-07,2.1,2.1
2003-11-11,2.12,2.18
2003-11-12,1.91,1.91
2003-11-17,1.93,1.92
2003-11-18,2.02,2.02
2003-11-19,2.12,2.12
2003-11-20,2.22,2.22
2003-11-21,2.11,2.23
2003-11-26,2.11,2.2
2003-11-27,2.02,2.14
2003-11-28,1.96,2.12
2003-12-01,2.05,2.05
2003-12-02,2.05,2.12
2003-12-03,2.15,2.15
2003-12-04,2.15,2.2
2003-12-08,2.25,2.25
2003-12-09,2.36,2.36
2003-12-10,2.47,2.47
2003-12-11,2.59,2.59
2003-12-12,2.71,2.71
2003-12-15,2.84,2.84
2003-12-16,2.7,2.93
2003-12-17,2.83,2.81
2003-12-18,2.69,2.82
2003-12-19,2.56,2.68
2003-12-22,2.56,2.56
2003-12-23,1.42,1.42
2003-12-29,1.49,1.49
2003-12-30,1.56,1.56
2003-12-31,1.63,1.63
2004-01-02,1.71,1.71
2004-01-05,1.64,1.66
2004-01-06,1.57,1.62
2004-01-07,1.52,1.54
2004-01-08,1.5,1.51
2004-01-09,1.57,1.57
2004-01-12,1.64,1.64
2004-01-13,1.65,1.72
2004-01-15,1.57,1.57
2004-01-16,1.5,1.5
2004-01-19,1.57,1.56
2004-01-20,1.64,1.64
2004-01-21,1.64,1.64
2004-01-22,1.72,1.72
2004-01-23,1.8,1.79
2004-01-26,1.89,1.89
2004-01-27,1.98,1.94
2004-01-28,2.07,2.07
2004-01-29,2.17,2.16
2004-01-30,2.27,2.27
2004-02-06,2.49,2.49
2004-02-09,2.61,2.6
2004-02-10,2.49,2.69
2004-02-11,2.5,2.6
2004-02-12,2.52,2.54
2004-02-13,2.52,2.63
2004-02-16,2.52,2.52
2004-02-17,2.52,2.54
2004-02-18,2.55,2.56
2004-02-19,2.6,2.56
2004-02-20,2.54,2.54
2004-02-24,2.58,2.61
2004-02-25,2.58,2.58
2004-02-26,2.7,2.66
2004-03-01,2.7,2.7
2004-03-02,2.75,2.72
2004-03-03,2.88,2.82
2004-03-04,2.8,2.96
2004-03-05,2.75,2.8
2004-03-08,2.75,2.75
2004-03-09,2.65,2.85
2004-03-10,2.65,2.65
2004-03-11,2.65,2.69
2004-03-12,2.75,2.66
2004-03-15,2.62,2.62
2004-03-16,2.5,2.52
2004-03-17,2.6,2.54
2004-03-18,2.7,2.7
2004-03-19,2.8,2.8
2004-03-22,2.66,2.66
2004-03-23,2.53,2.63
2004-03-24,2.41,2.44
2004-03-25,2.29,2.29
2004-03-26,2.18,2.19
2004-03-29,2.08,2.11
2004-03-30,1.99,2.07
2004-03-31,2.08,2.08
2004-04-01,2,2.01
2004-04-02,1.96,1.96
