Date,Close,Open
2007-06-12,1.84,1.84
2007-06-13,1.92,1.92
2007-06-14,2.01,2.01
2007-06-15,2.11,2.11
2007-06-16,2.11,2.11
2007-06-17,2.11,2.11
2007-06-18,2.21,2.21
2007-06-19,2.32,2.32
2007-06-20,2.43,2.43
2007-06-21,2.55,2.55
2007-06-22,2.67,2.67
2007-06-25,2.8,2.8
2007-06-26,2.94,2.94
2007-06-27,3.08,3.08
2007-06-28,3.23,3.23
2007-06-29,3.39,3.39
2007-07-02,3.55,3.55
2007-07-03,3.72,3.72
2007-07-04,3.9,3.9
2007-07-05,4.09,4.09
2007-07-06,4.29,4.25
2007-07-09,4.4,4.46
2007-07-10,4.18,4.31
2007-07-11,3.98,4
2007-07-12,3.79,3.8
2007-07-13,3.61,3.61
2007-07-16,3.79,3.48
2007-07-17,3.97,3.96
2007-07-18,3.9,3.9
2007-07-19,4,3.96
2007-07-20,3.8,3.89
2007-07-23,3.61,3.64
2007-07-24,3.43,3.48
2007-07-25,3.6,3.42
2007-07-26,3.78,3.78
2007-07-27,3.6,3.64
2007-07-30,3.78,3.72
2007-07-31,3.86,3.69
2007-08-01,3.9,3.7
2007-08-02,3.97,3.72
2007-08-03,3.88,3.85
2007-08-06,3.78,3.71
2007-08-07,3.95,3.68
2007-08-08,3.95,3.89
2007-08-09,3.76,3.78
2007-08-10,3.94,3.87
2007-08-13,4,3.96
2007-08-14,4,3.99
2007-08-15,3.8,3.98
2007-08-16,3.9,3.87
2007-08-17,3.9,3.82
2007-08-20,3.98,3.99
2007-08-21,3.81,3.85
2007-08-22,3.94,3.95
2007-08-23,3.98,3.96
2007-08-24,4.05,4.01
2007-08-27,3.85,3.97
2007-08-28,3.7,3.79
2007-08-29,3.6,3.58
2007-08-30,3.42,3.43
2007-08-31,3.42,3.39
2007-09-03,3.3,3.31
2007-09-04,3.46,3.21
2007-09-05,3.63,3.49
2007-09-06,3.55,3.63
2007-09-07,3.69,3.57
2007-09-10,3.71,3.79
2007-09-11,3.74,3.71
2007-09-12,3.57,3.7
2007-09-13,3.4,3.51
2007-09-14,3.57,3.51
2007-09-17,3.53,3.49
2007-09-18,3.4,3.46
2007-09-19,3.4,3.37
2007-09-20,3.46,3.54
2007-09-21,3.32,3.53
2007-09-24,3.48,3.27
2007-09-25,3.4,3.42
2007-09-26,3.26,3.39
2007-09-27,3.2,3.14
2007-09-28,3.07,3.11
2007-10-02,3.22,3.2
2007-10-03,3.38,3.13
2007-10-04,3.49,3.28
2007-10-05,3.32,3.32
2007-10-08,3.16,3.16
2007-10-09,3.28,3.07
2007-10-10,3.34,3.15
2007-10-15,3.18,3.26
2007-10-16,3.25,3.11
2007-10-17,3.19,3.24
2007-10-18,3.19,3.05
2007-10-19,3.05,3.08
2007-10-22,3.15,2.98
2007-10-23,3.26,3.06
2007-10-24,3.3,3.25
2007-10-25,3.26,3.3
2007-10-26,3.4,3.39
2007-10-29,3.23,3.24
2007-10-30,3.3,3.07
2007-10-31,3.14,3.14
2007-11-01,3.13,3
2007-11-02,3.13,2.99
2007-11-05,3.13,3.01
2007-11-06,3.13,3.01
2007-11-07,3.13,3.14
2007-11-08,3.12,3.07
2007-11-09,3.11,3.03
2007-11-12,3.1,3.04
2007-11-13,3.05,3
2007-11-14,3.01,3.01
2007-11-15,3.16,3.16
2007-11-16,3.31,3.31
2007-11-19,3.47,3.47
2007-11-20,3.64,3.64
2007-11-21,3.46,3.46
2007-11-22,3.37,3.4
2007-11-23,3.5,3.5
2007-11-26,3.67,3.65
2007-11-27,3.75,3.77
2007-11-28,3.75,3.61
2007-11-29,3.85,3.79
2007-11-30,3.72,3.78
2007-12-03,3.8,3.88
2007-12-04,3.8,3.96
2007-12-05,3.99,3.99
2007-12-06,4.06,4.15
2007-12-07,4,3.98
2007-12-10,4.1,4.11
2007-12-11,3.96,4.05
2007-12-12,4.15,4.15
2007-12-13,4.31,4.33
2007-12-14,4.52,4.49
2007-12-17,4.52,4.66
2007-12-18,4.41,4.41
2007-12-21,4.58,4.48
2007-12-24,4.5,4.46
2007-12-28,4.6,4.8
2007-12-31,4.83,4.81
2008-01-02,5.07,5.07
2008-01-03,5.29,5.31
2008-01-04,5.1,5.35
2008-01-07,4.9,4.95
2008-01-08,4.66,4.81
2008-01-09,4.89,4.55
2008-01-10,5.12,4.93
2008-01-11,5.35,5.18
2008-01-14,5.4,5.34
2008-01-15,5.67,5.33
2008-01-16,5.95,5.86
2008-01-17,6.24,6.06
2008-01-18,6.5,6.51
2008-01-21,6.81,6.67
2008-01-22,6.5,6.58
2008-01-23,6.5,6.33
2008-01-24,6.5,6.5
2008-01-25,6.5,6.5
2008-01-28,6.5,6.5
2008-01-29,6.5,6.5
2008-01-30,6.5,6.5
2008-01-31,6.5,6.5
2008-02-01,6.5,6.5
2008-02-04,6.5,6.5
2008-02-05,6.5,6.5
2008-02-06,6.5,6.5
2008-02-07,6.5,6.5
2008-02-08,6.5,6.5
2008-02-11,6.5,6.5
2008-02-12,6.5,6.5
2008-02-13,6.5,6.5
2008-02-14,6.5,6.5
2008-02-15,6.5,6.5
2008-02-18,6.5,6.5
2008-02-19,6.5,6.5
2008-02-20,6.5,6.5
2008-02-21,6.5,6.5
2008-02-22,6.5,6.5
2008-02-25,6.5,6.5
2008-02-26,6.5,6.5
2008-02-27,6.5,6.5
2008-02-28,6.5,6.5
2008-02-29,6.5,6.5
2008-03-03,6.5,6.5
2008-03-04,6.5,6.5
2008-03-05,6.5,6.5
2008-03-06,6.5,6.5
2008-03-07,6.5,6.5
2008-03-10,6.5,6.5
2008-03-11,6.5,6.5
2008-03-12,6.5,6.5
2008-03-13,6.5,6.5
2008-03-14,6.5,6.5
2008-03-17,6.5,6.5
2008-03-18,6.5,6.5
2008-03-20,6.5,6.5
2008-03-25,6.5,6.5
2008-03-26,6.5,6.5
2008-03-27,6.5,6.5
2008-03-28,6.5,6.5
2008-03-31,6.5,6.5
2008-04-01,6.5,6.5
2008-04-02,6.5,6.5
2008-04-03,6.5,6.5
2008-04-04,6.5,6.5
2008-04-07,6.5,6.5
2008-04-08,6.5,6.5
2008-04-09,6.5,6.5
2008-04-10,6.5,6.5
2008-04-11,6.5,6.5
2008-04-14,6.5,6.5
2008-04-15,6.5,6.5
2008-04-16,6.5,6.5
2008-04-17,6.5,6.5
2008-04-18,6.5,6.5
2008-04-21,6.5,6.5
2008-04-22,6.5,6.5
2008-04-23,6.5,6.5
2008-04-24,6.5,6.5
2008-04-25,6.5,6.5
2008-04-28,6.5,6.5
2008-04-29,6.5,6.5
2008-04-30,6.38,6.38
2008-05-02,6.38,6.38
2008-05-05,6.38,6.38
2008-05-06,6.38,6.38
2008-05-07,6.38,6.38
2008-05-08,6.68,6.69
2008-05-09,6.99,7
2008-05-12,7.25,7.22
2008-05-13,7.45,7.32
2008-05-14,7.08,7.1
2008-05-15,6.73,6.94
2008-05-16,7.05,6.84
2008-05-19,7,7.16
2008-05-20,6.89,6.88
2008-05-21,6.9,6.92
2008-05-22,6.9,6.91
2008-05-23,6.56,6.63
2008-05-26,6.55,6.59
2008-05-27,6.58,6.69
2008-05-28,6.55,6.77
2008-05-30,6.53,6.44
2008-06-02,6.21,6.4
2008-06-03,6,6.17
2008-06-04,6,6.09
2008-06-05,5.7,5.7
2008-06-06,5.42,5.54
2008-06-09,5.42,5.42
2008-06-10,5.42,5.42
2008-06-11,5.42,5.42
2008-06-12,5.42,5.42
2008-06-13,5.6,5.45
2008-06-16,5.6,5.59
2008-06-17,5.4,5.5
2008-06-18,5.13,5.16
2008-06-19,4.99,4.95
2008-06-20,4.75,4.75
2008-06-23,4.52,4.52
2008-06-24,4.3,4.3
2008-06-25,4.09,4.09
2008-06-26,4.09,3.99
2008-06-27,4.29,4.02
2008-06-30,4.5,4.5
2008-07-01,4.72,4.72
2008-07-02,4.95,4.95
2008-07-03,5.19,5.19
2008-07-04,5.44,5.44
2008-07-07,5.7,5.52
2008-07-08,5.42,5.57
2008-07-09,5.2,5.27
2008-07-10,5.46,5.45
2008-07-11,5.73,5.72
2008-07-14,5.55,5.61
2008-07-15,5.79,5.72
2008-07-16,5.51,5.69
2008-07-17,5.42,5.41
2008-07-18,5.43,5.49
2008-07-21,5.43,5.43
2008-07-22,5.16,5.37
2008-07-23,5,4.98
2008-07-24,4.75,4.75
2008-07-25,4.98,4.9
2008-07-28,5.2,5.21
2008-07-29,5.46,5.46
2008-07-30,5.26,5.33
2008-07-31,5,5.13
2008-08-01,5,5.08
2008-08-04,5.25,5.15
2008-08-05,5,5.19
