Date,Close,Open
2003-02-19,2.33,2.33
2003-02-21,2.33,2.33
2003-02-25,2.33,2.33
2003-02-26,2.3,2.3
2003-03-04,2.3,2.3
2003-03-14,2.19,2.19
2003-03-18,2.09,2.19
2003-03-20,2.08,2.08
2003-03-24,2.08,2.08
2003-03-25,2.08,2.08
2003-04-02,2.08,2.08
2003-04-03,2.05,2.05
2003-04-04,2.05,2.05
2003-04-07,2.05,2.05
2003-04-08,1.95,1.95
2003-04-10,1.95,1.95
2003-04-11,1.95,1.95
2003-04-17,1.95,1.95
2003-04-22,1.95,1.95
2003-04-23,1.95,1.95
2003-04-25,1.95,1.95
2003-04-28,1.95,1.95
2003-05-02,1.95,1.95
2003-05-06,1.95,1.95
2003-05-14,1.95,1.95
2003-05-15,1.95,1.95
2003-05-16,1.95,1.95
2003-05-19,1.95,1.95
2003-05-20,2,2
2003-05-21,2.1,2.06
2003-05-22,2,2.02
2003-05-23,2.08,0
2003-05-27,2,2
2003-05-30,2,2
2003-06-02,2.1,2.1
2003-06-04,2.1,2.1
2003-06-05,2.1,2.1
2003-06-06,2.1,2.1
2003-06-10,2.1,2.1
2003-06-16,2.1,2.1
2003-06-20,2.1,2.1
2003-06-23,2.1,2.1
2003-06-24,2.1,2.1
2003-06-27,2,2
2003-07-01,2,2
2003-07-10,2,2
2003-07-14,2,2
2003-07-15,2,2
2003-07-16,2,2
2003-07-23,1.9,1.9
2003-07-24,1.81,1.81
2003-07-29,1.81,1.81
2003-07-30,1.81,1.81
2003-07-31,1.72,1.72
2003-08-04,1.72,1.72
2003-08-05,1.72,1.72
2003-08-08,1.72,1.72
2003-08-13,1.72,1.72
2003-08-14,1.72,1.72
2003-08-15,1.72,1.72
2003-08-19,1.72,1.72
2003-08-20,1.72,1.72
2003-08-28,1.72,1.72
2003-09-03,1.72,1.72
2003-09-10,1.72,1.72
2003-09-15,1.8,1.75
2003-09-16,1.85,1.85
2003-09-18,1.85,1.85
2003-09-23,1.85,1.85
2003-09-24,1.9,1.9
2003-09-25,1.9,1.9
2003-09-26,1.9,1.9
2003-10-06,1.9,1.9
2003-10-07,1.9,1.9
2003-10-09,1.9,1.91
2003-10-10,1.99,1.99
2003-10-14,1.89,1.89
2003-10-16,1.89,1.89
2003-10-20,1.89,1.89
2003-10-22,1.89,1.91
2003-10-27,1.89,1.89
2003-10-28,1.89,1.89
2003-10-29,1.89,1.89
2003-11-03,1.9,1.9
2003-11-04,1.9,1.9
2003-11-05,1.99,1.97
2003-11-07,1.99,2
2003-11-10,1.99,1.99
2003-11-12,2.08,2.06
2003-11-14,2.18,2.18
2003-11-17,2.28,2.19
2003-11-18,2.39,2.36
2003-11-20,2.5,2.5
2003-11-21,2.62,2.62
2003-11-26,2.75,2.7
2003-11-27,2.75,2.75
2003-11-28,2.88,2.86
2003-12-01,3.02,3.02
2003-12-02,3.17,3.13
2003-12-03,3.17,3.17
2003-12-04,3.32,3.25
2003-12-05,3.48,3.48
2003-12-08,3.65,3.59
2003-12-09,3.83,3.83
2003-12-10,4.02,4.02
2003-12-11,4.22,4.22
2003-12-16,4.22,4.22
2003-12-17,4.01,4.01
2003-12-22,3.81,3.81
2003-12-23,3.81,3.81
2003-12-24,3.81,3.81
2003-12-29,3.62,3.63
2004-01-06,3.62,3.62
2004-01-07,3.44,3.44
2004-01-08,3.44,3.44
2004-01-12,3.27,3.27
2004-01-13,3.09,3.24
2004-01-15,2.96,2.96
2004-01-26,2.82,2.82
2004-01-27,2.82,2.82
2004-01-28,2.82,2.82
2004-01-30,2.69,2.79
2004-02-06,2.69,2.69
2004-02-13,2.69,2.69
2004-02-24,2.69,2.69
2004-03-01,2.69,2.69
2004-03-02,2.69,2.69
2004-03-04,2.69,2.69
2004-03-05,2.69,2.69
2004-03-08,2.69,2.66
2004-03-09,2.69,2.69
2004-03-10,2.69,2.69
2004-03-11,2.69,2.69
2004-03-12,2.56,2.65
2004-03-15,2.44,2.51
2004-03-17,2.44,2.44
2004-03-19,2.44,2.44
2004-03-24,2.44,2.44
2004-03-25,2.44,2.44
2004-03-26,2.44,2.44
2004-03-29,2.32,2.32
2004-04-01,2.32,2.32
2004-04-02,2.32,2.32
2004-04-05,2.31,2.31
2004-04-06,2.31,2.31
2004-04-08,2.31,2.31
2004-04-14,2.31,2.31
2004-04-15,2.31,2.31
2004-04-21,2.31,2.31
2004-04-26,2.31,2.31
2004-05-03,2.31,2.31
2004-05-04,2.31,2.31
2004-05-07,2.31,2.31
2004-05-11,2.31,2.31
2004-05-14,2.31,2.31
2004-05-17,2.31,2.31
2004-05-18,2.31,2.31
2004-05-20,2.31,2.31
2004-05-26,2.31,2.31
2004-05-27,2.31,2.31
2004-05-28,2.31,2.31
2004-06-04,2.31,2.31
2004-06-07,2.31,2.31
2004-06-18,2.31,2.31
2004-06-21,2.31,2.31
2004-06-23,2.31,2.31
2004-06-25,2.31,2.31
2004-06-29,2.31,2.31
2004-06-30,2.2,2.22
2004-07-02,2.2,2.2
2004-07-06,2.2,2.2
2004-07-07,2.2,2.2
2004-07-09,2.2,2.2
2004-07-13,2.2,2.2
2004-07-14,2.2,2.2
2004-07-15,2.2,2.2
2004-07-16,2.2,2.2
2004-07-19,2.2,2.2
2004-07-20,2.2,2.2
2004-07-21,2.2,2.2
2004-07-27,2.2,2.2
2004-07-28,2.2,2.2
2004-07-30,2.2,2.2
2004-08-04,2.2,2.2
2004-08-05,2.21,2.22
2004-08-06,2.21,2.21
2004-08-09,2.21,2.21
2004-08-12,2.21,2.21
2004-08-13,2.21,2.21
2004-08-17,2.21,2.21
2004-08-23,2.21,2.21
2004-08-25,2.21,2.21
2004-08-27,2.1,2.1
2004-08-31,2.1,2.1
2004-09-01,2.1,2.1
2004-09-02,2.1,2.1
2004-09-03,2.1,2.1
2004-09-08,2,2
2004-09-15,2,2
2004-09-22,2,2
2004-09-27,2,2
2004-09-28,2,2
2004-10-06,1.9,1.9
2004-10-07,1.81,1.81
2004-10-08,1.81,1.81
2004-10-12,1.9,1.86
2004-10-13,1.81,1.83
2004-10-14,1.81,1.81
2004-10-15,1.81,1.81
2004-10-18,1.81,1.81
2004-10-19,1.81,1.81
2004-10-20,1.85,1.83
2004-10-26,1.85,1.85
2004-11-01,1.85,1.85
2004-11-02,1.85,1.85
2004-11-03,1.85,1.85
2004-11-09,1.85,1.85
2004-11-10,1.85,1.85
2004-11-11,1.76,1.79
2004-11-15,1.76,1.76
2004-11-17,1.76,1.76
2004-11-19,1.76,1.76
2004-11-22,1.68,1.68
2004-11-24,1.68,1.68
2004-11-25,1.68,1.68
2004-11-26,1.68,1.68
2004-11-29,1.68,1.68
2004-12-06,1.68,1.68
2004-12-09,1.6,1.6
2004-12-10,1.6,1.6
2004-12-13,1.6,1.6
2004-12-15,1.6,1.6
2004-12-16,1.58,1.58
2004-12-17,1.58,1.58
2004-12-22,1.58,1.58
2004-12-24,1.58,1.58
2004-12-28,1.58,1.56
2004-12-29,1.58,1.58
2005-01-06,1.58,1.58
2005-01-07,1.57,1.57
2005-01-11,1.5,1.56
2005-01-12,1.5,1.5
2005-01-14,1.5,1.5
2005-01-17,1.43,1.44
2005-01-19,1.43,1.43
2005-01-24,1.36,1.43
2005-01-25,1.3,1.3
2005-01-27,1.3,1.3
2005-01-28,1.3,1.3
2005-01-31,1.3,1.3
2005-02-01,1.3,1.3
2005-02-03,1.3,1.3
2005-02-07,1.36,1.34
2005-02-08,1.36,1.36
2005-02-09,1.36,1.36
2005-02-14,1.36,1.36
2005-02-15,1.36,1.36
2005-02-16,1.3,1.3
2005-02-17,1.3,1.3
2005-02-21,1.3,1.3
2005-02-23,1.3,1.3
2005-02-25,1.3,1.3
2005-03-03,1.3,1.3
2005-03-04,1.3,1.3
2005-03-09,1.24,1.24
2005-03-10,1.24,1.24
2005-03-14,1.24,1.24
2005-03-16,1.24,1.24
2005-03-22,1.24,1.24
2005-03-29,1.24,1.24
2005-03-30,1.24,1.24
2005-03-31,1.24,1.24
2005-04-01,1.24,1.24
2005-04-05,1.24,1.24
2005-04-06,1.24,1.24
2005-04-13,1.24,1.24
2005-04-25,1.24,1.24
2005-04-26,1.24,1.24
2005-04-27,1.24,1.24
2005-05-03,1.24,1.24
2005-05-04,1.24,1.24
2005-05-05,1.24,1.24
2005-05-06,1.24,1.24
2005-05-09,1.24,1.24
2005-05-10,1.24,1.24
2005-05-11,1.24,1.24
2005-05-12,1.24,1.24
2005-05-13,1.24,1.24
2005-05-16,1.24,1.24
2005-05-19,1.24,1.24
2005-06-02,1.24,1.24
2005-06-09,1.24,1.24
2005-06-17,1.24,1.24
2005-06-21,1.24,1.24
2005-06-22,1.24,1.24
2005-06-23,1.24,1.24
2005-06-27,1.24,1.24
2005-06-28,1.24,1.24
2005-06-29,1.24,1.24
2005-07-04,1.24,1.24
2005-07-08,1.24,1.24
2005-07-12,1.24,1.24
2005-07-19,1.24,1.24
2005-07-27,1.3,1.3
2005-08-09,1.3,1.3
2005-08-10,1.3,1.3
2005-08-11,1.3,1.3
2005-08-15,1.3,1.3
2005-08-17,1.3,1.3
2005-08-18,1.3,1.3
2005-08-19,1.33,1.33
2005-08-23,1.33,1.33
2005-08-24,1.35,1.35
2005-08-26,1.41,1.41
2005-08-29,1.48,1.48
2005-08-30,1.55,1.55
2005-08-31,1.62,1.62
2005-09-01,1.7,1.7
2005-09-02,1.78,1.78
2005-09-05,1.86,1.86
2005-09-06,1.95,1.91
2005-09-07,2.04,2.04
2005-09-08,2.14,2.14
2005-09-09,2.24,2.19
2005-09-12,2.35,2.35
2005-09-13,2.46,2.46
2005-09-14,2.58,2.58
2005-09-15,2.7,2.67
2005-09-16,2.83,2.83
2005-09-19,2.83,2.83
2005-09-20,2.97,2.97
2005-09-21,2.97,3.08
2005-09-22,3.11,3.08
2005-09-23,3.26,3.26
2005-09-26,3.42,3.42
2005-09-27,3.59,3.59
2005-09-28,3.76,3.76
2005-09-29,3.94,3.94
2005-09-30,4.13,4.13
2005-10-04,4.33,4.16
2005-10-05,4.54,4.39
2005-10-06,4.32,4.69
2005-10-07,4.11,4.39
2005-10-10,2,2
2005-10-11,2,2
2005-10-12,2,1.97
2005-10-13,1.9,1.92
2005-10-14,1.81,1.85
2005-10-17,1.81,1.81
2005-10-18,1.81,1.81
2005-10-19,1.72,1.77
2005-10-20,1.72,1.72
2005-10-24,1.72,1.72
2005-10-25,1.8,1.8
2005-10-26,1.88,1.8
2005-10-28,1.88,1.86
2005-10-31,1.88,1.88
2005-11-01,1.79,1.79
2005-11-04,1.79,1.79
2005-11-08,1.87,1.87
2005-11-09,1.96,1.96
2005-11-10,2.05,2
2005-11-11,2.15,2.14
2005-11-14,2.25,2.25
2005-11-15,2.14,2.23
2005-11-16,2.04,2.11
2005-11-17,1.95,1.97
2005-11-18,1.95,1.95
2005-11-21,1.9,1.95
2005-11-22,1.81,1.84
2005-11-23,1.9,1.74
2005-11-24,1.9,1.9
2005-11-25,1.81,1.83
2005-11-28,1.72,1.79
2005-11-29,1.8,1.8
2005-11-30,1.8,1.86
2005-12-01,1.89,1.87
2005-12-02,1.89,1.89
2005-12-05,1.98,1.98
2005-12-06,1.98,1.95
2005-12-07,1.98,1.98
2005-12-08,1.98,1.98
2005-12-09,2.07,2.07
2005-12-12,2.17,2.16
2005-12-14,2.27,2.25
2005-12-15,2.27,2.27
2005-12-16,2.38,2.33
