Date,Close,Open
2008-09-26,5.25,5.25
2008-10-02,5.51,5.51
2008-10-03,5.78,5.73
2008-10-06,5.9,5.76
2008-10-07,5.85,5.85
2008-10-08,5.8,5.8
2008-10-09,5.75,5.75
2008-10-10,5.8,5.77
2008-10-13,5.75,5.75
2008-10-14,5.7,5.7
2008-10-15,5.65,5.65
2008-10-16,5.6,5.6
2008-10-17,5.6,5.6
2008-10-20,5.55,5.55
2008-10-21,5.55,5.55
2008-10-22,5.55,5.55
2008-10-23,5.5,5.5
2008-10-24,5.5,5.5
2008-10-27,5.5,5.5
2008-10-28,5.28,5.28
2008-10-29,5.28,5.28
2008-10-30,5.02,5.02
2008-10-31,4.77,4.77
2008-11-03,4.77,4.77
2008-11-04,4.77,4.77
2008-11-05,4.77,4.77
2008-11-07,4.47,4.49
2008-11-10,4.25,4.25
2008-11-11,4.04,4.04
2008-11-12,4.04,4.06
2008-11-13,3.84,3.84
2008-11-14,3.8,3.67
2008-11-17,3.99,3.66
2008-11-18,3.8,3.86
2008-11-19,3.61,3.82
2008-11-20,3.44,3.43
2008-11-21,3.61,3.45
2008-11-24,3.6,3.57
2008-11-25,3.75,3.73
2008-11-26,3.93,3.92
2008-11-27,3.9,3.96
2008-11-28,3.9,3.83
2008-12-01,3.9,3.84
2008-12-02,3.71,3.71
2008-12-03,3.53,3.53
2008-12-04,3.36,3.36
2008-12-05,3.2,3.2
2008-12-10,3.04,3.04
2008-12-11,2.89,2.89
2008-12-12,2.75,2.75
2008-12-15,2.62,2.62
2008-12-16,2.49,2.5
2008-12-17,2.37,2.37
2008-12-18,2.4,2.34
2008-12-19,2.49,2.34
2008-12-22,2.61,2.61
2008-12-23,2.74,2.74
2008-12-24,2.87,2.85
2008-12-29,3.01,3.01
2008-12-30,3.16,3.13
2008-12-31,3.31,3.29
2009-01-02,3.47,3.46
2009-01-05,3.3,3.35
2009-01-06,3.14,3.14
2009-01-07,2.99,2.99
2009-01-08,2.85,2.85
2009-01-09,2.71,2.71
2009-01-12,2.58,2.58
2009-01-13,2.46,2.54
2009-01-14,2.5,2.38
2009-01-15,2.61,2.59
2009-01-16,2.48,2.49
2009-01-19,2.5,2.48
2009-01-20,2.54,2.44
2009-01-21,2.42,2.42
2009-01-22,2.3,2.3
2009-01-23,2.28,2.21
2009-01-26,2.17,2.25
2009-01-27,2.07,2.07
2009-01-28,1.97,1.97
2009-01-29,1.99,1.9
2009-01-30,1.9,1.91
2009-02-02,1.9,1.87
2009-02-03,1.81,1.89
2009-02-04,1.9,1.89
2009-02-05,1.9,1.9
2009-02-06,1.99,1.99
2009-02-09,1.99,1.99
2009-02-10,2.08,2.08
2009-02-11,1.98,2.16
2009-02-12,1.9,1.94
2009-02-13,1.95,1.93
2009-02-16,1.9,1.95
2009-02-17,1.99,1.96
2009-02-18,2,1.98
2009-02-19,1.93,2.09
2009-02-20,2.02,1.99
2009-02-23,1.93,2.08
2009-02-24,2.02,1.97
2009-02-25,2.12,2.09
2009-02-26,2.12,2.15
2009-02-27,2.14,2.14
2009-03-02,2.2,2.16
2009-03-03,2.09,2.1
2009-03-04,1.99,1.99
2009-03-05,1.9,1.9
2009-03-06,1.97,1.9
2009-03-10,1.97,1.97
2009-03-11,1.88,1.89
2009-03-12,1.85,1.81
2009-03-13,1.94,1.93
2009-03-16,1.95,1.95
2009-03-17,1.88,1.96
2009-03-18,1.86,1.8
2009-03-19,1.77,1.77
2009-03-20,1.69,1.69
2009-03-23,1.61,1.61
2009-03-24,1.53,1.53
2009-03-26,1.39,1.39
2009-03-27,1.33,1.37
2009-03-30,1.33,1.29
2009-03-31,1.32,1.33
2009-04-01,1.38,1.34
2009-04-02,1.32,1.42
2009-04-03,1.32,1.32
2009-04-06,1.32,1.31
2009-04-07,1.3799,1.34
2009-04-08,1.4399,1.4199
2009-04-09,1.3999,1.4399
2009-04-14,1.4199,1.39
2009-04-15,1.4299,1.4399
2009-04-16,1.4299,1.4199
2009-04-17,1.5,1.4699
2009-04-20,1.5699,1.55
2009-04-21,1.64,1.6
2009-04-22,1.66,1.6499
2009-04-23,1.6999,1.7299
2009-04-24,1.6899,1.7199
2009-04-27,1.77,1.76
2009-04-28,1.85,1.85
2009-04-29,1.78,1.83
2009-04-30,1.6999,1.6999
2009-05-04,1.62,1.64
2009-05-05,1.62,1.62
2009-05-06,1.5899,1.6
2009-05-07,1.6,1.53
2009-05-08,1.68,1.6699
2009-05-11,1.7,1.7
2009-05-12,1.75,1.71
2009-05-13,1.83,1.69
2009-05-14,1.89,1.81
2009-05-15,1.8,1.86
2009-05-18,1.71,1.71
2009-05-19,1.79,1.79
2009-05-20,1.81,1.77
2009-05-21,1.81,1.83
2009-05-22,1.74,1.85
2009-05-25,1.8,1.74
2009-05-26,1.76,1.88
2009-05-27,1.79,1.84
2009-05-28,1.85,1.87
2009-06-01,1.96,1.88
2009-06-03,2.05,2.13
2009-06-04,2.15,2.12
2009-06-05,2.1,2.21
2009-06-08,2.2,2.15
2009-06-09,2.09,2.11
2009-06-10,1.99,2.01
2009-06-11,1.9,2.01
2009-06-12,1.99,1.99
2009-06-15,2,2.04
2009-06-16,2.1,2.06
2009-06-17,2.19,2.1
2009-06-25,1.72,1.81
2009-08-10,1.3,1.25
2009-08-11,1.3,1.3
2009-08-12,1.35,1.3
2009-08-13,1.29,1.35
2009-08-14,1.23,1.29
2009-08-18,1.14,1.2
2009-08-19,1.09,1.14
2009-08-20,1.04,1.09
2009-08-21,0.99,1.04
2009-08-24,0.95,0.99
2009-08-25,0.98,0.95
2009-08-26,0.95,0.98
2009-08-27,0.99,0.95
2009-08-28,0.95,0.99
2009-08-31,0.99,0.95
2009-09-01,1.03,0.99
2009-09-02,0.98,1.03
2009-09-03,0.98,0.98
2009-09-04,0.97,0.98
2009-09-07,0.93,0.97
2009-09-08,0.93,0.93
2009-09-09,0.89,0.93
2009-09-10,0.85,0.89
2009-09-11,0.85,0.85
2009-09-14,0.85,0.85
2009-09-15,0.85,0.85
2009-09-16,0.85,0.85
2009-09-17,0.89,0.85
2009-09-18,0.89,0.89
2009-09-23,0.88,0.89
2009-09-24,0.88,0.88
2009-09-25,0.92,0.88
2009-09-28,0.96,0.92
2009-09-29,1,0.96
2009-09-30,1,1
2009-10-02,1.02,1
2009-10-05,0.97,1.02
2009-10-06,1,0.97
2009-10-07,1,1
2009-10-08,1,1
2009-10-09,1,1
2009-10-12,1,1
2009-10-13,1,1
2009-10-14,0.95,1
2009-10-15,0.94,0.95
2009-10-16,0.94,0.94
2009-10-19,0.98,0.94
2009-10-20,0.99,0.98
2009-10-21,0.96,0.99
2009-10-22,0.96,0.96
2009-10-23,0.96,0.96
2009-10-26,0.92,0.88
2009-10-27,0.96,0.96
2009-10-28,0.96,0.96
2009-10-29,0.96,0.96
2009-10-30,0.96,0.96
2009-11-02,0.96,0.96
2009-11-03,0.96,0.96
2009-11-04,0.92,0.96
2009-11-05,0.92,0.92
2009-11-06,0.92,0.92
2009-11-09,0.92,0.92
2009-11-10,0.92,0.92
2009-11-11,0.92,0.92
2009-11-12,0.88,0.92
2009-11-13,0.88,0.88
2009-11-16,0.84,0.88
2009-11-17,0.84,0.84
2009-11-18,0.81,0.84
2009-11-19,0.81,0.81
2009-11-20,0.81,0.81
2009-11-23,0.77,0.81
2009-11-24,0.74,0.77
2009-11-25,0.71,0.74
2009-11-30,0.71,0.71
2009-12-01,0.71,0.71
2009-12-02,0.71,0.71
2009-12-03,0.68,0.71
2009-12-04,0.65,0.68
2009-12-07,0.65,0.65
2009-12-08,0.62,0.65
2009-12-09,0.59,0.62
2009-12-10,0.57,0.59
2009-12-11,0.57,0.57
2009-12-14,0.55,0.57
2009-12-15,0.53,0.55
2009-12-16,0.51,0.53
2009-12-17,0.5,0.51
2009-12-18,0.5,0.5
2009-12-21,0.5,0.5
2009-12-22,0.5,0.5
2009-12-23,0.5,0.5
2009-12-28,0.5,0.5
2009-12-30,0.54,0.54
2009-12-31,0.56,0.54
2010-01-04,0.58,0.56
2010-01-05,0.58,0.58
2010-01-06,0.58,0.58
2010-01-07,0.58,0.58
2010-01-08,0.58,0.58
2010-01-11,0.56,0.58
2010-01-12,0.54,0.56
2010-01-13,0.53,0.54
2010-01-14,0.51,0.53
2010-01-15,0.52,0.51
2010-01-18,0.52,0.52
2010-01-19,0.52,0.52
2010-01-20,0.52,0.52
2010-01-21,0.52,0.52
2010-01-22,0.54,0.52
2010-01-25,0.56,0.54
2010-01-26,0.56,0.56
2010-01-27,0.58,0.56
2010-01-28,0.58,0.58
2010-01-29,0.58,0.58
2010-02-01,0.6,0.58
2010-02-02,0.63,0.6
2010-02-03,0.66,0.63
2010-02-04,0.66,0.66
2010-02-05,0.69,0.66
2010-02-08,0.69,0.69
2010-02-09,0.72,0.69
2010-02-10,0.75,0.72
2010-02-11,0.78,0.75
2010-02-12,0.81,0.78
2010-02-15,0.85,0.81
2010-02-16,0.81,0.85
2010-02-17,0.77,0.81
2010-02-18,0.76,0.77
2010-02-19,0.73,0.76
2010-02-22,0.73,0.73
2010-02-23,0.73,0.73
2010-02-24,0.7,0.73
2010-02-25,0.67,0.7
2010-03-01,0.64,0.67
2010-03-02,0.64,0.67
2010-03-03,0.64,0.64
2010-03-04,0.67,0.64
2010-03-05,0.67,0.67
2010-03-08,0.67,0.67
2010-03-09,0.67,0.67
2010-03-10,0.7,0.67
2010-03-11,0.73,0.7
2010-03-12,0.73,0.73
2010-03-15,0.74,0.73
2010-03-16,0.77,0.74
2010-03-17,0.8,0.77
2010-03-18,0.8,0.8
2010-03-22,0.84,0.8
2010-03-23,0.88,0.84
2010-03-24,0.92,0.88
2010-03-25,0.96,0.92
2010-03-26,1,0.96
2010-03-29,1.05,1
2010-03-30,1.1,1.05
2010-03-31,1.15,1.1
2010-04-01,1.2,1.15
2010-04-06,1.26,1.2
2010-04-07,1.32,1.26
2010-04-08,1.38,1.32
2010-04-09,1.44,1.38
2010-04-12,1.51,1.44
2010-04-14,1.51,1.58
2010-04-15,1.44,1.51
2010-04-16,1.37,1.44
2010-04-19,1.31,1.37
2010-04-20,1.31,1.31
2010-04-21,1.25,1.31
2010-04-22,1.25,1.25
2010-04-23,1.25,1.25
2010-04-26,1.19,1.25
2010-04-27,1.19,1.19
2010-04-28,1.14,1.19
2010-04-29,1.14,1.14
2010-04-30,1.09,1.14
2010-05-04,1.09,1.09
2010-05-05,1.09,1.09
2010-05-07,1.09,1.09
2010-05-10,1.09,1.09
2010-05-11,1.04,1.09
2010-05-12,1.04,1.04
2010-05-13,1.04,1.04
2010-05-14,0.99,1.04
2010-05-17,0.99,0.99
2010-05-18,0.95,0.99
2010-05-19,0.91,0.95
2010-05-20,0.91,0.91
2010-05-21,0.87,0.91
2010-05-24,0.83,0.87
2010-05-25,0.79,0.83
2010-05-26,0.76,0.79
2010-05-27,0.73,0.76
2010-05-28,0.7,0.73
2010-06-01,0.67,0.7
2010-06-02,0.67,0.7
2010-06-03,0.64,0.64
2010-06-04,0.61,0.64
2010-06-07,0.58,0.61
2010-06-08,0.56,0.58
2010-06-09,0.58,0.56
2010-06-10,0.59,0.58
2010-06-11,0.61,0.59
2010-06-14,0.64,0.61
2010-06-15,0.64,0.64
2010-06-16,0.64,0.64
2010-06-17,0.67,0.64
2010-06-18,0.7,0.67
2010-06-21,0.73,0.7
2010-06-22,0.73,0.73
2010-06-23,0.76,0.73
2010-06-24,0.79,0.76
2010-06-25,0.8,0.79
2010-06-28,0.8,0.8
2010-06-29,0.8,0.8
2010-06-30,0.79,0.8
2010-07-01,0.79,0.79
2010-07-02,0.79,0.79
2010-07-05,0.79,0.79
2010-07-06,0.73,0.76
2010-07-07,0.73,0.73
2010-07-08,0.7,0.73
2010-07-09,0.7,0.7
2010-07-12,0.7,0.7
2010-07-13,0.67,0.7
2010-07-14,0.64,0.67
2010-07-16,0.62,0.64
2010-07-19,0.65,0.62
2010-07-20,0.65,0.65
2010-07-21,0.65,0.65
2010-07-22,0.65,0.65
2010-07-23,0.65,0.65
2010-07-26,0.65,0.65
2010-07-27,0.65,0.65
2010-07-28,0.65,0.65
2010-07-29,0.62,0.65
2010-07-30,0.6,0.62
2010-08-02,0.6,0.6
2010-08-03,0.6,0.6
2010-08-04,0.6,0.6
2010-08-05,0.6,0.6
2010-08-06,0.6,0.6
2010-08-09,0.6,0.6
2010-08-10,0.6,0.6
2010-08-11,0.6,0.6
2010-08-12,0.57,0.6
2010-08-13,0.57,0.57
2010-08-16,0.55,0.57
2010-08-17,0.53,0.55
2010-08-18,0.51,0.53
2010-08-19,0.51,0.51
2010-08-20,0.5,0.51
2010-08-23,0.5,0.5
2010-08-24,0.52,0.5
2010-08-25,0.52,0.52
2010-08-26,0.52,0.52
2010-08-27,0.52,0.52
2010-08-30,0.52,0.52
2010-08-31,0.52,0.52
2010-09-01,0.52,0.52
2010-09-02,0.52,0.52
2010-09-03,0.5,0.52
2010-09-06,0.5,0.5
2010-09-07,0.51,0.5
2010-09-08,0.5,0.51
2010-09-13,0.5,0.5
2010-09-14,0.5,0.5
2010-09-15,0.5,0.5
2010-09-16,0.5,0.5
2010-09-17,0.5,0.5
2010-09-20,0.5,0.5
2010-09-21,0.5,0.5
2010-09-22,0.5,0.5
2010-09-23,0.5,0.5
2010-09-24,0.5,0.5
2010-09-27,0.5,0.5
2010-09-28,0.5,0.5
2010-09-29,0.5,0.5
2010-09-30,0.5,0.5
2010-10-04,0.5,0.5
2010-10-05,0.5,0.5
2010-10-06,0.5,0.5
2010-10-07,0.5,0.5
2010-10-08,0.5,0.5
2010-10-11,0.5,0.5
2010-10-12,0.5,0.5
2010-10-13,0.5,0.5
2010-10-14,0.5,0.5
2010-10-15,0.5,0.5
2010-10-18,0.5,0.5
2010-10-19,0.5,0.5
2010-10-20,0.5,0.5
2010-10-21,0.5,0.5
2010-10-22,0.5,0.5
2010-10-25,0.5,0.5
2010-10-26,0.5,0.5
2010-10-28,0.5,0.5
2010-10-29,0.5,0.5
2010-11-01,0.5,0.5
2010-11-02,0.5,0.5
2010-11-03,0.5,0.5
2010-11-04,0.5,0.5
2010-11-05,0.5,NA
2010-11-08,0.5,0.5
2010-11-09,0.5,0.5
2010-11-10,0.5,0.5
2010-11-11,0.5,0.5
2010-11-12,0.5,0.5
2010-11-15,0.5,0.5
2010-11-18,0.5,0.5
2010-11-19,0.5,0.5
2010-11-22,0.5,0.5
2010-11-23,0.5,0.5
2010-11-24,0.5,0.5
2010-11-25,0.5,0.5
2010-11-26,0.5,0.5
2010-11-29,0.5,0.5
2010-11-30,0.5,0.5
2010-12-01,0.48,0.5
2010-12-02,0.5,0.48
2010-12-03,0.5,0.5
2010-12-06,0.5,0.5
2010-12-07,0.5,0.5
2010-12-08,0.5,0.5
2010-12-09,0.5,0.5
2010-12-10,0.5,0.5
2010-12-13,0.5,0.5
2010-12-14,0.5,0.5
2010-12-15,0.5,0.5
2010-12-17,0.5,0.5
2010-12-21,0.5,0.5
2010-12-22,0.5,0.5
2010-12-23,0.5,0.5
2010-12-24,0.5,0.5
2010-12-29,0.5,0.5
2010-12-30,0.5,0.5
2010-12-31,0.5,0.5
2011-01-04,0.5,0.5
2011-01-05,0.5,0.5
2011-01-06,0.5,0.5
2011-01-07,0.5,0.5
2011-01-10,0.5,0.5
2011-01-11,0.5,0.5
2011-01-12,0.5,0.5
2011-01-13,0.48,0.5
2011-01-14,0.48,0.48
2011-01-17,0.5,0.5
2011-01-18,0.5,0.5
2011-01-19,0.5,0.5
2011-01-20,0.5,0.5
2011-01-21,0.5,0.5
2011-01-24,0.5,0.5
2011-01-25,0.5,0.5
2011-01-26,0.5,0.5
2011-01-27,0.5,0.5
2011-01-28,0.5,0.5
2011-01-31,0.5,0.5
2011-02-01,0.5,0.5
2011-02-02,0.5,0.5
2011-02-03,0.5,0.5
2011-02-04,0.5,0.5
2011-02-07,0.5,0.5
2011-02-08,0.5,0.5
2011-02-09,0.5,0.5
2011-02-10,0.5,0.5
2011-02-11,0.5,0.5
2011-02-14,0.5,0.5
2011-02-16,0.5,0.5
2011-02-17,0.5,0.5
2011-02-18,0.5,0.5
2011-02-21,0.5,0.5
2011-02-22,0.5,0.5
2011-02-23,0.5,0.5
2011-02-24,0.5,0.5
2011-02-25,0.5,0.5
2011-02-28,0.5,0.5
2011-03-01,0.5,0.5
2011-03-02,0.5,0.5
2011-03-03,0.5,0.5
2011-03-04,0.5,0.5
2011-03-07,0.5,0.5
2011-03-08,0.5,0.5
2011-03-09,0.5,0.5
2011-03-10,0.5,0.5
2011-03-11,0.5,0.5
2011-03-14,0.5,0.5
2011-03-15,0.5,0.5
2011-03-16,0.5,0.5
2011-03-17,0.5,0.5
2011-03-18,0.5,0.5
2011-03-21,0.5,0.5
2011-03-22,0.5,0.5
2011-03-23,0.5,0.5
2011-03-24,0.5,0.5
2011-03-25,0.5,0.5
2011-03-28,0.5,0.5
2011-03-29,0.5,0.5
2011-03-30,0.5,0.5
2011-03-31,0.5,0.5
2011-04-01,0.5,0.5
2011-04-04,0.5,0.5
2011-04-05,0.5,0.5
2011-04-06,0.5,0.5
2011-04-07,0.5,0.5
2011-04-08,0.5,0.5
2011-04-11,0.5,0.5
2011-04-12,0.5,0.5
2011-04-13,0.5,0.5
2011-04-14,0.5,0.5
2011-04-15,0.5,0.5
2011-04-18,0.5,0.5
2011-04-19,0.5,0.5
2011-04-20,0.5,0.5
2011-04-21,0.5,0.5
2011-04-27,0.5,0.5
2011-04-28,0.5,0.5
2011-04-29,0.5,0.5
2011-05-03,0.5,0.5
2011-05-04,0.5,0.5
2011-05-05,0.5,0.5
2011-05-06,0.5,0.5
2011-05-09,0.5,0.5
2011-05-10,0.5,0.5
2011-05-11,0.5,0.5
2011-05-12,0.5,0.5
2011-05-13,0.5,0.5
2011-05-16,0.5,0.5
2011-05-17,0.5,0.5
2011-05-18,0.5,0.5
2011-05-19,0.5,0.5
2011-05-20,0.5,0.5
2011-05-23,0.5,0.5
2011-05-24,0.5,0.5
2011-05-25,0.5,0.5
2011-05-27,0.5,0.5
2011-05-31,0.5,0.5
2011-06-01,0.5,0.5
2011-06-02,0.5,0.5
2011-06-03,0.5,0.5
2011-06-06,0.5,0.5
2011-06-07,0.5,0.5
2011-06-08,0.5,0.5
2011-06-09,0.5,0.5
2011-06-10,0.5,0.5
2011-06-13,0.5,0.5
2011-06-14,0.5,0.5
2011-06-15,0.5,0.5
2011-06-17,0.5,0.5
2011-06-20,0.5,0.5
2011-06-21,0.5,0.5
2011-06-22,0.5,0.5
2011-06-23,0.5,0.5
2011-06-24,0.5,0.5
2011-06-27,0.5,0.5
2011-06-28,0.5,0.5
2011-06-29,0.5,0.5
2011-06-30,0.5,0.5
2011-07-01,0.5,0.5
2011-07-04,0.5,0.5
2011-07-05,0.5,0.5
2011-07-06,0.5,0.5
2011-07-07,0.5,0.5
2011-07-08,0.5,0.5
2011-07-11,0.5,0.5
2011-07-12,0.5,0.5
2011-07-13,0.5,0.5
2011-07-14,0.5,0.5
2011-07-15,0.5,0.5
2011-07-18,0.5,0.5
2011-07-19,0.5,0.5
2011-07-20,0.5,0.5
2011-07-21,0.5,0.5
2011-07-22,0.5,0.5
