Date,Open,High,Low,Close,Volume,Trades,Value
2008-02-04,15.75,15.75,15.75,15.75,15000.00,1.00,236250.00
2008-02-05,16.53,16.53,16.53,16.53,19000.00,1.00,314070.00
2008-02-06,17.35,17.35,17.35,17.35,16100.00,1.00,279335.00
2008-02-07,18.21,18.21,18.21,18.21,15800.00,1.00,287718.00
2008-02-08,19.12,19.12,19.12,19.12,16100.00,1.00,307832.00
2008-02-11,20.07,20.07,20.07,20.07,16250.00,1.00,326137.50
2008-02-12,21.07,21.07,21.07,21.07,15800.00,1.00,332906.00
2008-02-13,22.12,22.12,22.12,22.12,15200.00,1.00,336224.00
2008-02-14,23.22,23.22,23.22,23.22,15750.00,1.00,365715.00
2008-02-15,24.38,24.38,24.38,24.38,16000.00,1.00,390080.00
2008-02-18,25.59,25.59,25.59,25.59,15500.00,1.00,396645.00
2008-02-19,26.86,26.86,26.86,26.86,15900.00,1.00,427074.00
2008-02-20,28.20,28.20,28.20,28.20,15125.00,1.00,426525.00
2008-02-21,29.61,29.61,29.61,29.61,21075.00,6.00,624030.75
2008-02-22,31.09,31.09,31.09,31.09,9160.00,8.00,284784.41
2008-02-25,32.64,32.64,32.64,32.64,83701.00,32.00,2732000.75
2008-02-26,34.27,34.27,34.27,34.27,729825.00,100.00,25011102.00
2008-02-27,35.98,35.98,35.98,35.98,681340.00,97.00,24514614.00
2008-02-28,37.77,37.77,37.77,37.77,2598984.00,27.00,98163624.00
2008-02-29,39.65,39.65,39.65,39.65,387.00,50.00,15.00
2008-03-03,41.63,41.63,41.63,41.63,1887188.00,188.00,78563640.00
2008-03-04,43.71,43.71,43.71,43.71,362131.00,70.00,15828746.00
2008-03-05,45.89,45.89,45.89,45.89,768978.00,78.00,35288400.00
2008-03-06,48.18,48.18,48.18,48.18,900518.00,70.00,43386956.00
2008-03-07,50.58,50.58,45.78,50.58,10513278.00,503.00,521140256.00
2008-03-10,51.00,52.49,50.00,50.99,1310072.00,301.00,66219744.00
2008-03-11,53.53,53.53,49.00,49.99,3292726.00,326.00,165543024.00
2008-03-12,49.00,49.00,47.50,47.50,6537377.00,558.00,311712384.00
2008-03-13,45.20,46.00,45.13,45.13,16102496.00,604.00,726833664.00
2008-03-14,44.99,44.99,42.88,42.88,9449330.00,653.00,405247520.00
2008-03-17,42.88,42.88,40.74,40.74,608333.00,142.00,24911862.00
2008-03-18,38.71,39.00,38.71,38.71,3236710.00,269.00,125295256.00
2008-03-20,36.79,37.50,36.78,36.78,1043986.00,172.00,38468944.00
2008-03-25,36.78,36.78,34.95,34.95,1877381.00,250.00,65745552.00
2008-03-26,33.21,33.22,33.21,33.21,2951461.00,316.00,98018888.00
2008-03-27,31.60,34.87,31.56,34.87,2102064.00,290.00,66932576.00
2008-03-28,34.87,36.20,34.87,34.96,2112967.00,227.00,74369512.00
2008-03-31,34.00,34.50,33.70,34.00,1810629.00,359.00,61640968.00
2008-04-01,34.00,35.00,33.00,34.90,890102.00,218.00,30733396.00
2008-04-02,34.85,34.85,33.16,33.16,2711884.00,318.00,91849136.00
2008-04-03,32.06,33.99,31.95,32.00,3327427.00,251.00,109627464.00
2008-04-04,33.40,33.60,30.40,30.63,2529232.00,287.00,79613736.00
2008-04-07,30.63,32.00,30.45,31.00,1333079.00,222.00,41558784.00
2008-04-08,31.20,32.55,31.00,31.00,2521890.00,249.00,79680352.00
2008-04-09,31.00,32.55,31.00,32.55,3509092.00,300.00,113487512.00
2008-04-10,33.99,33.99,30.93,31.50,5860212.00,372.00,184781200.00
2008-04-11,32.99,33.00,30.15,30.99,4294810.00,286.00,134555280.00
2008-04-14,32.00,32.00,30.99,30.99,1295118.00,283.00,40677472.00
2008-04-15,31.00,31.50,30.10,30.40,5272759.00,264.00,163050768.00
2008-04-16,31.00,31.50,30.10,30.40,5272759.00,264.00,163050768.00
2008-04-17,31.08,31.08,29.53,30.00,2925921.00,300.00,88161360.00
2008-04-18,30.30,31.40,30.30,31.39,4075263.00,365.00,126106288.00
2008-04-21,31.39,32.00,30.70,31.91,1243122.00,303.00,39207752.00
2008-04-22,31.95,32.74,30.32,30.32,1547364.00,201.00,47660644.00
2008-04-23,30.32,30.32,28.81,28.81,2679166.00,402.00,78816544.00
2008-04-23,30.32,30.32,28.81,28.81,2679166.00,402.00,78816544.00
2008-04-24,30.00,30.00,27.37,27.37,1503911.00,240.00,43213484.00
2008-04-25,27.99,28.00,26.08,26.49,8044774.00,541.00,213604608.00
2008-04-28,26.50,26.60,25.51,26.50,2641086.00,900.00,69489784.00
2008-04-29,26.80,27.00,26.51,26.60,3820594.00,727.00,102401120.00
2008-04-30,26.70,27.93,26.00,27.93,2350699.00,333.00,64075640.00
2008-05-02,28.50,29.32,28.50,29.32,1016861.00,390.00,29674688.00
2008-05-05,30.01,30.78,30.00,30.78,1523292.00,404.00,46783472.00
2008-05-06,32.31,32.31,29.52,29.65,7028017.00,857.00,222302512.00
2008-05-07,29.65,31.00,29.65,30.65,2983455.00,623.00,90260904.00
2008-05-08,30.66,32.00,30.00,30.90,2948260.00,583.00,91327648.00
2008-05-09,30.99,31.50,29.90,30.00,2508846.00,457.00,76652112.00
2008-05-12,31.00,31.00,29.00,29.99,2502217.00,484.00,74851288.00
2008-05-13,30.00,30.00,29.01,29.03,1529569.00,536.00,45449776.00
2008-05-14,29.03,29.60,29.03,29.55,2350464.00,553.00,69359568.00
2008-05-15,29.60,30.00,29.20,29.99,2054895.00,697.00,60948744.00
2008-05-16,29.99,30.00,29.60,29.60,2097226.00,647.00,62678332.00
2008-05-19,29.60,29.60,28.12,28.12,1478668.00,406.00,42273672.00
2008-05-20,28.12,28.12,27.01,28.00,1708922.00,500.00,47719668.00
2008-05-21,27.95,29.20,27.50,29.01,2285634.00,446.00,66090284.00
2008-05-22,29.00,29.45,28.75,29.20,1727535.00,637.00,50206060.00
2008-05-23,29.20,29.20,27.74,27.80,1384164.00,523.00,39430516.00
