Date,Open,High,Low,Close,Volume,Trades,Value
2007-03-08,18.90,18.90,18.90,18.90,28392780.00,54.00,536623552.00
2007-03-09,19.84,19.84,19.84,19.84,780187.00,9.00,15478910.00
2007-03-12,20.83,20.83,20.83,20.83,2382288.00,13.00,49623060.00
2007-03-13,21.87,21.87,21.87,21.87,100000.00,1.00,2187000.00
2007-03-14,22.96,22.96,22.96,22.96,2210000.00,6.00,50741600.00
2007-03-15,24.10,24.10,24.10,24.10,200000.00,2.00,4820000.00
2007-03-16,25.30,25.30,25.30,25.30,3796778.00,53.00,96058480.00
2007-03-19,24.15,24.15,24.15,24.15,6350120.00,13.00,153355392.00
2007-03-20,25.35,25.35,25.35,25.35,320000.00,2.00,8112000.00
2007-03-21,26.61,26.61,26.61,26.61,1495000.00,11.00,39781952.00
2007-03-22,27.94,27.94,27.94,27.94,4976826.00,20.00,139052512.00
2007-03-23,29.33,29.33,29.33,29.33,10629850.00,30.00,311773504.00
2007-03-26,30.79,30.79,30.79,30.79,519630.00,23.00,15999408.00
2007-03-27,32.32,32.32,32.32,32.32,4380102.00,24.00,141564896.00
2007-03-28,33.93,33.93,33.93,33.93,10858500.00,121.00,368428896.00
2007-03-29,35.62,35.62,33.01,34.95,17769362.00,467.00,616350848.00
2007-03-30,34.05,36.69,33.70,36.69,36064328.00,468.00,1290737024.00
2007-04-03,38.52,38.52,37.51,38.52,16675734.00,277.00,640302528.00
2007-04-04,40.44,40.44,40.44,40.44,1584623.00,56.00,64082156.00
2007-04-05,42.46,42.46,42.46,42.46,7118043.00,90.00,302232096.00
2007-04-06,42.00,42.40,41.00,41.50,6006847.00,292.00,250330688.00
2007-04-10,44.58,44.58,42.90,44.58,19837868.00,427.00,880484992.00
2007-04-11,46.80,46.80,46.00,46.80,13923074.00,336.00,651281664.00
2007-04-16,49.14,49.14,47.00,49.14,19419104.00,317.00,951232320.00
2007-04-17,51.45,51.59,48.74,51.59,24269640.00,363.00,1236455296.00
2007-04-18,53.00,54.14,51.50,53.60,21349408.00,450.00,1134321152.00
2007-04-19,54.00,56.20,51.20,56.00,32007732.00,490.00,1738238976.00
2007-04-23,55.60,55.60,55.60,55.60,4246264.00,143.00,236092272.00
2007-04-24,52.82,53.00,52.82,52.82,10601468.00,241.00,560131456.00
2007-04-25,50.18,50.18,50.18,50.18,12687343.00,197.00,636650880.00
2007-04-26,47.68,47.68,47.68,47.68,6828274.00,119.00,325572096.00
2007-04-27,45.30,45.30,45.30,45.30,1355687.00,89.00,61412620.00
2007-04-30,43.04,43.04,43.04,43.04,16097837.00,87.00,692850880.00
2007-05-02,43.70,45.19,41.00,43.00,20570712.00,468.00,897852160.00
2007-05-03,43.00,44.50,43.00,44.00,11773595.00,333.00,517968896.00
2007-05-04,44.00,46.20,44.00,46.00,16106772.00,393.00,729233792.00
2007-05-07,46.00,48.30,46.00,47.70,5296690.00,174.00,254640768.00
2007-05-08,47.70,47.70,45.32,45.32,8717325.00,350.00,401021984.00
2007-05-09,44.00,45.99,43.06,44.00,15397078.00,286.00,682740480.00
2007-05-10,43.70,43.98,41.80,43.20,5115378.00,272.00,218958672.00
2007-05-11,43.09,44.99,42.96,43.02,23868692.00,420.00,1042199168.00
2007-05-14,43.05,43.10,42.75,42.99,6465718.00,163.00,277917504.00
2007-05-15,43.00,43.14,42.00,42.00,9709868.00,203.00,416946784.00
2007-05-16,42.00,42.00,41.50,41.99,4688949.00,198.00,196339456.00
2007-05-18,41.50,41.50,39.43,39.99,10224040.00,225.00,410259648.00
2007-05-21,39.98,40.00,38.52,38.56,6973315.00,192.00,274183136.00
2007-05-23,38.05,39.95,37.80,39.10,12074375.00,213.00,468672768.00
2007-05-24,41.05,41.05,37.90,39.50,32345336.00,304.00,1269465728.00
2007-05-25,40.00,40.98,38.60,40.96,12204679.00,337.00,487141152.00
2007-05-28,40.96,43.00,40.00,43.00,2944678.00,117.00,124312392.00
2007-05-30,43.00,43.50,41.50,42.90,17414636.00,405.00,736934144.00
2007-05-31,42.99,43.50,41.00,41.00,11964357.00,340.00,504212352.00
2007-06-01,41.25,42.01,41.00,41.00,9445129.00,215.00,394710432.00
2007-06-05,41.50,41.50,40.00,40.00,11170513.00,305.00,454797856.00
2007-06-06,40.00,40.00,38.00,38.50,10044747.00,302.00,390655616.00
2007-06-07,39.00,40.42,39.00,40.42,13848801.00,409.00,553283776.00
2007-06-08,40.43,41.00,40.00,40.01,8452541.00,453.00,340369888.00
2007-06-11,41.99,41.99,39.52,39.55,4648329.00,181.00,185680912.00
2007-06-12,40.00,40.00,39.00,39.58,4790247.00,213.00,189892640.00
2007-06-13,40.00,40.05,39.58,40.00,4377313.00,161.00,174854112.00
2007-06-14,40.00,41.00,39.50,40.00,5644845.00,232.00,224923072.00
2007-06-15,39.00,40.00,38.00,39.99,7924720.00,161.00,307799680.00
2007-06-18,40.00,40.00,38.06,38.06,5209478.00,196.00,205742144.00
