Date,Open,High,Low,Close,Volume,Trades,Value
2007-12-17,3.02,3.02,3.02,3.02,3250000.00,184.00,9815000.00
2007-12-18,3.17,3.17,3.17,3.17,376200.00,11.00,1192554.00
2007-12-21,3.32,3.32,3.32,3.32,260000.00,5.00,863200.00
2007-12-24,3.48,3.48,3.48,3.48,195000.00,4.00,678600.00
2007-12-27,3.65,3.65,3.65,3.65,140000.00,3.00,511000.00
2007-12-28,3.83,3.83,3.83,3.83,75000.00,3.00,287250.00
2007-12-31,4.02,4.02,4.02,4.02,56300.00,6.00,226326.00
2008-01-02,4.22,4.22,4.22,4.22,110000.00,5.00,464200.00
2008-01-03,4.43,4.43,4.43,4.43,174000.00,4.00,770820.00
2008-01-04,4.65,4.65,4.65,4.65,244500.00,9.00,1136925.00
2008-01-07,4.88,4.88,4.42,4.45,2675100.00,54.00,12287684.00
2008-01-08,4.30,4.67,4.23,4.23,7468280.00,80.00,32659380.00
2008-01-09,4.04,4.44,4.02,4.02,894675.00,48.00,3663661.00
2008-01-10,4.22,4.22,3.88,4.00,7424920.00,44.00,30164776.00
2008-01-11,4.20,4.20,4.00,4.20,11766301.00,63.00,47766668.00
2008-01-14,4.41,4.41,4.41,4.41,9161604.00,24.00,40402672.00
2008-01-15,4.63,4.63,4.63,4.63,3166000.00,14.00,14658580.00
2008-01-16,4.86,4.86,4.86,4.86,262500.00,13.00,1275750.00
2008-01-17,5.10,5.10,5.10,5.10,1446300.00,9.00,7376130.00
2008-01-18,5.35,5.35,5.35,5.35,1363500.00,26.00,7294725.00
2008-01-21,5.61,5.61,5.61,5.61,212000.00,9.00,1189320.00
2008-01-22,5.89,5.89,5.89,5.89,1576500.00,15.00,9285585.00
2008-01-23,6.18,6.18,6.18,6.18,1127580.00,28.00,6968444.50
2008-01-24,6.48,6.48,6.48,6.48,609000.00,12.00,3946320.00
2008-01-25,6.80,6.80,6.80,6.80,1216000.00,27.00,8268800.00
2008-01-28,7.14,7.14,7.14,7.14,2543250.00,25.00,18158804.00
2008-01-29,7.49,7.49,7.49,7.49,9485000.00,32.00,71042648.00
2008-01-31,8.25,8.25,8.25,8.25,4991500.00,24.00,41179876.00
2008-02-01,8.66,8.66,8.66,8.66,6624400.00,36.00,57367304.00
2008-02-04,9.09,9.09,9.09,9.09,2622999.00,22.00,23843060.00
2008-02-05,9.54,9.54,9.54,9.54,6825000.00,65.00,65110500.00
2008-02-06,10.01,10.01,10.01,10.01,7253000.00,71.00,72602528.00
2008-02-07,10.51,10.51,10.00,10.40,6689137.00,253.00,69599320.00
2008-02-08,10.51,11.03,10.50,10.98,12172321.00,270.00,132125752.00
2008-02-11,11.50,11.50,10.44,10.44,35738984.00,282.00,377073728.00
2008-02-12,6.87,6.87,6.87,6.87,321000.00,9.00,2205270.00
2008-02-13,7.21,7.21,7.21,7.21,1387800.00,31.00,10006038.00
2008-02-14,7.57,7.57,7.57,7.57,661987.00,31.00,5011241.50
2008-02-15,7.94,7.94,7.94,7.94,2039023.00,55.00,16189843.00
2008-02-18,8.33,8.33,7.90,8.33,7306495.00,232.00,60388888.00
2008-02-19,8.74,8.74,8.74,8.74,3094190.00,108.00,27043220.00
2008-02-20,9.17,9.17,9.00,9.17,8418207.00,293.00,76883712.00
2008-02-21,9.62,9.62,9.00,9.15,14461864.00,272.00,135574128.00
2008-02-22,9.10,9.30,8.70,9.15,7750016.00,337.00,69236584.00
2008-02-25,9.50,9.50,8.70,9.15,5671824.00,192.00,51039864.00
2008-02-26,8.70,9.15,8.70,9.15,6655005.00,168.00,58801032.00
2008-02-27,9.14,9.14,8.70,8.70,4007361.00,148.00,35395304.00
2008-02-28,8.70,8.70,8.70,8.70,9667156.00,183.00,84104256.00
2008-02-29,8.70,8.70,8.70,8.70,810.00,65.00,7.00
2008-03-03,8.70,8.70,8.70,8.70,715698.00,61.00,6226572.50
2008-03-04,8.70,8.70,8.70,8.70,1101051.00,77.00,9579144.00
2008-03-05,8.70,8.70,8.70,8.70,5474081.00,117.00,47624504.00
2008-03-06,8.70,8.70,8.70,8.70,1629637.00,82.00,14177842.00
2008-03-07,8.70,8.70,8.70,8.70,1838411.00,78.00,15994176.00
