Date,Close,Open
2006-04-13,7.24,7.24
2006-04-18,7.56,7.36
2006-04-19,7.49,7.28
2006-04-20,7.12,7.33
2006-04-21,6.77,6.77
2006-04-24,6.44,6.44
2006-04-25,6.12,6.12
2006-04-26,5.82,5.82
2006-05-02,5,5
2006-05-03,5.25,5.25
2006-05-04,5.51,5.51
2006-05-05,5.78,5.78
2006-05-08,6.06,6.06
2006-05-09,6.36,6.36
2006-05-10,6.67,6.67
2006-05-11,7,7
2006-05-12,7.35,7.35
2006-05-15,7.71,7.71
2006-05-16,8,7.92
2006-05-17,8.25,8.06
2006-05-18,8.66,8.59
2006-05-19,9.09,9.09
2006-05-22,9.08,9.16
2006-05-23,9,9.09
2006-05-24,8.99,8.93
2006-05-25,9,8.63
2006-05-26,8.81,8.73
2006-05-30,8.85,8.86
2006-05-31,8.88,8.71
2006-06-01,8.85,8.8
2006-06-02,9,8.96
2006-06-05,9.15,9.02
2006-06-06,8.9,8.98
2006-06-07,8.98,8.91
2006-06-08,9,9.02
2006-06-09,9.2,9.09
2006-06-12,9.27,9.31
2006-06-13,9.4,9.37
2006-06-14,8.99,9.2
2006-06-15,9,9.01
2006-06-16,8.95,8.99
2006-06-19,8.81,8.81
2006-06-20,8.53,8.81
2006-06-21,8.8,8.79
2006-06-22,8.56,8.57
2006-06-23,8.65,8.57
2006-06-26,8.88,8.72
2006-06-27,9,9.26
2006-06-28,9.45,9.45
2006-06-29,9.92,9.92
2006-06-30,10.41,10.41
2006-07-03,10.93,10.91
2006-07-04,10.99,11.03
2006-07-05,11.1,11.07
2006-07-06,11.65,11.55
2006-07-07,11.42,11.76
2006-07-10,10.85,11.2
2006-07-11,5.38,5.38
2006-07-12,5.64,5.64
2006-07-13,5.92,5.92
2006-07-14,6.21,6.21
2006-07-17,6.52,6.52
2006-07-18,6.84,6.84
2006-07-19,6.5,6.9
2006-07-20,6.18,6.22
2006-07-21,5.88,5.96
2006-07-25,5.6,5.59
2006-07-26,5.57,5.54
2006-07-27,5.49,5.51
2006-07-28,5.3,5.36
2006-07-31,5.54,5.26
2006-08-01,5.8,5.69
2006-08-02,5.8,5.94
2006-08-03,6.09,5.94
2006-08-04,6.39,6.39
2006-08-07,6.7,6.7
2006-08-08,7.03,7.03
2006-08-09,7.38,7.38
2006-08-10,7.74,7.74
2006-08-11,8.12,8.12
2006-08-14,8.52,8.48
2006-08-15,8.94,8.93
2006-08-16,9.38,9.33
2006-08-17,9.2,9.57
2006-08-18,8.74,8.8
2006-08-21,8.31,8.31
2006-08-22,7.9,7.9
2006-08-23,7.51,7.51
2006-08-24,7.14,7.14
2006-08-25,6.79,6.79
2006-08-28,7.12,7.06
2006-08-29,7.47,7.47
2006-08-30,7.63,7.69
2006-08-31,7.5,7.7
2006-09-01,7.13,7.19
2006-09-04,7,7
2006-09-05,7.35,7.07
2006-09-06,7.25,7.39
2006-09-07,7,7.11
2006-09-08,7.35,7.11
2006-09-11,7.38,7.61
2006-09-12,7.35,7.3
2006-09-13,6.99,7.06
2006-09-14,6.65,6.75
2006-09-15,6.32,6.4
2006-09-18,6.07,6.35
2006-09-19,6.37,6.34
2006-09-20,6.68,6.68
2006-09-21,6.68,6.9
2006-09-22,6.85,6.9
2006-09-25,6.75,6.81
2006-09-26,6.43,6.65
2006-09-27,6.11,6.19
2006-09-28,5.9,5.91
2006-09-29,5.95,5.91
2006-10-03,5.9,5.96
2006-10-04,5.9,5.83
2006-10-05,5.7,5.81
2006-10-06,5.98,5.68
2006-10-09,6.01,6
2006-10-10,6.31,6.28
2006-10-11,6.62,6.54
2006-10-12,6.5,6.38
2006-10-13,6.18,6.2
2006-10-16,5.89,6.1
2006-10-17,6.15,6.05
2006-10-18,6.17,6.15
2006-10-19,6.13,6.05
2006-10-20,5.97,5.96
2006-10-25,5.78,5.9
2006-10-26,5.51,5.78
2006-10-27,5.52,5.59
2006-10-30,5.51,5.56
2006-10-31,5.6,5.58
2006-11-01,5.32,5.53
2006-11-02,5.58,5.39
2006-11-03,5.79,5.67
2006-11-06,6,5.85
2006-11-07,5.92,5.96
2006-11-08,5.68,5.77
2006-11-09,5.4,5.53
2006-11-10,5.58,5.53
2006-11-13,5.85,5.66
2006-11-14,5.75,5.75
2006-11-15,5.5,5.59
2006-11-16,5.23,5.3
2006-11-17,4.98,5.08
2006-11-20,5.17,5.12
2006-11-21,4.99,5.04
2006-11-22,5,5.02
2006-11-23,5,4.97
2006-11-24,4.95,4.99
2006-11-27,4.89,4.94
2006-11-28,4.95,4.91
2006-11-29,4.9,4.89
2006-11-30,4.7,4.67
2006-12-01,4.77,4.81
2006-12-04,4.98,4.92
2006-12-05,5.09,4.99
2006-12-06,5.09,5.06
2006-12-07,5.1,5.13
2006-12-08,4.9,4.97
2006-12-11,5.05,4.93
2006-12-12,4.96,5
2006-12-13,4.9,4.78
2006-12-14,4.92,4.91
2006-12-15,5,4.97
2006-12-18,4.99,4.99
2006-12-19,5,4.99
2006-12-20,5.03,5
2006-12-21,5.03,5.01
2006-12-22,4.91,5.09
2006-12-27,5,5.06
2006-12-28,5,5.03
2006-12-29,5.01,5.03
2007-01-04,4.98,4.99
2007-01-05,5,5
2007-01-08,5.01,4.99
2007-01-09,5.08,5.06
2007-01-10,5,5.05
2007-01-11,5.01,5.04
2007-01-12,5,5.01
2007-01-15,4.99,5.01
2007-01-16,4.99,4.99
2007-01-17,4.99,4.97
2007-01-18,5,4.93
2007-01-19,5.25,5.1
2007-01-22,5.51,5.49
2007-01-23,5.78,5.78
2007-01-24,6.06,6.06
2007-01-25,6.36,6.36
2007-01-26,6.37,6.51
2007-01-30,6.68,6.46
2007-01-31,7.01,7.01
2007-02-01,7.34,7.11
2007-02-02,7.68,7.49
2007-02-05,8.06,7.93
2007-02-06,7.66,7.89
2007-02-07,7.99,7.84
2007-02-08,7.6,7.66
2007-02-09,7.22,7.26
2007-02-12,6.86,6.86
2007-02-13,6.52,6.56
2007-02-14,6.62,6.38
2007-02-15,6.95,6.8
2007-02-16,6.61,6.71
2007-02-19,6.94,6.76
2007-02-20,7.25,7.15
2007-02-21,7,6.96
2007-02-22,6.96,6.98
2007-02-23,6.62,6.71
2007-02-26,6.35,6.39
2007-02-27,6.32,6.46
2007-02-28,6.63,6.41
2007-03-01,6.5,6.33
2007-03-02,6.3,6.24
