Date,Close,Open
2003-07-01,0.5,0.5
2003-08-06,0.5,0.5
2004-01-28,0.5,0.5
2004-02-13,0.5,0.5
2004-02-27,0.5,0.5
2004-03-15,0.5,0.5
2004-03-23,0.5,0.5
2004-08-05,0.5,0.5
2004-08-13,0.5,0.5
2007-02-21,0.5,0.5
2007-05-16,0.5,0.5
2007-06-07,0.5,0.5
2007-06-08,0.5,0.51
2007-06-26,0.5,0.5
2007-07-20,0.52,0.52
2007-07-25,0.54,0.54
2007-07-26,0.56,0.56
2007-07-30,0.58,0.58
2007-07-31,0.6,0.6
2007-08-01,0.63,0.63
2007-08-02,0.66,0.66
2007-08-03,0.69,0.69
2007-08-06,0.72,0.72
2007-08-07,0.75,0.75
2007-08-08,0.78,0.78
2007-08-09,0.81,0.81
2007-08-10,0.85,0.85
2007-08-13,0.89,0.89
2007-08-14,0.93,0.93
2007-08-15,0.97,0.97
2007-08-16,1.01,1.01
2007-08-17,1.06,1.06
2007-08-20,1.11,1.11
2007-08-21,1.16,1.16
2007-08-23,1.21,1.21
2007-08-24,1.27,1.27
2007-08-27,1.33,1.33
2007-08-28,1.39,1.39
2007-08-29,1.45,1.45
2007-08-30,1.52,1.52
2007-08-31,1.59,1.59
2007-09-03,1.66,1.66
2007-09-04,1.74,1.74
2007-09-05,1.82,1.82
2007-09-06,1.91,1.91
2007-09-07,2,2
2007-09-10,2.1,2.1
2007-09-13,2.2,2.2
2007-09-14,2.31,2.31
2007-09-18,2.31,2.31
2007-09-19,2.42,2.42
2007-09-24,2.42,2.42
2007-09-27,2.54,2.47
2007-09-28,2.54,2.54
2007-10-02,2.66,2.59
2007-10-03,2.79,2.66
2007-10-04,2.79,2.79
2007-10-05,2.79,2.79
2007-10-08,2.92,2.86
2007-10-09,3.06,3.06
2007-10-10,3.21,3.21
2007-10-15,3.37,3.37
2007-10-16,3.37,3.37
2007-10-17,3.37,3.37
2007-10-18,3.37,3.37
2007-10-22,3.37,3.37
2007-10-24,3.37,3.37
2007-10-25,3.37,3.37
2007-10-26,3.37,3.37
2007-10-30,3.37,3.37
2007-10-31,3.37,3.37
2007-11-07,3.37,3.37
2007-11-12,3.37,3.37
2007-11-13,3.5,3.49
2007-11-14,3.67,3.51
2007-11-16,3.49,3.61
2007-11-19,3.4,3.4
2007-11-23,3.23,3.23
2007-12-05,3.23,3.23
2007-12-14,3.07,3.07
2008-01-09,3.07,3.07
2008-01-11,2.92,2.96
2008-01-14,2.78,2.78
2008-01-15,2.78,2.78
2008-01-16,2.65,2.65
2008-01-17,2.65,2.65
2008-01-21,2.78,2.66
2008-01-22,2.91,2.86
2008-01-23,2.91,2.91
2008-01-24,2.91,2.91
2008-01-28,3.05,3.05
2008-01-31,3.05,3.05
2008-02-01,3.2,3.2
2008-02-04,3.2,3.2
2008-02-11,3.2,3.2
2008-02-18,3.36,3.36
2008-02-21,3.52,3.52
2008-02-25,3.69,3.69
2008-02-28,3.51,3.51
2008-03-14,3.69,3.69
2008-03-18,3.69,3.69
2008-03-20,3.69,3.69
2008-03-25,3.69,3.69
2008-03-26,3.69,3.69
2008-03-28,3.69,3.69
2008-03-31,3.69,3.69
2008-04-01,3.69,3.69
2008-04-02,3.69,3.69
2008-04-07,3.69,3.69
2008-04-09,3.87,3.87
2008-04-10,3.87,3.87
2008-04-11,4.06,4.06
2008-04-16,4.06,4.06
2008-04-17,4.06,4.06
2008-04-21,4.26,4.06
2008-04-23,4.26,4.26
2008-04-28,4.26,4.26
2008-04-30,4.26,4.26
2008-05-12,4.26,4.26
2008-05-14,4.26,4.44
2008-05-20,4.26,4.26
2008-05-22,4.26,4.26
2008-05-23,4.26,4.26
2008-05-26,4.26,4.26
2008-05-27,4.26,4.26
2008-06-03,4.26,4.26
2008-06-05,4.26,4.26
2008-06-23,4.05,4.05
2008-06-25,4.05,4.05
2008-06-26,4.05,4.05
2008-06-27,4.45,4.45
2008-07-02,4.47,4.47
2008-07-04,4.47,4.47
2008-07-10,4.47,4.47
2008-07-14,4.47,4.47
2008-07-15,4.47,4.47
2008-07-17,4.47,4.47
2008-07-24,4.47,4.47
2008-07-25,4.47,4.47
2008-07-29,4.47,4.47
2008-08-26,4.15,4.15
2008-09-12,4.22,4.22
2008-10-20,4.22,4.22
2009-01-05,4.05,4.05
2009-04-16,4.0499,4.0499
2009-08-12,4.05,4.26
2009-09-01,4.26,4.26
2009-09-03,4.26,4.26
2009-09-24,4.26,4.26
2009-09-29,4.26,4.26
2009-09-30,4.26,4.26
2009-10-02,4.26,4.26
2009-10-06,4.26,4.26
2009-10-12,4.26,4.26
2009-10-13,4.26,4.26
2009-10-15,4.26,4.26
2009-12-10,4.26,4.26
2009-12-23,4.26,4.26
2009-12-28,4.26,4.26
2010-01-07,4.26,4.26
2010-01-22,4.26,4.26
2010-06-07,4.26,4.26
2010-06-11,4.26,4.26
2010-06-21,4.26,4.26
2010-07-21,4.26,4.26
2010-09-07,4.26,4.26
2011-02-10,4.26,4.26
2011-02-21,4.26,4.26
2011-03-03,4.26,4.26
2011-03-07,4.26,4.26
2011-04-11,4.26,4.26
2011-04-14,4.26,4.26
2011-05-17,4.26,4.26
2011-05-20,4.26,4.26
2011-06-03,4.26,4.26
2011-09-08,4.26,4.26
2012-05-09,4.26,4.26
2012-05-15,4.26,4.26
2012-06-12,4.26,4.26
