Date,Open,High,Low,Close,Volume,Trades,Value
2012-06-20,2.88,2.88,2.88,2.88,810000.00,11.00,2332800.00
2012-06-21,3.00,3.02,3.00,3.02,506700.00,15.00,1512299.00
2012-06-22,3.16,3.17,3.16,3.17,302910.00,16.00,953667.25
2012-06-25,3.31,3.31,3.31,3.31,60500.00,5.00,199690.00
2012-06-26,3.15,3.15,3.15,3.15,842270.00,27.00,2656865.50
2012-06-27,3.15,3.15,3.15,3.15,842270.00,27.00,2656865.50
2012-06-28,3.00,3.00,3.00,3.00,44726.00,9.00,129281.06
2012-06-29,3.00,3.00,3.00,3.00,81516.00,4.00,235800.59
2012-07-02,3.00,3.00,3.00,3.00,45650.00,6.00,132385.20
2012-07-03,2.85,2.85,2.85,2.85,255170.00,9.00,727332.50
2012-07-04,2.85,2.85,2.85,2.85,89500.00,5.00,248760.00
2012-07-05,2.72,2.72,2.72,2.72,180000.00,9.00,489730.91
2012-07-06,2.72,2.72,2.72,2.72,234233.00,16.00,607467.62
2012-07-09,2.72,2.72,2.72,2.72,238032.00,18.00,618588.81
2012-07-10,2.72,2.72,2.72,2.72,122327.00,13.00,324083.94
2012-07-11,2.60,2.61,2.60,2.61,213550.00,16.00,556516.56
2012-07-12,2.51,2.51,2.51,2.51,213550.00,17.00,543703.50
2012-07-13,2.51,2.51,2.51,2.51,121010.00,13.00,310019.50
2012-07-16,2.62,2.63,2.62,2.63,283483.00,4.00,743889.44
2012-07-17,2.76,2.76,2.76,2.76,429774.00,17.00,1185656.75
2012-07-18,2.76,2.76,2.76,2.76,170920.00,11.00,490897.66
2012-07-19,2.89,2.89,2.89,2.89,197754.00,17.00,569458.56
2012-07-20,2.78,2.78,2.78,2.78,164528.00,9.00,462877.72
2012-07-23,2.78,2.78,2.78,2.78,50708.00,10.00,135713.00
2012-07-24,2.65,2.65,2.65,2.65,157100.00,12.00,418115.00
2012-07-25,2.55,2.55,2.52,2.52,667196.00,12.00,1696333.88
2012-07-26,2.40,2.40,2.40,2.40,67001.00,5.00,160802.41
2012-07-27,2.28,2.28,2.28,2.28,92482.00,4.00,210858.95
2012-07-30,2.17,2.17,2.17,2.17,702493.00,9.00,1524409.75
2012-07-31,2.07,2.08,2.07,2.08,788195.00,26.00,1633193.62
2012-08-01,1.98,1.98,1.98,1.98,1908845.00,29.00,3790363.00
2012-08-02,1.96,2.02,1.95,2.02,542000.00,14.00,1078890.00
2012-08-03,2.12,2.12,2.12,2.12,323890.00,13.00,684579.50
2012-08-06,2.22,2.22,2.22,2.22,713723.00,29.00,1583949.50
2012-08-07,2.33,2.33,2.33,2.33,345460.00,9.00,804921.81
2012-08-08,2.44,2.44,2.44,2.44,175480.00,8.00,428171.19
2012-08-09,2.56,2.56,2.56,2.56,154225.00,10.00,394816.00
2012-08-10,2.68,2.68,2.68,2.68,1714971.00,39.00,4574958.50
2012-08-13,2.55,2.55,2.55,2.55,284500.00,11.00,725900.00
2012-08-14,2.43,2.45,2.43,2.45,498139.00,28.00,1220806.12
2012-08-15,2.35,2.35,2.35,2.35,110700.00,7.00,260540.00
2012-08-16,2.46,2.46,2.46,2.46,338800.00,12.00,824062.31
2012-08-17,2.50,2.50,2.50,2.50,125571.00,6.00,312224.66
2012-08-22,2.50,2.50,2.50,2.50,132967.00,4.00,330901.34
2012-08-23,2.50,2.50,2.38,2.38,499458.00,16.00,1213338.00
2012-08-24,2.28,2.28,2.28,2.28,168016.00,10.00,386130.41
2012-08-27,2.17,2.39,2.17,2.39,779801.00,19.00,1750516.38
2012-08-28,2.41,2.50,2.40,2.50,472772.00,28.00,1150025.00
2012-08-29,2.50,2.50,2.50,2.50,58500.00,8.00,142890.00
2012-08-30,2.39,2.42,2.38,2.42,558178.00,14.00,1335337.62
2012-08-31,2.40,2.40,2.30,2.30,544448.00,11.00,1265067.88
2012-09-03,2.30,2.30,2.30,2.30,227369.00,12.00,515960.91
2012-09-04,2.39,2.41,2.39,2.41,247639.00,21.00,589869.62
2012-09-05,2.31,2.31,2.30,2.30,641131.00,21.00,1480897.25
2012-09-06,2.19,2.25,2.19,2.25,1055670.00,24.00,2340820.25
2012-09-07,2.36,2.36,2.36,2.36,283500.00,17.00,665403.25
2012-09-10,2.26,2.26,2.26,2.26,181262.00,14.00,412129.12
2012-09-11,2.26,2.26,2.26,2.26,87824.00,11.00,191036.95
2012-09-12,2.15,2.15,2.15,2.15,683508.00,24.00,1470742.25
2012-09-13,2.25,2.25,2.13,2.24,907360.00,21.00,2012971.00
2012-09-17,2.32,2.32,2.32,2.32,714643.00,48.00,1679577.38
2012-09-18,2.40,2.40,2.40,2.40,425420.00,24.00,1002518.25
2012-09-19,2.40,2.40,2.40,2.40,324589.00,23.00,773426.06
2012-09-20,2.32,2.32,2.32,2.32,309644.00,13.00,725771.06
2012-09-24,2.40,2.49,2.40,2.49,1233979.00,22.00,3039595.25
2012-09-25,2.58,2.58,2.58,2.58,258977.00,19.00,654717.12
2012-09-26,2.58,2.58,2.58,2.58,494168.00,20.00,1263620.00
2012-09-27,2.48,2.54,2.48,2.54,278423.00,15.00,692410.19
2012-09-28,2.42,2.42,2.42,2.42,205000.00,7.00,496100.00
2012-10-02,2.30,2.30,2.30,2.30,212910.00,14.00,493564.19
2012-10-03,2.20,2.23,2.19,2.23,678360.00,15.00,1491475.62
2012-10-04,2.25,2.25,2.21,2.21,1050474.00,13.00,2341076.00
2012-10-05,2.21,2.21,2.21,2.21,199240.00,11.00,448320.84
2012-10-08,2.30,2.30,2.30,2.30,162500.00,10.00,370631.16
2012-10-09,2.29,2.33,2.29,2.33,353717.00,13.00,816502.31
2012-10-10,2.33,2.33,2.30,2.30,346432.00,20.00,798872.75
2012-10-11,2.20,2.28,2.19,2.28,795200.00,15.00,1755590.00
2012-10-12,2.28,2.28,2.28,2.28,328863.00,15.00,721564.25
2012-10-15,2.18,2.23,2.18,2.23,358464.00,15.00,791920.38
2012-10-16,2.20,2.23,2.20,2.20,557509.00,16.00,1233575.38
2012-10-17,2.20,2.20,2.20,2.20,78200.00,9.00,165375.98
2012-10-18,2.10,2.10,2.10,2.10,336060.00,13.00,709351.00
2012-10-19,2.20,2.20,2.20,2.20,82000.00,4.00,178840.00
2012-10-22,2.20,2.20,2.20,2.20,579805.00,25.00,1220235.75
2012-10-23,2.10,2.10,2.10,2.10,454065.00,12.00,970737.25
2012-10-24,2.10,2.10,2.10,2.10,88245.00,8.00,188536.05
2012-10-29,2.19,2.19,2.19,2.19,54900.00,5.00,119745.00
2012-10-30,2.19,2.19,2.19,2.19,15470.00,7.00,33400.13
2012-10-31,2.19,2.19,2.19,2.19,12215.00,4.00,25649.35
2012-11-01,2.09,2.09,2.09,2.09,206100.00,5.00,430749.00
2012-11-02,1.99,2.08,1.99,1.99,336500.00,20.00,676867.94
2012-11-05,1.99,1.99,1.99,1.99,52769.00,5.00,102206.95
2012-11-06,1.90,1.90,1.90,1.90,176332.00,10.00,335030.81
2012-11-07,1.90,1.90,1.86,1.86,685717.00,21.00,1288019.62
2012-11-08,1.86,1.86,1.86,1.86,78720.00,5.00,142605.59
2012-11-09,1.86,1.86,1.86,1.86,255900.00,16.00,481947.50
2012-11-12,1.78,1.93,1.77,1.93,997084.00,26.00,1775228.25
2012-11-13,1.93,1.93,1.93,1.93,54950.00,5.00,101108.00
2012-11-14,1.84,1.84,1.84,1.84,277000.00,8.00,509680.00
2012-11-15,1.75,1.75,1.75,1.75,210071.00,13.00,367708.97
2012-11-16,1.75,1.75,1.74,1.74,188410.00,9.00,328682.00
2012-11-19,1.68,1.75,1.68,1.75,172961.00,14.00,295943.78
2012-11-20,1.67,1.67,1.67,1.67,398444.00,17.00,674703.50
2012-11-21,1.60,1.60,1.60,1.60,201660.00,12.00,323639.00
2012-11-22,1.60,1.60,1.60,1.60,436684.00,8.00,698143.00
2012-11-23,1.52,1.52,1.52,1.52,334000.00,7.00,510720.00
2012-11-26,1.50,1.50,1.45,1.45,478760.00,12.00,701932.00
2012-11-27,1.38,1.38,1.38,1.38,251500.00,4.00,347070.00
