Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,256.38,269.19,243.57,269.19,95040.00,23.00,23933960.00
2007-01-05,269.19,269.19,255.74,269.19,120008.00,3.00,32035954.00
2007-01-08,255.74,269.00,255.74,269.00,255936.00,11.00,68833520.00
2007-01-10,269.00,269.00,255.55,255.55,31701.00,6.00,8370203.00
2007-01-11,255.55,255.55,242.78,255.55,952086.00,10.00,231551152.00
2007-01-12,250.00,255.55,250.00,255.55,25447.00,5.00,6495910.00
2007-01-15,255.00,255.00,255.00,255.00,40926.00,10.00,10436130.00
2007-01-16,245.00,245.00,245.00,245.00,25000.00,3.00,6125000.00
2007-01-17,245.00,246.00,245.00,246.00,33750.00,6.00,8302470.00
2007-01-18,246.00,246.00,246.00,246.00,41585.00,2.00,10229910.00
2007-01-19,240.00,246.00,240.00,246.00,12700.00,6.00,3108000.00
2007-01-22,246.00,258.30,246.00,258.30,80271.00,9.00,20646024.00
2007-01-23,270.00,270.00,246.50,246.50,80100.00,9.00,20506650.00
2007-01-26,258.00,268.00,258.00,268.00,20144.00,6.00,5343592.00
2007-01-26,258.00,268.00,258.00,268.00,20144.00,6.00,5343592.00
2007-01-30,268.00,270.00,268.00,270.00,50000.00,7.00,13409060.00
2007-01-31,270.00,270.00,260.00,268.00,20027.00,6.00,5374490.00
2007-02-02,260.00,268.00,260.00,260.00,4660.00,5.00,1213520.00
2007-02-05,247.00,273.00,247.00,260.00,73680.00,15.00,20032120.00
2007-02-06,271.00,273.00,271.00,273.00,170216.00,10.00,46428968.00
2007-02-07,273.90,286.65,271.03,286.65,499339.00,16.00,139717312.00
2007-02-08,300.00,300.00,286.65,286.65,11700.00,8.00,3429900.00
2007-02-09,288.65,300.98,285.50,300.98,1040100.00,19.00,305072064.00
2007-02-12,300.98,300.98,300.00,300.00,19375.00,10.00,5814852.00
2007-02-15,157.50,157.50,157.50,157.50,416950.00,14.00,65669624.00
2007-02-16,157.50,157.50,157.50,157.50,0.00,0.00,0.00
2007-02-21,165.37,165.37,165.37,165.37,112000.00,5.00,18521440.00
2007-02-22,165.37,165.37,165.37,165.37,110915.00,5.00,18342014.00
2007-02-23,173.63,173.63,173.63,173.63,210700.00,13.00,36583840.00
2007-02-26,182.31,182.31,164.95,164.95,1492917.00,83.00,260459792.00
2007-02-27,170.00,170.00,156.71,169.00,1867691.00,39.00,303287744.00
2007-02-28,170.00,177.43,160.55,160.55,921092.00,40.00,153492688.00
2007-03-01,168.00,168.00,152.53,152.53,254370.00,24.00,39720616.00
2007-03-02,152.33,152.33,144.91,144.91,618986.00,45.00,89871784.00
2007-03-05,144.95,152.15,138.00,140.00,761280.00,35.00,109120440.00
2007-03-06,147.00,147.00,144.00,145.10,130002.00,10.00,18877308.00
2007-03-07,147.50,152.35,147.50,152.00,284794.00,44.00,43169684.00
2007-03-08,158.50,159.60,144.40,144.40,805932.00,36.00,120922872.00
2007-03-09,151.62,151.62,140.00,151.62,341700.00,45.00,49559292.00
2007-03-12,151.70,158.50,144.43,151.00,729943.00,34.00,110741792.00
2007-03-13,155.00,157.00,143.45,145.00,651800.00,29.00,95421768.00
2007-03-14,145.00,152.25,145.00,152.25,373001.00,34.00,56177496.00
2007-03-15,150.01,156.23,150.00,150.00,213018.00,15.00,32506922.00
2007-03-16,157.50,157.50,155.00,157.50,58000.00,13.00,9085400.00
2007-03-19,157.50,165.37,156.50,165.00,354602.00,25.00,56350268.00
2007-03-20,173.25,173.25,158.00,170.00,12228250.00,53.00,2051287552.00
2007-03-21,170.00,178.00,165.00,170.00,22752936.00,39.00,3815831808.00
2007-03-22,170.00,175.00,161.50,169.90,34253.00,24.00,5739251.00
2007-03-23,169.00,169.00,161.41,161.41,344501.00,19.00,55862888.00
2007-03-26,169.00,169.00,153.34,155.01,406001.00,20.00,65703316.00
2007-03-27,160.00,162.76,151.02,152.13,355502.00,16.00,55660904.00
2007-03-28,155.00,159.73,150.00,156.00,658275.00,20.00,101817472.00
2007-03-29,149.00,162.00,149.00,162.00,233901.00,17.00,36357432.00
2007-03-30,170.09,170.09,156.00,170.00,354021.00,46.00,59400712.00
2007-04-03,170.00,177.00,163.00,175.50,1265590.00,78.00,215097232.00
2007-04-04,175.50,175.50,166.73,172.99,699301.00,26.00,117315064.00
2007-04-05,173.50,176.00,164.35,176.00,614362.00,33.00,107265960.00
2007-04-06,167.90,167.90,165.99,166.50,24576.00,10.00,4117860.00
2007-04-10,176.00,184.80,167.20,184.80,1232443.00,53.00,214616544.00
2007-04-11,184.80,192.00,176.00,185.00,1120818.00,39.00,202491088.00
2007-04-16,185.01,185.01,175.75,175.75,477450.00,13.00,84245424.00
2007-04-17,175.80,178.00,168.99,168.99,523120.00,14.00,89640608.00
2007-04-18,175.00,175.00,160.60,173.50,236126.00,16.00,39448288.00
2007-04-19,170.00,172.00,169.00,170.00,61400.00,9.00,10456600.00
2007-04-23,170.00,170.00,165.00,165.00,77088.00,16.00,12828350.00
2007-04-24,165.00,173.00,165.00,173.00,158102.00,22.00,26768430.00
2007-04-25,173.00,180.00,165.00,167.00,86297.00,16.00,14713255.00
2007-04-26,170.00,175.00,164.20,164.20,1660505.00,26.00,277649888.00
2007-04-27,164.20,172.41,157.00,172.41,11771485.00,32.00,1862605440.00
2007-04-30,153.28,153.28,153.28,153.28,15500.00,3.00,2375840.00
2007-05-02,160.00,160.94,153.28,160.94,10500.00,7.00,1673610.00
2007-05-03,168.98,168.98,168.98,168.98,122455.00,12.00,20692446.00
2007-05-04,168.98,177.00,162.00,177.00,39755628.00,36.00,6443802624.00
2007-05-07,177.00,185.85,172.00,185.00,1320000.00,20.00,232231632.00
2007-05-08,184.99,185.00,175.75,180.00,1285521.00,44.00,234553424.00
2007-05-09,172.00,185.00,171.00,179.80,1232220.00,41.00,219371184.00
2007-05-10,179.80,184.99,170.89,178.99,852332.00,41.00,150850896.00
2007-05-11,178.99,178.99,174.00,174.00,57911.00,8.00,10103864.00
2007-05-14,175.00,175.20,174.20,174.20,29400.00,5.00,5144580.00
2007-05-15,174.00,174.00,168.11,169.00,27180.00,7.00,4610505.00
2007-05-16,170.00,170.00,168.20,170.00,11810.00,6.00,2005908.00
2007-05-18,176.00,178.50,167.20,168.00,474777.00,20.00,82024768.00
2007-05-21,162.01,176.39,162.01,176.00,628213.00,22.00,106973776.00
2007-05-23,175.00,175.59,174.00,174.00,150500.00,7.00,26405660.00
2007-05-24,174.01,178.00,165.31,165.35,962380.00,27.00,164136208.00
2007-05-25,170.99,170.99,160.99,164.68,95301.00,13.00,15513273.00
2007-05-28,164.68,167.51,164.68,167.51,9654.00,4.00,1602555.75
2007-05-30,160.50,170.00,160.15,170.00,2611791.00,30.00,431104896.00
2007-05-31,171.00,173.99,161.50,161.50,1530776.00,36.00,251311456.00
2007-06-01,166.50,166.50,157.00,165.99,275100.00,8.00,43611748.00
2007-06-05,166.50,170.00,159.50,170.00,42900.00,9.00,7176500.00
2007-06-06,170.00,170.00,161.51,163.00,178312.00,14.00,28942580.00
2007-06-07,160.00,162.00,155.00,155.00,162450.00,12.00,25335470.00
2007-06-08,158.00,162.00,147.30,150.00,622000.00,37.00,96426952.00
2007-06-11,156.00,157.50,156.00,157.50,275336.00,10.00,43321920.00
2007-06-12,165.37,165.37,165.37,165.37,527784.00,15.00,87279640.00
2007-06-13,173.63,173.63,161.00,165.00,864332.00,41.00,142146272.00
2007-06-14,165.00,173.25,165.00,173.25,1312486.00,46.00,227091184.00
2007-06-15,173.25,173.25,173.25,173.25,708746.00,6.00,122790248.00
2007-06-18,173.25,173.25,173.25,173.25,35000.00,6.00,6063750.00
2007-06-19,173.25,173.25,173.25,173.25,37500.00,8.00,6496875.00
2007-06-20,173.25,173.25,173.25,173.25,60300.00,2.00,10446975.00
2007-06-21,173.25,173.25,173.25,173.25,6104.00,3.00,1057518.00
2007-06-22,173.25,173.25,173.25,173.25,46000.00,3.00,7969500.00
2007-06-25,173.25,173.25,173.25,173.25,23200.00,8.00,4019400.00
2007-06-26,173.25,173.25,173.25,173.25,103754.00,16.00,17975380.00
2007-06-27,173.25,173.25,173.25,173.25,232600.00,4.00,40297952.00
2007-06-28,173.25,173.25,173.25,173.25,126285.00,8.00,21878876.00
2007-06-29,173.25,173.25,173.25,173.25,1030850.00,7.00,178594768.00
