Date,Open,High,Low,Close,Volume,Trades,Value
2009-07-21,5.04,5.04,5.04,5.04,200.00,1.00,1008.00
2009-07-24,5.29,5.29,5.29,5.29,50000.00,3.00,264500.00
2009-07-29,5.03,5.55,5.03,5.55,56000.00,3.00,309240.00
2009-07-31,5.50,5.50,5.50,5.55,2000.00,1.00,11000.00
2009-08-03,5.28,5.28,5.28,5.55,500.00,1.00,2640.00
2009-08-04,5.28,5.28,5.28,5.55,500.00,1.00,2640.00
2009-08-07,5.28,5.28,5.28,5.55,500.00,1.00,2640.00
2009-08-12,5.28,5.28,5.28,5.55,100.00,1.00,528.00
2009-08-21,5.28,5.28,5.28,5.55,350.00,2.00,1848.00
2009-08-27,5.50,5.82,5.50,5.82,52200.00,4.00,287804.00
2009-08-28,5.82,5.82,5.82,5.82,100.00,1.00,582.00
2009-09-01,6.10,6.10,6.10,5.82,17000.00,1.00,103700.00
2009-09-02,5.53,5.53,5.53,5.82,500.00,1.00,2765.00
2009-09-04,5.53,5.53,5.53,5.82,1500.00,2.00,8295.00
2009-09-23,5.82,5.82,5.82,5.82,1000.00,1.00,5530.00
2009-09-28,5.82,5.82,5.82,5.82,500.00,1.00,2765.00
2009-09-29,5.82,5.82,5.82,5.82,1200.00,2.00,6636.00
2009-09-30,5.82,5.82,5.82,5.82,800.00,2.00,4424.00
2009-10-12,5.82,5.82,5.82,5.82,500.00,1.00,2765.00
2009-10-26,5.82,5.82,5.82,5.82,1000.00,1.00,5530.00
2009-10-27,5.82,5.82,5.82,5.82,1000.00,1.00,5530.00
2009-10-28,5.82,5.82,5.82,5.82,1000.00,1.00,5530.00
2009-10-30,5.82,5.82,5.82,5.82,250.00,1.00,1382.50
2009-11-17,5.82,5.82,5.82,5.82,200.00,1.00,1106.00
2009-11-19,6.11,6.11,6.11,6.11,65000.00,1.00,397150.00
2009-11-25,6.11,6.11,6.11,6.11,200.00,1.00,1162.00
2009-12-18,6.40,6.40,6.40,6.40,155000.00,4.00,992000.00
2009-12-28,6.40,6.40,6.40,6.40,10100.00,2.00,61408.00
2010-01-14,6.40,6.40,6.40,6.40,200.00,1.00,1216.00
2010-01-20,6.08,6.08,6.08,6.08,2100000.00,5.00,12768000.00
2010-01-21,6.08,6.08,6.08,6.08,8500.00,2.00,49130.00
2010-01-22,5.78,5.78,5.78,5.78,500000.00,1.00,2890000.00
2010-01-26,5.50,5.50,5.50,5.50,250000.00,1.00,1375000.00
2010-01-27,5.50,5.50,5.50,5.50,2000.00,1.00,10460.00
2010-02-01,5.23,5.23,5.23,5.23,500000.00,1.00,2615000.00
2010-02-03,5.23,5.23,5.23,5.23,1000.00,1.00,4970.00
2010-02-04,5.23,5.23,5.23,5.23,100.00,1.00,497.00
2010-02-10,5.23,5.23,5.23,5.23,200.00,1.00,994.00
2010-02-23,5.23,5.23,5.23,5.23,300.00,2.00,1491.00
2010-04-15,5.23,5.23,5.23,5.23,500.00,1.00,2485.00
2010-04-19,5.23,5.23,5.23,5.23,100.00,1.00,497.00
2010-05-14,5.23,5.23,5.23,5.23,20000000.00,2.00,104600000.00
2010-05-17,4.97,4.97,4.97,4.97,200000.00,1.00,994000.00
2010-05-18,4.97,4.97,4.97,4.97,500.00,1.00,2485.00
2010-05-19,4.97,4.97,4.97,4.97,50000.00,1.00,248500.00
2010-06-01,4.97,4.97,4.97,4.97,500.00,1.00,2485.00
2010-06-11,4.97,4.97,4.97,4.97,20.00,1.00,99.40
2010-06-25,4.97,4.97,4.97,4.97,200.00,1.00,946.00
2010-07-06,4.97,4.97,4.97,4.97,110.00,1.00,520.30
2010-07-19,4.97,4.97,4.97,4.97,100.00,1.00,473.00
2010-07-20,4.97,4.97,4.97,4.97,500.00,1.00,2365.00
2010-07-29,4.97,4.97,4.97,4.97,200.00,1.00,946.00
2010-08-02,4.97,4.97,4.97,4.97,1000.00,1.00,4730.00
2010-08-06,4.97,4.97,4.97,4.97,500.00,1.00,2485.00
2010-09-20,4.97,4.97,4.97,4.97,50.00,1.00,248.50
2010-09-23,4.97,4.97,4.97,4.97,100.00,1.00,497.00
2010-10-29,4.97,4.97,4.97,4.97,300.00,1.00,1491.00
2010-11-08,4.97,4.97,4.97,4.97,106000.00,3.00,514820.00
2010-11-09,4.97,4.97,4.97,4.97,62000.00,1.00,308140.00
2010-11-11,4.97,4.97,4.97,4.97,200500.00,2.00,996485.00
2010-11-24,4.97,4.97,4.97,4.97,2500.00,1.00,12425.00
2010-12-01,4.97,4.97,4.97,4.97,1000.00,1.00,5210.00
2010-12-06,4.97,4.97,4.97,4.97,1000.00,1.00,4730.00
2010-12-09,4.97,4.97,4.97,4.97,20000.00,1.00,94600.00
2011-02-09,4.97,4.97,4.97,4.97,50.00,1.00,248.50
2011-02-17,4.97,4.97,4.97,4.97,100.00,1.00,497.00
2011-03-31,4.97,4.97,4.97,4.97,200.00,1.00,994.00
2011-04-07,4.97,4.97,4.97,4.97,100.00,1.00,473.00
2011-04-13,4.97,4.97,4.97,4.97,1000.00,1.00,4730.00
2011-04-27,4.97,4.97,4.97,4.97,100.00,1.00,497.00
2011-04-29,4.97,4.97,4.97,4.97,500.00,1.00,2485.00
2011-05-05,4.97,4.97,4.97,4.97,200.00,2.00,994.00
2011-07-21,4.97,4.97,4.97,4.97,100.00,1.00,497.00
2011-07-25,4.97,4.97,4.97,4.97,100.00,1.00,497.00
2011-09-15,4.97,4.97,4.97,4.97,200.00,1.00,946.00
2011-09-16,4.97,4.97,4.97,4.97,400.00,2.00,1892.00
2011-09-20,4.97,4.97,4.97,4.97,100.00,1.00,473.00
2011-09-22,4.97,4.97,4.97,4.97,1000.00,1.00,4730.00
2011-10-06,4.97,4.97,4.97,4.97,95.00,1.00,449.35
2011-11-14,4.97,4.97,4.97,4.97,1000.00,1.00,5210.00
2011-11-23,4.97,4.97,4.97,4.97,1000.00,2.00,5210.00
2011-11-30,5.21,5.21,5.21,5.21,65000.00,1.00,338650.00
2011-12-05,5.47,5.47,5.47,5.47,72000.00,1.00,393840.00
2011-12-06,5.47,5.47,5.47,5.47,200.00,1.00,1080.00
2011-12-15,5.47,5.47,5.47,5.47,200.00,1.00,1040.00
2011-12-22,5.20,5.20,5.20,5.20,80482896.00,1.00,418511072.00
2011-12-28,4.94,4.94,4.94,4.94,250000.00,1.00,1235000.00
2011-12-29,4.94,4.94,4.94,4.94,1000.00,1.00,4940.00
2012-01-24,4.94,4.94,4.94,4.94,300.00,1.00,1410.00
2012-01-26,4.94,4.94,4.94,4.94,200000.00,5.00,940000.00
2012-01-31,4.94,4.94,4.94,4.94,200000.00,5.00,940000.00
2012-02-03,4.94,4.94,4.94,4.94,1000.00,1.00,4700.00
2012-02-07,4.70,4.70,4.70,4.70,500000.00,1.00,2350000.00
2012-02-24,4.70,4.70,4.70,4.70,200.00,1.00,894.00
2012-03-30,4.47,4.47,4.47,4.47,299800.00,1.00,1340106.00
2012-04-03,4.47,4.47,4.47,4.47,500.00,3.00,2125.00
2012-04-04,4.47,4.47,4.47,4.47,400.00,1.00,1700.00
2012-04-17,4.47,4.47,4.47,4.47,1000.00,1.00,4250.00
2012-04-18,4.47,4.47,4.47,4.47,10.00,1.00,42.50
2012-04-20,4.47,4.47,4.47,4.47,100.00,1.00,425.00
2012-04-25,4.47,4.47,4.47,4.47,150.00,1.00,637.50
2012-05-03,4.47,4.47,4.47,4.47,100.00,1.00,425.00
2012-05-09,4.47,4.47,4.47,4.47,100.00,1.00,425.00
