Date,Open,High,Low,Close,Volume,Trades,Value
2012-11-27,15.02,15.02,14.55,14.55,31603454.00,753.00,468232416.00
2012-11-28,14.74,14.88,14.69,14.83,5396415.00,532.00,79618352.00
2012-11-29,14.85,14.85,14.78,14.79,8393075.00,470.00,124289320.00
2012-11-30,14.71,14.89,14.71,14.88,18310264.00,447.00,270391776.00
2012-12-03,14.88,14.91,14.88,14.90,5706231.00,392.00,85000424.00
2012-12-04,14.90,14.91,14.80,14.90,12141405.00,529.00,180709632.00
2012-12-05,14.90,14.90,14.79,14.79,14302790.00,612.00,212642032.00
2012-12-06,14.75,15.02,14.75,15.01,28951458.00,464.00,433830400.00
2012-12-10,15.09,15.17,15.09,15.17,25391812.00,668.00,384180672.00
2012-12-11,15.18,15.80,15.17,15.60,16953022.00,593.00,261452832.00
2012-12-12,15.66,16.48,15.66,16.48,20841182.00,618.00,336835616.00
2012-12-13,16.48,16.50,15.36,15.60,21225184.00,569.00,337627200.00
2012-12-14,15.60,15.60,15.24,15.50,16063783.00,529.00,247775040.00
2012-12-17,15.69,15.69,15.26,15.30,9401537.00,508.00,145138144.00
2012-12-18,15.37,15.69,15.37,15.55,17356874.00,601.00,270545312.00
2012-12-19,15.59,15.70,15.55,15.60,16132775.00,459.00,251690064.00
2012-12-20,15.63,15.74,15.60,15.60,16018586.00,436.00,250945824.00
2012-12-21,15.61,15.85,15.60,15.73,17105804.00,422.00,268740192.00
2012-12-24,15.73,15.74,15.66,15.74,14828406.00,266.00,233003056.00
2012-12-28,15.71,15.74,15.60,15.62,15203749.00,432.00,238328704.00
2012-12-31,15.65,15.94,15.65,15.72,11836817.00,330.00,187255984.00
2013-01-02,15.75,17.25,15.75,17.10,11656264.00,340.00,195964608.00
2013-01-03,17.49,17.61,16.38,16.38,26637472.00,582.00,450634144.00
2013-01-04,16.66,17.00,16.65,16.98,10031470.00,415.00,168222976.00
2013-01-07,16.99,17.90,16.99,17.52,17938224.00,781.00,315712064.00
2013-01-08,17.89,17.89,17.03,17.51,26539764.00,971.00,459351712.00
2013-01-09,17.50,17.50,17.16,17.25,24183944.00,916.00,418212896.00
2013-01-10,17.21,17.21,16.79,16.79,16523906.00,565.00,280707872.00
2013-01-16,17.80,18.00,17.80,18.00,49557408.00,824.00,887672512.00
2013-01-17,17.57,17.98,17.55,17.80,40355756.00,647.00,716808448.00
2013-01-18,17.80,17.99,17.80,17.99,10072415.00,452.00,179503920.00
2013-01-21,18.00,18.08,17.99,18.00,27741248.00,534.00,499557056.00
2013-01-22,18.09,18.15,18.00,18.14,39058300.00,699.00,704552192.00
2013-01-23,18.14,18.14,17.98,18.00,41075900.00,734.00,740293952.00
2013-01-25,18.00,18.03,18.00,18.00,49143816.00,609.00,884735552.00
2013-01-28,18.05,18.30,18.05,18.21,16233023.00,533.00,295607520.00
2013-01-29,18.21,18.21,18.02,18.02,19157272.00,761.00,346703232.00
2013-01-30,18.00,18.24,18.00,18.20,16208438.00,627.00,294694688.00
2013-01-31,18.20,18.20,18.06,18.16,21938900.00,596.00,397933280.00
2013-02-01,18.20,18.75,18.20,18.71,12536958.00,551.00,232962016.00
2013-02-04,18.72,19.80,18.72,19.79,37538676.00,903.00,724644224.00
2013-02-05,19.40,20.20,19.40,19.91,21864446.00,817.00,434249248.00
2013-02-06,19.95,20.00,19.85,20.00,26962496.00,687.00,536706432.00
2013-02-07,19.76,20.49,19.67,19.70,25207164.00,487.00,501256192.00
2013-02-08,19.52,19.65,19.52,19.55,22436224.00,586.00,439223008.00
2013-02-12,20.00,20.04,19.71,20.04,25973674.00,738.00,516953536.00
2013-02-13,20.00,20.10,19.98,20.00,19016866.00,573.00,380458912.00
2013-02-14,19.95,19.97,19.56,19.70,21288284.00,457.00,421152736.00
2013-02-15,19.70,19.75,19.61,19.71,12702043.00,453.00,250233264.00
2013-02-18,19.71,19.90,19.69,19.73,39363256.00,689.00,776138048.00
2013-02-19,19.73,20.00,19.73,19.82,18034972.00,641.00,357898688.00
2013-02-25,20.00,20.05,20.00,20.00,75737376.00,549.00,1517361792.00
2013-02-26,19.99,20.01,19.98,19.99,39909584.00,526.00,798124032.00
2013-02-27,19.90,19.99,19.70,19.90,42665668.00,475.00,848847040.00
2013-02-28,19.89,19.89,19.75,19.80,36369584.00,399.00,721099392.00
2013-03-01,19.80,19.83,19.78,19.80,24214504.00,479.00,479511648.00
