Date,Close,Open
2003-03-05,0.97,0.97
2003-07-08,0.97,0.97
2003-10-09,0.97,0.97
2003-10-13,0.97,0.97
2003-11-14,0.97,0.97
2004-07-06,0.97,0.95
2005-04-13,0.97,0.97
2005-04-26,0.93,0.93
2005-04-29,0.89,0.89
2005-05-09,0.85,0.85
2005-05-10,0.81,0.81
2005-05-11,0.77,0.77
2005-05-12,0.77,0.77
2005-05-16,0.77,0.77
2005-05-17,0.74,0.74
2005-05-18,0.71,0.71
2005-05-19,0.68,0.68
2005-05-20,0.65,0.65
2005-05-25,0.62,0.62
2005-06-03,0.59,0.59
2005-06-13,0.57,0.57
2005-06-16,0.55,0.55
2005-07-08,0.53,0.53
2005-07-13,0.51,0.51
2005-08-03,0.49,0.49
2005-10-21,0.49,0.49
2006-06-22,0.49,0.49
2006-07-10,0.49,0.49
2007-05-30,0.49,0.49
2007-08-06,0.47,0.47
2007-08-20,0.47,0.47
2007-08-21,0.47,0.47
2007-09-14,0.47,0.47
2008-02-12,0.49,0.49
2008-02-15,0.49,0.49
2008-02-19,0.51,0.51
2008-02-20,0.51,0.51
2008-02-27,0.51,0.51
2008-02-29,0.53,0.53
2008-03-06,0.53,0.53
2008-03-18,0.55,0.55
2008-03-20,0.55,0.55
2008-03-27,0.57,0.57
2008-03-31,0.57,0.57
2008-04-02,0.57,0.57
2008-04-03,0.59,0.59
2008-04-16,0.59,0.59
2008-04-23,0.59,0.59
2008-04-24,0.61,0.61
2008-05-02,0.61,0.61
2008-05-16,0.64,0.64
2008-05-19,0.67,0.67
2008-05-20,0.7,0.7
2008-05-21,0.73,0.73
2008-05-23,0.76,0.76
2008-05-26,0.79,0.79
2008-05-27,0.82,0.82
2008-05-28,0.86,0.86
2008-05-30,0.9,0.9
2008-06-02,0.94,0.94
2008-06-03,0.98,0.98
2008-06-04,1.02,1.02
2008-06-05,1.07,1.07
2008-06-23,1.12,1.12
2008-06-24,1.17,1.17
2008-06-25,1.22,1.22
2008-06-27,1.28,1.28
2008-06-30,1.34,1.34
2008-07-01,1.4,1.4
2008-07-02,1.47,1.47
2008-07-03,1.54,1.54
2008-07-04,1.61,1.61
2008-07-07,1.69,1.69
2008-07-08,1.77,1.77
2008-07-09,1.85,1.85
2008-07-10,1.94,1.94
2008-07-11,2.03,2.03
2008-07-14,2.13,2.13
2008-07-15,2.23,2.23
2008-07-16,2.34,2.34
2008-07-17,2.45,2.45
2008-07-18,2.57,2.57
2008-07-21,2.69,2.69
2008-07-22,2.82,2.82
2008-07-23,2.96,2.96
2008-07-24,3.1,3.1
2008-07-25,3.25,3.14
2008-07-28,3.09,3.17
2008-07-29,2.94,2.99
2008-07-30,3.05,3.04
2008-07-31,3.16,3.16
2008-08-01,3.31,3.31
2008-08-04,3.47,3.47
2008-08-05,3.47,3.47
2008-08-06,3.47,3.44
2008-08-07,3.64,3.64
2008-08-08,3.64,3.56
2008-08-12,3.64,3.62
2008-08-13,3.64,3.51
2008-08-14,3.5,3.52
2008-08-15,3.67,3.51
2008-08-18,3.85,3.67
2008-08-19,3.49,3.53
2008-08-21,3.85,3.78
2008-08-22,3.85,3.85
2008-08-25,4.04,3.88
2008-08-26,4.04,4.04
2008-08-27,4.04,4.04
2008-08-28,4.04,4.04
2008-08-29,4.24,4.24
2008-09-03,4.24,4.24
2008-09-04,4.24,4.24
2008-09-05,4.24,4.24
2008-09-09,4.24,4.24
2008-09-10,4.24,4.24
2008-09-11,4.45,4.28
