Date,Open,High,Low,Close,Volume,Trades,Value
2008-06-04,7.87,7.87,7.87,7.87,15023354.00,396.00,118233792.00
2008-06-05,8.26,8.26,8.26,8.26,623850.00,24.00,5153001.00
2008-06-06,8.67,8.67,8.67,8.67,1944300.00,28.00,16857080.00
2008-06-09,9.10,9.10,9.10,9.10,330009.00,15.00,3003082.00
2008-06-10,9.55,9.55,9.55,9.55,206500.00,10.00,1972075.00
2008-06-11,9.71,10.00,9.55,9.55,2867565.00,190.00,27706386.00
2008-06-12,9.55,9.55,9.55,9.55,717149.00,83.00,6848773.00
2008-06-13,9.55,9.55,9.55,9.55,5373409.00,51.00,51316056.00
2008-06-16,9.08,9.08,9.08,9.08,321037.00,44.00,2915016.00
2008-06-17,8.63,8.63,8.63,8.63,491742.00,40.00,4243733.50
2008-06-18,8.20,8.40,8.20,8.20,7414655.00,58.00,60817500.00
2008-06-19,7.79,7.79,7.79,7.79,5184600.00,106.00,40388032.00
2008-06-20,7.41,7.41,7.41,7.41,326077.00,37.00,2416230.50
2008-06-23,7.04,7.04,7.04,7.04,715207.00,56.00,5035057.50
2008-06-24,6.69,6.69,6.69,6.69,220853.00,22.00,1477506.62
2008-06-25,6.36,6.36,6.36,6.36,1653698.00,31.00,10517519.00
2008-06-26,6.05,6.05,6.05,6.05,2608472.00,67.00,15781256.00
2008-06-27,5.75,6.34,5.75,6.20,9913588.00,94.00,58835816.00
2008-06-30,6.20,6.51,6.00,6.51,3401353.00,33.00,22038408.00
2008-07-01,6.83,6.83,6.80,6.83,3032746.00,56.00,20712336.00
2008-07-02,7.17,7.17,7.17,7.17,11260414.00,55.00,80737168.00
2008-07-03,7.52,7.52,6.82,6.82,2943097.00,124.00,21234884.00
2008-07-04,6.48,7.00,6.48,6.48,1783378.00,92.00,11894225.00
2008-07-07,6.40,6.66,6.16,6.40,2218743.00,87.00,14056204.00
2008-07-08,6.50,6.60,6.10,6.15,2208163.00,109.00,13830624.00
2008-07-09,6.15,6.45,6.00,6.10,2226279.00,114.00,13752375.00
2008-07-10,6.40,6.40,6.02,6.10,1435081.00,79.00,8944640.00
2008-07-11,6.40,6.40,6.05,6.19,2090864.00,151.00,12955639.00
2008-07-14,6.40,6.40,6.00,6.15,3568837.00,121.00,21607340.00
2008-07-15,6.15,6.20,5.85,6.00,2183637.00,85.00,13119877.00
2008-07-16,6.09,6.20,5.92,5.95,5610869.00,116.00,33604364.00
2008-07-17,5.90,6.24,5.67,6.24,5939034.00,137.00,35965012.00
2008-07-18,6.09,6.45,6.00,6.45,2284888.00,88.00,14404763.00
2008-07-21,6.45,6.60,6.13,6.13,10302518.00,100.00,65943488.00
2008-07-22,6.42,6.43,5.83,6.43,2833294.00,82.00,17252652.00
2008-07-23,6.43,6.43,6.11,6.20,3684261.00,109.00,22616940.00
2008-07-24,6.00,6.25,6.00,6.25,1833831.00,52.00,11372367.00
2008-07-25,6.55,6.55,6.02,6.55,846484.00,47.00,5365420.00
2008-07-28,6.86,6.87,6.23,6.23,1913438.00,68.00,12315192.00
2008-07-29,6.23,6.54,6.23,6.23,2212574.00,63.00,14118305.00
2008-07-30,6.30,6.52,6.30,6.50,984530.00,40.00,6380945.50
2008-07-31,6.71,6.78,6.25,6.50,396099.00,45.00,2597156.75
2008-08-01,6.50,6.59,6.40,6.40,431301.00,35.00,2809636.00
2008-08-04,6.65,6.65,6.20,6.35,453232.00,43.00,2871780.50
2008-08-05,6.35,6.35,6.21,6.22,657926.00,35.00,4104547.25
2008-08-06,6.20,6.48,6.20,6.30,825049.00,42.00,5140918.00
2008-08-07,6.50,6.50,6.20,6.40,689638.00,35.00,4358249.50
2008-08-08,6.40,6.50,6.30,6.30,752361.00,29.00,4789568.50
2008-08-11,6.20,6.40,6.00,6.00,5896861.00,60.00,35482348.00
2008-08-12,6.30,6.30,6.00,6.15,2025856.00,43.00,12179764.00
2008-08-14,6.00,6.32,5.90,5.92,5886492.00,64.00,35333080.00
2008-08-15,5.63,6.19,5.63,6.00,1685437.00,28.00,9900711.00
2008-08-18,5.70,6.29,5.70,5.90,4409707.00,58.00,26928200.00
2008-08-19,5.61,5.61,5.61,5.61,269581.00,12.00,1512349.38
2008-08-20,5.33,5.89,5.33,5.89,6528637.00,47.00,36297460.00
