Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,3.79,3.79,3.78,3.79,203592.00,9.00,771341.44
2007-01-05,3.82,3.97,3.62,3.97,5622824.00,38.00,21950642.00
2007-01-08,3.97,4.16,3.97,4.16,866820.00,32.00,3541109.25
2007-01-09,4.16,4.36,4.13,4.36,1673004.00,39.00,7238913.00
2007-01-10,4.36,4.57,4.21,4.57,105745008.00,75.00,475890848.00
2007-01-11,4.52,4.52,4.35,4.35,36939912.00,25.00,160694400.00
2007-01-12,4.14,4.34,4.14,4.28,26228766.00,55.00,108663696.00
2007-01-15,4.07,4.07,4.07,4.07,2572444.00,28.00,10469847.00
2007-01-16,4.07,4.22,3.87,3.90,5811260.00,35.00,22625248.00
2007-01-17,3.72,4.00,3.72,3.98,1987244.00,52.00,7746689.50
2007-01-18,3.98,3.98,3.80,3.85,1508531.00,36.00,5812573.00
2007-01-19,3.85,4.00,3.66,3.85,1511395.00,31.00,5694397.00
2007-01-22,3.85,3.85,3.66,3.67,956278.00,32.00,3517994.25
2007-01-23,3.51,3.83,3.49,3.50,20103126.00,54.00,70474664.00
2007-01-24,3.51,3.67,3.33,3.67,5699734.00,37.00,20178912.00
2007-01-26,3.66,3.66,3.47,3.64,18658656.00,56.00,64977132.00
2007-01-26,3.66,3.66,3.47,3.64,18658656.00,56.00,64977132.00
2007-01-30,3.64,3.74,3.52,3.52,261889.00,24.00,947578.06
2007-01-31,3.52,3.65,3.35,3.60,5567397.00,42.00,19237336.00
2007-02-02,3.37,3.63,3.37,3.39,11403011.00,72.00,39752928.00
2007-02-05,3.55,3.55,3.40,3.45,4352573.00,35.00,15283943.00
2007-02-06,3.62,3.62,3.62,3.62,5602744.00,23.00,20281934.00
2007-02-07,3.80,3.80,3.80,3.80,19819822.00,27.00,75315320.00
2007-02-08,3.99,3.99,3.99,3.99,9855983.00,33.00,39325372.00
2007-02-09,4.18,4.18,3.80,3.82,15603155.00,156.00,62574036.00
2007-02-12,4.01,4.01,4.01,4.01,7926464.00,26.00,31785120.00
2007-02-13,4.21,4.21,3.81,3.81,13479145.00,141.00,52828896.00
2007-02-14,3.84,4.00,3.71,3.78,28164930.00,158.00,110865408.00
2007-02-15,3.79,3.96,3.79,3.96,13880635.00,69.00,54325252.00
2007-02-16,4.14,4.14,3.96,4.07,5221109.00,110.00,21172758.00
2007-02-16,4.14,4.14,3.96,4.07,5221109.00,110.00,21172758.00
2007-02-19,4.26,4.26,3.98,4.01,4081469.00,82.00,16589044.00
2007-02-20,3.86,4.11,3.86,4.11,2554469.00,79.00,10270094.00
2007-02-21,4.10,4.10,4.01,4.08,2539960.00,69.00,10312798.00
2007-02-22,4.11,4.11,3.98,4.07,7329167.00,77.00,29939290.00
2007-02-23,4.07,4.10,3.99,4.10,2739449.00,105.00,11105931.00
2007-02-26,4.10,4.10,3.90,4.04,3276522.00,64.00,13153083.00
