Date,Open,High,Low,Close,Volume,Trades,Value
2011-03-05,10.10,10.10,10.10,10.10,117710.00,22.00,1202399.25
2011-06-20,20.29,20.29,20.29,20.29,4224.00,5.00,85704.96
2011-06-22,21.35,21.35,21.35,21.35,20500.00,9.00,415945.00
2011-06-23,21.35,21.35,21.35,21.35,9817.00,10.00,199186.94
2011-06-24,21.35,21.35,21.35,21.35,9817.00,10.00,199186.94
2011-06-24,21.35,21.35,21.35,21.35,32405.00,9.00,657497.44
2011-06-27,21.35,21.35,21.35,21.35,22178.00,11.00,430324.88
2011-06-28,20.29,20.29,20.29,20.29,347424.00,60.00,7049233.00
2011-06-29,20.29,20.29,20.29,20.29,25417.00,14.00,515710.94
2011-06-30,19.28,19.28,19.28,19.28,480432.00,48.00,9268057.00
2011-07-01,19.28,19.28,19.28,19.28,32665.00,8.00,629781.19
2011-07-04,19.28,19.28,19.28,19.28,17029.00,13.00,328319.12
2011-07-05,19.28,19.28,19.28,19.28,24051.00,19.00,463703.28
2011-07-06,19.28,19.28,19.28,19.28,12550.00,11.00,241964.00
2011-07-07,19.28,19.28,19.28,19.28,29334.00,15.00,565559.50
2011-07-08,19.28,19.28,19.28,19.28,37186.00,10.00,716946.06
2011-07-11,19.28,19.28,19.28,19.28,14197.00,9.00,273718.16
2011-07-12,19.28,19.28,19.28,19.28,102020.00,11.00,1966945.62
2011-07-13,19.28,19.28,19.28,19.28,3582.00,6.00,69060.96
2011-07-14,19.28,19.28,19.28,19.28,11495.00,10.00,221623.59
2011-07-15,19.28,19.28,19.28,19.28,49047.00,16.00,945626.19
2011-07-18,19.28,19.28,19.28,19.28,12037.00,19.00,232073.36
2011-07-19,19.28,19.28,19.28,19.28,35891.00,9.00,691978.50
2011-07-20,19.28,19.28,19.28,19.28,8297.00,10.00,159966.16
2011-07-21,19.28,19.28,19.28,19.28,6696.00,6.00,129098.88
2011-07-22,19.28,19.28,19.28,19.28,17737.00,11.00,341969.38
2011-07-25,19.28,19.28,19.28,19.28,54810.00,15.00,1056736.75
2011-07-26,19.28,19.28,19.28,19.28,3498.00,10.00,67441.44
2011-07-27,19.28,19.28,19.28,19.28,141139.00,10.00,2721160.00
2011-07-28,19.28,19.28,19.28,19.28,3764.00,5.00,72569.92
2011-08-01,19.28,19.28,19.28,19.28,94203.00,15.00,1816233.88
2011-08-02,19.28,19.28,19.28,19.28,24876.00,14.00,479609.28
2011-08-03,19.28,19.28,19.28,19.28,15560.00,8.00,285059.19
2011-08-04,18.32,18.32,18.32,18.32,151906.00,7.00,2782918.00
2011-08-05,18.32,18.32,18.32,18.32,15990.00,9.00,278385.91
2011-08-08,18.32,18.32,18.32,18.32,8131.00,8.00,141560.70
2011-08-09,18.32,18.32,18.32,18.32,16197.00,11.00,281989.78
2011-08-10,18.32,18.32,18.32,18.32,16485.00,9.00,287003.84
2011-08-12,18.32,18.32,18.32,18.32,6575.00,3.00,114470.75
2011-08-15,17.41,17.41,17.41,17.41,517922.00,5.00,9017022.00
2011-08-16,17.41,17.41,17.41,17.41,6385.00,7.00,105607.90
2011-08-17,17.41,17.41,17.41,17.41,166.00,1.00,2745.64
2011-08-18,17.41,17.41,17.41,17.41,4736.00,8.00,78333.44
2011-08-19,17.41,17.41,17.41,17.41,5134.00,6.00,84916.36
2011-08-22,17.41,17.41,17.41,17.41,1759.00,5.00,29093.86
2011-08-23,17.41,17.41,17.41,17.41,2880.00,6.00,47635.20
2011-08-24,17.41,17.41,17.41,17.41,9579.00,5.00,158436.66
2011-08-25,17.41,17.41,17.41,17.41,2980.00,7.00,49289.20
2011-08-26,17.41,17.41,17.41,17.41,9275.00,5.00,153408.50
2011-08-29,17.41,17.41,17.41,17.41,6826.00,7.00,112902.04
2011-09-01,17.41,17.41,17.41,17.41,16896.00,7.00,279459.84
2011-09-02,17.41,17.41,17.41,17.41,2079.00,4.00,34386.66
2011-09-05,16.54,16.54,16.54,16.54,151100.00,4.00,2499194.00
2011-09-06,15.72,15.72,15.72,15.72,138170.00,19.00,2172032.50
2011-09-07,14.94,14.94,14.94,14.94,91286.00,21.00,1363812.88
2011-09-08,14.20,14.20,14.20,14.20,93659.00,18.00,1329957.75
2011-09-09,14.20,14.20,14.20,14.20,4792.00,6.00,64644.08
2011-09-12,13.49,13.49,13.49,13.49,114421.00,6.00,1543539.25
2011-09-13,12.82,12.82,12.82,12.82,399255.00,44.00,5118449.00
2011-09-14,12.18,12.18,12.18,12.18,415390.00,70.00,5060090.00
2011-09-15,11.58,11.58,11.58,11.58,355857.00,52.00,4120824.00
2011-09-16,11.58,11.58,11.58,11.58,132806.00,33.00,1492627.25
2011-09-19,11.58,11.58,11.58,11.58,149422.00,37.00,1652131.00
2011-09-20,11.58,11.58,11.58,11.58,286849.00,46.00,3289263.50
2011-09-21,11.58,11.58,11.58,11.58,54878.00,15.00,629948.12
2011-09-22,11.01,11.01,11.01,11.01,92024.00,28.00,1020480.94
2011-09-23,10.46,10.46,10.46,10.46,185091.00,22.00,1971520.50
2011-09-26,10.46,10.46,10.46,10.46,141089.00,18.00,1406133.00
2011-09-27,10.98,10.98,10.98,10.98,196899.00,29.00,2034659.88
2011-09-28,10.98,10.98,10.98,10.98,81250.00,30.00,866178.56
2011-09-29,10.44,10.44,10.44,10.44,356594.00,24.00,3723900.00
2011-09-30,10.44,10.44,10.44,10.44,137735.00,18.00,1473493.25
2011-10-04,10.00,10.00,10.00,10.00,237301.00,24.00,2395091.00
2011-10-05,10.00,10.00,10.00,10.00,52428.00,28.00,524024.31
2011-10-06,9.60,9.60,9.60,9.60,125017.00,31.00,1224598.12
2011-10-07,9.60,9.60,9.60,9.60,133959.00,31.00,1265399.25
2011-10-10,9.60,9.60,9.60,9.60,110281.00,18.00,1101387.88
2011-10-11,9.12,9.12,9.12,9.12,239430.00,29.00,2211398.75
2011-10-12,9.12,9.12,9.12,9.12,126402.00,37.00,1162865.12
2011-10-13,9.12,9.12,9.12,9.12,52261.00,20.00,473148.19
2011-10-14,9.12,9.12,9.12,9.12,1486601.00,26.00,13560161.00
2011-10-17,9.12,9.12,9.12,9.12,240468.00,24.00,2213544.50
2011-10-20,9.12,9.12,9.12,9.12,13372.00,5.00,127970.04
2011-10-21,9.12,9.12,9.12,9.12,44627.00,12.00,427080.38
2011-10-24,9.12,9.12,9.12,9.12,34743.00,11.00,332490.50
