Date,Open,High,Low,Close,Volume,Trades,Value
2012-06-20,5.00,5.25,5.00,5.25,5820000.00,24.00,29112500.00
2012-06-21,5.25,5.25,5.25,5.25,110000.00,5.00,550000.00
2012-06-22,5.25,5.25,5.25,5.25,2001000.00,3.00,10505510.00
2012-06-25,5.50,5.50,5.50,5.50,900000.00,3.00,4950000.00
2012-06-26,5.50,5.50,5.50,5.50,100000.00,3.00,525000.00
2012-06-27,5.50,5.50,5.50,5.50,100000.00,3.00,525000.00
2012-07-05,5.50,5.50,5.50,5.50,90000.00,1.00,495000.00
2012-07-11,5.50,5.50,5.50,5.50,3000.00,1.00,16500.00
2012-07-12,5.50,5.50,5.50,5.50,1000.00,1.00,5500.00
2012-07-18,5.50,5.50,5.50,5.50,1000.00,1.00,5500.00
2012-08-02,5.75,5.75,5.75,5.75,53000.00,2.00,304000.00
2012-08-08,5.75,5.75,5.75,5.75,100.00,1.00,550.00
2012-08-16,5.75,5.75,5.75,5.75,150.00,2.00,862.50
2012-08-17,5.75,5.75,5.75,5.75,50000.00,1.00,287500.00
2012-08-24,5.75,5.75,5.75,5.75,2050.00,3.00,11787.50
2012-09-04,5.75,5.75,5.75,5.75,600.00,2.00,3450.00
2012-10-23,5.75,5.75,5.75,5.75,200.00,1.00,1150.00
2012-10-29,5.75,5.75,5.75,5.75,500.00,1.00,2875.00
2012-11-05,6.00,6.00,6.00,6.00,100200.00,2.00,601200.00
2012-11-07,6.00,6.00,6.00,6.00,16000.00,2.00,96000.00
2012-11-30,6.00,6.00,6.00,6.00,5000.00,1.00,30000.00
2012-12-03,6.00,6.00,6.00,6.00,10000.00,2.00,60000.00
2012-12-04,6.00,6.00,6.00,6.00,10000.00,1.00,60000.00
2012-12-05,6.00,6.00,6.00,6.00,10000.00,2.00,60000.00
2012-12-06,6.00,6.00,6.00,6.00,5000.00,1.00,30000.00
2012-12-11,6.00,6.00,6.00,6.00,10000.00,1.00,60000.00
2012-12-12,6.00,6.00,6.00,6.00,60000.00,1.00,360000.00
2012-12-14,6.00,6.00,6.00,6.00,200000.00,4.00,1200000.00
2013-01-16,6.00,6.00,6.00,6.00,250000.00,3.00,1500000.00
2013-01-21,6.00,6.00,6.00,6.00,100000.00,1.00,600000.00
