Date,Close,Open
2008-07-24,2.62,2.58
2008-07-25,2.75,2.64
2008-07-28,2.88,2.88
2008-07-29,3.02,3.02
2008-07-30,3.17,3.17
2008-07-31,3.32,3.29
2008-08-01,3.48,3.43
2008-08-04,3.65,3.64
2008-08-05,3.78,3.7
2008-08-06,3.6,3.61
2008-08-07,3.42,3.43
2008-08-08,3.26,3.26
2008-08-11,3.1,3.11
2008-08-12,2.95,2.95
2008-08-13,2.99,2.83
2008-08-14,2.85,2.85
2008-08-15,2.71,2.71
2008-08-18,2.58,2.58
2008-08-19,2.46,2.46
2008-08-21,2.33,2.23
2008-08-22,2.22,2.22
2008-08-25,2.11,2.11
2008-08-26,2.02,2.09
2008-08-27,2.12,2.12
2008-08-28,2.22,2.2
2008-08-29,2.33,2.33
2008-09-01,2.44,2.39
2008-09-02,2.42,2.42
2008-09-03,2.4,2.4
2008-09-04,2.38,2.38
2008-09-05,2.36,2.36
2008-09-08,2.34,2.34
2008-09-09,2.32,2.32
2008-09-10,2.3,2.3
2008-09-11,2.28,2.28
2008-09-12,2.26,2.26
2008-09-15,2.24,2.24
2008-09-16,2.22,2.22
2008-09-17,2.2,2.2
2008-09-18,1.98,1.98
2008-09-19,2.07,1.97
2008-09-22,2.16,2.08
2008-09-23,2.14,2.14
2008-09-24,2.12,2.12
2008-09-25,2.19,2.16
2008-09-26,2.17,2.17
2008-10-02,2.15,2.15
2008-10-03,2.13,2.13
2008-10-06,2.11,2.11
2008-10-07,2.09,2.09
2008-10-08,2.07,2.07
2008-10-09,2.05,2.05
2008-10-10,2.03,2.03
2008-10-13,2.01,2.01
2008-10-14,1.99,1.99
2008-10-15,1.98,1.98
2008-10-16,1.97,1.97
2008-10-17,1.96,1.96
2008-10-20,1.95,1.95
2008-10-21,1.94,1.94
2008-10-22,1.93,1.93
2008-10-23,1.92,1.92
2008-10-24,1.91,1.91
2008-10-27,1.9,1.9
2008-10-28,1.9,1.85
2008-10-29,1.91,1.93
2008-10-30,2,1.91
2008-10-31,2.03,1.91
2008-11-03,1.95,1.96
2008-11-04,1.86,1.86
2008-11-05,1.77,1.77
2008-11-07,1.94,1.9
2008-11-10,2,1.97
2008-11-11,2,1.94
2008-11-12,1.9,1.95
2008-11-13,1.81,1.91
2008-11-14,1.89,1.76
2008-11-17,1.8,1.8
2008-11-18,1.89,1.78
2008-11-19,1.8,1.83
2008-11-20,1.88,1.72
2008-11-21,1.79,1.79
2008-11-24,1.86,1.81
2008-11-25,1.8,1.84
2008-11-26,1.8,1.8
2008-11-27,1.71,1.72
2008-11-28,1.63,1.63
2008-12-01,1.65,1.58
2008-12-02,1.59,1.58
2008-12-03,1.52,1.53
2008-12-04,1.59,1.47
2008-12-05,1.52,1.55
2008-12-10,1.5,1.5
2008-12-11,1.43,1.43
2008-12-12,1.36,1.37
2008-12-15,1.3,1.3
2008-12-16,1.24,1.24
2008-12-17,1.23,1.19
2008-12-18,1.22,1.22
2008-12-19,1.22,1.22
2008-12-22,1.28,1.23
2008-12-23,1.34,1.31
2008-12-24,1.4,1.4
2008-12-29,1.47,1.47
2008-12-30,1.54,1.54
2008-12-31,1.5,1.61
2009-01-02,1.57,1.54
2009-01-05,1.64,1.63
2009-01-06,1.6,1.64
2009-01-07,1.6,1.6
2009-01-08,1.52,1.52
2009-01-09,1.5,1.46
2009-01-12,1.45,1.44
2009-01-13,1.38,1.4
2009-01-14,1.32,1.32
2009-01-15,1.26,1.29
2009-01-16,1.3,1.29
2009-01-19,1.36,1.3
2009-01-20,1.3,1.3
2009-01-21,1.31,1.26
2009-01-22,1.25,1.25
2009-01-23,1.19,1.19
2009-01-26,1.15,1.16
2009-01-27,1.2,1.2
2009-01-28,1.14,1.14
2009-01-29,1.14,1.09
