Date,Open,High,Low,Close,Volume,Trades,Value
2008-02-12,1.89,1.89,1.89,1.89,23000000.00,375.00,43470000.00
2008-02-13,1.98,1.98,1.98,1.98,1571500.00,99.00,3111570.00
2008-02-14,2.07,2.07,2.07,2.07,685001.00,15.00,1417952.12
2008-02-15,2.17,2.17,2.17,2.17,270000.00,24.00,585900.00
2008-02-18,2.27,2.27,2.27,2.27,173500.00,13.00,393845.00
2008-02-19,2.38,2.38,2.38,2.38,100000.00,7.00,238000.00
2008-02-20,2.49,2.49,2.49,2.49,217000.00,11.00,540330.00
2008-02-21,2.61,2.61,2.61,2.61,170000.00,7.00,443700.00
2008-02-22,2.74,2.74,2.74,2.74,90000.00,7.00,246600.00
2008-02-25,2.87,2.87,2.87,2.87,35000.00,3.00,100450.00
2008-02-26,3.01,3.01,3.01,3.01,22500.00,5.00,67725.00
2008-02-27,3.16,3.16,3.16,3.16,582000.00,6.00,1839120.00
2008-02-28,3.31,3.31,3.31,3.31,56000.00,6.00,185360.00
2008-02-29,3.47,3.47,3.47,3.47,6.00,2.00,20.00
2008-03-03,3.64,3.64,3.64,3.64,12000.00,3.00,43680.00
2008-03-04,3.82,3.82,3.82,3.82,230000.00,6.00,878600.00
2008-03-05,4.01,4.01,4.01,4.01,38683144.00,92.00,155119392.00
2008-03-06,4.21,4.21,4.21,4.21,143793360.00,242.00,605370048.00
2008-03-07,4.42,4.42,4.42,4.42,13294597.00,224.00,58762120.00
2008-03-10,4.64,4.64,4.49,4.64,7640672.00,148.00,35324376.00
2008-03-11,4.87,4.87,4.42,4.87,123663480.00,420.00,589166720.00
2008-03-12,5.01,5.11,4.63,4.63,49696696.00,413.00,246821408.00
2008-03-13,4.86,4.86,4.70,4.86,16917558.00,391.00,81961240.00
2008-03-14,5.05,5.05,4.62,4.85,24208248.00,310.00,115650544.00
2008-03-17,4.87,4.87,4.61,4.61,8655196.00,223.00,40473188.00
2008-03-18,4.80,4.84,4.38,4.38,10285127.00,215.00,45444260.00
2008-03-20,4.17,4.17,4.17,4.17,7408105.00,186.00,30891798.00
2008-03-25,4.29,4.29,3.97,3.97,16160733.00,157.00,64406008.00
2008-03-26,3.78,3.78,3.78,3.78,27065972.00,119.00,102309376.00
2008-03-27,3.64,3.65,3.60,3.60,14136340.00,154.00,50900340.00
2008-03-28,3.43,3.43,3.42,3.42,16221970.00,237.00,55524356.00
2008-03-31,3.25,3.59,3.25,3.39,84032624.00,406.00,280864384.00
2008-04-01,3.55,3.55,3.24,3.35,39498048.00,309.00,132408216.00
2008-04-02,3.50,3.51,3.25,3.51,26237284.00,350.00,90036944.00
2008-04-03,3.68,3.68,3.55,3.67,91234456.00,492.00,334033152.00
2008-04-04,3.84,3.85,3.55,3.85,80696112.00,480.00,305205920.00
