Date,Open,High,Low,Close,Volume,Trades,Value
2009-11-19,3.00,3.15,3.00,3.14,12893400.00,47.00,38749136.00
2009-11-20,3.29,3.29,3.29,3.29,5738275.00,86.00,18284684.00
2009-11-23,3.15,3.15,3.13,3.13,378700.00,18.00,1194665.00
2009-11-24,2.98,2.98,2.98,2.98,478691.00,21.00,1427559.12
2009-11-25,2.84,2.84,2.84,2.84,630673.00,5.00,1791111.38
2009-11-30,2.70,2.70,2.70,2.70,4322171.00,9.00,11669862.00
2009-12-01,2.57,2.57,2.57,2.57,63800.00,4.00,163966.00
2009-12-02,2.45,2.45,2.45,2.45,4375305.00,9.00,10719497.00
2009-12-03,2.45,2.45,2.45,2.45,72046.00,10.00,167867.19
2009-12-04,2.45,2.45,2.45,2.45,16378.00,6.00,38160.74
2009-12-07,2.40,2.40,2.40,2.40,177045.00,6.00,424866.59
2009-12-08,2.28,2.28,2.28,2.28,241400.00,10.00,550392.00
2009-12-09,2.17,2.17,2.17,2.17,50105.00,2.00,108727.85
2009-12-10,2.07,2.07,2.07,2.07,56240.00,3.00,116416.80
2009-12-11,1.97,1.97,1.97,1.97,213700.00,5.00,420989.00
2009-12-14,1.97,1.97,1.97,1.97,33050.00,5.00,62134.00
2009-12-15,1.88,1.88,1.88,1.88,109000.00,4.00,204920.00
2009-12-16,1.79,1.97,1.79,1.79,73207128.00,134.00,137047856.00
2009-12-17,1.79,1.87,1.79,1.87,13634505.00,24.00,25244602.00
2009-12-18,1.96,1.96,1.96,1.96,478572384.00,32.00,938001920.00
2009-12-21,2.05,2.05,2.00,2.00,12206600.00,49.00,24753896.00
2009-12-22,2.10,2.10,2.10,2.10,35408752.00,14.00,74358376.00
2009-12-23,2.19,2.19,2.05,2.05,20040230.00,39.00,42018840.00
2009-12-28,2.15,2.15,2.02,2.02,1000000.00,9.00,2114517.00
2009-12-29,2.11,2.11,2.01,2.11,36218500.00,30.00,73312680.00
2010-01-04,2.07,2.20,2.01,2.15,9134500.00,26.00,18594688.00
2010-01-04,2.19,2.19,2.18,2.18,188000.00,2.00,411090.00
2010-01-05,2.11,2.27,2.11,2.11,1984375.00,28.00,4281302.50
2010-01-06,2.06,2.10,2.06,2.10,5812710.00,29.00,12161536.00
2010-01-07,2.10,2.11,2.05,2.10,6740000.00,30.00,14029032.00
2010-01-08,2.10,2.17,2.10,2.10,6903850.00,31.00,14539073.00
2010-01-11,2.15,2.20,2.10,2.10,2776800.00,23.00,5922244.00
2010-01-12,2.13,2.20,2.13,2.20,3035040.00,33.00,6632261.50
2010-01-13,2.30,2.31,2.20,2.21,6165000.00,39.00,13938635.00
2010-01-14,2.20,2.23,2.10,2.10,6097470.00,37.00,13241566.00
2010-01-15,2.11,2.20,2.10,2.20,2056500.00,17.00,4424167.50
2010-01-18,2.31,2.31,2.23,2.30,1445958.00,29.00,3267113.75
2010-01-19,2.20,2.20,2.19,2.19,10008500.00,16.00,21923904.00
2010-01-20,2.10,2.12,2.10,2.10,1843300.00,30.00,3883115.00
2010-01-21,2.10,2.20,2.05,2.18,3824829.00,23.00,8023687.50
2010-01-22,2.15,2.20,2.11,2.12,41961300.00,47.00,90295848.00
2010-01-25,2.13,2.22,2.13,2.15,17048368.00,39.00,37392456.00
2010-01-26,2.20,2.24,2.13,2.13,1518537.00,26.00,3268658.25
2010-01-27,2.12,2.15,2.12,2.13,2512473.00,30.00,5371032.00
2010-01-28,2.21,2.23,2.14,2.19,4594724.00,23.00,10092760.00
2010-01-29,2.12,2.16,2.12,2.16,1254274.00,19.00,2696432.25
2010-02-01,2.20,2.26,2.20,2.20,7249985.00,27.00,16078341.00
2010-02-02,2.20,2.20,2.11,2.18,7115100.00,33.00,15227890.00
2010-02-03,2.18,2.26,2.13,2.20,9777454.00,47.00,21320360.00
2010-02-04,2.21,2.31,2.21,2.31,6266950.00,40.00,14314592.00
2010-02-05,2.25,2.29,2.22,2.25,10658433.00,37.00,23970724.00
2010-02-08,2.15,2.18,2.14,2.17,9208900.00,40.00,19862264.00
2010-02-09,2.25,2.27,2.25,2.27,9701727.00,50.00,21925930.00
2010-02-10,2.36,2.37,2.30,2.30,2049462.00,29.00,4765132.00
2010-02-11,2.30,2.35,2.30,2.35,1399926.00,16.00,3248391.00
2010-02-12,2.30,2.32,2.25,2.25,1588100.00,25.00,3608817.00
2010-02-15,2.29,2.30,2.29,2.30,1136413.00,11.00,2612750.00
2010-02-16,2.28,2.28,2.25,2.25,4664572.00,24.00,10514090.00
2010-02-17,2.25,2.29,2.21,2.21,8659878.00,28.00,19359720.00
2010-02-18,2.24,2.24,2.22,2.22,5270980.00,18.00,11713685.00
2010-02-19,2.31,2.31,2.27,2.28,974592.00,20.00,2220598.00
2010-02-22,2.25,2.28,2.25,2.28,514075.00,13.00,1164270.12
2010-02-23,2.28,2.28,2.18,2.18,2259945.00,38.00,5035415.50
2010-02-24,2.19,2.22,2.11,2.15,3038529.00,19.00,6615358.50
2010-02-25,2.19,2.25,2.19,2.24,1247940.00,18.00,2757100.00
2010-03-01,2.25,2.25,2.15,2.15,2306500.00,23.00,4975069.00
2010-03-02,2.20,2.25,2.13,2.13,1153551.00,25.00,2518372.75
2010-03-03,2.19,2.19,2.15,2.19,906894.00,15.00,1962137.88
2010-03-04,2.28,2.29,2.28,2.29,1224867.00,12.00,2799178.50
2010-03-05,2.30,2.35,2.20,2.20,4676044.00,43.00,10766917.00
2010-03-08,2.20,2.20,2.20,2.20,85200.00,4.00,196420.00
2010-03-09,2.31,2.31,2.15,2.24,1110260.00,9.00,2514232.50
2010-03-10,2.23,2.23,2.16,2.20,1874890.00,18.00,4115789.75
2010-03-11,2.20,2.25,2.20,2.20,3774350.00,25.00,8376011.50
2010-03-12,2.30,2.31,2.30,2.31,1917820.00,20.00,4420726.00
2010-03-15,2.31,2.42,2.31,2.35,3363149.00,20.00,7908879.50
2010-03-16,2.35,2.46,2.31,2.46,12523876.00,48.00,30365652.00
2010-03-17,2.42,2.58,2.42,2.55,8225240.00,26.00,20989998.00
2010-03-18,2.50,2.67,2.50,2.67,13117500.00,56.00,34030460.00
2010-03-19,2.75,2.80,2.60,2.75,25796140.00,74.00,71441672.00
2010-03-22,2.75,2.88,2.63,2.88,4978605.00,48.00,14055417.00
2010-03-23,2.90,3.02,2.90,3.00,17833740.00,120.00,53535232.00
2010-03-24,3.00,3.14,2.97,3.05,7135889.00,75.00,21686310.00
2010-03-25,3.10,3.20,3.05,3.20,12862000.00,81.00,40878500.00
2010-03-26,3.24,3.36,3.24,3.36,7221206.00,57.00,24224282.00
2010-03-29,3.52,3.52,3.25,3.45,82060456.00,100.00,280588640.00
2010-03-30,3.61,3.61,3.45,3.50,13096346.00,84.00,45678812.00
2010-03-31,3.59,3.67,3.33,3.54,45557080.00,118.00,155421104.00
2010-04-01,3.42,3.42,3.37,3.40,18725768.00,57.00,63588900.00
2010-04-06,3.36,3.45,3.27,3.27,11898939.00,58.00,39685552.00
2010-04-07,3.33,3.40,3.11,3.15,22362908.00,104.00,72138576.00
2010-04-08,3.19,3.19,3.00,3.10,9974830.00,91.00,30683912.00
2010-04-09,3.11,3.25,3.02,3.25,14838630.00,90.00,45767924.00
2010-04-12,3.14,3.24,3.09,3.20,4882465.00,52.00,15387487.00
2010-04-13,3.12,3.12,3.04,3.04,5158932.00,42.00,15752441.00
2010-04-14,3.04,3.04,2.89,2.89,2678200.00,30.00,7773507.00
2010-04-15,2.75,2.90,2.75,2.85,6751327.00,63.00,18701216.00
2010-04-16,2.90,2.99,2.90,2.99,3067127.00,33.00,9018076.00
2010-04-19,3.13,3.13,2.92,3.00,5519118.00,79.00,16835736.00
2010-04-20,3.00,3.00,2.85,2.88,4875724.00,63.00,14016077.00
2010-04-21,2.88,2.95,2.79,2.95,5865870.00,44.00,16712638.00
2010-04-22,2.91,2.98,2.83,2.98,2103910.00,36.00,6149566.00
2010-04-23,2.99,2.99,2.84,2.84,4331359.00,61.00,12356663.00
2010-04-26,2.83,2.83,2.70,2.70,2112120.00,38.00,5793456.00
2010-04-27,2.59,2.59,2.57,2.59,2161040.00,32.00,5575412.00
2010-04-28,2.47,2.47,2.47,2.47,1029396.00,22.00,2542608.00
2010-04-29,2.35,2.59,2.35,2.50,6133974.00,65.00,15320977.00
2010-04-30,2.51,2.62,2.50,2.62,5783993.00,62.00,14845752.00
2010-05-04,2.75,2.75,2.69,2.75,8195941.00,48.00,22342446.00
2010-05-05,2.88,2.88,2.75,2.80,8715714.00,73.00,24596668.00
2010-05-07,2.71,2.71,2.66,2.66,4542617.00,43.00,12130855.00
2010-05-10,2.66,2.79,2.53,2.53,8478643.00,85.00,21727220.00
2010-05-11,2.65,2.65,2.60,2.65,3600345.00,50.00,9519764.00
2010-05-12,2.60,2.78,2.60,2.75,260114512.00,93.00,677041728.00
2010-05-13,2.87,2.87,2.63,2.63,1268550.00,42.00,3506986.00
2010-05-14,2.75,2.75,2.56,2.70,1676895.00,42.00,4438964.00
2010-05-17,2.65,2.65,2.65,2.65,140200.00,13.00,368300.00
2010-05-18,2.59,2.59,2.52,2.53,741692.00,19.00,1887324.62
2010-05-19,2.52,2.53,2.45,2.46,6199959.00,49.00,15469713.00
2010-05-20,2.45,2.46,2.35,2.45,11543154.00,61.00,28192306.00
2010-05-21,2.45,2.49,2.45,2.45,6854868.00,64.00,16805798.00
2010-05-24,2.48,2.52,2.40,2.45,7054199.00,49.00,17372608.00
2010-05-25,2.45,2.48,2.41,2.48,8153900.00,57.00,19914932.00
2010-05-26,2.50,2.52,2.43,2.45,12374847.00,59.00,30423460.00
2010-05-27,2.42,2.42,2.33,2.40,1913400.00,30.00,4515702.00
2010-05-28,2.50,2.50,2.30,2.40,4454222.00,38.00,10509016.00
2010-06-01,2.32,2.36,2.28,2.36,6250748.00,50.00,14381916.00
2010-06-02,2.36,2.39,2.28,2.28,9849256.00,40.00,22651212.00
2010-06-03,2.24,2.25,2.17,2.25,1649760.00,35.00,3641628.50
2010-06-04,2.35,2.36,2.32,2.36,67915696.00,36.00,160231120.00
2010-06-07,2.40,2.40,2.25,2.31,11017218.00,36.00,25291622.00
2010-06-08,2.30,2.38,2.20,2.38,7025521.00,33.00,16048502.00
2010-06-09,2.27,2.27,2.27,2.27,3060800.00,22.00,6948348.00
2010-06-10,2.23,2.23,2.23,2.23,338200.00,13.00,754186.00
2010-06-11,2.24,2.30,2.24,2.25,678550.00,19.00,1528306.88
2010-06-14,2.30,2.30,2.25,2.25,574856.00,20.00,1313644.62
2010-06-15,2.22,2.35,2.22,2.35,8700035.00,26.00,19902916.00
2010-06-16,2.30,2.30,2.24,2.30,11977105.00,33.00,27491464.00
2010-06-17,2.30,2.30,2.20,2.21,3016665.00,20.00,6854454.50
2010-06-18,2.10,2.10,2.10,2.10,476200.00,19.00,1011450.00
2010-06-21,2.00,2.20,2.00,2.20,952872.00,19.00,1942173.38
2010-06-22,2.30,2.30,2.09,2.20,9804027.00,26.00,22123544.00
2010-06-23,2.23,2.23,2.23,2.23,1036985.00,22.00,2316258.75
2010-06-24,2.20,2.22,2.20,2.20,4081301.00,37.00,8994111.00
2010-06-25,2.20,2.20,2.20,2.20,1113120.00,11.00,2450272.25
2010-06-28,2.26,2.26,2.20,2.20,1200667.00,34.00,2656109.75
2010-06-29,2.31,2.31,2.21,2.25,7945740.00,31.00,18214102.00
2010-06-30,2.20,2.20,2.14,2.14,369650.00,16.00,799446.50
2010-07-01,2.10,2.11,2.10,2.10,1526300.00,15.00,3210382.00
2010-07-02,2.12,2.12,2.10,2.10,2517750.00,34.00,5295906.50
2010-07-05,2.05,2.20,2.05,2.20,1805160.00,28.00,3788386.00
2010-07-06,2.20,2.27,2.10,2.27,4433416.00,53.00,9710018.00
2010-07-07,2.35,2.38,2.17,2.36,4408311.00,42.00,10047845.00
2010-07-08,2.30,2.31,2.25,2.25,4705000.00,36.00,10714678.00
2010-07-09,2.23,2.29,2.14,2.14,1822620.00,17.00,4016820.00
2010-07-12,2.15,2.24,2.15,2.24,876000.00,17.00,1917594.00
2010-07-13,2.18,2.18,2.13,2.15,1887161.00,28.00,4056911.25
2010-07-14,2.11,2.20,2.10,2.10,1645150.00,16.00,3473569.50
2010-07-15,2.10,2.11,2.10,2.10,547500.00,13.00,1151210.00
2010-07-16,2.11,2.20,2.10,2.20,2229943.00,25.00,4755639.00
2010-07-19,2.11,2.16,2.11,2.16,1233326.00,20.00,2616247.25
2010-07-20,2.20,2.20,2.07,2.19,1916435.00,31.00,4061467.50
2010-07-21,2.10,2.16,2.10,2.16,597334.00,27.00,1270851.00
2010-07-22,2.10,2.12,2.10,2.10,4957376.00,27.00,10416607.00
2010-07-23,2.10,2.13,2.06,2.11,10004124.00,41.00,20870250.00
2010-07-27,2.11,2.11,2.09,2.10,3586505.00,38.00,7533401.00
2010-07-28,2.11,2.11,2.10,2.10,3232455.00,27.00,6792654.50
2010-07-29,2.10,2.18,2.06,2.18,6510500.00,36.00,13621301.00
2010-07-30,2.10,2.11,2.10,2.11,2600540.00,15.00,5463294.50
2010-08-02,2.10,2.12,2.10,2.10,319800.00,13.00,674133.56
2010-08-03,2.05,2.05,2.01,2.03,2112500.00,14.00,4259700.00
2010-08-04,2.10,2.10,2.10,2.10,615480.00,17.00,1289596.50
