Date,Open,High,Low,Close,Volume,Trades,Value
2006-01-05,0.00,NA,NA,98.50,NA,NA,NA
2006-01-06,98.50,NA,NA,97.50,NA,NA,NA
2006-01-09,97.50,NA,NA,96.00,NA,NA,NA
2006-01-12,96.00,NA,NA,96.50,NA,NA,NA
2006-01-13,96.50,NA,NA,96.56,NA,NA,NA
2006-01-16,96.56,NA,NA,97.79,NA,NA,NA
2006-01-17,97.79,NA,NA,98.00,NA,NA,NA
2006-01-18,98.00,NA,NA,98.55,NA,NA,NA
2006-01-19,98.55,NA,NA,97.00,NA,NA,NA
2006-01-20,97.00,NA,NA,100.00,NA,NA,NA
2006-01-23,100.00,NA,NA,100.00,NA,NA,NA
2006-01-24,100.00,NA,NA,100.00,NA,NA,NA
2006-01-25,100.00,NA,NA,101.00,NA,NA,NA
2006-01-26,101.00,NA,NA,102.00,NA,NA,NA
2006-01-27,102.00,NA,NA,101.00,NA,NA,NA
2006-01-30,101.00,NA,NA,103.50,NA,NA,NA
2006-01-31,103.50,NA,NA,99.95,NA,NA,NA
2006-02-01,99.95,NA,NA,101.00,NA,NA,NA
2006-02-02,101.00,NA,NA,102.00,NA,NA,NA
2006-02-03,102.00,NA,NA,101.02,NA,NA,NA
2006-02-06,101.02,NA,NA,101.02,NA,NA,NA
2006-02-07,101.02,NA,NA,99.00,NA,NA,NA
2006-02-08,99.00,NA,NA,99.05,NA,NA,NA
2006-02-09,99.05,NA,NA,100.00,NA,NA,NA
2006-02-10,100.00,NA,NA,100.99,NA,NA,NA
2006-02-13,100.99,NA,NA,100.93,NA,NA,NA
2006-02-14,100.93,NA,NA,100.00,NA,NA,NA
2006-02-15,100.00,NA,NA,101.18,NA,NA,NA
2006-02-16,101.18,NA,NA,102.00,NA,NA,NA
2006-02-17,102.00,NA,NA,102.35,NA,NA,NA
2006-02-20,102.35,NA,NA,103.90,NA,NA,NA
2006-02-21,103.90,NA,NA,104.00,NA,NA,NA
2006-02-22,104.00,NA,NA,103.99,NA,NA,NA
2006-02-23,103.99,NA,NA,104.00,NA,NA,NA
2006-02-24,104.00,NA,NA,104.50,NA,NA,NA
2006-02-27,104.50,NA,NA,105.95,NA,NA,NA
2006-02-28,105.95,NA,NA,108.49,NA,NA,NA
2006-03-01,108.49,NA,NA,103.11,NA,NA,NA
2006-03-02,103.11,NA,NA,102.01,NA,NA,NA
2006-03-03,102.01,NA,NA,102.50,NA,NA,NA
2006-03-06,102.50,NA,NA,105.00,NA,NA,NA
2006-03-07,105.00,NA,NA,103.90,NA,NA,NA
2006-03-08,103.90,NA,NA,102.51,NA,NA,NA
2006-03-09,102.51,NA,NA,104.00,NA,NA,NA
2006-03-10,104.00,NA,NA,104.00,NA,NA,NA
2006-03-13,104.00,NA,NA,103.99,NA,NA,NA
2006-03-14,103.99,NA,NA,101.11,NA,NA,NA
2006-03-15,101.11,NA,NA,101.51,NA,NA,NA
2006-03-16,101.51,NA,NA,101.05,NA,NA,NA
2006-03-17,101.05,NA,NA,101.11,NA,NA,NA
2006-03-20,101.11,NA,NA,101.50,NA,NA,NA
2006-03-27,101.50,NA,NA,101.05,NA,NA,NA
2006-03-28,101.05,NA,NA,99.00,NA,NA,NA
2006-03-29,99.00,NA,NA,99.00,NA,NA,NA
2006-03-30,99.00,NA,NA,99.00,NA,NA,NA
2006-03-31,99.00,NA,NA,98.75,NA,NA,NA
2006-04-03,98.75,NA,NA,98.70,NA,NA,NA
2006-04-04,98.70,NA,NA,102.00,NA,NA,NA
2006-04-05,102.00,NA,NA,98.00,NA,NA,NA
2006-04-06,98.00,NA,NA,95.50,NA,NA,NA
2006-04-07,95.50,NA,NA,96.60,NA,NA,NA
2006-04-11,96.60,NA,NA,97.00,NA,NA,NA
2006-04-12,97.00,NA,NA,98.50,NA,NA,NA
2006-04-13,98.50,NA,NA,97.60,NA,NA,NA
2006-04-18,97.60,NA,NA,98.00,NA,NA,NA
2006-04-19,98.00,NA,NA,98.00,NA,NA,NA
2006-04-20,98.00,NA,NA,98.00,NA,NA,NA
2006-04-21,98.00,NA,NA,99.50,NA,NA,NA
2006-04-24,99.50,NA,NA,98.01,NA,NA,NA
2006-04-25,98.01,NA,NA,98.30,NA,NA,NA
2006-04-26,98.30,NA,NA,97.00,NA,NA,NA
2006-04-27,97.00,NA,NA,97.03,NA,NA,NA
2006-04-28,97.03,NA,NA,97.00,NA,NA,NA
2006-05-02,97.00,NA,NA,96.28,NA,NA,NA
2006-05-03,96.28,NA,NA,95.96,NA,NA,NA
2006-05-04,95.96,NA,NA,99.00,NA,NA,NA
2006-05-05,99.00,NA,NA,99.90,NA,NA,NA
2006-05-08,99.90,NA,NA,99.00,NA,NA,NA
2006-05-09,99.00,NA,NA,99.41,NA,NA,NA
2006-05-10,99.41,NA,NA,99.50,NA,NA,NA
2006-05-11,99.50,NA,NA,99.93,NA,NA,NA
2006-05-12,99.93,NA,NA,100.25,NA,NA,NA
2006-05-15,100.25,NA,NA,100.25,NA,NA,NA
2006-05-16,100.25,NA,NA,101.12,NA,NA,NA
2006-05-17,101.12,NA,NA,101.12,NA,NA,NA
2006-05-18,101.12,NA,NA,101.01,NA,NA,NA
2006-05-19,101.01,NA,NA,101.20,NA,NA,NA
2006-05-22,101.20,NA,NA,102.00,NA,NA,NA
2006-05-23,102.00,NA,NA,103.02,NA,NA,NA
2006-05-24,103.02,NA,NA,102.05,NA,NA,NA
2006-05-25,102.05,NA,NA,104.95,NA,NA,NA
2006-05-26,104.95,NA,NA,103.50,NA,NA,NA
2006-05-30,103.50,NA,NA,104.97,NA,NA,NA
2006-05-31,104.97,NA,NA,110.00,NA,NA,NA
2006-06-01,110.00,NA,NA,109.00,NA,NA,NA
2006-06-02,109.00,NA,NA,108.00,NA,NA,NA
2006-06-05,108.00,NA,NA,107.00,NA,NA,NA
2006-06-06,107.00,NA,NA,105.00,NA,NA,NA
2006-06-07,105.00,NA,NA,105.06,NA,NA,NA
2006-06-08,105.06,NA,NA,105.00,NA,NA,NA
2006-06-09,105.00,NA,NA,104.00,NA,NA,NA
2006-06-12,104.00,NA,NA,104.00,NA,NA,NA
2006-06-13,104.00,NA,NA,105.00,NA,NA,NA
2006-06-14,105.00,NA,NA,106.00,NA,NA,NA
2006-06-15,106.00,NA,NA,106.00,NA,NA,NA
2006-06-16,106.00,NA,NA,105.00,NA,NA,NA
2006-06-19,105.00,NA,NA,104.55,NA,NA,NA
2006-06-20,104.55,NA,NA,103.98,NA,NA,NA
2006-06-21,103.98,NA,NA,105.00,NA,NA,NA
2006-06-22,105.00,NA,NA,105.00,NA,NA,NA
2006-06-23,105.00,NA,NA,103.01,NA,NA,NA
2006-06-26,103.01,NA,NA,103.51,NA,NA,NA
2006-06-27,103.51,NA,NA,108.00,NA,NA,NA
2006-06-28,108.00,NA,NA,113.00,NA,NA,NA
2006-06-29,113.00,NA,NA,109.00,NA,NA,NA
2006-06-30,109.00,NA,NA,106.51,NA,NA,NA
2006-07-03,106.51,NA,NA,104.54,NA,NA,NA
2006-07-04,104.54,NA,NA,108.90,NA,NA,NA
2006-07-05,108.90,NA,NA,109.00,NA,NA,NA
2006-07-06,109.00,NA,NA,108.66,NA,NA,NA
2006-07-07,108.66,NA,NA,108.66,NA,NA,NA
2006-07-10,108.66,NA,NA,110.25,NA,NA,NA
2006-07-11,110.25,NA,NA,115.76,NA,NA,NA
2006-07-12,115.76,NA,NA,121.00,NA,NA,NA
2006-07-13,121.00,NA,NA,124.50,NA,NA,NA
2006-07-14,124.50,NA,NA,126.00,NA,NA,NA
2006-07-17,126.00,NA,NA,125.50,NA,NA,NA
2006-07-18,125.50,NA,NA,122.50,NA,NA,NA
2006-07-19,122.50,NA,NA,119.01,NA,NA,NA
2006-07-20,119.01,NA,NA,116.55,NA,NA,NA
2006-07-21,116.55,NA,NA,120.00,NA,NA,NA
2006-07-24,120.00,NA,NA,125.87,NA,NA,NA
2006-07-25,125.87,NA,NA,120.00,NA,NA,NA
2006-07-26,120.00,NA,NA,124.99,NA,NA,NA
2006-07-27,124.99,NA,NA,122.00,NA,NA,NA
2006-07-28,122.00,NA,NA,124.99,NA,NA,NA
2006-07-31,124.99,NA,NA,122.02,NA,NA,NA
2006-08-01,122.02,NA,NA,124.00,NA,NA,NA
2006-08-02,124.00,NA,NA,127.00,NA,NA,NA
2006-08-03,127.00,NA,NA,131.00,NA,NA,NA
2006-08-04,131.00,NA,NA,130.12,NA,NA,NA
2006-08-07,130.12,NA,NA,129.95,NA,NA,NA
2006-08-08,129.95,NA,NA,130.00,NA,NA,NA
2006-08-09,130.00,NA,NA,133.00,NA,NA,NA
2006-08-10,133.00,NA,NA,135.51,NA,NA,NA
2006-08-11,135.51,NA,NA,142.28,NA,NA,NA
2006-08-14,142.28,NA,NA,149.39,NA,NA,NA
2006-08-15,149.39,NA,NA,156.85,NA,NA,NA
2006-08-16,156.85,NA,NA,164.00,NA,NA,NA
2006-08-17,164.00,NA,NA,160.00,NA,NA,NA
2006-08-18,160.00,NA,NA,156.52,NA,NA,NA
2006-08-21,156.52,NA,NA,159.90,NA,NA,NA
2006-08-22,159.90,NA,NA,157.00,NA,NA,NA
2006-08-23,157.00,NA,NA,155.99,NA,NA,NA
2006-08-24,155.99,NA,NA,152.23,NA,NA,NA
2006-08-25,152.23,NA,NA,144.62,NA,NA,NA
2006-08-28,144.62,NA,NA,137.40,NA,NA,NA
2006-08-29,137.40,NA,NA,139.50,NA,NA,NA
2006-08-30,139.50,NA,NA,146.47,NA,NA,NA
2006-08-31,146.47,NA,NA,153.79,NA,NA,NA
2006-09-01,153.79,NA,NA,153.00,NA,NA,NA
2006-09-04,153.00,NA,NA,150.00,NA,NA,NA
2006-09-05,150.00,NA,NA,149.50,NA,NA,NA
2006-09-06,149.50,NA,NA,149.51,NA,NA,NA
2006-09-07,149.51,NA,NA,147.40,NA,NA,NA
2006-09-08,147.40,NA,NA,149.01,NA,NA,NA
2006-09-11,149.01,NA,NA,150.80,NA,NA,NA
2006-09-12,150.80,NA,NA,155.55,NA,NA,NA
2006-09-13,155.55,NA,NA,155.00,NA,NA,NA
2006-09-14,155.00,NA,NA,154.12,NA,NA,NA
2006-09-15,154.12,NA,NA,153.56,NA,NA,NA
2006-09-18,153.56,NA,NA,155.00,NA,NA,NA
2006-09-19,155.00,NA,NA,153.00,NA,NA,NA
2006-09-20,153.00,NA,NA,155.00,NA,NA,NA
2006-09-21,155.00,NA,NA,152.50,NA,NA,NA
2006-09-22,152.50,NA,NA,152.10,NA,NA,NA
2006-09-25,152.10,NA,NA,154.99,NA,NA,NA
2006-09-26,154.99,NA,NA,155.00,NA,NA,NA
2006-09-27,155.00,NA,NA,162.75,NA,NA,NA
2006-09-28,162.75,NA,NA,168.99,NA,NA,NA
2006-09-29,168.99,NA,NA,161.00,NA,NA,NA
2006-10-03,161.00,NA,NA,155.00,NA,NA,NA
2006-10-04,155.00,NA,NA,156.20,NA,NA,NA
2006-10-05,156.20,NA,NA,158.50,NA,NA,NA
2006-10-06,158.50,NA,NA,158.99,NA,NA,NA
2006-10-09,158.99,NA,NA,157.00,NA,NA,NA
2006-10-10,157.00,NA,NA,156.05,NA,NA,NA
2006-10-11,156.05,NA,NA,156.69,NA,NA,NA
2006-10-12,156.69,NA,NA,157.90,NA,NA,NA
2006-10-13,157.90,NA,NA,157.00,NA,NA,NA
2006-10-16,157.00,NA,NA,158.00,NA,NA,NA
2006-10-17,158.00,NA,NA,156.50,NA,NA,NA
2006-10-18,156.50,NA,NA,155.98,NA,NA,NA
2006-10-19,155.98,NA,NA,154.11,NA,NA,NA
2006-10-20,154.11,NA,NA,148.12,NA,NA,NA
2006-10-25,148.12,NA,NA,140.72,NA,NA,NA
2006-10-26,140.72,NA,NA,109.37,NA,NA,NA
2006-10-27,109.37,NA,NA,103.91,NA,NA,NA
2006-10-30,103.91,NA,NA,98.72,NA,NA,NA
2006-10-31,98.72,NA,NA,103.65,NA,NA,NA
2006-11-01,103.65,NA,NA,103.80,NA,NA,NA
2006-11-02,103.80,NA,NA,99.00,NA,NA,NA
2006-11-03,99.00,NA,NA,100.06,NA,NA,NA
2006-11-06,100.06,NA,NA,105.06,NA,NA,NA
2006-11-07,105.06,NA,NA,103.10,NA,NA,NA
2006-11-08,103.10,NA,NA,103.10,NA,NA,NA
2006-11-09,103.10,NA,NA,100.00,NA,NA,NA
2006-11-10,100.00,NA,NA,101.50,NA,NA,NA
2006-11-13,101.50,NA,NA,99.99,NA,NA,NA
2006-11-14,99.99,NA,NA,103.01,NA,NA,NA
2006-11-15,103.01,NA,NA,100.00,NA,NA,NA
2006-11-16,100.00,NA,NA,101.00,NA,NA,NA
2006-11-17,101.00,NA,NA,99.99,NA,NA,NA
2006-11-20,99.99,NA,NA,99.95,NA,NA,NA
2006-11-21,99.95,NA,NA,100.00,NA,NA,NA
2006-11-22,100.00,NA,NA,102.00,NA,NA,NA
2006-11-23,102.00,NA,NA,97.50,NA,NA,NA
2006-11-24,97.50,NA,NA,96.00,NA,NA,NA
2006-11-27,96.00,NA,NA,91.20,NA,NA,NA
2006-11-28,91.20,NA,NA,90.00,NA,NA,NA
2006-11-29,90.00,NA,NA,91.00,NA,NA,NA
2006-11-30,91.00,NA,NA,94.79,NA,NA,NA
2006-12-01,94.79,NA,NA,91.00,NA,NA,NA
2006-12-04,91.00,NA,NA,94.00,NA,NA,NA
2006-12-05,94.00,NA,NA,96.51,NA,NA,NA
2006-12-06,96.51,NA,NA,99.90,NA,NA,NA
2006-12-07,99.90,NA,NA,96.03,NA,NA,NA
2006-12-08,96.03,NA,NA,100.00,NA,NA,NA
2006-12-11,100.00,NA,NA,99.51,NA,NA,NA
2006-12-12,99.51,NA,NA,100.00,NA,NA,NA
2006-12-13,100.00,NA,NA,97.07,NA,NA,NA
2006-12-14,97.07,NA,NA,99.99,NA,NA,NA
2006-12-15,99.99,NA,NA,99.80,NA,NA,NA
2006-12-18,99.80,NA,NA,104.50,NA,NA,NA
2006-12-19,104.50,NA,NA,100.05,NA,NA,NA
2006-12-20,100.05,NA,NA,99.99,NA,NA,NA
2006-12-21,99.99,NA,NA,102.00,NA,NA,NA
2006-12-22,102.00,NA,NA,101.50,NA,NA,NA
2006-12-27,101.50,NA,NA,102.01,NA,NA,NA
2006-12-28,102.01,NA,NA,102.45,NA,NA,NA
2006-12-29,102.45,NA,NA,107.57,NA,NA,NA
2007-01-04,103.00,107.98,103.00,104.00,66573.00,51.00,7025504.00
2007-01-05,104.00,107.00,104.00,106.00,59746.00,41.00,6307576.00
2007-01-08,105.00,108.99,105.00,106.70,86904.00,64.00,9193039.00
2007-01-09,106.70,109.40,106.70,109.40,510566.00,106.00,54965848.00
2007-01-10,107.00,114.87,107.00,112.90,599707.00,127.00,67922376.00
2007-01-11,110.00,116.00,110.00,116.00,119027.00,78.00,13363244.00
2007-01-12,116.00,121.00,116.00,121.00,349309.00,89.00,41480032.00
2007-01-15,116.00,120.00,114.95,115.01,1270300.00,108.00,146955216.00
2007-01-16,115.01,120.50,110.00,114.00,2452913.00,128.00,279660192.00
2007-01-17,114.00,119.70,110.06,119.70,3017486.00,118.00,350057440.00
2007-01-18,119.70,125.68,114.02,114.02,1206231.00,123.00,145442528.00
2007-01-19,114.02,119.72,110.00,119.72,2119687.00,109.00,242723568.00
2007-01-22,120.00,124.50,113.75,115.50,2541155.00,88.00,301558880.00
2007-01-23,116.00,118.50,111.00,115.50,1624981.00,125.00,185834400.00
2007-01-24,115.50,118.00,115.00,115.01,230220.00,127.00,26628192.00
2007-01-26,119.00,119.36,116.99,117.00,415681.00,67.00,49334296.00
2007-01-30,116.99,116.99,111.20,112.00,2042888.00,92.00,233212848.00
2007-01-31,112.00,115.00,112.00,115.00,593807.00,111.00,67889760.00
2007-02-02,115.00,117.00,112.00,112.00,1359426.00,89.00,155633952.00
2007-02-05,115.00,116.00,114.00,115.00,1357184.00,103.00,156189552.00
2007-02-06,115.01,116.57,113.51,115.00,662874.00,115.00,76252024.00
2007-02-07,115.00,116.90,113.52,116.00,321799.00,97.00,37204940.00
2007-02-08,114.01,120.10,113.00,113.00,934569.00,120.00,108970336.00
2007-02-09,113.20,117.79,113.20,114.06,152973.00,66.00,17565828.00
2007-02-12,115.00,117.00,114.06,115.00,249181.00,73.00,28637242.00
2007-02-13,116.00,119.00,116.00,117.00,155925.00,73.00,18166378.00
2007-02-14,118.00,119.16,117.06,117.10,395557.00,103.00,46879420.00
2007-02-15,117.50,120.18,117.50,120.18,411619.00,117.00,48747720.00
2007-02-16,126.00,126.00,114.85,118.50,717457.00,131.00,85073096.00
2007-02-19,118.50,122.00,115.30,119.50,515570.00,97.00,61770532.00
2007-02-20,116.00,121.00,116.00,119.00,492390.00,106.00,58258968.00
2007-02-21,116.03,120.10,116.03,119.00,384703.00,82.00,45553828.00
2007-02-22,119.05,122.99,119.05,119.05,501787.00,100.00,60787476.00
2007-02-23,119.05,123.00,118.00,122.50,446542.00,110.00,53894700.00
2007-02-26,120.00,125.00,117.00,122.01,313501.00,95.00,38392472.00
2007-02-27,122.00,125.15,122.00,122.01,516112.00,104.00,63077540.00
2007-02-28,122.00,128.10,122.00,125.00,159190.00,84.00,19855546.00
2007-03-01,123.00,127.00,122.06,125.00,335095.00,89.00,41817204.00
2007-03-02,125.00,126.50,122.10,122.15,943066.00,114.00,116532232.00
2007-03-05,122.15,125.00,122.00,122.51,512067.00,79.00,63061744.00
2007-03-06,122.51,125.00,118.93,120.01,1226986.00,88.00,148899376.00
2007-03-07,120.10,123.50,120.10,122.30,329784.00,92.00,40288740.00
2007-03-08,123.00,125.00,122.35,123.00,297140.00,92.00,36820724.00
2007-03-09,123.00,126.00,120.00,120.00,1036802.00,117.00,126555424.00
2007-03-12,120.00,123.99,120.00,123.00,339017.00,72.00,40985784.00
2007-03-13,122.01,123.00,122.00,122.15,194541.00,62.00,23742246.00
2007-03-14,120.00,122.00,117.01,121.00,145260.00,82.00,17508762.00
2007-03-15,120.32,122.15,120.32,121.00,549282.00,109.00,66750812.00
2007-03-16,120.50,125.00,120.50,122.20,153827.00,74.00,18825804.00
2007-03-19,122.20,124.00,122.00,122.00,136635.00,67.00,16710156.00
2007-03-20,119.50,123.00,119.50,120.50,253505.00,92.00,30802586.00
2007-03-21,120.50,122.50,120.00,121.00,232192.00,84.00,27958072.00
2007-03-22,120.99,122.00,120.02,121.00,168860.00,88.00,20415388.00
2007-03-23,121.00,122.50,121.00,122.00,353571.00,76.00,43005720.00
2007-03-26,122.00,122.49,121.00,121.55,190191.00,68.00,23182866.00
2007-03-27,120.05,122.50,120.05,122.00,276034.00,79.00,33564484.00
2007-03-28,120.02,122.19,120.00,121.00,497251.00,109.00,60092228.00
2007-03-29,120.99,122.00,120.99,121.50,302237.00,76.00,36805276.00
2007-03-30,121.50,122.00,119.00,120.00,462752.00,76.00,55809844.00
2007-04-03,120.98,121.19,120.00,121.19,217371.00,72.00,26281568.00
2007-04-04,120.50,122.00,120.50,121.20,881542.00,93.00,107120600.00
2007-04-05,121.00,121.99,120.50,120.75,436748.00,67.00,52879308.00
2007-04-06,120.11,128.00,120.11,124.00,703292.00,89.00,88578360.00
2007-04-10,120.75,122.05,117.00,119.50,446189.00,98.00,53789500.00
2007-04-11,119.50,123.99,119.50,120.01,466092.00,117.00,56422144.00
2007-04-16,120.05,126.01,120.05,124.00,313079.00,84.00,38544744.00
2007-04-17,124.00,130.20,122.85,130.20,636458.00,95.00,82340072.00
2007-04-18,130.20,136.71,126.00,136.71,462238.00,112.00,62148024.00
2007-04-19,132.20,142.99,132.20,142.00,928218.00,98.00,128131696.00
2007-04-23,141.90,141.90,134.90,135.50,327362.00,76.00,44882576.00
2007-04-24,130.12,132.00,128.79,128.99,949584.00,94.00,123390096.00
2007-04-25,128.78,128.78,122.55,125.00,240500.00,68.00,29701480.00
2007-04-26,123.50,131.25,120.50,124.00,1539313.00,123.00,193843344.00
2007-04-27,122.00,130.02,120.00,127.99,1122917.00,99.00,139224624.00
2007-04-30,127.99,129.99,125.00,129.00,550927.00,66.00,70151920.00
2007-05-02,128.00,132.00,123.00,127.05,3842104.00,85.00,488731840.00
