Date,Open,High,Low,Close,Volume,Trades,Value
2008-05-09,1.36,1.36,1.36,1.36,60200000.00,458.00,81872000.00
2008-05-12,1.42,1.42,1.42,1.42,196028000.00,92.00,278359744.00
2008-05-13,1.49,1.49,1.49,1.49,1132300.00,23.00,1687127.00
2008-05-14,1.56,1.56,1.56,1.56,29656700.00,24.00,46264452.00
2008-05-15,1.63,1.63,1.63,1.63,27672002.00,52.00,45105364.00
2008-05-16,1.71,1.71,1.71,1.71,18086748.00,69.00,30928340.00
2008-05-19,1.79,1.79,1.70,1.70,99667480.00,830.00,173476480.00
2008-05-20,1.62,1.78,1.62,1.78,217356464.00,482.00,356319552.00
2008-05-21,1.81,1.86,1.71,1.86,291878144.00,446.00,520134464.00
2008-05-22,1.94,1.95,1.93,1.95,66833820.00,421.00,129966976.00
2008-05-23,2.00,2.04,1.86,2.04,1138641280.00,968.00,2262877184.00
2008-05-26,2.05,2.14,2.00,2.14,93781392.00,681.00,198361856.00
2008-05-27,2.17,2.24,2.04,2.23,1220142848.00,965.00,2627940352.00
2008-05-28,2.23,2.34,2.12,2.34,1163506048.00,914.00,2627350784.00
2008-05-30,2.27,2.33,2.23,2.23,301943552.00,523.00,676539392.00
2008-06-02,2.12,2.12,2.12,2.12,17318822.00,311.00,36715904.00
2008-06-03,2.02,2.02,2.02,2.02,9948118.00,289.00,20095198.00
2008-06-03,2.02,2.02,2.02,2.02,9948118.00,289.00,20095198.00
2008-06-04,1.92,1.92,1.92,1.92,1244510976.00,364.00,2389460992.00
2008-06-05,1.83,1.83,1.83,1.83,10386352.00,318.00,19007024.00
2008-06-06,1.74,1.74,1.74,1.74,446224512.00,334.00,776430656.00
2008-06-09,1.74,1.74,1.74,1.74,581696320.00,293.00,1012151616.00
2008-06-10,1.74,1.74,1.74,1.74,50510832.00,246.00,87888848.00
2008-06-11,1.74,1.74,1.74,1.74,34327032.00,486.00,59729036.00
2008-06-12,1.74,1.74,1.74,1.74,52626836.00,410.00,91570696.00
2008-06-13,1.74,1.74,1.74,1.74,22677556.00,396.00,39458944.00
2008-06-16,1.66,1.66,1.66,1.66,200016640.00,498.00,332027616.00
2008-06-17,1.58,1.58,1.58,1.58,517488576.00,495.00,817631936.00
2008-06-18,1.51,1.51,1.51,1.51,936748480.00,419.00,1414490112.00
2008-06-19,1.44,1.44,1.44,1.44,25025306.00,499.00,36036440.00
2008-06-20,1.37,1.37,1.37,1.37,908219136.00,604.00,1244260224.00
2008-06-23,1.31,1.31,1.31,1.31,176331328.00,498.00,230994032.00
2008-06-24,1.25,1.25,1.25,1.25,122264136.00,342.00,152830176.00
2008-06-25,1.19,1.19,1.19,1.19,402184800.00,518.00,478599904.00
2008-06-26,1.14,1.14,1.14,1.14,103889272.00,537.00,118433768.00
2008-06-27,1.09,1.09,1.09,1.09,126387712.00,432.00,137762608.00
2008-06-30,1.04,1.04,1.04,1.04,50285588.00,446.00,52297012.00
2008-07-01,0.99,0.99,0.99,0.99,548672256.00,626.00,543185536.00
2008-07-02,0.95,1.03,0.95,0.95,674114240.00,1343.00,646132416.00
2008-07-03,0.96,0.96,0.91,0.91,278544544.00,1099.00,254072288.00
2008-07-04,0.87,0.87,0.87,0.87,707650880.00,1207.00,615656256.00
2008-07-07,0.83,0.87,0.83,0.83,495965248.00,1121.00,411958400.00
2008-07-08,0.82,0.87,0.79,0.87,1008790592.00,1232.00,829957824.00
2008-07-09,0.91,0.91,0.84,0.90,929722880.00,1567.00,826040320.00
2008-07-10,0.93,0.93,0.86,0.88,529054048.00,1356.00,471180256.00
2008-07-11,0.89,0.89,0.85,0.88,343553312.00,1273.00,295910720.00
2008-07-14,0.88,0.90,0.84,0.90,421428096.00,960.00,368271392.00
2008-07-15,0.90,0.90,0.86,0.88,129928000.00,584.00,113472864.00
2008-07-16,0.87,0.87,0.84,0.84,131213712.00,924.00,110492440.00
2008-07-17,0.80,0.80,0.80,0.80,71036592.00,585.00,56829272.00
2008-07-18,0.76,0.79,0.76,0.76,272295872.00,752.00,206965376.00
2008-07-21,0.79,0.79,0.73,0.78,501408000.00,771.00,380376672.00
2008-07-22,0.78,0.80,0.75,0.75,65405896.00,677.00,50063148.00
2008-07-23,0.76,0.77,0.72,0.72,60436576.00,688.00,43789084.00
2008-07-24,0.72,0.75,0.69,0.75,493512192.00,762.00,351539680.00
2008-07-25,0.75,0.78,0.72,0.78,387232896.00,625.00,285927040.00
2008-07-28,0.77,0.78,0.75,0.76,121004360.00,594.00,91255256.00
2008-07-29,0.74,0.78,0.73,0.78,298452640.00,663.00,223187968.00
2008-07-30,0.77,0.78,0.75,0.77,71145040.00,565.00,54157456.00
2008-07-31,0.77,0.79,0.74,0.79,158364400.00,704.00,121472280.00
2008-08-01,0.77,0.79,0.76,0.79,162819920.00,687.00,125005624.00
2008-08-04,0.79,0.81,0.76,0.81,207989680.00,568.00,159659808.00
2008-08-05,0.79,0.83,0.77,0.80,206824528.00,671.00,162825872.00
2008-08-06,0.79,0.80,0.76,0.78,176410800.00,742.00,134953056.00
2008-08-07,0.79,0.79,0.75,0.75,230671424.00,852.00,173678320.00
2008-08-08,0.74,0.74,0.74,0.74,58775124.00,467.00,43493592.00
2008-08-11,0.71,0.77,0.71,0.75,285879200.00,565.00,208883472.00
