Date,Open,High,Low,Close,Volume,Trades,Value
2007-09-06,3.15,3.15,3.15,3.15,185000.00,7.00,582750.00
2007-09-07,3.30,3.30,3.30,3.30,255000.00,6.00,841500.00
2007-09-10,3.46,3.46,3.46,3.46,60000.00,2.00,207600.00
2007-09-11,3.63,3.63,3.63,3.63,20000.00,1.00,72600.00
2007-09-12,3.81,3.81,3.81,3.81,20000.00,1.00,76200.00
2007-09-13,4.00,4.00,4.00,4.00,15000.00,1.00,60000.00
2007-09-18,4.20,4.20,4.20,4.20,15000.00,1.00,63000.00
2007-09-19,4.41,4.41,4.41,4.41,20000.00,2.00,88200.00
2007-09-20,4.63,4.63,4.63,4.63,20000.00,1.00,92600.00
2007-09-21,4.86,4.86,4.86,4.86,20000.00,1.00,97200.00
2007-09-24,5.10,5.10,5.10,5.10,15000.00,1.00,76500.00
2007-09-26,5.35,5.35,5.35,5.35,10000.00,1.00,53500.00
2007-09-28,5.61,5.61,5.61,5.61,20000.00,3.00,112200.00
2007-10-02,5.89,5.89,5.89,5.89,15000.00,1.00,88350.00
2007-10-03,6.18,6.18,6.18,6.18,35000.00,1.00,216300.00
2007-10-04,6.48,6.48,6.48,6.48,50000.00,1.00,324000.00
2007-10-05,6.80,6.80,6.80,6.80,135000.00,3.00,918000.00
2007-10-08,7.14,7.14,7.14,7.14,121500.00,8.00,867510.00
2007-10-09,7.49,7.49,7.49,7.49,12000.00,2.00,89880.00
2007-10-10,7.86,7.86,7.86,7.86,8000.00,1.00,62880.00
2007-10-15,7.88,8.25,7.86,8.20,670370.00,47.00,5400442.50
2007-10-16,8.61,8.61,7.79,7.79,1005253.00,27.00,8041675.50
2007-10-17,8.00,8.17,8.00,8.15,67435.00,9.00,547913.94
2007-10-18,8.54,8.54,8.00,8.00,92000.00,11.00,740880.00
2007-10-19,8.00,8.00,7.70,7.70,135861.00,19.00,1069739.38
2007-10-22,7.60,7.60,7.33,7.50,343500.00,15.00,2547360.00
2007-10-23,7.50,7.50,7.13,7.50,91505.00,9.00,654862.50
2007-10-24,7.20,7.50,7.13,7.50,83800.00,9.00,598415.50
2007-10-25,7.20,7.30,7.13,7.13,47293.00,10.00,340603.91
2007-10-26,6.78,6.78,6.78,6.78,27750.00,1.00,188145.00
2007-10-29,6.45,6.45,6.45,6.45,191326.00,8.00,1234052.75
2007-10-30,6.13,6.45,6.13,6.13,14873.00,6.00,91331.49
2007-10-31,5.83,5.83,5.83,5.83,33000.00,3.00,192390.00
2007-11-01,5.54,5.54,5.54,5.54,40000.00,1.00,221600.00
2007-11-02,5.27,5.27,5.27,5.27,325000.00,4.00,1712750.00
2007-11-05,5.01,5.01,5.01,5.01,40000.00,2.00,200400.00
2007-11-06,4.76,4.76,4.76,4.76,20500.00,3.00,97580.00
2007-11-07,4.53,4.53,4.53,4.53,78000.00,7.00,353340.00
2007-11-08,4.31,4.31,4.31,4.31,539034.00,13.00,2323236.50
2007-11-09,4.10,4.10,4.10,4.10,218300.00,16.00,895030.00
2007-11-12,3.90,3.90,3.90,3.90,697500.00,8.00,2720250.00
2007-11-13,3.71,3.90,3.71,3.71,624298.00,23.00,2316183.50
2007-11-14,3.71,3.89,3.71,3.89,160800.00,14.00,619617.00
2007-11-15,4.08,4.08,4.01,4.08,606230.00,25.00,2472256.50
2007-11-16,4.10,4.28,4.10,4.28,515120.00,23.00,2200984.00
2007-11-19,4.49,4.49,4.49,4.49,549000.00,9.00,2465010.00
2007-11-20,4.71,4.71,4.71,4.71,438696.00,18.00,2066258.12
2007-11-21,4.94,4.94,4.80,4.94,1842650.00,70.00,9090764.00
2007-11-22,5.18,5.18,5.01,5.18,1175744.00,46.00,6089504.00
2007-11-23,5.20,5.43,5.17,5.43,1403200.00,27.00,7537640.00
2007-11-26,5.43,5.69,5.16,5.57,570564.00,22.00,3139314.00
2007-11-27,5.70,5.84,5.70,5.80,536436.00,27.00,3078046.25
2007-11-28,5.84,6.12,5.84,5.84,1036720.00,19.00,6292885.00
2007-11-29,6.09,6.09,5.55,5.55,248630.00,19.00,1473440.00
2007-11-30,5.28,5.40,5.28,5.28,636536.00,29.00,3370274.25
