Date,Open,High,Low,Close,Volume,Trades,Value
2006-01-05,0.00,NA,NA,1.78,NA,NA,NA
2006-01-06,1.78,NA,NA,1.70,NA,NA,NA
2006-01-09,1.70,NA,NA,1.78,NA,NA,NA
2006-01-12,1.78,NA,NA,1.86,NA,NA,NA
2006-01-13,1.86,NA,NA,1.95,NA,NA,NA
2006-01-16,1.95,NA,NA,2.04,NA,NA,NA
2006-01-17,2.04,NA,NA,2.14,NA,NA,NA
2006-01-18,2.14,NA,NA,2.04,NA,NA,NA
2006-01-19,2.04,NA,NA,2.00,NA,NA,NA
2006-01-20,2.00,NA,NA,1.90,NA,NA,NA
2006-01-23,1.90,NA,NA,1.99,NA,NA,NA
2006-01-24,1.99,NA,NA,1.90,NA,NA,NA
2006-01-25,1.90,NA,NA,1.92,NA,NA,NA
2006-01-26,1.92,NA,NA,1.85,NA,NA,NA
2006-01-27,1.85,NA,NA,1.94,NA,NA,NA
2006-01-30,1.94,NA,NA,1.86,NA,NA,NA
2006-01-31,1.86,NA,NA,1.86,NA,NA,NA
2006-02-01,1.86,NA,NA,1.90,NA,NA,NA
2006-02-02,1.90,NA,NA,1.90,NA,NA,NA
2006-02-03,1.90,NA,NA,1.82,NA,NA,NA
2006-02-06,1.82,NA,NA,1.82,NA,NA,NA
2006-02-07,1.82,NA,NA,1.80,NA,NA,NA
2006-02-08,1.80,NA,NA,1.80,NA,NA,NA
2006-02-09,1.80,NA,NA,1.80,NA,NA,NA
2006-02-10,1.80,NA,NA,1.80,NA,NA,NA
2006-02-13,1.80,NA,NA,1.80,NA,NA,NA
2006-02-14,1.80,NA,NA,1.81,NA,NA,NA
2006-02-15,1.81,NA,NA,1.81,NA,NA,NA
2006-02-16,1.81,NA,NA,1.73,NA,NA,NA
2006-02-17,1.73,NA,NA,1.73,NA,NA,NA
2006-02-20,1.73,NA,NA,1.81,NA,NA,NA
2006-02-21,1.81,NA,NA,1.81,NA,NA,NA
2006-02-22,1.81,NA,NA,1.75,NA,NA,NA
2006-02-23,1.75,NA,NA,1.80,NA,NA,NA
2006-02-24,1.80,NA,NA,1.80,NA,NA,NA
2006-02-27,1.80,NA,NA,1.80,NA,NA,NA
2006-02-28,1.80,NA,NA,1.80,NA,NA,NA
2006-03-01,1.80,NA,NA,1.80,NA,NA,NA
2006-03-02,1.80,NA,NA,1.77,NA,NA,NA
2006-03-03,1.77,NA,NA,1.71,NA,NA,NA
2006-03-06,1.71,NA,NA,1.79,NA,NA,NA
2006-03-07,1.79,NA,NA,1.80,NA,NA,NA
2006-03-08,1.80,NA,NA,1.72,NA,NA,NA
2006-03-09,1.72,NA,NA,1.80,NA,NA,NA
2006-03-10,1.80,NA,NA,1.80,NA,NA,NA
2006-03-13,1.80,NA,NA,1.72,NA,NA,NA
2006-03-14,1.72,NA,NA,1.75,NA,NA,NA
2006-03-15,1.75,NA,NA,1.75,NA,NA,NA
2006-03-16,1.75,NA,NA,1.67,NA,NA,NA
2006-03-17,1.67,NA,NA,1.68,NA,NA,NA
2006-03-20,1.68,NA,NA,1.72,NA,NA,NA
2006-03-27,1.72,NA,NA,1.79,NA,NA,NA
2006-03-28,1.79,NA,NA,1.79,NA,NA,NA
2006-03-29,1.79,NA,NA,1.73,NA,NA,NA
2006-03-30,1.73,NA,NA,1.70,NA,NA,NA
2006-03-31,1.70,NA,NA,1.70,NA,NA,NA
2006-04-03,1.70,NA,NA,1.62,NA,NA,NA
2006-04-04,1.62,NA,NA,1.68,NA,NA,NA
2006-04-05,1.68,NA,NA,1.70,NA,NA,NA
2006-04-06,1.70,NA,NA,1.73,NA,NA,NA
2006-04-07,1.73,NA,NA,1.73,NA,NA,NA
2006-04-11,1.73,NA,NA,1.90,NA,NA,NA
2006-04-12,1.90,NA,NA,1.90,NA,NA,NA
2006-04-13,1.90,NA,NA,1.81,NA,NA,NA
