Date,Close,Open
2003-02-18,20.5,20.5
2003-02-19,20.51,20.5
2003-02-21,20.55,20.55
2003-02-24,20.55,20.49
2003-02-25,20.55,20.55
2003-02-26,20.55,20.54
2003-02-28,21,21.02
2003-03-04,21,21
2003-03-05,20.5,21.27
2003-03-06,20.5,20.5
2003-03-07,20.5,20.5
2003-03-10,20.5,20.5
2003-03-11,20.5,20.5
2003-03-13,20.5,20.5
2003-03-14,20.5,20.5
2003-03-17,20.5,20.76
2003-03-18,20.5,20.5
2003-03-19,20.5,20.5
2003-03-20,20.5,20.5
2003-03-21,21.02,20.95
2003-03-24,21.02,21.02
2003-03-25,21.02,21.02
2003-03-26,22.01,21.99
2003-03-27,23,22.98
2003-03-31,23.5,23.5
2003-04-01,23.5,23.5
2003-04-02,23.5,23.5
2003-04-03,23.5,23.5
2003-04-04,23.5,23.5
2003-04-07,23.5,23.5
2003-04-08,23,23
2003-04-09,23,23
2003-04-10,23,23
2003-04-11,22,22
2003-04-14,22,22
2003-04-15,20.91,20.91
2003-04-16,20,19.99
2003-04-17,19.99,19.88
2003-04-22,19.99,19.99
2003-04-23,19.99,19.99
2003-04-24,19,19.99
2003-04-25,19.9,19.9
2003-04-28,19.8,19.9
2003-04-29,19.9,19.9
2003-04-30,20.85,19.51
2003-05-02,20.85,20.85
2003-05-05,21.5,21.06
2003-05-06,21.5,21.5
2003-05-07,22.57,21.83
2003-05-09,22.57,22.57
2003-05-12,22.55,22.57
2003-05-14,22.56,22.56
2003-05-15,22.56,22.56
2003-05-19,22.56,22.56
2003-05-20,22.56,22.56
2003-05-22,22.56,21.72
2003-05-26,22.56,22.56
2003-05-27,22.56,22.56
2003-05-30,22.56,22.45
2003-06-03,22.56,22.56
2003-06-04,22.56,22.56
2003-06-05,22.56,21.6
2003-06-06,21.44,22.56
2003-06-09,21.44,22.56
2003-06-11,22.56,22.56
2003-06-12,22.56,22.19
2003-06-13,21.44,22.56
2003-06-17,21.44,22.56
2003-06-18,22.56,21.54
2003-06-19,22.56,22.56
2003-06-20,21.44,22.19
2003-06-23,21.44,21.44
2003-06-24,21.44,20.42
2003-06-26,21.44,21.44
2003-06-27,21.44,21.44
2003-06-30,20.37,20.37
2003-07-01,19.37,19.37
2003-07-02,18.41,18.41
2003-07-03,17.49,17.49
