Date,Close,Open
2003-02-17,1.78,1.78
2003-02-18,1.78,1.78
2003-02-19,1.78,1.78
2003-02-21,1.78,1.78
2003-02-28,1.78,1.78
2003-03-04,1.86,1.86
2003-03-06,1.86,1.86
2003-03-07,1.86,1.86
2003-03-11,1.95,1.95
2003-03-13,2.04,2.04
2003-03-14,2.14,2.14
2003-03-17,2.24,2.24
2003-03-19,2.35,2.35
2003-03-20,2.45,2.4
2003-03-21,2.57,2.57
2003-03-24,2.57,2.57
2003-03-25,2.57,2.57
2003-03-26,2.57,2.57
2003-03-27,2.57,2.57
2003-04-03,2.57,2.57
2003-04-04,2.69,2.6
2003-04-07,2.82,2.82
2003-04-08,2.95,2.95
2003-04-09,3.09,3.08
2003-04-10,3.09,3.1
2003-04-11,3.09,3.09
2003-04-14,3.2,2.98
2003-04-15,3.04,3.04
2003-04-16,2.89,2.89
2003-04-17,2.89,2.89
2003-04-22,2.89,2.89
2003-04-23,2.89,2.89
2003-04-24,2.89,2.89
2003-04-25,2.89,2.89
2003-04-28,2.75,2.77
2003-04-30,2.88,2.88
2003-05-02,2.74,2.77
2003-05-06,2.74,2.74
2003-05-07,2.74,2.74
2003-05-08,2.87,2.78
2003-05-09,2.87,2.87
2003-05-12,3,2.95
2003-05-16,2.85,2.9
2003-05-19,2.85,2.72
2003-05-20,2.99,2.99
2003-05-21,2.85,2.99
2003-05-22,2.85,2.83
2003-05-26,2.85,2.85
2003-05-27,2.75,2.97
2003-05-30,2.88,2.88
2003-06-02,3,3
2003-06-03,3,3
2003-06-04,3,3
2003-06-05,3,3
2003-06-06,3,3
2003-06-09,3.15,3.07
2003-06-12,3,3
2003-06-13,3,3
2003-06-16,3.15,2.86
2003-06-18,3.15,3.15
2003-06-20,3,3
2003-06-23,3,3
2003-06-25,3,3
2003-06-27,3,3.05
2003-07-01,3,3
2003-07-08,3,3
2003-07-09,3.15,3.06
2003-07-11,3,3
2003-07-14,2.99,2.99
2003-07-15,2.99,2.99
2003-07-16,2.99,2.99
2003-07-17,3,2.95
2003-07-18,2.85,2.85
2003-07-21,2.85,2.85
2003-07-25,2.85,2.85
2003-07-28,2.85,2.85
2003-07-29,2.85,2.85
2003-07-30,2.99,2.99
2003-07-31,2.99,2.99
2003-08-01,2.99,3
2003-08-05,3,2.98
2003-08-06,3,3
2003-08-11,2.85,3
2003-08-12,2.99,2.99
2003-08-13,2.9,2.88
2003-08-18,2.85,2.85
2003-08-19,2.85,2.85
2003-08-20,2.85,2.85
2003-08-21,2.85,2.85
2003-08-22,2.99,2.97
2003-08-25,2.99,2.99
2003-08-27,3.13,3.12
2003-08-28,3.13,3.13
2003-08-29,3.13,3.13
2003-09-01,2.98,2.98
2003-09-02,2.98,2.98
2003-09-05,2.98,2.98
2003-09-08,2.9,2.9
2003-09-09,2.9,2.83
2003-09-10,2.9,2.9
2003-09-12,2.9,2.9
2003-09-19,2.76,2.76
2003-09-22,2.76,2.76
2003-09-24,2.88,2.79
2003-09-25,2.88,2.88
2003-10-06,2.75,2.75
2003-10-08,2.75,2.75
2003-10-09,2.75,2.75
2003-10-10,2.75,2.75
2003-10-13,2.75,2.75
2003-10-14,2.75,2.75
2003-10-15,2.75,2.75
2003-10-16,2.75,2.75
2003-10-17,2.75,2.75
2003-10-20,2.75,2.75
2003-10-23,2.75,2.75
2003-10-24,2.75,2.75
2003-10-27,2.75,2.75
2003-10-28,2.88,2.88
2003-10-30,2.75,2.75
2003-11-03,2.75,2.75
2003-11-05,2.75,2.75
2003-11-06,2.75,2.75
2003-11-11,2.75,2.75
2003-11-12,2.75,2.75
2003-11-13,2.75,2.75
2003-11-14,2.88,2.88
2003-11-17,2.88,2.88
2003-11-18,2.9,2.89
2003-11-19,2.9,2.9
2003-11-20,2.9,2.9
2003-11-21,2.9,2.9
2003-12-01,2.9,2.9
2003-12-02,2.76,2.76
2003-12-08,2.76,2.76
2003-12-09,2.76,2.76
2003-12-15,2.76,2.76
2003-12-16,2.89,2.85
2003-12-17,2.89,2.89
2003-12-24,2.89,2.89
2003-12-31,2.89,2.89
2004-01-06,2.89,2.89
2004-01-07,2.89,2.89
2004-01-08,2.89,2.89
2004-01-09,2.89,2.89
2004-01-20,2.89,2.89
2004-01-21,2.89,2.89
2004-01-22,2.89,2.89
2004-01-26,2.89,2.89
2004-01-29,2.9,2.96
2004-01-30,3.04,3.04
2004-02-09,3.1,3.1
2004-02-12,3.15,3.15
2004-02-13,3.15,3.15
2004-02-16,3.3,3.3
2004-02-17,3.3,3.3
2004-02-18,3.46,3.46
2004-02-20,3.63,3.63
2004-02-23,3.81,3.81
2004-02-25,3.81,3.81
2004-02-26,3.81,3.81
2004-03-02,3.81,3.81
2004-03-04,3.81,3.81
2004-03-08,3.81,3.81
2004-03-09,3.62,3.64
2004-03-10,3.62,3.62
2004-03-15,3.44,3.44
2004-03-16,3.45,3.44
2004-03-17,3.45,3.45
2004-03-18,3.45,3.45
2004-03-19,3.5,3.5
2004-03-22,3.5,3.5
2004-03-24,3.5,3.5
2004-03-25,3.5,3.5
2004-03-31,3.5,3.5
2004-04-01,3.5,3.5
2004-04-05,3.5,3.5
2004-04-07,3.67,3.67
2004-04-08,3.65,3.8
2004-04-14,3.65,3.65
2004-04-15,3.83,3.8
2004-04-16,3.83,3.83
2004-04-20,3.83,3.83
2004-04-21,4.02,3.88
2004-04-22,4.22,4.22
2004-04-26,4.01,4.01
2004-04-27,4.01,4.01
2004-04-28,4.01,4.01
2004-04-29,4.01,4.05
2004-05-03,3.85,4.01
2004-05-04,4.01,4.01
2004-05-05,4.01,4.01
2004-05-06,4.01,4.01
2004-05-07,4.01,4.01
2004-05-11,4.01,4.01
2004-05-12,4.01,4.01
2004-05-18,4.01,4.01
2004-05-19,4.01,4.01
2004-05-21,4.01,4.01
2004-05-26,4.01,4.01
2004-05-27,4.01,4.01
2004-05-28,4.01,4.01
2004-05-31,4.01,4.01
2004-06-01,4,4
2004-06-02,4,4
2004-06-04,4,4
2004-06-08,4,4
2004-06-10,4,4
2004-06-14,4,4
2004-06-16,4,4
2004-06-17,3.8,3.8
2004-06-18,3.8,3.8
2004-06-21,3.8,3.8
2004-06-22,3.8,3.8
2004-06-24,3.8,3.8
2004-06-25,3.8,3.8
2004-06-28,3.8,3.8
2004-07-01,3.8,3.8
2004-07-05,3.8,3.8
2004-07-13,3.8,3.8
2004-07-19,3.8,3.8
2004-07-22,3.8,3.8
2004-07-23,3.8,3.8
2004-07-27,3.8,3.8
2004-08-10,3.8,3.8
2004-08-17,3.8,3.8
2004-08-26,3.8,3.8
2004-08-30,3.8,3.8
2004-09-14,3.8,3.8
2004-09-17,3.8,3.8
2004-10-26,3.8,3.8
2004-11-05,3.8,3.8
2004-11-09,3.8,3.8
2004-11-11,3.8,3.8
2004-11-16,3.8,3.8
2004-11-22,3.8,3.8
2004-11-24,3.8,3.8
2004-11-25,3.8,3.8
2004-11-29,3.8,3.8
2004-12-01,3.8,3.8
2004-12-14,3.8,3.8
2004-12-15,3.8,3.8
2004-12-20,3.8,3.8
2004-12-21,3.8,3.8
2004-12-24,3.8,3.8
2004-12-29,3.8,3.8
2004-12-30,3.8,3.8
2004-12-31,3.8,3.8
2005-01-06,3.8,3.8
2005-01-13,3.8,3.8
2005-01-18,3.8,3.8
2005-02-08,3.8,3.8
2005-02-14,3.8,3.8
2005-03-08,3.8,3.8
2005-03-11,3.8,3.8
2005-03-15,3.8,3.8
2005-04-26,3.8,3.8
2005-06-13,3.8,3.8
2005-06-14,3.8,3.8
2005-06-21,3.8,3.8
2005-06-29,3.8,-99999999.9999
2005-06-30,3.8,3.8
2005-07-14,3.8,3.8
2005-07-21,3.8,3.8
2005-08-02,3.8,3.8
2005-09-05,3.8,3.8
2005-09-09,3.8,3.8
2005-09-15,3.8,3.8
2005-10-04,3.8,3.8
2005-10-11,3.8,3.8
2005-12-01,3.8,3.8
2005-12-02,3.8,3.8
2006-01-06,3.8,3.8
2006-01-18,3.8,3.8
2006-02-03,3.8,3.8
2006-02-16,3.8,3.8
2006-03-06,3.8,3.8
2006-03-17,3.8,3.8
2006-03-31,3.8,3.8
2006-04-05,3.8,3.8
2006-04-07,3.8,3.8
2006-05-04,3.8,3.8
2006-05-09,3.8,3.8
2006-05-12,3.8,3.8
2006-05-16,3.8,3.8
2006-05-24,3.8,3.8
2006-06-16,3.8,3.8
2006-06-19,3.8,3.8
2006-06-20,3.8,3.8
2006-06-21,3.8,3.8
2006-07-07,3.8,3.8
2006-07-10,3.8,3.8
2006-07-17,3.8,3.8
2006-08-04,3.43,3.43
2006-08-16,3.43,3.43
2006-08-28,3.43,3.43
2006-10-12,3.43,3.43
2006-12-05,3.43,3.43
2006-12-11,3.43,3.43
2006-12-14,3.43,3.43
2006-12-15,3.26,3.26
2007-01-22,3.26,3.26
2007-02-14,3.26,3.26
2007-03-05,3.26,3.26
2007-03-14,3.26,3.26
2007-03-19,3.1,3.1
2007-03-21,3.1,3.1
2007-03-22,3.1,3
2007-03-23,3.1,3.1
2007-03-26,3.1,3.1
2007-03-27,2.95,2.95
2007-03-28,2.95,2.95
2007-03-29,3.09,3.01
2007-03-30,3.09,3.09
2007-04-03,2.94,3.09
2007-04-04,2.94,2.94
2007-04-05,2.94,2.94
2007-04-10,2.94,2.94
2007-04-11,2.94,2.94
2007-04-16,2.94,2.94
2007-04-17,3.08,3.08
2007-04-18,3.23,3.23
2007-04-19,3.39,3.39
2007-04-23,3.55,3.55
2007-04-24,3.72,3.72
2007-04-25,3.72,3.72
2007-04-27,3.9,3.9
2007-04-30,4.09,4.07
2007-05-02,4.29,4.29
2007-05-03,4.29,4.29
2007-05-04,4.5,4.5
2007-05-08,4.72,4.72
2007-05-09,4.95,4.95
2007-05-10,4.95,5.17
2007-05-11,5.19,5.19
2007-05-14,5.44,5.44
2007-05-15,5.71,5.71
2007-05-16,5.99,5.99
2007-05-17,6.28,6.28
2007-05-18,6.59,6.59
2007-05-21,6.91,6.91
2007-05-23,7.25,7.25
2007-05-24,7.61,7.61
2007-05-25,7.99,7.99
2007-05-28,8.38,8.38
2007-05-30,8.79,8.79
2007-05-31,9.22,9.22
2007-06-01,9.68,9.68
2007-06-04,10.16,9.84
2007-06-05,10,10.16
2007-06-06,9.5,10.03
2007-06-07,9.03,9.2
2007-06-08,8.65,8.76
