Date,Close,Open
2003-03-14,0.54,0.54
2003-04-04,0.54,0.54
2003-04-29,0.54,0.54
2003-05-27,0.54,0.54
2003-06-04,0.54,0.54
2003-06-05,0.54,0.54
2003-06-10,0.54,0.54
2003-07-02,0.54,0.54
2003-07-17,0.54,0.54
2003-09-02,0.54,0.54
2003-09-08,0.54,0.54
2003-09-09,0.54,0.54
2003-09-10,0.54,0.54
2003-09-11,0.54,0.54
2003-09-12,0.54,0.54
2003-09-26,0.54,0.54
2003-10-09,0.54,0.54
2003-12-23,0.54,0.54
2004-02-12,0.54,0.54
2004-03-04,0.54,0.54
2004-04-01,0.54,0.54
2004-04-06,0.54,0.54
2004-04-14,0.54,0.54
2004-04-26,0.54,0.54
2004-04-27,0.54,0.54
2004-04-28,0.54,0.54
2004-05-14,0.54,0.54
2004-06-09,0.54,0.54
2004-07-02,0.54,0.54
2004-07-07,0.54,0.54
2004-08-06,0.52,0.52
2004-08-12,0.52,0.52
2004-08-18,0.52,0.52
2004-08-20,0.52,0.52
2004-08-27,0.52,0.52
2004-10-05,0.52,0.52
2004-10-29,0.52,0.52
2004-11-03,0.52,0.52
2004-12-10,0.52,0.52
2005-01-31,0.52,0.52
2005-02-09,0.52,0.52
2005-02-28,0.52,0.52
2005-06-03,0.52,0.52
2005-06-13,0.52,0.52
2005-08-22,0.52,0.52
2005-08-24,0.52,0.52
2005-09-16,0.52,0.52
2005-09-19,0.52,0.52
2005-09-23,0.52,0.52
2005-09-26,0.52,0.52
2005-10-11,0.52,0.52
2005-10-14,0.52,0.52
2005-10-18,0.52,0.52
2005-11-09,0.52,0.52
2005-11-14,0.52,0.52
2005-12-05,0.52,0.52
2005-12-15,0.52,0.52
2006-02-06,0.52,0.52
2006-03-10,0.52,0.52
2006-04-13,0.52,0.52
2006-04-20,0.52,0.52
2006-06-16,0.52,0.52
2006-06-20,0.52,0.52
2006-07-20,0.52,0.52
2006-07-21,0.52,0.52
2006-07-26,0.52,0.52
2006-10-04,0.5,0.5
2006-10-13,0.5,0.5
2007-01-11,0.5,0.5
2007-02-01,0.52,0.52
2007-02-02,0.54,0.54
2007-02-05,0.56,0.56
2007-02-06,0.56,0.56
2007-02-07,0.58,0.58
2007-02-13,0.58,0.58
2007-02-14,0.58,0.58
2007-03-01,0.58,0.58
2007-03-05,0.6,0.6
2007-03-08,0.6,0.6
2007-03-13,0.6,0.6
2007-03-21,0.63,0.63
2007-03-22,0.63,0.63
2007-04-03,0.63,0.63
2007-04-11,0.63,0.63
2007-05-03,0.63,0.63
2007-05-11,0.63,0.63
2007-05-18,0.63,0.63
2007-05-21,0.63,0.63
2007-06-01,0.63,0.63
2007-06-07,0.63,0.63
2007-06-25,0.63,0.63
2007-06-28,0.63,0.63
2007-07-09,0.63,0.63
2007-07-11,0.63,0.63
2007-07-12,0.63,0.63
2007-07-16,0.63,0.63
2007-07-24,0.65,0.65
2007-07-26,0.65,0.65
2007-08-01,0.65,0.65
2007-08-09,0.65,0.65
2007-08-15,0.65,0.65
2007-09-07,0.65,0.65
2007-09-18,0.65,0.65
2007-09-24,0.65,0.65
2007-09-25,0.65,0.65
2007-10-03,0.68,0.68
2007-10-05,0.68,0.68
2007-10-09,0.68,0.68
2007-10-10,0.68,0.68
2007-10-16,0.68,0.69
2007-10-18,0.71,0.71
2007-10-19,0.68,0.69
2007-10-24,0.65,0.65
2007-10-29,0.65,0.65
2007-10-30,0.65,0.65
2007-11-01,0.65,0.65
2007-11-02,0.65,0.65
2007-11-07,0.62,0.64
2007-11-09,0.59,0.61
2007-11-13,0.59,0.59
2007-11-15,0.57,0.58
2007-11-16,0.55,0.55
2007-11-19,0.53,0.55
2007-11-20,0.51,0.52
2007-11-21,0.51,0.52
2007-11-22,0.53,0.53
2007-11-23,0.53,0.53
2007-11-29,0.53,0.53
2007-12-13,0.53,0.53
2007-12-17,0.53,0.55
2007-12-18,0.53,0.53
2007-12-31,0.55,0.55
2008-01-03,0.55,0.55
2008-01-04,0.57,0.57
2008-01-10,0.58,0.58
2008-01-11,0.6,0.6
2008-01-21,0.63,0.63
2008-01-22,0.66,0.66
2008-01-23,0.69,0.69
2008-01-24,0.72,0.72
2008-01-25,0.72,0.72
2008-01-28,0.75,0.75
2008-01-31,0.78,0.78
2008-02-01,0.81,0.81
2008-02-04,0.85,0.85
2008-02-05,0.89,0.89
2008-02-06,0.93,0.93
2008-02-07,0.97,0.97
2008-02-08,1.01,1.01
2008-02-11,1.06,1.06
2008-02-12,1.11,1.11
2008-02-14,1.16,1.16
2008-02-15,1.21,1.21
2008-02-18,1.27,1.27
2008-02-19,1.33,1.33
2008-02-20,1.39,1.39
2008-02-21,1.45,1.45
2008-02-22,1.52,1.52
2008-02-25,1.59,1.59
2008-02-26,1.66,1.66
2008-02-27,1.74,1.74
2008-02-28,1.82,1.82
2008-02-29,1.91,1.91
2008-03-03,2,2
2008-03-04,2.1,2.1
2008-03-05,2.2,2.2
2008-03-06,2.31,2.31
2008-03-07,2.42,2.42
2008-03-10,2.54,2.54
