Date,Close,Open
2003-02-17,0.83,0.84
2003-02-18,0.87,0.87
2003-02-19,0.83,0.83
2003-02-24,0.8,0.8
2003-02-25,0.8,0.8
2003-02-26,0.82,0.82
2003-02-28,0.89,0.89
2003-03-05,0.91,0.91
2003-03-06,0.93,0.93
2003-03-07,0.93,0.93
2003-03-10,0.97,0.97
2003-03-13,0.97,0.97
2003-03-14,0.95,0.95
2003-03-18,0.95,0.95
2003-03-19,0.95,0.95
2003-03-21,0.95,0.95
2003-03-24,0.93,0.93
2003-03-25,0.97,0.97
2003-03-26,0.97,0.97
2003-04-04,0.97,0.97
2003-04-16,0.97,0.97
2003-04-22,1,1
2003-04-24,0.97,1
2003-04-25,0.97,1
2003-05-02,1,1
2003-05-09,1,1
2003-05-14,1,1
2003-05-15,1,1
2003-05-16,1,1
2003-05-22,1,1
2003-05-27,1,1
2003-06-09,1,1
2003-06-10,1.05,1.05
2003-06-11,1.1,1.1
2003-06-12,1.1,1.1
2003-06-13,1.05,1.1
2003-06-16,1.1,1.1
2003-06-17,1.1,1.1
2003-06-18,1.1,1.09
2003-06-19,1.1,1.1
2003-06-23,1.1,1.1
2003-06-25,1.1,1.1
2003-06-27,1.1,1.1
2003-07-03,1.1,1.1
2003-07-09,1.1,1.1
2003-07-10,1.1,1.1
2003-07-24,1.1,1.07
2003-07-28,1.1,1.1
2003-07-31,1.1,1.1
2003-08-12,1.1,1.1
2003-08-15,1.1,1.1
2003-08-18,1.1,1.1
2003-08-21,1.1,1.1
2003-08-22,1.1,1.1
2003-08-26,1.15,1.15
2003-08-28,1.15,1.15
2003-08-29,1.15,1.15
2003-09-01,1.15,1.15
2003-09-02,1.15,1.15
2003-09-03,1.15,1.15
2003-09-04,1.2,1.2
2003-09-08,0.57,0.57
2003-09-15,0.57,0.57
2003-09-17,0.59,0.59
2003-09-18,0.61,0.61
2003-09-19,0.64,0.64
2003-09-22,0.67,0.67
2003-09-23,0.7,0.7
2003-09-24,0.73,0.73
2003-09-25,0.76,0.73
2003-09-26,0.76,0.76
2003-09-29,0.79,0.79
2003-09-30,0.82,0.82
2003-10-02,0.86,0.86
2003-10-03,0.9,0.9
2003-10-06,0.94,0.94
2003-10-07,0.98,0.98
2003-10-08,1.02,1.02
2003-10-09,1.07,1.07
2003-10-10,1.12,1.12
2003-10-13,1.12,1.13
2003-10-14,1.07,1.07
2003-10-16,1.1,1.08
2003-10-17,1.15,1.08
2003-10-22,1.15,1.15
2003-10-24,1.15,1.15
2003-10-29,1.1,1.1
2003-11-03,1.1,1.1
2003-11-04,1.1,1.1
2003-11-05,1.1,1.1
2003-11-06,1.1,1.1
2003-11-10,1.1,1.1
2003-11-11,1.1,1.1
2003-11-12,1.1,1.1
2003-11-17,1.1,1.1
2003-11-26,1.1,1.1
2003-12-08,1.1,1.1
2003-12-18,1.1,1.1
2003-12-30,1.1,1.1
2004-01-14,1.1,1.1
2004-01-19,1.1,1.1
2004-01-20,1.1,1.1
2004-01-28,1.1,1.1
2004-02-24,1.1,1.1
2004-02-25,1.1,1.1
2004-02-26,1.1,1.1
2004-03-05,1.1,1.1
2004-03-08,1.1,1.1
2004-03-23,1.1,1.1
2004-03-26,1.1,1.1
2004-04-05,1.1,1.1
2004-04-06,1.1,1.1
2004-04-07,1.1,1.1
2004-04-16,1.1,1.1
2004-04-21,1.1,1.1
2004-04-22,1.1,1.1
2004-04-27,1.1,1.1
2004-04-28,1.1,1.1
2004-05-05,1.05,1.05
2004-05-17,1.05,1.05
2004-05-28,1,1
2004-06-03,1,1
2004-06-07,0.95,0.95
2004-06-08,0.95,0.95
2004-06-16,0.95,0.95
2004-06-17,0.91,0.91
2004-06-24,0.87,0.87
2004-06-28,0.87,0.87
2004-07-06,0.87,0.87
2004-07-08,0.87,0.87
2004-07-13,0.83,0.83
2004-07-14,0.83,0.83
2004-07-15,0.83,0.83
2004-07-19,0.79,0.79
2004-07-21,0.76,0.76
2004-07-22,0.73,0.73
2004-07-23,0.7,0.7
2004-07-26,0.67,0.67
2004-07-27,0.64,0.64
2004-07-30,0.61,0.61
2004-08-02,0.58,0.58
2004-08-03,0.56,0.56
2004-08-04,0.57,0.56
2004-08-05,0.59,0.59
2004-08-06,0.61,0.61
2004-08-09,0.61,0.61
2004-08-10,0.61,0.61
2004-08-11,0.62,0.62
2004-08-12,0.65,0.65
2004-08-13,0.68,0.68
2004-08-16,0.65,0.65
2004-08-18,0.6,0.6
2004-08-19,0.57,0.59
2004-08-20,0.55,0.55
2004-08-23,0.55,0.55
2004-08-24,0.53,0.54
2004-08-25,0.53,0.53
2004-08-26,0.51,0.51
2004-08-27,0.53,0.5
2004-08-30,0.55,0.55
2004-08-31,0.55,0.57
2004-09-01,0.57,0.57
2004-09-02,0.59,0.59
2004-09-03,0.59,0.59
2004-09-07,0.59,0.59
2004-09-08,0.59,0.59
2004-09-09,0.61,0.6
2004-09-10,0.64,0.64
2004-09-14,0.67,0.67
2004-09-15,0.7,0.68
2004-09-16,0.7,0.7
2004-09-21,0.7,0.68
2004-09-22,0.7,0.7
2004-09-27,0.7,0.7
2004-09-29,0.7,0.7
2004-10-04,0.73,0.7
2004-10-05,0.7,0.7
2004-10-06,0.73,0.68
2004-10-07,0.76,0.7
2004-10-08,0.79,0.76
2004-10-11,0.82,0.82
2004-10-12,0.86,0.86
2004-10-13,0.9,0.87
2004-10-15,0.9,0.9
2004-10-18,0.94,0.91
2004-10-19,0.98,0.98
2004-10-20,1,0.98
2004-10-21,1.05,1.02
2004-10-22,1.05,1.02
2004-10-25,1.02,1
2004-10-26,1.05,1
2004-10-27,1.05,1.01
2004-11-01,1,1
2004-11-18,1,1
2004-11-23,1,1
2004-12-09,1,1
2004-12-13,0.95,0.95
2004-12-14,0.91,0.91
2004-12-16,0.87,0.87
2004-12-20,0.83,0.87
2004-12-21,0.83,0.87
2004-12-29,0.83,0.83
2005-02-01,0.83,0.83
2005-02-10,0.83,0.83
2005-02-21,0.83,0.83
2005-03-01,0.83,0.83
2005-03-09,0.79,0.79
2005-03-16,0.76,0.76
2005-03-17,0.73,0.75
2005-03-18,0.7,0.7
2005-03-21,0.68,0.68
2005-03-22,0.65,0.65
2005-03-23,0.62,0.62
2005-03-24,0.62,0.62
2005-03-29,0.62,0.62
2005-03-30,0.62,0.62
2005-03-31,0.62,0.62
2005-04-01,0.62,0.62
2005-04-04,0.62,0.62
2005-04-06,0.59,0.59
2005-04-07,0.61,0.59
2005-04-08,0.64,0.61
2005-04-11,0.67,0.67
2005-04-13,0.7,0.66
2005-04-14,0.73,0.73
2005-04-15,0.76,0.76
2005-04-19,0.79,0.79
2005-04-20,0.82,0.82
2005-04-22,0.86,0.86
2005-04-25,0.9,0.9
2005-04-26,0.94,0.94
2005-04-27,0.98,0.98
2005-04-28,1.02,1.01
2005-04-29,0.97,0.97
2005-05-03,0.97,0.95
2005-05-04,1.01,0.95
2005-05-05,1.06,1.04
2005-05-06,1.05,1.06
2005-05-10,1.05,1.01
2005-05-11,1.1,1.07
2005-05-12,1.1,1.1
2005-05-17,1.1,1.1
2005-05-18,1.1,1.06
2005-05-19,1.1,1.06
2005-05-25,1.15,1.15
2005-05-26,1.2,1.15
2005-06-01,1.2,1.2
2005-06-17,1.2,1.2
2005-06-24,1.2,1.2
2005-06-27,1.26,1.24
2005-06-29,1.26,1.26
2005-06-30,1.2,1.2
2005-07-01,1.2,1.2
2005-07-05,1.2,1.2
2005-07-07,1.2,1.2
2005-07-08,1.19,1.19
2005-07-12,1.19,1.19
2005-07-14,1.19,1.19
2005-07-15,1.22,1.18
2005-07-18,1.22,1.22
2005-07-27,1.22,1.22
2005-08-01,1.22,1.22
2005-08-02,1.22,1.22
2005-08-04,1.22,1.22
2005-08-11,1.16,1.16
2005-08-22,1.16,1.16
2005-08-23,1.14,1.14
2005-08-26,1.14,1.14
2005-08-31,1.19,1.18
2005-09-01,1.22,1.22
2005-09-05,1.22,1.22
2005-09-07,1.16,1.21
2005-09-08,1.16,1.16
2005-09-13,1.16,1.16
2005-09-14,1.15,1.15
2005-09-15,1.1,1.1
2005-09-16,1.15,1.14
2005-09-28,0.82,0.82
2005-09-29,0.82,0.82
2005-10-04,0.82,0.82
2005-10-05,0.82,0.82
2005-10-11,0.8,0.8
