Date,Open,High,Low,Close,Volume,Trades,Value
2007-03-16,0.61,0.61,0.61,0.61,30000.00,2.00,18300.00
2007-03-21,0.61,0.61,0.61,0.61,939.00,2.00,572.79
2007-03-22,0.61,0.61,0.61,0.61,1220.00,1.00,744.20
2007-04-03,0.61,0.61,0.61,0.61,2000.00,1.00,1220.00
2007-04-04,0.61,0.61,0.61,0.61,220.00,1.00,134.20
2007-04-10,0.61,0.61,0.61,0.61,1500.00,1.00,915.00
2007-05-11,0.61,0.61,0.61,0.61,300000.00,2.00,183000.00
2007-05-15,0.61,0.64,0.61,0.64,35400.00,3.00,22644.00
2007-05-18,0.70,0.70,0.70,0.70,15000.00,1.00,10500.00
2007-05-21,0.73,0.73,0.73,0.73,15330.00,2.00,11190.90
2007-05-23,0.79,0.79,0.79,0.79,15000.00,1.00,11850.00
2007-05-25,0.82,0.82,0.82,0.82,15000.00,1.00,12300.00
2007-05-30,0.86,0.86,0.86,0.86,15000.00,1.00,12900.00
2007-05-31,0.86,0.86,0.86,0.86,2100.00,1.00,1806.00
2007-06-01,0.90,0.90,0.90,0.90,15000.00,1.00,13500.00
2007-06-05,0.94,0.94,0.94,0.94,15000.00,1.00,14100.00
2007-06-06,0.98,0.98,0.98,0.98,22000.00,2.00,21560.00
2007-06-08,1.02,1.02,0.98,0.98,16600.00,2.00,16332.00
2007-06-11,0.98,0.98,0.98,0.98,10000.00,1.00,9800.00
2007-06-12,1.02,1.02,1.02,1.02,15000.00,1.00,15300.00
2007-06-14,1.02,1.02,1.02,1.02,750.00,1.00,765.00
2007-06-15,1.07,1.07,1.07,1.07,15000.00,1.00,16050.00
2007-06-19,1.12,1.12,1.12,1.12,20000.00,1.00,22400.00
2007-06-20,1.12,1.12,1.12,1.12,170000.00,5.00,190400.00
2007-06-21,1.12,1.12,1.12,1.12,260000.00,4.00,291200.00
2007-06-22,1.07,1.17,1.07,1.07,18110.00,3.00,19477.70
2007-06-25,1.12,1.12,1.12,1.12,15000.00,1.00,16800.00
2007-06-26,1.12,1.12,1.12,1.12,200.00,1.00,224.00
2007-06-27,1.12,1.12,1.12,1.12,500.00,1.00,560.00
2007-06-28,1.17,1.17,1.17,1.17,15000.00,1.00,17550.00
2007-06-29,1.22,1.22,1.22,1.22,39000.00,4.00,47580.00
2007-07-03,1.22,1.28,1.22,1.28,20500.00,2.00,25910.00
2007-07-10,1.28,1.28,1.28,1.28,3000.00,1.00,3840.00
2007-07-12,1.28,1.34,1.28,1.34,30000.00,2.00,39300.00
2007-07-13,1.40,1.40,1.40,1.40,15000.00,1.00,21000.00
2007-07-17,1.47,1.47,1.47,1.47,15000.00,1.00,22050.00
2007-07-18,1.47,1.47,1.47,1.47,1000.00,1.00,1470.00
2007-07-26,1.47,1.47,1.47,1.47,4940.00,1.00,7261.80
2007-07-27,1.52,1.52,1.52,1.52,14000.00,2.00,21280.00
2007-07-31,1.52,1.59,1.52,1.59,30000.00,3.00,46650.00
2007-08-01,1.59,1.59,1.59,1.59,200.00,1.00,318.00
2007-08-02,1.66,1.66,1.66,1.66,6000.00,1.00,9960.00
2007-08-03,1.66,1.66,1.66,1.66,11350.00,2.00,18841.00
2007-08-07,1.74,1.74,1.74,1.74,8500.00,2.00,14790.00
2007-09-03,1.74,1.74,1.74,1.74,2000.00,1.00,3480.00
2007-09-04,1.74,1.74,1.74,1.74,10000.00,1.00,17400.00
2007-09-06,1.74,1.74,1.74,1.74,10000.00,1.00,17400.00
2007-09-13,1.74,1.74,1.74,1.74,5800.00,1.00,10092.00
2007-10-15,1.74,1.74,1.74,1.74,10000.00,1.00,17400.00
2007-10-25,1.74,1.74,1.74,1.74,5800.00,1.00,10092.00
2008-01-02,1.74,1.74,1.74,1.74,5000.00,1.00,8700.00
2008-01-03,1.74,1.74,1.74,1.74,5400.00,2.00,9396.00
2008-01-21,1.82,1.82,1.82,1.82,30220.00,3.00,55000.40
2008-01-23,1.82,1.82,1.82,1.82,3000.00,1.00,5460.00
2008-01-24,1.91,1.91,1.91,1.91,5800.00,1.00,11078.00
2008-01-31,1.91,1.91,1.91,1.91,100000.00,1.00,191000.00
2008-02-01,2.00,2.00,2.00,2.00,50800.00,3.00,101600.00
2008-02-05,2.10,2.10,2.10,2.10,220000.00,2.00,462000.00
2008-02-06,2.20,2.20,2.20,2.20,165000.00,5.00,363000.00
2008-02-13,2.20,2.20,2.20,2.20,5510.00,2.00,12122.00
2008-02-14,2.31,2.31,2.31,2.31,250000.00,6.00,577500.00
2008-02-19,2.31,2.31,2.31,2.31,252300.00,8.00,582813.00
2008-02-20,2.42,2.42,2.42,2.42,102500.00,4.00,248050.00
2008-02-21,2.54,2.54,2.54,2.54,15000.00,1.00,38100.00
2008-02-22,2.66,2.66,2.66,2.66,15000.00,1.00,39900.00
2008-02-25,2.79,2.79,2.79,2.79,41440.00,2.00,115617.60
2008-02-26,2.92,2.92,2.92,2.92,657000.00,3.00,1918440.00
2008-02-27,3.06,3.06,3.06,3.06,210500.00,5.00,644130.00
2008-02-28,3.21,3.21,3.21,3.21,100000.00,2.00,321000.00
2008-03-03,3.21,3.21,3.21,3.21,326200.00,9.00,1047102.00
2008-03-05,3.37,3.37,3.37,3.37,245000.00,3.00,825650.00
2008-03-07,3.53,3.53,3.53,3.53,60000.00,4.00,211800.00
2008-03-10,3.70,3.70,3.70,3.70,39900.00,3.00,147630.00
2008-03-11,3.88,3.88,3.88,3.88,115000.00,2.00,446200.00
2008-03-12,4.07,4.07,4.07,4.07,286440.00,5.00,1165810.75
2008-03-13,4.27,4.27,4.27,4.27,165000.00,3.00,704550.00
2008-03-14,4.48,4.48,4.48,4.48,15000.00,1.00,67200.00
2008-03-17,4.70,4.70,4.70,4.70,101000.00,2.00,474700.00
2008-03-18,4.93,4.93,4.93,4.93,144200.00,1.00,710906.00
2008-03-20,5.00,5.14,4.69,5.14,461340.00,24.00,2200820.50
2008-03-25,5.38,5.39,5.30,5.39,266820.00,10.00,1436112.00
2008-03-26,5.65,5.65,5.65,5.65,55000.00,2.00,310750.00
2008-03-27,5.93,5.93,5.93,5.93,92600.00,3.00,549118.00
2008-03-28,6.20,6.22,6.20,6.22,315788.00,18.00,1962881.38
2008-03-31,6.52,6.53,6.52,6.53,105000.00,9.00,685500.00
2008-04-01,6.85,6.85,6.84,6.84,341800.00,10.00,2340112.00
2008-04-02,7.18,7.18,7.18,7.18,178700.00,5.00,1283066.00
2008-04-03,7.53,7.53,7.53,7.53,25000.00,3.00,188250.00
2008-04-04,7.90,7.90,7.90,7.90,15000.00,1.00,118500.00
2008-04-07,7.90,8.29,7.90,8.29,15000.00,2.00,120450.00
2008-04-08,8.70,8.70,8.70,8.70,14759.00,3.00,128403.30
2008-04-09,9.13,9.13,9.13,9.13,15000.00,5.00,136950.00
2008-04-10,9.58,9.58,8.68,8.68,186000.00,13.00,1648375.88
2008-04-11,8.25,8.25,8.25,8.25,104443.00,7.00,861654.75
2008-04-14,7.84,7.84,7.84,7.84,80000.00,4.00,627200.00
2008-04-18,7.84,7.84,7.84,7.84,3000.00,1.00,23520.00
2008-04-23,7.45,7.45,7.45,7.45,37000.00,1.00,275650.00
2008-04-25,7.45,7.45,7.45,7.45,20000.00,1.00,149000.00
2008-04-28,7.45,7.45,7.45,7.45,10000.00,1.00,74500.00
2008-05-05,7.45,7.45,7.45,7.45,5500.00,2.00,40975.00
2008-05-26,7.45,7.45,7.45,7.45,200.00,1.00,1490.00
2008-05-27,7.08,7.08,7.08,7.08,1000.00,1.00,7080.00
2008-06-23,7.08,7.08,7.08,7.08,5000.00,1.00,35400.00
2008-07-14,7.08,7.08,7.08,7.45,1000.00,1.00,7080.00
