Date,Close,Open
2003-02-24,6.55,6.55
2003-03-07,6.55,6.55
2003-03-26,6.55,6.55
2003-03-27,6.55,6.55
2003-04-14,6.87,6.87
2003-04-15,6.87,6.87
2003-04-22,6.87,6.87
2003-04-23,6.87,6.87
2003-04-29,6.87,6.87
2003-05-06,6.87,6.87
2003-05-08,6.87,6.87
2003-05-09,6.87,6.87
2003-05-12,6.87,6.87
2003-05-19,6.87,6.87
2003-05-20,6.87,6.87
2003-05-22,7.21,7.21
2003-06-19,7.21,7.21
2003-06-25,7.21,7.21
2003-07-30,7.21,7.21
2003-08-12,7.21,7.21
2003-08-15,7.21,7.21
2003-08-18,7.21,7.21
2003-08-29,7.21,7.21
2003-09-23,7.05,7.05
2003-09-24,7.05,7.05
2003-10-09,7.05,7.05
2003-11-18,7.4,7.4
2003-11-28,7.4,7.4
2003-12-15,7.4,7.4
2003-12-19,7.7,7.7
2004-02-11,7.32,7.32
2004-02-17,7.32,7.32
2004-02-20,7.68,7.68
2004-02-24,8.06,8.06
2004-02-27,8.06,8.06
2004-03-05,8.46,8.46
2004-03-09,8.88,8.88
2004-03-15,8.88,8.88
2004-03-19,8.88,8.88
2004-03-22,8.44,8.88
2004-03-23,8.44,8.44
2004-03-24,8.5,8.5
2004-03-30,8.5,8.5
2004-04-06,8.5,8.5
2004-04-07,8.5,8.5
2004-04-22,8.5,8.5
2004-05-06,8.5,8.5
2004-05-14,8.5,8.5
2004-06-02,8.5,8.5
2004-06-18,8.5,8.5
2004-06-21,8.5,8.5
2004-07-06,8.5,8.5
2004-07-09,8.5,8.5
2004-07-14,8.5,8.5
2004-07-19,8.5,8.5
2004-07-21,8.5,8.5
2004-07-23,8.5,8.5
2004-07-26,8.5,8.5
2004-08-03,8.5,8.5
2004-08-05,8.5,8.5
2004-08-09,8.5,8.5
2004-08-23,8.5,8.5
2004-08-26,8.5,8.5
2004-08-27,8.5,8.5
2004-08-30,8.5,8.5
2004-09-01,8.5,8.5
2004-09-02,8.5,8.5
2004-09-03,8.5,8.5
2004-09-06,8.5,8.5
2004-09-07,8.5,8.5
2004-09-09,8.5,8.5
2004-09-13,8.08,8.39
2004-09-21,8,8
2004-11-18,8,8
2004-11-26,8,8
2005-03-08,8,8
2005-03-11,8,8
2005-03-23,8,8
2005-05-20,8,8
2005-06-07,8,8
2005-06-08,8,8
2005-06-09,8,8
2005-06-15,8,8
2005-06-20,8,8
2005-06-21,8,8
2005-07-11,8,8
2005-07-20,8,8
2005-08-01,8,8
2005-10-04,8,8
2005-10-24,8,8
2005-10-26,8,8
2005-10-31,8,8
2005-11-04,8,8
2005-11-07,8,8
2005-11-08,7.6,7.6
2005-11-10,7.6,7.6
2005-12-01,7.6,7.6
2006-02-03,7.6,7.6
2006-02-23,7.6,7.6
2006-02-28,7.6,7.6
2006-04-05,7.6,7.6
2006-04-11,7.6,7.6
2006-05-23,7.6,7.6
2006-06-14,7.6,7.6
2006-06-16,7.6,7.6
2006-06-20,7.6,7.6
2006-06-21,7.6,7.6
2006-07-07,7.6,7.6
2006-08-16,7.6,7.6
2006-08-21,7.6,7.6
2006-08-23,7.6,7.6
2006-08-29,7.6,7.6
2006-09-22,7.6,7.6
2006-11-21,7.6,7.6
2006-11-30,7.6,7.6
2006-12-12,7.6,7.6
2007-03-02,7.22,7.22
2007-03-05,7.22,7.22
2007-03-08,7.22,7.22
2007-04-11,7.22,7.22
2007-05-04,6.86,6.86
2007-05-17,6.86,6.86
2007-05-31,6.86,6.86
2007-06-05,6.86,6.86
2007-06-29,6.86,6.86
2007-07-04,6.52,6.52
