Date,Open,High,Low,Close,Volume,Trades,Value
2012-08-27,1.60,1.65,1.60,1.62,51500.00,5.00,83420.00
2012-08-28,1.60,1.62,1.60,1.62,694000.00,11.00,1113240.25
2012-08-29,1.68,1.68,1.68,1.68,60100.00,3.00,101070.00
2012-08-30,1.68,1.68,1.68,1.68,256700.00,13.00,417418.69
2012-08-31,1.68,1.68,1.68,1.68,1326862.00,37.00,2123479.25
2012-09-03,1.68,1.68,1.68,1.68,107000.00,6.00,176770.00
2012-09-04,1.65,1.65,1.65,1.65,855000.00,10.00,1410781.00
2012-09-05,1.65,1.65,1.65,1.65,26000.00,4.00,43170.00
2012-09-06,1.65,1.68,1.65,1.68,499500.00,12.00,837405.00
2012-09-07,1.68,1.68,1.68,1.68,57998.00,5.00,95946.64
2012-09-10,1.68,1.68,1.68,1.68,198700.00,7.00,332113.50
2012-09-11,1.68,1.68,1.68,1.68,296000.00,12.00,519980.00
2012-09-12,1.68,1.68,1.68,1.68,340502.00,14.00,599283.50
2012-09-13,1.76,1.76,1.76,1.76,188200.00,6.00,331232.00
2012-09-17,1.76,1.79,1.70,1.79,8251702.00,16.00,14458068.00
2012-09-18,1.78,1.87,1.78,1.87,314750.00,7.00,573066.00
2012-09-19,1.80,1.80,1.80,1.80,110008496.00,10.00,198020048.00
2012-09-20,1.80,1.85,1.80,1.85,1818472.00,33.00,3307573.50
2012-09-24,1.94,2.03,1.92,1.99,2747904.00,25.00,5496328.00
2012-09-25,1.91,2.06,1.91,2.06,1857700.00,13.00,3675923.50
2012-09-26,2.06,2.06,1.96,1.96,628716.00,13.00,1257548.50
2012-09-27,1.95,1.95,1.95,1.95,81455952.00,6.00,158842752.00
2012-09-28,1.95,1.95,1.95,1.95,173831.00,12.00,338220.44
2012-10-02,1.86,1.86,1.86,1.86,70200.00,3.00,132672.00
2012-10-03,1.95,1.95,1.86,1.86,322650.00,6.00,624441.00
2012-10-04,1.95,1.95,1.95,1.95,3094000.00,19.00,6032800.00
2012-10-05,1.96,2.04,1.95,1.96,66480092.00,19.00,129697400.00
2012-10-08,1.87,1.87,1.87,1.87,138602.00,8.00,267033.03
2012-10-09,1.80,1.80,1.80,1.80,349775.00,9.00,629522.88
2012-10-10,1.85,1.85,1.85,1.85,446679.00,13.00,828028.31
2012-10-11,1.85,1.85,1.85,1.85,802000.00,5.00,1484033.38
2012-10-12,1.77,1.80,1.77,1.77,5335500.00,9.00,9452717.00
2012-10-15,1.75,1.85,1.75,1.85,525173.00,12.00,953470.06
2012-10-16,1.85,1.85,1.85,1.85,214327.00,8.00,395841.03
2012-10-17,1.85,1.85,1.76,1.76,1625319.00,22.00,2895216.50
2012-10-18,1.80,1.80,1.80,1.80,252000.00,6.00,447850.00
2012-10-19,1.75,1.75,1.72,1.72,313000.00,9.00,542463.62
2012-10-22,1.69,1.69,1.69,1.69,213121.00,7.00,361436.19
2012-10-23,1.77,1.77,1.77,1.77,270000.00,6.00,474700.00
2012-10-24,1.73,1.73,1.72,1.72,508250.00,5.00,876490.00
2012-10-29,1.79,1.79,1.73,1.73,255000.00,6.00,449950.00
2012-10-30,1.72,1.72,1.70,1.70,292000.00,10.00,500520.00
2012-10-31,1.70,1.78,1.70,1.78,1201650.00,11.00,2059472.00
2012-11-01,1.70,1.86,1.70,1.84,127472672.00,29.00,216754544.00
2012-11-02,1.75,1.75,1.75,1.75,84400.00,10.00,149611.00
2012-11-05,1.80,1.80,1.71,1.80,622600.00,12.00,1095906.00
2012-11-06,1.80,1.80,1.75,1.75,656150.00,15.00,1153432.00
2012-11-07,1.75,1.75,1.75,1.75,95000.00,6.00,171240.00
2012-11-08,1.83,1.83,1.75,1.76,666500.00,11.00,1193495.00
2012-11-09,1.76,1.76,1.76,1.76,104719.00,9.00,183458.25
2012-11-12,1.75,1.84,1.75,1.84,1104250.00,10.00,2010767.62
2012-11-13,1.77,1.77,1.76,1.76,263500.00,6.00,472120.00
2012-11-14,1.72,1.72,1.71,1.71,8298208.00,5.00,14191441.00
2012-11-15,1.75,1.79,1.75,1.79,394000.00,9.00,700762.00
2012-11-16,1.84,1.87,1.84,1.87,545000.00,7.00,1011650.00
2012-11-19,1.94,1.94,1.85,1.86,8958000.00,14.00,17348960.00
2012-11-20,1.79,1.79,1.78,1.78,644719.00,7.00,1153437.00
2012-11-21,1.78,1.78,1.78,1.78,534000.00,3.00,950520.00
2012-11-22,1.72,1.80,1.72,1.80,737501.00,10.00,1276079.50
2012-11-23,1.79,1.80,1.79,1.80,435501.00,5.00,781251.81
2012-11-26,1.80,1.80,1.80,1.80,6000.00,2.00,10350.00
2012-11-28,1.80,1.80,1.80,1.80,149775.00,3.00,269595.00
2012-11-29,1.80,1.80,1.80,1.80,84800.00,4.00,149490.00
2012-11-30,1.80,1.89,1.80,1.89,366025.00,7.00,684891.00
2012-12-03,1.89,1.89,1.89,1.89,39524.00,2.00,71161.20
2012-12-04,1.89,1.89,1.89,1.89,52700.00,5.00,96676.00
2012-12-05,1.83,1.83,1.83,1.83,315504.00,4.00,577372.31
2012-12-06,1.83,1.83,1.83,1.83,24596.00,2.00,45424.32
2012-12-10,1.83,1.83,1.83,1.83,5000.00,2.00,9450.00
2012-12-11,1.83,1.83,1.83,1.83,317176.00,12.00,606133.44
2012-12-12,1.91,1.91,1.91,1.91,299423.00,8.00,569691.25
2012-12-13,1.91,1.91,1.91,1.91,102000.00,5.00,194820.00
2012-12-14,1.82,1.82,1.82,1.82,100100.00,3.00,182732.20
2012-12-17,1.90,1.91,1.90,1.91,1045000.00,7.00,1991950.00
2012-12-18,1.91,1.91,1.91,1.91,657900.00,8.00,1256560.00
2012-12-19,1.86,1.86,1.86,1.86,797500.00,23.00,1471822.00
2012-12-20,1.86,1.86,1.77,1.77,3304500.00,12.00,5875380.00
2012-12-21,1.77,1.77,1.70,1.71,2138000.00,30.00,3709179.75
2012-12-24,1.71,1.71,1.71,1.71,2500.00,2.00,4275.00
2012-12-28,1.83,1.83,1.83,1.83,55250.00,3.00,101207.50
2012-12-31,1.85,1.85,1.85,1.85,120000.00,2.00,223250.00
2013-01-02,1.91,1.94,1.91,1.93,1632000.00,19.00,3148580.00
2013-01-03,1.93,1.95,1.93,1.95,342100.00,8.00,661845.00
2013-01-04,1.91,1.91,1.91,1.91,5029586.00,9.00,9606511.00
2013-01-07,1.90,1.90,1.90,1.90,428450.00,8.00,816697.50
2013-01-08,1.90,1.90,1.90,1.90,299500.00,6.00,568930.00
2013-01-09,1.91,1.91,1.87,1.87,1163875.00,15.00,2207962.50
2013-01-10,1.91,1.91,1.91,1.91,172200.00,7.00,328410.00
2013-01-16,2.10,2.20,2.10,2.20,229000.00,11.00,493240.00
2013-01-17,2.10,2.30,2.09,2.12,855352.00,31.00,1868449.25
2013-01-18,2.04,2.04,2.04,2.04,271857.00,11.00,559173.31
2013-01-21,2.00,2.00,2.00,2.00,124000.00,2.00,248720.00
2013-01-22,2.02,2.02,2.02,2.02,238883.00,7.00,482122.84
2013-01-23,2.02,2.02,2.02,2.02,131301.00,11.00,267566.12
2013-01-25,2.00,2.00,2.00,2.00,729000.00,4.00,1458230.00
2013-01-28,2.02,2.10,2.02,2.10,239877.00,13.00,495963.44
2013-01-29,2.10,2.20,2.10,2.20,762300.00,18.00,1648280.00
2013-01-30,2.20,2.20,2.15,2.15,437500.00,8.00,950788.00
2013-01-31,2.25,2.25,2.25,2.25,200050.00,5.00,450112.50
2013-02-01,2.36,2.36,2.36,2.36,100000.00,6.00,236000.00
2013-02-04,2.47,2.47,2.47,2.47,80850.00,8.00,198709.50
2013-02-05,2.47,2.47,2.47,2.47,19000.00,3.00,49210.00
2013-02-06,2.59,2.59,2.59,2.59,972515.00,19.00,2518285.75
2013-02-07,2.65,2.65,2.65,2.65,675882.00,9.00,1796387.25
2013-02-08,2.70,2.70,2.70,2.70,743600.00,18.00,2017428.00
2013-02-12,2.62,2.87,2.62,2.87,16305790.00,25.00,43932584.00
2013-02-13,2.73,2.73,2.73,2.73,33966236.00,17.00,92727896.00
2013-02-14,2.70,2.70,2.60,2.60,51318672.00,18.00,138389424.00
2013-02-15,2.60,2.60,2.60,2.60,42200.00,5.00,105820.00
2013-02-18,2.47,2.47,2.47,2.47,89000.00,5.00,219830.00
2013-02-19,2.40,2.40,2.35,2.35,1220760.00,17.00,2882536.00
2013-02-25,2.27,2.28,2.26,2.28,570475.00,16.00,1294881.25
2013-02-26,2.20,2.25,2.20,2.25,409500.00,10.00,910957.44
2013-02-27,2.25,2.25,2.25,2.25,59500.00,5.00,127116.00
2013-02-28,2.25,2.25,2.25,2.25,11360.00,2.00,22960.00
2013-03-01,2.15,2.15,2.14,2.14,257000.00,5.00,551750.00
