Date,Close,Open
2003-02-17,65,64.44
2003-02-18,66,66
2003-02-19,67,66.47
2003-02-21,63.7,63.7
2003-02-24,63.7,63.66
2003-02-25,61,61.19
2003-02-26,60.5,60.98
2003-02-28,63.63,59.16
2003-03-04,60.5,60.52
2003-03-05,60.5,60.48
2003-03-06,59,60.11
2003-03-07,59.5,59.41
2003-03-10,59.5,59.74
2003-03-11,59.5,59.53
2003-03-13,60.5,60.21
2003-03-14,61,60.9
2003-03-17,61,59.7
2003-03-18,60.5,60.98
2003-03-19,60.51,60.51
2003-03-20,60,60.44
2003-03-21,61,60.6
2003-03-24,61,60.47
2003-03-25,58.5,58.94
2003-03-26,59.5,58.83
2003-03-27,60.5,60.66
2003-03-31,62,62
2003-04-01,60,61.56
2003-04-02,61.99,61.78
2003-04-03,61,61
2003-04-04,61.5,61.02
2003-04-07,60,60.05
2003-04-08,61.5,60.84
2003-04-09,61.5,61.49
2003-04-10,61.5,61.5
2003-04-11,60,60.75
2003-04-14,62.9,62.12
2003-04-15,60.11,61.27
2003-04-16,60.5,60.43
2003-04-17,60.5,61.14
2003-04-22,60,59.5
2003-04-23,60,60.11
2003-04-24,60.5,60.34
2003-04-25,61.95,61.34
2003-04-28,59.01,58.86
2003-04-29,58.01,58.02
2003-04-30,60,59.9
2003-05-02,61,60.22
2003-05-05,60.01,60.4
2003-05-06,60.01,61.8
2003-05-07,60.01,59.73
2003-05-08,60,60
2003-05-09,60,59.81
2003-05-12,61.5,60.21
2003-05-14,60,60.48
2003-05-15,59,60
2003-05-16,58.5,58.5
2003-05-19,60,59.19
2003-05-21,59,58.75
2003-05-22,60,59.66
2003-05-23,60,60.36
2003-05-26,60,60
2003-05-27,60,60
2003-05-28,63,62.03
2003-05-30,63,63
2003-06-02,66.15,63.08
2003-06-03,66,63.84
2003-06-04,66,65.12
2003-06-05,66,63.64
2003-06-06,64.5,65.72
2003-06-09,62.5,63.18
2003-06-10,63.05,63.06
2003-06-12,63.2,63.29
2003-06-13,63.2,63.12
2003-06-16,62,62.18
2003-06-17,63,62.34
2003-06-18,63,63
2003-06-19,63,63
2003-06-20,63,63
2003-06-23,64,63.93
2003-06-24,64.5,64.07
2003-06-25,65,64.97
2003-06-26,67,66.36
2003-06-27,67,67
2003-06-30,66.5,68.39
2003-07-01,66.5,66.72
2003-07-02,66,66.15
2003-07-03,63.8,63.77
2003-07-04,66.99,65.22
2003-07-07,65.5,65.58
2003-07-08,67,67
2003-07-09,67,66.45
2003-07-10,68,67.77
2003-07-11,66,67.67
2003-07-14,68,68
2003-07-15,68,68.89
2003-07-16,68.2,68.02
2003-07-17,68.2,68.2
2003-07-18,68,67.32
2003-07-21,66.25,66.34
2003-07-23,64,64.11
2003-07-24,66,65.05
2003-07-25,65,66
2003-07-28,65,65.09
2003-07-29,65.5,65.01
2003-07-30,64.52,64.81
2003-07-31,65,64.86
2003-08-01,64.99,64.89
2003-08-04,64.99,64.99
2003-08-05,64.2,64.59
2003-08-06,65,64.5
2003-08-07,67,65.49
2003-08-08,64.51,64.1
2003-08-11,64.51,64.21
2003-08-12,67,65.51
2003-08-13,65.1,65.31
2003-08-14,65,65.1
2003-08-15,67,65.01
2003-08-18,66.99,66.59
2003-08-19,67,67
2003-08-20,67.67,67.24
2003-08-21,68.5,68.13
2003-08-22,69.19,68.2
2003-08-25,72.64,71.32
2003-08-26,75.3,74.42
2003-08-27,73,73.38
2003-08-28,73,71.48
2003-08-29,69.35,69.45
2003-09-01,69.01,68.83
2003-09-02,70.1,69.61
2003-09-03,72,72.31
2003-09-04,73,72.76
2003-09-05,73,72.91
2003-09-08,73.1,73.06
2003-09-09,73.1,73
2003-09-10,73.3,72.87
2003-09-11,73,72.99
2003-09-12,73,73
2003-09-15,75.5,72.88
2003-09-16,76.19,74.93
2003-09-17,75.5,75.77
2003-09-18,74,74.4
2003-09-19,73.56,73.57
2003-09-22,76.5,74.14
2003-09-23,75,75.8
2003-09-24,75,73.48
2003-09-25,74,74.24
2003-09-26,74,73.7
2003-09-29,74,74
2003-09-30,74,73.9
2003-10-02,77.69,77.02
2003-10-03,79,77.93
2003-10-06,79,78.57
2003-10-07,80,78.85
2003-10-08,80,80
2003-10-09,84,82.45
2003-10-10,88.2,87.64
2003-10-13,90.15,90.29
2003-10-14,92,91.47
2003-10-15,88.2,88.92
2003-10-16,90,88.01
2003-10-17,89.01,89.04
2003-10-20,93.46,93.46
2003-10-22,99,95.82
2003-10-23,97.01,96.48
2003-10-24,99.99,100.02
2003-10-27,102,103.27
2003-10-28,105,103.52
2003-10-29,107,103.47
2003-10-30,102.1,102.03
2003-10-31,100,100.51
2003-11-03,102.99,102.18
2003-11-04,104,103.58
2003-11-05,103,101.25
2003-11-06,108.15,106.2
2003-11-07,113.55,111.22
2003-11-10,119.22,118.77
2003-11-11,125.18,125.09
2003-11-12,131.43,131.43
2003-11-13,138,138
2003-11-14,144.9,144.9
2003-11-17,152.14,152.14
2003-11-18,159.74,159.74
2003-11-19,167.72,167.72
2003-11-20,167.5,175.31
2003-11-21,159.13,159.13
2003-11-26,151.18,151.18
2003-11-27,143.63,143.63
2003-11-28,143.63,143.63
2003-12-01,136.45,136.45
2003-12-02,143.63,142.55
2003-12-03,136.45,136.45
2003-12-04,143.27,132.14
2003-12-05,150,145.7
2003-12-08,157.5,152.13
2003-12-09,160,162.35
2003-12-10,161.5,163.76
2003-12-11,169.57,166.26
2003-12-12,161.1,162.3
2003-12-15,160,153.32
2003-12-16,152,152.31
2003-12-17,144.4,148.16
2003-12-18,144.4,139.88
2003-12-19,148,140.54
2003-12-22,155.4,155.32
2003-12-23,163.16,159.67
2003-12-24,171.31,164.52
2003-12-29,171.3,171.59
