Date,Open,High,Low,Close,Volume,Trades,Value
2009-06-09,2.62,2.62,2.62,2.62,732000.00,26.00,1917840.00
2009-06-10,2.49,2.49,2.49,2.49,197000.00,5.00,490530.00
2009-06-11,2.37,2.37,2.37,2.49,2400.00,1.00,5688.00
2009-06-12,2.37,2.37,2.37,2.49,37000.00,5.00,87690.00
2009-06-15,2.37,2.37,2.37,2.49,11000.00,2.00,26070.00
2009-06-16,2.37,2.37,2.37,2.49,13500.00,2.00,31995.00
2009-06-17,2.37,2.37,2.37,2.37,607000.00,7.00,1438590.00
2009-06-18,2.26,2.26,2.26,2.37,27000.00,2.00,61020.00
2009-06-19,2.26,2.26,2.26,2.26,754046.00,6.00,1704144.00
2009-06-22,2.15,2.15,2.15,2.26,4000.00,1.00,8600.00
2009-06-23,2.15,2.15,2.15,2.26,2000.00,1.00,4300.00
2009-06-30,2.15,2.15,2.15,2.26,2169.00,1.00,4663.35
2009-07-01,2.15,2.15,2.15,2.15,11584.00,1.00,24905.60
2009-07-02,2.15,2.15,2.15,2.15,50000.00,2.00,107500.00
2009-07-09,2.05,2.05,2.05,2.05,5000000.00,5.00,10250000.00
2009-07-10,1.95,1.95,1.95,1.95,2000000.00,2.00,3900000.00
2009-07-13,1.86,1.86,1.86,1.86,3020785.00,8.00,5618660.00
2009-07-14,1.77,1.77,1.77,1.77,9000100.00,15.00,15930177.00
2009-07-15,1.69,1.69,1.69,1.77,21000.00,2.00,35490.00
2009-07-16,1.69,1.69,1.69,1.69,4100.00,2.00,6929.00
2009-07-17,1.69,1.69,1.69,1.69,1500000.00,3.00,2535000.00
2009-07-20,1.61,1.61,1.61,1.69,807.00,1.00,1299.27
2009-07-21,1.61,1.61,1.61,1.61,2500500.00,6.00,4025805.00
2009-07-23,1.53,1.53,1.53,1.53,3000.00,2.00,4590.00
2009-07-27,1.53,1.53,1.53,1.53,2000.00,1.00,3060.00
2009-07-28,1.53,1.53,1.53,1.61,500.00,1.00,765.00
2009-07-29,1.53,1.53,1.53,1.61,1050.00,2.00,1606.50
2009-07-31,1.53,1.53,1.53,1.61,1400.00,3.00,2142.00
2009-08-03,1.53,1.53,1.53,1.61,1000.00,1.00,1530.00
2009-08-04,1.53,1.53,1.53,1.53,966174.00,2.00,1478246.25
2009-08-07,1.46,1.46,1.46,1.53,1000.00,1.00,1460.00
2009-08-10,1.46,1.46,1.46,1.53,200.00,1.00,292.00
2009-08-12,1.46,1.46,1.46,1.53,1000.00,1.00,1460.00
2009-08-13,1.46,1.46,1.46,1.53,200.00,1.00,292.00
2009-08-17,1.44,1.44,1.44,1.46,200.00,1.00,288.00
2009-08-18,1.39,1.39,1.39,1.39,500.00,1.00,695.00
2009-08-21,1.39,1.39,1.39,1.46,11000.00,2.00,15290.00
2009-08-24,1.39,1.39,1.39,1.46,13200.00,3.00,18348.00
2009-08-26,1.33,1.33,1.33,1.39,21200.00,3.00,28196.00
2009-08-27,1.33,1.33,1.33,1.39,1200.00,2.00,1596.00
2009-08-28,1.33,1.33,1.33,1.39,200.00,1.00,266.00
2009-09-01,1.27,1.27,1.27,1.33,1000.00,1.00,1270.00
2009-09-02,1.27,1.27,1.27,1.33,1000.00,2.00,1270.00
2009-09-04,1.27,1.27,1.27,1.33,5000.00,1.00,6350.00
2009-09-10,1.33,1.33,1.33,1.33,3000.00,1.00,3810.00
2009-09-11,1.27,1.27,1.27,1.27,1000000.00,2.00,1270000.00
2009-09-14,1.27,1.27,1.27,1.27,12415.00,1.00,15022.15
2009-09-16,1.27,1.27,1.27,1.27,500.00,1.00,605.00
2009-09-17,1.27,1.27,1.27,1.27,1000.00,1.00,1210.00
2009-09-23,1.27,1.27,1.27,1.27,5000.00,1.00,6050.00
2009-09-24,1.27,1.27,1.27,1.27,20000.00,1.00,24200.00
2009-09-29,1.21,1.21,1.21,1.21,100000.00,1.00,121000.00
2009-09-30,1.21,1.21,1.21,1.21,500.00,1.00,575.00
2009-10-05,1.21,1.21,1.21,1.21,1000.00,1.00,1150.00
2009-10-12,1.20,1.20,1.20,1.20,205000.00,2.00,246000.00
2009-10-13,1.14,1.14,1.14,1.14,605000.00,2.00,689700.00
2009-10-16,1.14,1.14,1.14,1.14,500.00,1.00,545.00
2009-10-19,1.09,1.09,1.09,1.09,200500.00,2.00,218545.00
2009-10-22,1.09,1.09,1.09,1.09,4000.00,1.00,4160.00
2009-10-26,1.09,1.09,1.09,1.09,30000.00,1.00,31200.00
2009-11-12,1.04,1.04,1.04,1.04,60000.00,2.00,62400.00
2009-11-13,0.99,0.99,0.99,0.99,2000000.00,1.00,1980000.00
2009-11-16,0.99,0.99,0.99,0.99,18000.00,1.00,17100.00
2009-11-17,0.99,0.99,0.99,0.99,200.00,1.00,190.00
2009-11-18,0.95,0.95,0.95,0.95,102000.00,3.00,96900.00
2009-11-19,0.95,0.95,0.95,0.95,2000.00,1.00,1820.00
2009-11-23,0.91,0.91,0.91,0.91,500000.00,2.00,455000.00
