Date,Open,High,Low,Close,Volume,Trades,Value
2010-11-01,3.00,3.15,3.00,3.15,2533430.00,21.00,7901790.00
2010-11-04,3.00,3.00,3.00,3.00,1330.00,1.00,4189.50
2010-11-05,3.00,3.00,3.00,3.00,200.00,1.00,600.00
2010-11-10,3.00,3.00,3.00,3.00,700.00,2.00,2100.00
2010-11-11,3.00,3.00,3.00,3.00,500.00,1.00,1500.00
2010-11-12,3.00,3.00,3.00,3.00,100.00,1.00,300.00
2010-11-18,3.00,3.00,3.00,3.00,710.00,2.00,2130.00
2010-11-19,3.00,3.00,3.00,3.00,1300.00,8.00,3900.00
2010-11-22,3.00,3.00,3.00,3.00,1000.00,1.00,2850.00
2010-11-24,3.00,3.00,3.00,3.00,1000.00,2.00,3150.00
2010-11-25,3.00,3.00,3.00,3.00,1500.00,3.00,4400.00
2010-11-29,3.00,3.00,3.00,3.00,1000.00,1.00,3000.00
2010-11-30,3.00,3.00,3.00,3.00,3480.00,5.00,10748.00
2010-12-01,3.00,3.00,3.00,3.00,2970.00,5.00,9355.50
2010-12-02,3.00,3.00,3.00,3.00,700.00,3.00,2190.00
2010-12-03,3.00,3.00,3.00,3.00,430.00,3.00,1290.00
2010-12-06,3.00,3.00,3.00,3.00,10013488.00,10.00,30038624.00
2010-12-09,3.00,3.00,3.00,3.00,2924.00,4.00,8333.40
2010-12-13,3.00,3.00,3.00,3.00,200.00,1.00,570.00
2010-12-14,2.85,2.85,2.85,2.85,234000.00,3.00,666900.00
2010-12-23,2.70,2.70,2.70,2.70,272500.00,2.00,735250.00
2010-12-29,2.70,2.70,2.70,2.70,500.00,1.00,1350.00
2010-12-30,2.70,2.70,2.70,2.70,180.00,1.00,486.00
2010-12-31,2.70,2.70,2.70,2.70,55000.00,2.00,137500.00
2011-01-04,2.50,2.50,2.50,2.50,123900.00,2.00,309750.00
2011-01-05,2.50,2.50,2.50,2.50,18957.00,2.00,45117.66
2011-01-07,2.50,2.50,2.50,2.50,30300.00,6.00,72114.00
