Date,Close,Open
2006-11-27,5.78,5.78
2006-11-28,6.06,6.06
2006-11-29,5.76,5.76
2006-11-30,5.76,NA
2006-12-06,6.04,6.04
2006-12-07,6.34,6.34
2006-12-08,6.65,6.65
2006-12-11,6.98,6.98
2006-12-12,7.32,7.32
2006-12-13,7.68,7.68
2006-12-14,8.06,8.06
2006-12-15,8.46,8.46
2006-12-18,8.88,8.88
2006-12-19,9.32,9.32
2006-12-20,9.78,9.78
2006-12-21,10.26,10.26
2006-12-22,10.77,10.77
2006-12-27,11.3,11.3
2006-12-28,11.86,11.86
2006-12-29,12.45,12.45
2007-01-04,13.07,13.07
2007-01-05,13.72,13.72
2007-01-08,14.4,14.4
2007-01-09,15.12,15.12
2007-01-10,15.87,15.87
2007-01-11,16.66,16.66
2007-01-12,17.49,17.49
2007-01-15,18.36,18.36
2007-01-16,18.36,17.99
2007-01-17,19.1,18.01
2007-01-18,20.05,19.83
2007-01-19,21.05,20.94
2007-01-22,20.15,21.88
2007-01-23,19.5,20.61
2007-01-24,20.2,20.4
2007-01-25,21.21,20.91
2007-01-26,22.25,21.53
2007-01-30,22.5,23.33
2007-01-31,23.62,23.22
2007-02-01,24.8,24.8
2007-02-02,26.04,26.04
2007-02-05,27.34,27.34
2007-02-06,28.7,28.7
2007-02-07,30.13,30.13
2007-02-08,31.63,31.63
2007-02-09,33.2,33.2
2007-02-12,34.86,33.73
2007-02-13,35,34.45
2007-02-14,36.75,36.75
2007-02-15,38.58,38.58
2007-02-16,40.5,40.5
2007-02-19,42.52,42.52
2007-02-20,44.64,44.64
2007-02-21,46.87,46.87
2007-02-22,49.21,49.21
2007-02-23,46.75,48.01
2007-02-26,44.42,44.42
2007-02-27,42.2,42.2
2007-02-28,40.09,40.09
2007-03-01,38.09,38.09
2007-03-02,37,36.57
2007-03-05,37,36.16
2007-03-06,38.85,38.6
2007-03-07,40.79,40.79
2007-03-08,41.01,42.14
2007-03-09,43.06,42.46
2007-03-12,40.91,40.91
2007-03-13,40,39.66
2007-03-14,42,42
2007-03-15,44.1,44.1
2007-03-16,46.3,46.3
2007-03-19,48,48.24
2007-03-20,45.6,46.03
2007-03-21,44,43.77
2007-03-22,43.99,43.53
2007-03-23,46.18,45.6
2007-03-26,45.96,45.44
2007-03-27,43.67,44.06
2007-03-28,42.99,41.7
2007-03-29,41,42.43
2007-03-30,43.05,42.74
2007-04-03,45.2,44.5
2007-04-04,45,44.27
2007-04-05,43.9,44.54
2007-04-10,44.12,43.31
2007-04-11,45.2,44.09
2007-04-16,47.46,47.46
2007-04-17,49.83,49.83
2007-04-18,52.32,52.32
2007-04-19,54.93,54.93
2007-04-23,57.67,57.67
2007-04-24,60.55,60.55
2007-04-25,63.49,63.45
2007-04-26,63.49,62.53
2007-04-27,63,63.32
2007-04-30,62.5,62.69
2007-05-02,60,60.83
2007-05-03,60,60.58
2007-05-04,60,60.84
2007-05-07,60,59.44
2007-05-08,63,62.74
2007-05-09,66.1,65.78
2007-05-10,69.4,69.37
2007-05-11,70.05,70.74
2007-05-14,69,69.82
2007-05-15,65.55,66
2007-05-16,26.1,26.1
2007-05-17,27.4,27.4
2007-05-18,28.77,28.77
2007-05-21,30.2,30.2
2007-05-23,33.29,33.29
2007-05-24,34.95,34.95
2007-05-25,36.69,36.58
2007-05-28,38.35,38.3
2007-05-30,38,39.79
2007-05-31,38.89,38.42
2007-06-01,36.98,37.95
2007-06-04,35.39,35.65
2007-06-05,33.63,33.76
2007-06-06,31.95,31.96
2007-06-07,30.37,30.4
2007-06-08,29,28.97
2007-06-11,30.01,30.24
2007-06-12,31.51,31.37
2007-06-13,33.08,33.08
2007-06-14,34.73,34.73
2007-06-15,35.34,35.27
2007-06-16,35.34,35.27
2007-06-17,35.34,35.27
2007-06-18,33.58,35.19
2007-06-19,33.5,34.39
2007-06-20,33,32.98
2007-06-21,32.25,32.92
2007-06-22,33,33.26
2007-06-25,34.65,34.48
2007-06-26,36.01,35.46
2007-06-27,36,35.81
2007-06-28,34.2,34.78
2007-06-29,33.49,33.66
2007-07-02,32.5,32.24
2007-07-03,31.5,32.33
2007-07-04,32.5,32.14
2007-07-05,32.52,32.6
2007-07-06,32.4,32.44
2007-07-09,30.85,31.59
2007-07-10,29.33,29.59
2007-07-11,28,28.57
2007-07-12,26.7,27.68
2007-07-13,28.03,27.35
2007-07-16,29.43,28.34
2007-07-17,28.44,28.81
2007-07-18,27.52,28.37
2007-07-19,27,27.01
2007-07-20,27,27.08
2007-07-23,27,26.96
2007-07-24,28.2,28.28
2007-07-25,28,28.27
2007-07-26,29,29.08
2007-07-27,28.1,28.35
2007-07-30,27,27.29
2007-07-31,26.92,26.95
2007-08-01,28.2,27.87
2007-08-02,28,27.2
2007-08-03,26.6,26.63
2007-08-06,25.27,25.32
2007-08-07,24.01,24.01
2007-08-08,22.81,22.81
2007-08-09,22.81,22.81
2007-08-10,22.81,22.81
2007-08-13,22.81,22.81
2007-08-14,22.81,22.81
2007-08-15,22.81,22.81
2007-08-16,22.81,22.81
2007-08-17,22.81,22.81
2007-08-20,22.81,22.81
2007-08-21,22.81,22.81
2007-08-22,22.81,22.81
2007-08-23,22.81,22.81
2007-08-24,22.81,22.81
2007-08-27,22.81,22.81
2007-08-28,22.81,22.81
2007-08-29,22.81,22.81
2007-08-30,22.81,22.81
2007-08-31,22.81,22.81
2007-09-03,22.81,22.81
2007-09-04,22.81,22.81
2007-09-05,22.81,22.81
2007-09-06,22.81,22.81
2007-09-07,22.81,22.81
2007-09-10,22.81,22.81
2007-09-11,22.81,22.81
2007-09-12,22.81,22.81
2007-09-13,22.81,22.81
2007-09-14,22.81,22.81
2007-09-17,22.81,22.81
