Date,Open,High,Low,Close,Volume,Trades,Value
2000-01-04,17.45,NA,NA,17.00,NA,NA,NA
2000-01-05,17.00,NA,NA,16.85,NA,NA,NA
2000-01-10,16.85,NA,NA,16.85,NA,NA,NA
2000-01-11,16.85,NA,NA,17.00,NA,NA,NA
2000-01-12,17.00,NA,NA,17.15,NA,NA,NA
2000-01-13,17.15,NA,NA,17.30,NA,NA,NA
2000-01-14,17.30,NA,NA,17.60,NA,NA,NA
2000-01-17,17.60,NA,NA,17.68,NA,NA,NA
2000-01-18,17.68,NA,NA,18.00,NA,NA,NA
2000-01-19,18.00,NA,NA,18.70,NA,NA,NA
2000-01-20,18.70,NA,NA,18.70,NA,NA,NA
2000-01-21,18.70,NA,NA,19.00,NA,NA,NA
2000-01-24,19.00,NA,NA,18.89,NA,NA,NA
2000-01-25,18.89,NA,NA,18.89,NA,NA,NA
2000-01-26,18.89,NA,NA,19.83,NA,NA,NA
2000-01-27,19.83,NA,NA,19.82,NA,NA,NA
2000-01-28,19.82,NA,NA,19.80,NA,NA,NA
2000-01-31,19.80,NA,NA,19.80,NA,NA,NA
2000-02-01,19.80,NA,NA,19.81,NA,NA,NA
2000-02-02,19.81,NA,NA,19.83,NA,NA,NA
2000-02-03,19.83,NA,NA,19.30,NA,NA,NA
2000-02-04,19.30,NA,NA,19.50,NA,NA,NA
2000-02-07,19.50,NA,NA,19.90,NA,NA,NA
2000-02-08,19.90,NA,NA,19.96,NA,NA,NA
2000-02-09,19.96,NA,NA,20.02,NA,NA,NA
2000-02-10,20.02,NA,NA,20.50,NA,NA,NA
2000-02-11,20.50,NA,NA,21.52,NA,NA,NA
2000-02-14,21.52,NA,NA,20.45,NA,NA,NA
2000-02-15,20.45,NA,NA,19.88,NA,NA,NA
2000-02-16,19.88,NA,NA,19.88,NA,NA,NA
2000-02-17,19.88,NA,NA,20.20,NA,NA,NA
2000-02-18,20.20,NA,NA,20.20,NA,NA,NA
2000-02-21,20.20,NA,NA,19.88,NA,NA,NA
2000-02-22,19.88,NA,NA,19.95,NA,NA,NA
2000-02-23,19.95,NA,NA,19.98,NA,NA,NA
2000-02-24,19.98,NA,NA,19.99,NA,NA,NA
2000-02-25,19.99,NA,NA,19.99,NA,NA,NA
2000-02-28,19.99,NA,NA,19.81,NA,NA,NA
2000-02-29,19.81,NA,NA,19.82,NA,NA,NA
2000-03-01,19.82,NA,NA,20.30,NA,NA,NA
2000-03-02,20.30,NA,NA,20.00,NA,NA,NA
2000-03-03,20.00,NA,NA,19.80,NA,NA,NA
2000-03-06,19.80,NA,NA,19.80,NA,NA,NA
2000-03-07,19.80,NA,NA,19.80,NA,NA,NA
2000-03-08,19.80,NA,NA,19.85,NA,NA,NA
2000-03-09,19.85,NA,NA,19.85,NA,NA,NA
2000-03-10,19.85,NA,NA,19.86,NA,NA,NA
2000-03-13,19.86,NA,NA,19.98,NA,NA,NA
2000-03-14,19.98,NA,NA,19.86,NA,NA,NA
2000-03-17,19.86,NA,NA,19.86,NA,NA,NA
2000-03-20,19.86,NA,NA,19.91,NA,NA,NA
2000-03-21,19.91,NA,NA,19.85,NA,NA,NA
2000-03-22,19.85,NA,NA,19.98,NA,NA,NA
2000-03-23,19.98,NA,NA,19.98,NA,NA,NA
2000-03-24,19.98,NA,NA,20.00,NA,NA,NA
2000-03-27,20.00,NA,NA,20.20,NA,NA,NA
2000-03-28,20.20,NA,NA,20.00,NA,NA,NA
2000-03-29,20.00,NA,NA,20.00,NA,NA,NA
2000-03-30,20.00,NA,NA,20.01,NA,NA,NA
2000-03-31,20.01,NA,NA,20.02,NA,NA,NA
2000-04-03,20.02,NA,NA,21.00,NA,NA,NA
2000-04-04,21.00,NA,NA,20.01,NA,NA,NA
2000-04-05,20.01,NA,NA,20.01,NA,NA,NA
2000-04-06,20.01,NA,NA,20.02,NA,NA,NA
2000-04-07,20.02,NA,NA,20.09,NA,NA,NA
2000-04-10,20.09,NA,NA,20.05,NA,NA,NA
2000-04-11,20.05,NA,NA,20.05,NA,NA,NA
2000-04-12,20.05,NA,NA,20.05,NA,NA,NA
2000-04-13,20.05,NA,NA,20.05,NA,NA,NA
2000-04-14,20.05,NA,NA,20.05,NA,NA,NA
2000-04-17,20.05,NA,NA,20.08,NA,NA,NA
2000-04-18,20.08,NA,NA,20.11,NA,NA,NA
2000-04-19,20.11,NA,NA,20.10,NA,NA,NA
2000-04-20,20.10,NA,NA,20.12,NA,NA,NA
2000-04-25,20.12,NA,NA,20.12,NA,NA,NA
2000-04-26,20.12,NA,NA,20.12,NA,NA,NA
2000-04-27,20.12,NA,NA,20.20,NA,NA,NA
2000-04-28,20.20,NA,NA,20.40,NA,NA,NA
2000-05-02,20.40,NA,NA,20.40,NA,NA,NA
2000-05-03,20.40,NA,NA,20.42,NA,NA,NA
2000-05-04,20.42,NA,NA,20.81,NA,NA,NA
2000-05-05,20.81,NA,NA,20.00,NA,NA,NA
2000-05-08,20.00,NA,NA,20.50,NA,NA,NA
2000-05-09,20.50,NA,NA,20.55,NA,NA,NA
2000-05-10,20.55,NA,NA,20.55,NA,NA,NA
2000-05-11,20.55,NA,NA,20.55,NA,NA,NA
