Date,Open,High,Low,Close,Volume,Trades,Value
2007-02-15,1.02,1.02,1.02,1.02,2500.00,2.00,2550.00
2007-02-16,1.02,1.02,1.02,1.02,9800.00,1.00,9996.00
2007-02-19,1.02,1.02,1.02,1.02,19783.00,2.00,20178.66
2007-02-20,1.07,1.07,1.07,1.07,196705.00,7.00,210474.34
2007-02-22,1.12,1.12,1.12,1.12,30397.00,2.00,34044.64
2007-02-23,1.17,1.17,1.17,1.17,31155.00,3.00,36451.35
2007-02-26,1.17,1.22,1.17,1.18,17000.00,4.00,20510.00
2007-02-28,1.18,1.18,1.18,1.18,5270.00,3.00,6218.60
2007-03-02,1.18,1.18,1.18,1.18,317392.00,8.00,374522.56
2007-03-05,1.18,1.18,1.18,1.18,689565.00,2.00,813686.69
2007-03-06,1.18,1.18,1.18,1.18,1914.00,1.00,2258.52
2007-03-07,1.18,1.18,1.18,1.18,62.00,1.00,73.16
2007-03-08,1.18,1.18,1.18,1.18,49.00,1.00,57.82
2007-03-09,1.23,1.23,1.23,1.23,81343.00,4.00,100051.89
2007-03-12,1.29,1.29,1.29,1.29,15000.00,2.00,19350.00
2007-03-13,1.29,1.29,1.29,1.29,5000.00,1.00,6450.00
2007-03-14,1.35,1.35,1.35,1.35,30000.00,3.00,40500.00
2007-03-15,1.41,1.41,1.41,1.41,166200.00,4.00,234342.00
2007-03-16,1.41,1.41,1.41,1.41,29.00,1.00,40.89
2007-03-19,1.48,1.48,1.48,1.48,65000.00,2.00,96200.00
2007-03-20,1.55,1.55,1.55,1.55,342006.00,4.00,530109.31
2007-03-21,1.62,1.62,1.62,1.62,350000.00,3.00,567000.00
2007-03-22,1.70,1.70,1.70,1.70,289606.00,7.00,492330.19
2007-03-23,1.78,1.78,1.78,1.78,479600.00,17.00,853688.00
2007-03-26,1.86,1.86,1.86,1.86,1644500.00,5.00,3058770.00
2007-03-27,1.95,1.95,1.95,1.95,389767.00,2.00,760045.62
2007-03-28,2.03,2.04,2.03,2.04,2802732.00,39.00,5705816.50
2007-03-29,2.14,2.14,2.14,2.14,317000.00,10.00,678380.00
2007-03-30,2.24,2.24,2.20,2.24,1756725.00,53.00,3935060.00
2007-04-03,2.24,2.35,2.15,2.35,3177963.00,61.00,7236515.00
2007-04-04,2.46,2.46,2.30,2.46,1103950.00,36.00,2619506.00
2007-04-05,2.58,2.58,2.34,2.34,2384312.00,32.00,5749402.00
2007-04-06,6.02,6.02,5.46,6.02,86568352.00,142.00,476286176.00
2007-04-10,2.34,2.34,2.23,2.23,1821667.00,48.00,4178757.00
2007-04-11,2.23,2.23,2.12,2.23,503687.00,24.00,1094346.50
2007-04-16,2.20,2.20,2.12,2.12,1108983.00,28.00,2414162.00
2007-04-17,2.22,2.22,2.12,2.12,1102530.00,24.00,2444211.50
2007-04-18,2.22,2.22,2.02,2.22,2749752.00,63.00,5981125.50
2007-04-19,2.21,2.33,2.11,2.12,1581995.00,38.00,3449074.50
2007-04-23,2.22,2.22,2.02,2.02,5204306.00,39.00,11279430.00
2007-04-24,2.12,2.12,2.10,2.12,13283655.00,54.00,28159348.00
2007-04-25,2.22,2.22,2.22,2.22,3769871.00,9.00,8369113.50
2007-04-26,2.33,2.33,2.33,2.33,286500.00,7.00,667545.00
2007-04-27,2.44,2.44,2.44,2.44,388749.00,8.00,948547.56
2007-04-30,2.56,2.56,2.56,2.56,707187.00,9.00,1810398.75
2007-05-02,2.68,2.68,2.68,2.68,329945.00,10.00,884252.62
2007-05-03,2.81,2.81,2.81,2.81,935481.00,11.00,2628701.50
2007-05-04,2.95,2.95,2.95,2.95,2138535.00,15.00,6308678.00
2007-05-07,3.09,3.09,3.00,3.09,6515000.00,93.00,20125326.00
2007-05-08,3.18,3.19,2.94,3.09,6997452.00,149.00,21934450.00
2007-05-09,3.09,3.15,2.94,2.94,4876110.00,101.00,14578535.00
2007-05-10,2.94,3.07,2.80,3.07,2828735.00,97.00,8245423.50
2007-05-11,3.07,3.07,2.92,2.95,2189736.00,107.00,6623283.00
2007-05-14,3.07,3.09,3.07,3.09,4827746.00,66.00,14902105.00
2007-05-15,3.24,3.24,3.24,3.24,2436718.00,80.00,7894966.50
2007-05-16,3.40,3.40,3.39,3.40,4730722.00,104.00,16084427.00
2007-05-18,3.74,3.74,3.74,3.74,201109.00,9.00,752147.69
2007-05-21,3.92,3.92,3.92,3.92,252429.00,8.00,989521.69
2007-05-23,4.31,4.31,4.31,4.31,1619184.00,26.00,6978683.00
2007-05-24,4.30,4.52,4.10,4.52,8536566.00,171.00,37416684.00
2007-05-25,4.74,4.74,4.73,4.74,2220896.00,116.00,10525022.00
2007-05-28,4.97,4.97,4.97,4.97,739500.00,10.00,3675315.00
2007-05-30,5.21,5.21,5.21,5.21,1792309.00,35.00,9337930.00
2007-05-31,5.47,5.47,5.47,5.47,3205288.00,112.00,17532926.00
2007-06-01,5.74,5.74,5.74,5.74,4094885.00,65.00,23504640.00
2007-06-05,6.02,6.32,5.95,6.32,8588424.00,150.00,52879056.00
2007-06-06,6.63,6.63,6.04,6.04,4915072.00,111.00,31900584.00
2007-06-07,6.00,6.00,5.74,5.74,152605696.00,140.00,911295552.00
2007-06-08,5.46,6.02,5.46,6.02,55950212.00,121.00,306150080.00
2007-06-11,6.02,6.02,5.72,5.98,1910702.00,94.00,11238163.00
2007-06-12,5.99,6.27,5.98,5.98,3600342.00,102.00,22187526.00
2007-06-13,6.27,6.27,5.80,5.80,1608216.00,48.00,9720378.00
2007-06-14,6.05,6.05,5.51,5.51,2216315.00,80.00,12431529.00
2007-06-15,5.24,5.78,5.24,5.30,2210964.00,49.00,11632463.00
2007-06-18,5.30,5.30,5.04,5.05,930604.00,23.00,4707907.00
2007-06-19,5.30,5.30,4.80,4.80,1237083.00,31.00,6118216.00
2007-06-20,4.80,5.04,4.56,5.00,858024.00,27.00,4150249.25
2007-06-21,4.75,5.00,4.75,4.85,1118980.00,55.00,5434002.50
2007-06-22,4.80,5.09,4.80,5.09,1640714.00,25.00,8186184.00
2007-06-25,5.33,5.34,5.10,5.34,651398.00,32.00,3476124.50
2007-06-26,5.40,5.60,5.08,5.18,3144449.00,96.00,16321334.00
2007-06-27,5.00,5.43,4.93,5.00,1416061.00,36.00,7251650.50
2007-06-28,5.25,5.25,5.00,5.17,1011951.00,41.00,5181057.00
2007-06-29,5.16,5.16,4.94,5.10,270459.00,17.00,1373620.50
2007-07-02,5.35,5.35,4.85,4.85,335118.00,28.00,1645868.75
2007-07-03,5.00,5.00,4.61,5.00,513730.00,43.00,2447912.50
2007-07-04,5.10,5.10,4.75,4.80,706860.00,47.00,3405259.75
2007-07-05,4.80,4.80,4.56,4.56,159414.00,16.00,737595.81
2007-07-06,4.56,4.78,4.56,4.66,20584058.00,31.00,95932480.00
2007-07-09,4.50,4.88,4.50,4.88,702420.00,53.00,3370212.00
2007-07-10,4.88,5.12,4.64,5.00,4244403.00,49.00,19908280.00
2007-07-11,5.00,5.25,5.00,5.25,787850.00,42.00,4102850.00
2007-07-12,5.26,5.50,5.00,5.00,1080237.00,51.00,5731546.00
2007-07-13,5.00,5.00,4.75,4.90,40509528.00,48.00,199259296.00
2007-07-16,4.90,5.00,4.66,4.66,42017756.00,36.00,205404592.00
2007-07-17,4.66,4.73,4.43,4.73,762508.00,34.00,3519661.75
2007-07-18,4.50,4.96,4.50,4.96,1370500.00,29.00,6410250.00
2007-07-19,4.90,5.05,4.72,5.00,20991920.00,20.00,103773688.00
2007-07-20,5.00,5.25,4.75,4.90,1262100.00,24.00,6137460.50
2007-07-20,3.60,3.68,3.40,3.55,5650030.00,107.00,19867754.00
2007-07-23,4.95,4.95,4.76,4.90,539046.00,27.00,2598104.50
2007-07-24,5.00,5.00,4.70,4.70,203109.00,23.00,969928.44
2007-07-25,4.66,4.66,4.66,4.66,139574.00,16.00,650414.81
2007-07-26,4.67,4.89,4.43,4.89,27554476.00,40.00,133175264.00
2007-07-27,4.85,4.85,4.65,4.65,22426.00,4.00,106718.10
2007-07-30,4.88,4.88,4.42,4.42,356507.00,21.00,1687807.00
2007-07-31,4.30,4.30,4.20,4.20,267160.00,16.00,1125072.00
2007-08-01,4.20,4.20,3.99,3.99,283541.00,10.00,1143928.62
2007-08-02,3.80,3.80,3.80,3.80,25696.00,1.00,97644.80
2007-08-03,3.80,3.80,3.61,3.61,825433.00,32.00,3060205.25
2007-08-06,3.70,3.74,3.43,3.43,1234853.00,12.00,4283649.00
2007-08-07,3.26,3.40,3.26,3.26,1354515.00,32.00,4424319.00
2007-08-08,3.26,3.42,3.10,3.16,1673468.00,44.00,5551484.00
2007-08-09,3.16,3.31,3.05,3.31,1084404.00,22.00,3516678.50
2007-08-13,3.57,3.57,3.50,3.57,2493725.00,56.00,8881598.00
2007-08-14,3.74,3.74,3.57,3.74,10313282.00,129.00,38387184.00
2007-08-15,3.92,3.92,3.56,3.56,11357941.00,216.00,43002524.00
