Date,Close,Open
2003-02-17,98,96.72
2003-02-18,95.1,95.22
2003-02-19,92,93.18
2003-02-21,93,92.48
2003-02-24,92.99,90.96
2003-02-25,90,91.98
2003-02-26,90.2,90.08
2003-02-28,89.5,90.13
2003-03-04,98.66,98.66
2003-03-05,99,98.9478
2003-03-06,98,97.86
2003-03-07,96.1,96.14
2003-03-10,98,96.47
2003-03-11,97,96.98
2003-03-13,98.75,98.27
2003-03-14,100,99.74
2003-03-17,100,99.94
2003-03-18,100,99.97
2003-03-19,100,100.64
2003-03-20,100,100.56
2003-03-21,99,100.88
2003-03-24,100,99.89
2003-03-25,100,100
2003-03-26,102,101.15
2003-03-27,103.05,102.59
2003-03-31,76.01,76.01
2003-04-01,78,76.69
2003-04-02,81.9,81.48
2003-04-03,85.99,85.74
2003-04-04,85.5,86.82
2003-04-07,84,84.68
2003-04-08,83,83.07
2003-04-09,79,81.15
2003-04-10,78.5,78.66
2003-04-11,80,76.62
2003-04-14,80,80
2003-04-15,79.5,79.82
2003-04-16,79,79.29
2003-04-17,77.2,77.88
2003-04-22,76.5,76.63
2003-04-23,78,76.94
2003-04-24,77.5,77.75
2003-04-25,78,77.52
2003-04-28,79.5,77.79
2003-04-29,78,78.55
2003-04-30,80.75,79.24
2003-05-02,77.65,79.63
2003-05-05,77.5,77.81
2003-05-06,78,78.12
2003-05-07,80,79.23
2003-05-08,81.3,80.2
2003-05-09,80,79.67
2003-05-12,80.5,80.12
2003-05-14,81,80.87
2003-05-15,81,81
2003-05-16,80,80.23
2003-05-19,80.85,80.65
2003-05-20,80.84,80.46
2003-05-21,80.5,80.49
2003-05-22,80.1,80.16
2003-05-23,80.1,80.24
2003-05-26,80.5,80.36
2003-05-27,80.5,80.5
2003-05-28,81.49,81.13
2003-05-30,81.6,82.08
2003-06-02,82,81.9
2003-06-03,82.6,82.41
2003-06-04,81.06,81.83
2003-06-05,85,82.39
2003-06-06,82.5,82.95
2003-06-09,85,83.42
2003-06-10,85,84.89
2003-06-11,85,84.92
2003-06-12,89.25,86.35
2003-06-13,89.25,85.92
2003-06-16,85.52,86.18
2003-06-17,89.7,85.92
2003-06-18,89.65,86.63
2003-06-19,87,86.39
2003-06-20,85.45,85.41
2003-06-23,85.52,85.74
2003-06-24,89,89.05
2003-06-25,88,87.56
2003-06-26,88,88.03
2003-06-27,87.02,87.85
2003-06-30,87.02,87.02
2003-07-01,87,87
2003-07-02,87,87
2003-07-03,85.06,86.96
2003-07-04,87,87.29
2003-07-07,87,87
2003-07-08,87,87
2003-07-09,86.51,86.8
2003-07-10,89,87.68
2003-07-11,90,89.64
2003-07-14,94.5,91.95
2003-07-15,91,90.55
2003-07-16,90.2,90.32
2003-07-17,90,90.34
2003-07-18,88.5,89.01
2003-07-21,89,88.95
2003-07-23,90.99,89.49
2003-07-24,90.5,90.09
2003-07-25,90,89.63
2003-07-28,90,90
2003-07-29,88.5,89.49
2003-07-30,89.05,89.59
2003-07-31,88.98,89.03
2003-08-01,89.2,89.25
2003-08-04,89.3,89.17
2003-08-05,89.02,89.06
2003-08-06,89,89.05
2003-08-07,89,89.06
2003-08-08,89.11,89.08
2003-08-11,90.01,89.9
2003-08-12,90.01,89.92
2003-08-13,92,91.33
2003-08-14,91.9,91.82
2003-08-15,92.82,92.04
2003-08-18,91.9,92.13
2003-08-19,92.5,93.92
2003-08-20,93,92.66
2003-08-21,92.57,93.85
2003-08-22,91.8,93.29
2003-08-25,92.98,92.47
2003-08-26,94,93.52
2003-08-27,92,92.68
2003-08-28,91.98,91.99
2003-08-29,96.5,94.34
2003-09-01,92.5,93.87
2003-09-02,94.5,93.15
2003-09-03,93.5,93.64
2003-09-04,93.5,93.31
2003-09-05,93.5,93.04
2003-09-08,92.5,93.11
2003-09-09,92.54,92.81
2003-09-10,94,93.02
2003-09-11,93,93.7
2003-09-12,92.23,92.97
2003-09-15,92.5,92.53
2003-09-16,93,92.6
2003-09-17,93.93,93.56
2003-09-18,93.9,93.71
2003-09-19,94,93.94
2003-09-22,91,91.85
2003-09-23,92.5,92.7
2003-09-24,94,93.31
2003-09-25,96,95.07
2003-09-26,94.23,94.27
2003-09-29,95,95.39
2003-09-30,95.49,95.24
2003-10-02,95.49,95.02
2003-10-03,95,94.89
2003-10-06,95,94.97
2003-10-07,95.5,96.92
2003-10-08,97,96.51
2003-10-09,99.9,99.79
2003-10-10,104.88,103.65
2003-10-13,110.12,110.12
2003-10-14,112,111.25
2003-10-15,117.6,107.75
2003-10-16,120,116.99
2003-10-17,120,123.32
2003-10-20,116,116.19
2003-10-22,109,110.26
2003-10-23,109,109.93
2003-10-24,106.1,108.68
2003-10-27,114,111.75
2003-10-28,113.5,112.25
2003-10-29,110.01,113.93
2003-10-30,118,118.9
2003-10-31,115,118.42
2003-11-03,112,112.08
2003-11-04,115.3,114.95
2003-11-05,117.72,118.18
2003-11-06,120,118.9
2003-11-07,125,124.01
2003-11-10,124,124.31
2003-11-11,122,122.0001
2003-11-12,126,123.63
2003-11-13,126.05,126.04
2003-11-14,126.28,125.38
2003-11-17,125.62,126.44
2003-11-18,123.87,125.83
2003-11-19,126,125.13
2003-11-20,119.71,123.58
2003-11-21,115.59,115.55
2003-11-26,112.15,112.38
2003-11-27,108.6,110.57
2003-11-28,103.17,103.21
2003-12-01,103.15,101.4
2003-12-02,98.9,102.53
2003-12-03,100.65,101.08
2003-12-04,105.5,100.77
2003-12-05,110,109.39
2003-12-08,115.5,114.99
