Date,Close,Open
2006-03-14,0.94,0.94
2006-03-17,0.98,0.98
2006-03-20,1.01,1.01
2006-04-03,1.06,1.05
2006-04-06,1.11,1.11
2006-04-07,1.16,1.16
2006-04-13,1.21,1.21
2006-04-26,1.27,1.27
2006-05-09,1.45,1.45
2006-05-10,1.52,1.52
2006-05-26,1.52,1.52
2006-06-06,1.52,1.52
2006-06-22,1.52,1.52
2006-06-26,1.52,1.52
2006-07-03,1.52,1.52
2006-07-13,1.52,1.49
2006-07-14,1.52,1.52
2006-07-18,1.45,1.45
2006-07-19,1.45,1.45
2006-07-21,1.38,1.38
2006-07-25,1.32,1.32
2006-07-27,1.32,1.32
2006-08-01,1.32,1.32
2006-08-02,1.32,1.32
2006-08-10,1.32,1.31
2006-08-14,1.26,1.26
2006-11-01,1.26,1.26
2006-11-13,1.2,1.2
2006-12-07,1.14,1.14
2006-12-13,1.14,1.14
2006-12-20,1.14,1.14
2007-01-22,1.14,1.14
2007-02-02,1.09,1.09
2007-02-06,1.14,1.14
2007-02-07,1.14,1.14
2007-02-09,1.09,1.09
2007-02-12,1.04,1.04
2007-02-13,1.09,1.09
2007-02-14,1.14,1.14
2007-02-15,1.14,1.17
2007-02-16,1.14,1.14
2007-02-19,1.14,1.14
2007-02-20,1.15,1.19
2007-02-21,1.2,1.19
2007-02-22,1.26,1.26
2007-02-23,1.32,1.32
2007-02-26,1.38,1.38
2007-02-27,1.44,1.44
2007-02-28,1.51,1.51
2007-03-01,1.58,1.58
2007-03-02,1.65,1.65
2007-03-05,1.73,1.73
2007-03-06,1.81,1.81
2007-03-07,1.9,1.9
2007-03-08,1.99,1.99
2007-03-09,2.08,2.08
2007-03-12,2.17,2.06
2007-03-13,2.08,2.14
2007-03-14,1.98,2.03
2007-03-15,1.89,1.89
2007-03-16,1.8,1.8
2007-03-19,1.71,1.71
2007-03-20,1.63,1.63
2007-03-21,1.55,1.55
2007-03-22,1.62,1.53
2007-03-23,1.7,1.7
2007-03-26,1.78,1.71
2007-03-28,1.7,1.75
2007-03-29,1.7,1.7
2007-03-30,1.78,1.78
2007-04-03,1.86,1.86
2007-04-04,1.95,1.95
2007-04-05,2.04,2.04
2007-04-10,2.14,2.14
2007-04-11,2.24,2.24
2007-04-16,2.35,2.35
2007-04-17,2.46,2.46
2007-04-18,2.58,2.57
2007-04-19,2.46,2.66
2007-04-23,2.58,2.57
2007-04-24,2.65,2.52
2007-04-25,2.65,2.7
2007-04-26,2.66,2.71
2007-04-27,2.79,2.79
2007-04-30,2.92,2.84
2007-05-02,3.06,3.06
2007-05-03,3.21,3.21
2007-05-04,3.37,3.37
2007-05-07,3.37,3.41
2007-05-08,3.21,3.47
2007-05-09,3.05,3.05
2007-05-10,3.05,3.11
2007-05-11,3,3
2007-05-14,2.85,2.85
2007-05-15,2.85,2.85
2007-05-16,2.85,2.85
2007-05-17,2.82,2.82
2007-05-18,2.72,2.72
2007-05-21,2.69,2.62
2007-05-23,2.8,2.82
2007-05-24,2.66,2.68
2007-05-25,2.79,2.76
2007-05-28,2.85,2.85
2007-05-30,2.9,2.88
2007-05-31,3.04,3.04
2007-06-01,3.19,3.19
2007-06-04,3.34,3.34
2007-06-05,3.5,3.5
2007-06-06,3.67,3.67
2007-06-07,3.85,3.82
2007-06-08,3.8,3.86
2007-06-11,3.98,3.73
2007-06-12,4.17,4.17
2007-06-13,4.37,4.37
2007-06-14,4.57,4.54
2007-06-15,4.76,4.66
2007-06-16,4.76,4.66
2007-06-17,4.76,4.66
2007-06-18,4.53,4.66
2007-06-19,4.53,4.53
2007-06-20,4.31,4.31
2007-06-21,4.1,4.1
2007-06-22,4.3,4.21
2007-06-25,4.3,4.3
2007-06-26,4.09,4.09
2007-06-27,3.89,3.93
2007-06-28,3.7,3.7
2007-06-29,3.52,3.52
2007-07-02,3.35,3.35
2007-07-03,3.2,3.19
2007-07-04,3.36,3.21
2007-07-05,3.52,3.49
