Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,5.99,6.18,5.99,6.00,78404.00,14.00,469876.50
2007-01-05,6.01,6.30,6.01,6.30,14338.00,4.00,89433.88
2007-01-08,6.30,6.61,6.30,6.61,21050.00,3.00,138815.00
2007-01-10,6.94,6.94,6.94,6.94,25600.00,10.00,177664.00
2007-01-11,7.28,7.28,7.28,7.28,52000.00,7.00,378560.00
2007-01-12,7.28,7.28,7.28,7.28,1000.00,1.00,7280.00
2007-01-15,7.64,7.64,7.64,7.64,20000.00,5.00,152800.00
2007-01-16,8.02,8.02,8.02,8.02,197752.00,20.00,1585971.00
2007-01-17,8.42,8.42,8.42,8.42,177776.00,19.00,1496873.88
2007-01-18,8.84,8.84,8.84,8.84,11417.00,6.00,100926.28
2007-01-19,9.28,9.28,9.28,9.28,30300.00,7.00,281184.00
2007-01-22,9.74,9.74,9.74,9.74,41631.00,4.00,405485.94
2007-01-23,10.22,10.22,10.22,10.22,172127.00,12.00,1759138.00
2007-01-24,10.73,10.73,10.73,10.73,220889.00,13.00,2370139.00
2007-01-26,11.82,11.82,11.82,11.82,161224.00,12.00,1905667.62
2007-01-30,11.82,12.35,11.82,11.86,95239.00,20.00,1132959.00
2007-01-31,11.86,12.45,11.86,12.20,334488.00,30.00,4065348.00
2007-02-02,12.60,12.60,12.31,12.31,190078.00,25.00,2380787.75
2007-02-05,12.31,12.80,11.70,11.70,109654.00,14.00,1362650.00
2007-02-06,11.70,12.28,11.70,11.70,334446.00,18.00,3913598.25
2007-02-07,12.28,12.28,12.20,12.20,176639.00,21.00,2168159.50
2007-02-08,12.20,12.60,11.70,12.19,114955.00,19.00,1396255.50
2007-02-09,12.00,12.19,11.59,12.19,93717.00,13.00,1130097.75
2007-02-12,12.00,12.19,11.70,11.70,12457.00,8.00,147220.91
2007-02-13,11.70,11.70,11.12,11.12,146683.00,8.00,1710391.12
2007-02-14,11.12,11.67,11.12,11.12,102809.00,16.00,1161621.12
2007-02-15,11.12,11.12,11.12,11.12,6036.00,3.00,67120.32
2007-02-16,11.20,11.67,11.12,11.67,68000.00,5.00,783725.00
2007-02-19,11.67,11.67,11.50,11.50,86164.00,18.00,993200.69
2007-02-20,11.50,11.50,11.20,11.20,125000.00,8.00,1411900.00
2007-02-21,11.75,11.75,10.64,10.64,63086.00,13.00,684555.06
2007-02-22,10.13,10.16,10.13,10.14,51197.00,10.00,519252.12
2007-02-23,10.14,10.64,10.00,10.14,10284.00,6.00,104744.76
2007-02-26,10.00,10.60,9.70,9.99,29758.00,13.00,297892.41
2007-02-27,9.99,10.00,9.99,10.00,20500.00,4.00,204890.47
2007-02-28,10.00,10.00,9.80,9.80,170827.00,9.00,1689011.75
2007-03-01,9.80,10.29,9.80,10.10,98788.00,8.00,1004028.75
2007-03-02,10.10,10.10,9.61,9.64,122181.00,14.00,1180834.75
2007-03-05,9.64,9.64,9.17,9.50,71402.00,11.00,664887.50
2007-03-07,9.50,9.50,9.50,9.50,6307.00,1.00,59916.50
2007-03-08,9.50,9.97,9.50,9.50,43235.00,11.00,415689.94
2007-03-09,9.50,9.97,9.03,9.03,153382.00,18.00,1454983.62
2007-03-12,9.10,9.48,9.10,9.48,121786.00,11.00,1153011.25
2007-03-13,9.48,9.95,9.48,9.95,53666.00,15.00,526883.94
2007-03-14,10.44,10.44,10.44,10.44,40502.00,10.00,422840.88
2007-03-15,10.96,10.96,10.96,10.96,136200.00,19.00,1492752.00
2007-03-16,11.40,11.50,11.40,11.40,257091.00,25.00,2936402.50
2007-03-19,11.97,11.97,11.97,11.97,62641.00,10.00,749812.75
2007-03-20,11.99,12.20,11.99,11.99,205928.00,15.00,2478317.25
2007-03-21,12.01,12.58,12.01,12.58,71729.00,14.00,902065.81
2007-03-22,12.58,13.00,12.01,13.00,224855.00,26.00,2858054.00
2007-03-23,13.10,13.10,12.40,13.00,173622.00,14.00,2257676.25
2007-03-26,13.10,13.10,12.35,12.35,198644.00,20.00,2492952.75
2007-03-27,12.35,12.35,12.35,12.35,5000.00,1.00,61750.00
2007-03-28,12.35,12.80,12.35,12.70,235356.00,17.00,2989053.00
2007-03-29,12.70,12.70,12.70,12.70,60061.00,9.00,762774.69
2007-03-30,12.70,12.70,12.07,12.70,124028.00,16.00,1550099.50
2007-04-03,13.33,13.33,12.07,12.08,43475.00,10.00,527360.75
2007-04-04,11.48,12.68,11.48,12.68,65567.00,15.00,782606.94
2007-04-05,12.70,13.05,12.70,12.81,98287.00,11.00,1269171.38
2007-04-06,14.50,15.00,13.82,15.00,69328.00,24.00,990894.00
2007-04-10,12.31,12.81,12.31,12.81,3102.00,3.00,38236.62
2007-04-11,13.45,13.45,12.18,12.18,189853.00,20.00,2497716.50
2007-04-16,12.00,12.50,12.00,12.50,25933.00,6.00,314571.00
2007-04-17,12.50,13.12,12.50,13.12,52700.00,6.00,691300.00
2007-04-18,13.77,13.77,13.77,13.77,226306.00,7.00,3116233.50
2007-04-19,14.45,14.45,14.45,14.45,145309.00,16.00,2099715.00
2007-04-23,15.17,15.17,15.17,15.17,100492.00,9.00,1524463.62
2007-04-24,15.92,15.92,15.92,15.92,113864.00,16.00,1812714.88
2007-04-25,16.71,16.71,16.71,16.71,390495.00,11.00,6525171.50
2007-04-26,17.54,17.54,17.54,17.54,71752.00,6.00,1258530.12
2007-04-27,18.41,18.41,18.41,18.41,62224.00,5.00,1145543.88
2007-04-30,19.33,19.33,19.33,19.33,193397.00,19.00,3738364.00
2007-05-02,19.32,19.33,18.37,18.37,334461.00,38.00,6357977.50
2007-05-03,18.37,18.37,17.46,17.46,75709.00,16.00,1358696.62
2007-05-04,18.33,18.33,17.46,17.89,49804.00,7.00,889290.62
2007-05-07,17.00,17.00,17.00,17.00,50000.00,3.00,850000.00
2007-05-08,17.00,17.00,16.15,16.50,49259.00,25.00,823110.75
2007-05-09,16.50,17.32,16.50,17.00,563371.00,21.00,9439181.00
2007-05-10,17.00,17.00,16.90,16.90,106600.00,9.00,1805290.00
2007-05-11,16.90,16.90,16.06,16.06,34950.00,6.00,572049.00
2007-05-14,16.06,16.86,16.06,16.06,48200.00,9.00,785292.00
2007-05-15,16.06,16.06,15.50,15.50,20906.00,5.00,334462.38
2007-05-16,15.50,15.50,14.73,14.75,70321.00,7.00,1044630.75
2007-05-18,13.39,13.51,13.39,13.50,199611.00,12.00,2694713.75
2007-05-21,13.50,13.50,13.50,13.50,328.00,2.00,4428.00
2007-05-23,13.76,14.40,13.76,14.40,127192.00,9.00,1797614.25
2007-05-24,14.50,15.12,14.50,15.12,64396.00,8.00,938243.31
2007-05-25,15.12,15.87,15.00,15.87,52357.00,7.00,795843.56
2007-05-28,15.87,15.87,15.87,15.87,12816.00,7.00,203389.92
2007-05-30,16.00,16.00,15.15,15.15,38400.00,5.00,583120.00
2007-05-31,15.15,15.15,14.50,14.89,109999.00,16.00,1631065.25
2007-06-01,14.54,14.80,14.54,14.54,10249.00,7.00,150567.66
2007-06-05,15.00,15.00,15.00,15.00,24464.00,6.00,366960.00
2007-06-06,15.74,15.74,14.25,14.50,33172.00,9.00,492463.50
